8/6p1/6Kp/8/8/4N3/5pk1/8 b - -,g2g1
6k1/p4qp1/4p2p/p2pP3/3P1PQp/1P3P1K/8/8 w - -,g4h4
8/1p1b2R1/1k3r2/1Prpp3/1R4p1/3B1P2/2PK2P1/8 b - -,d7c8
r4rk1/p5p1/1pp1P1p1/2bp1p2/2q5/5Q1P/P2B1PP1/R3R1K1 b - -,a8e8
2r3k1/p1r1q1p1/1ppnpp1p/8/1P1PP3/4QNP1/P1R2PKP/2R5 b - -,e6e5
r4rk1/5ppp/4b3/4p3/Pn2P3/4B3/1PPK1PPP/R6R w - -,e3b6
1r6/1p5p/p1p2pk1/2Nn1p2/PP1P3P/2R1PKP1/8/8 w - -,c3b3
3r4/5pkp/3p2p1/2q5/5p2/1B2Q3/2P3PP/4R1K1 w - -,e3c5
1q3b1k/1r1r1p1p/pp1p1P2/4p3/2P1Pn2/4B2R/PP3QBP/4R1K1 w - -,e3f4
2r1knr1/1p2pp2/p2p4/7p/5Pb1/2B3P1/PPPRB2P/2K1R3 w - -,e2g4
8/6p1/1p1k4/p2n2R1/P1p1rP2/2P3P1/3K4/2N5 b - -,e4e7
2rqrn1k/pp5p/3pbbp1/2p1p3/4P3/2PP1NQ1/PPB2PP1/R3K1NR w KQ -,f3h4
2r1rqk1/R2b1pbp/3P1np1/1p2B3/2pQ4/1nN2N1P/1P3PP1/4RBK1 w - -,d4h4
3r1q1k/pb1r1pp1/1pp1pb1p/8/2PP2QP/1P2B1P1/P2R1PBK/3R4 b - -,g7g6
5rk1/1pqbb2p/p3p1p1/3pPpP1/1PnP1P2/P2B1N1P/5R2/2QN3K b - -,f8c8
r1bq1rk1/pp3ppp/2n2n2/3p4/1bPN4/2NB4/PP3PPP/R1BQ1RK1 w - -,d4c6
r1bq1rk1/pp4p1/2n2n1p/3Pp3/2pP4/2P5/PPBNQ1PP/R1B2RK1 b - -,d8d5
q2rr1k1/1b3p1p/p5pb/2p1p2n/4P3/2P2P1P/P1RNQ1PB/4RBK1 w - -,e2f2
8/6p1/7p/pp2k3/8/P1K2B2/1n4PP/8 b - -,b2c4
r3k2r/2q1bpp1/2bp1n2/p3pPP1/1p6/4B3/PPPQB3/1KNR2R1 b kq -,f6e4
7k/p1q3bp/1P1rbpp1/1Pp1p3/2Q1P3/2P1BBP1/5P1P/1R4K1 b - -,a7b6
8/5pk1/4p2p/6p1/p1p3P1/1r5P/K7/8 b - -,c4c3
r1b2rk1/1p3ppp/1pn1pn2/1N1pN3/3P4/5P2/PP1bP1PP/R3KB1R w KQ -,e1d2
8/7r/8/2R5/p7/2k5/8/1K6 b - -,c3b3
6k1/6p1/p1Q1p2p/3p4/PP1q4/5P1P/8/6K1 w - -,g1g2
r1bqk1nr/pp1pppbp/2n3p1/8/3NP3/4B1P1/PPP2P1P/RN1QKB1R b KQkq -,g8f6
r4rk1/1p2bpp1/p3p1p1/8/2pPnP1P/1P4P1/1P2B3/R2RB1K1 w - -,b3c4
r4k2/1p2bpp1/2b4r/p3P1p1/P5B1/4P2P/1P1B4/2R1K1R1 w - -,c1c4
r2q1rk1/1p1bppbp/3p2p1/p2P4/2PB4/5P2/PP2B1PP/R2Q1RK1 b - -,g7d4
r4r2/3n1pkp/p1q2Np1/1p1bp3/1P6/2Pp4/P1BQ1PPP/RN2R1K1 b - -,d7f6
4k3/R5K1/8/3PP1P1/7r/8/5p2/8 w - -,a7a8
r7/3n1pkp/bp6/5P2/8/Pp3P2/3R2PP/2K4R w - -,d2d7
4r1k1/3r1ppp/1p2pn2/p7/1nP5/1P2NP2/P2R2PP/1B1R2K1 b - -,e8d8
1r3rk1/7p/p2p2p1/P2Pbq2/6p1/1P1RQ3/3B1P1P/4R1K1 w - -,g1g2
1r2kb1R/5p2/p1r5/1p1pPPn1/1P1P4/3B4/R2B1K2/8 b - -,c6h6
7k/1p1Q2p1/4P2p/5p2/p4P2/P3P1P1/1qr1NK1P/8 w - -,d7d8
6k1/5p1p/1R4p1/4P3/5n2/5N1P/1P3PPK/5r2 w - -,b6d6
1r1qnr2/3bnpbk/p2p2pB/1ppPp3/2P1P1PP/2NB1PN1/PP1Q4/2K3RR b - -,g7h6
r4rk1/pppq1pbp/2np1np1/4p3/1PP1P3/P1NP1NP1/1B3PbP/R2Q1RK1 w - -,g1g2
r5k1/pb4b1/1p1qp2R/8/2PP2p1/3RQrP1/PP1N1P2/1K6 w - -,d2f3
4r1k1/pr1bp2p/3p2p1/3p4/2p4R/5P2/PPPQ2PP/2K5 b - -,d7c6
2r5/5kp1/4p2p/p2n4/1p1P3P/2rBP3/PR1R1P1K/8 b - -,f7f6
r1bq1rk1/pp2pp1p/2pn2pb/2N5/Q2P1n2/2P4P/PP1N1PPB/3RRBK1 b - -,a7a5
8/4bP2/4N3/5K2/8/5k2/8/8 b - -,f3g3
1k4r1/1b1n1p2/pPq1p1r1/4P2p/2PQ1p2/5N2/1R1N2PP/6RK b - -,h5h4
r4rk1/1p1bp2p/pq1P4/5p2/4Pb2/B2Q2K1/PP4PP/R6R w - -,g3h4
R4b1k/1r5n/3pB1p1/3Pp1Pp/1p2P3/1P2B3/P4P2/5K2 b - -,b7c7
q4rk1/1ppn1ppp/r1nbp3/8/4PP2/P2PB2P/2PNQ1P1/R3KB1R b KQ -,a6a3
r3r1k1/2qb1pp1/1pp1pn1p/p1Pp4/1P1P1P2/P1QBP3/3N2PP/R4RK1 w - a6,d2b3
2rqk2r/5ppp/p3p3/4P3/PnpB4/Rp4P1/1P2PPKP/2RQ4 w k -,e2e3
8/8/5b2/5p1R/4kBp1/6P1/r6P/5K2 w - -,h2h3
8/2p2p2/p2p1k2/3b1p2/1R6/1P6/2P2P2/1K6 b - -,f6e6
1r2r1k1/p3p1b1/3pP1pp/3q1p2/np1NbP1B/1N2Q3/PPPR2PP/K5R1 b - -,b8c8
r3r1k1/p1q2ppp/2pb4/2ppPb2/8/BPNP1Q2/P1P3PP/4RRK1 b - -,d6e5
r2q1rk1/pb1pbppp/1pn1pn2/8/3P1B2/3BPN1P/PP1N1PP1/R2Q1RK1 b - -,a8c8
8/8/8/8/2P2bP1/p6p/k1K5/3R4 w - -,d1h1
5rk1/p3ppbp/1pB2np1/2p2b2/2n5/2N3P1/PP2PP1P/R1B2RK1 b - -,f5c2
1r1r2k1/1b3ppp/4p3/1R6/1p1NP3/3B2P1/5P1P/R5K1 b - -,b8a8
4r3/1p4pp/2pk1pn1/p7/P3PP2/3B2P1/1PR4P/7K b - -,d6c7
4rnk1/pp3r1p/2p1pbp1/q2p4/2PP4/3Q1BB1/P1P2PPP/R3R1K1 w - -,c4d5
r5k1/3n2p1/B1pq1r1p/p2p4/1P3P2/P7/3QN1PP/R4R1K b - -,a8a6
2R5/1p1rq1k1/p3p3/P2pPb2/1P1Q1Pp1/6P1/4BK2/8 b - -,d7c7
4r1k1/5ppp/Qppb2nr/6q1/1P1RbN2/P3P2P/1B2BPP1/2R3K1 w - -,d4e4
2r5/1p2k3/2bR2B1/p1P1p2p/PP5P/2K1n1B1/6P1/8 b - -,a5b4
r1bqr1k1/pp2bpp1/3p1n1p/2pN4/7B/3BPN2/PPQ2PPP/1R1R2K1 b - -,f6d5
5rk1/8/3R1Bp1/8/1pp3PP/3n1K2/1P3P2/8 w - -,f3e3
r5k1/b4q1p/6p1/6N1/p4BQ1/P6P/6P1/R6K b - -,f7e7
3r1r2/R3np1k/p2p1bpp/1p6/3pPB2/PQ1B4/1P3K1P/8 b - -,e7c6
2k5/2p4p/8/2P5/5Q2/7P/2q2PPK/8 w - -,f4d4
r3k2r/2qp1ppp/4p3/p1NbP3/1nBB1PQ1/8/2P2RPP/6K1 w kq -,c4b5
2r3k1/r3qp1p/6p1/p1p1p1B1/4N1P1/3R3P/1P1Q1P1K/8 b - -,e7f8
r2n2k1/pppq1rb1/3pb1pp/1PP1pp1n/8/B1NP2P1/P2NPPBP/1R1QR1K1 w - -,c5d6
r4rk1/1p2b1pp/1qpppn2/p1n5/P3P3/2N1B2P/BPP2PP1/1R1QR1K1 b - -,d6d5
8/5p1p/3p2p1/2k1p1P1/p1n1P1NP/PpK2P2/1P6/8 b - -,c5b5
r2q1rk1/2n1bbpp/5p2/p1pp4/5N1P/4P1P1/PP1B1PB1/R2Q1RK1 b - -,e7d6
r2q1rk1/pp1nbpp1/2p2np1/6P1/2BP4/PQN4P/1P1B1P2/R3K2R b KQ -,f6d5
1rb1k1nr/p3ppbp/1qnp2p1/2p5/1p2PP2/3PBNP1/PPPQ2BP/R2NK2R b KQk -,e7e6
2q2rk1/1pp2pp1/2n3bp/2bN1P2/2B5/6Q1/1BP3PP/5R1K b - -,c5d6
8/8/1p1k1N2/4p2p/PP1nP2p/2K2PP1/8/8 w - -,g3h4
r4r1k/1p4pp/p1np3b/q2Qp3/2P1PpBP/8/PPN2PP1/3RK2R w K -,d5a5
rn1q1rk1/pb2ppbp/1p3np1/2p5/4PP2/2NBBN2/PPP1Q1PP/R3K2R w KQ -,e1c1
1r3rk1/2bb1pp1/1p1p3p/p2Bp3/P3P3/2R5/1PPN1PPP/R5K1 b - -,f8c8
