6Q1/7B/kb3B2/3b3p/4p3/P3P3/5K2/8 b - -,d5g8
1r1r4/2k2p2/2p1p1p1/p3P2p/PqP2P1P/6P1/KPQ5/3R3R b - -,b4c5
r1r3k1/2qbbppp/p2p1n2/npp1p1B1/P3P3/2PP1N1P/1PBN1PP1/R2Q1RK1 w - -,d1e2
4r1k1/1Q1R1pp1/4p3/3n4/8/6B1/5PKP/3q4 b - -,e8f8
8/8/8/k1Q5/4K3/8/8/3q2r1 b - -,a5a4
8/8/5pk1/p3pp2/r4P1p/P1R1PKP1/7P/8 b - -,h4g3
rn1q1rk1/pb1pppbp/1p4p1/3nB3/3P4/3BPN2/PP1NQPPP/R3K2R b KQ -,f7f6
rn3rk1/pp2ppbp/6p1/q7/3PP1b1/4BN2/P2QBPPP/2R1K2R b K -,a5d2
8/4n3/5p2/8/3Rpk1p/5p1P/5K2/8 b - -,e7f5
r1bqk2r/ppp3bp/4pnp1/5p2/3PpB1P/2P1P3/PP1N1PP1/R2QKB1R w KQkq -,f1e2
2rr2k1/pb3pp1/1p1q3p/nB1P4/8/P4N2/3RQPPP/3R2K1 w - -,f3d4
3r3k/1ppbqr1p/p3n1pb/3pPp2/PP1P1P2/3BBNPP/Q4R2/R6K w - -,b4b5
3rrbk1/6p1/p1q2pbp/Qpp1p3/8/1P1PNP1P/1PP1R1P1/4R1BK b - -,d8d6
k3r3/1p6/p4p1P/2ppn3/5Q2/7q/P3BK2/6R1 w - -,g1g2
1r4k1/5p2/4p1p1/p2rP1Pp/Q2P3P/5N2/5P2/6K1 w - -,f3d2
3r1rk1/pb1q2np/3pp1p1/2p3N1/2P2P2/7P/PPBQ2PK/4RR2 b - -,b7a6
3r2k1/1pr1qp1p/6pb/pRn5/P2N1P2/2P1P3/2BQ2PP/2R4K b - -,d8e8
4r1k1/1b3pp1/q4n2/2b2P2/rp1NP2p/pR1PBB1P/P3Q3/4R2K w - -,d4c2
8/8/6p1/3p2Pp/3Pp2P/2k1P3/8/4K3 w - -,e1e2
r2q1rk1/4nppp/1bp5/p2pP2b/P1BPn3/4BN1P/3N1PP1/R2Q1RK1 w - -,d2e4
3q2k1/p4pp1/2p1rb1p/7P/4Q3/1P3NP1/P4PK1/2R5 w - -,e4a4
2r1b1k1/4q1pp/2p2p2/b3pP1N/2P1B1Q1/3P4/r5PP/1R3R1K b - -,a5c3
r2q1rk1/p2n1pp1/1p2bb1p/2pp4/Q2P4/2N1PN2/PP2BPPP/R4RK1 w - -,e2b5
6k1/5p2/2B2Qp1/7p/2P4P/6P1/4qPK1/4n3 w - -,g2g1
2k5/ppb3p1/2p1r1N1/4Nn2/2PPR2P/2P5/P2K4/8 w - -,e4g4
3r2k1/pb1r1pp1/1pp1p2p/8/1qPP4/1R4P1/PPQ2PBP/3R2K1 b - -,b4a4
2k4r/p4p1p/2p1pnp1/8/2B5/2N4P/PPbrRPP1/2R3K1 b - -,d2e2
2kr3r/ppp1b1pp/3pp3/8/2q5/P1P1B2P/1PPQ1PP1/2KR3R w - -,c1b1
8/6p1/3kb3/8/2p1B2P/1p2P3/1K4P1/8 b - -,d6c5
r3r1k1/ppq2ppp/2p2n2/3n4/3P4/1NN3Q1/PP3PPP/3RR1K1 w - -,e1e5
r2q2k1/2nnppbp/pr1p2p1/2pP2B1/P3P3/2N5/1PQ2PPP/1R2RBK1 w - -,c3d1
2r1k3/pp2n1p1/2b1N3/3q4/5PQ1/2P5/6PP/4R1K1 w - -,g4g7
r2qr1k1/pppb1pp1/1b1p1n1p/4n3/3pP2B/1N1B1P2/PPPN2PP/R2Q1RK1 w - -,g1h1
r4rk1/p2b3p/2p2qpb/2Qp1p2/N2Pp3/1P2P1PP/P4PB1/2R2RK1 w - -,b3b4
r5k1/5p1p/6p1/N3p3/1R2P1P1/8/Qnq2PPK/1Rb5 b - -,a8a5
r4b1r/1p1b1kpn/p2pp3/4n1Bp/3NP2P/2N2P1B/PPP5/2KR3R w - -,g5f4
1r1r1bk1/8/1p2ppp1/p6p/P1NPbN1P/1PB1P1P1/n3BP2/2R3K1 w - -,c3d2
8/8/8/3k2P1/1r3P1p/3PK2P/1p6/1R6 w - -,e3d2
2r2rk1/pb4p1/1p2p3/4Npp1/3P1n2/2P5/P4PPP/2R1RBK1 w - -,g2g3
3r2k1/1b2qppp/p3p3/1p6/3Bn3/bP2PN2/P3QPPP/1B1R2K1 b - -,f7f6
8/5pk1/2R4p/3K3P/r4PP1/8/8/8 w - -,c6c4
6k1/5rp1/p2p4/1p1N4/2r2Pp1/4B1P1/Pb6/2R2R1K w - -,c1c4
7k/5r1p/2N5/1B3p2/1P2p3/P6P/3r2P1/4R1K1 b - -,f7g7
1r4k1/1q4b1/r2pp1p1/1Np1B3/P3P2R/5RP1/1P2QPK1/8 b - -,g7e5
r1b2rk1/2pnqppp/p7/4p3/Pp2P3/1B6/1PPN1PPP/R2QR1K1 b - -,d7c5
r1b2rk1/pp4pp/1q6/3pB3/4n3/2PB4/PPQ1NRPP/R5K1 w - -,e5d4
r7/8/2k1QP2/p1p5/1p1q4/1P3P2/PP6/1K4R1 b - -,c6b5
1rb1nrk1/ppq1n1bp/3p2p1/2pPpp2/P3P3/2P2NPP/1P1N1PB1/R1BQR1K1 w - f6,d2c4
8/2p5/3b1p2/3P2p1/p3B1P1/2k2P2/8/1K6 w - -,b1a2
r1bq1rk1/1pp2pb1/p1np1n1p/4p1p1/B3P2B/2PP1N2/PP1N1PPP/R2Q1RK1 w - -,h4g3
1r1r2k1/p1q2pp1/2p4p/n1b1pb2/8/2NP2R1/PBQPNPPP/R5K1 w - -,c3e4
r1qr2k1/1p1n1pb1/2p1pnpp/p7/P2PP3/1Q1N1PB1/1P2N1PP/3R1RK1 w - -,d1c1
r7/p2k2p1/2r4p/1p1Q4/P7/2P3b1/1P3n2/4R1K1 b - -,d7c7
3r1k2/p3nb2/1p3b1p/2p2p2/5P1P/P1P1BNN1/1P3K2/4R3 b - -,a7a5
rnbqk2r/pp2ppbp/2p3p1/3n4/2BP4/2N1BP2/PPP3PP/R2QK1NR w KQkq -,c3d5
4r1nk/pp1b1r2/3p2pp/3P1p2/1PPN1P2/1N1Bb3/6PP/4RR1K b - -,f7e7
1r3rk1/1B2Rppp/pN1Pb3/4nq2/3Q1P1P/6P1/PP6/2R3K1 b - f3,f5g4
r4r1k/pppqbppp/4bn2/3p4/3PP3/1B6/PP1N1PPP/R1BQR1K1 w - -,e4e5
1rn2qk1/1p3rb1/pN1p1n1p/3Ppbp1/1P6/4BPPP/P2QN1B1/2R2RK1 w - -,a2a4
2r1r1k1/5ppp/p4nq1/2Bbp3/8/Q5P1/P3RPBP/4R1K1 b - -,d5g2
5rk1/5p2/3p2p1/R2Pp2p/P3r2q/5QPP/5P2/2R3K1 b - -,h4g5
8/1p2k3/p4ppp/3n2P1/5r2/1P3N2/P2R4/5K2 w - -,f1g2
3rr1k1/pp3ppp/1q2b3/8/1n1p3N/1P4P1/P2QPP1P/1BRR2K1 b - -,e6g4
8/2R2R2/6pk/4p3/4P3/4NPPn/2P2K2/rr6 w - -,f2e2
1r1b2k1/8/4p1pp/nq2PP2/3p1P2/2pP1Q2/2P3BP/R1B3K1 b - -,g6f5
8/5pk1/6p1/2pqp2p/P6P/1P2Q1P1/5P1K/8 b - a3,f7f6
r2qr1k1/1pp1bppp/3p4/2n5/p2N3P/2P1B3/PPP1QPP1/2KR3R w - -,a2a3
8/2k3b1/p2pp2p/N2n1pP1/2NP1PbP/2K3B1/8/8 w - -,c3d3
4b1k1/p1p1Bp1p/1b4p1/2pB4/8/PP3P2/2P3PP/2K5 w - -,c1d2
3r1rk1/p3ppBp/1p1p2p1/6Pn/q1n1P3/1R3P1B/1PP1N2P/3Q1RK1 b - -,h5g7
3r4/2br1ppk/R1p1n2p/1p2p1B1/8/1QPq1N1P/1P3PP1/4R1K1 w - -,g5d8
k1r5/p1P1n3/8/4p3/2R5/1P2B3/P2K4/8 b - -,a8b7
2r2rk1/pp3pbp/8/R4p1N/2pq4/1P3Q2/P1P2PPP/R5K1 w - -,a1d1
r1bq1rk1/pp2ppbp/2n2np1/2p5/2P5/3P1NP1/PB2PPBP/RN1Q1RK1 b - -,c8f5
1r3rk1/1p2qp1p/pR1p2p1/P2Pp3/R3P3/n7/2PQ1PPP/6K1 w - -,a4a3
r1q1nrk1/ppp1bppp/2npb3/4p3/1PP5/2NP1NP1/P3PPBP/1RBQ1RK1 w - -,b4b5
r4r1k/1b3p1p/p2p2p1/1pp1p1qn/P3P3/1BPPN3/1P2QPPP/R4RK1 w - -,e3d5
2rqrbk1/1p1b4/3p2pp/1PpPpp2/2P1P3/1Q4PP/R2N1PBK/4R3 b - -,c8a8
1r3rk1/pp1qppbp/3p1np1/2pPn3/2P1PN2/2N1B2P/PPQ1BK2/6RR b - -,a7a6
r1b2rk1/2q1bppp/pn1p1n2/1ppPp3/4P3/1PP2N1P/P1B2PP1/RNBQR1K1 w - -,b1d2:a2a4
8/p2R1pk1/4Brp1/bP5p/P7/5P2/6K1/8 w - -,e6c4
r1q1r3/4ppbk/2p3pp/8/p1n1PB1P/PbN3P1/1P3PB1/R1Q1R1K1 w - -,e4e5
r2b1rk1/pp1bq1pp/2n1pn2/3p1p2/1P6/P1N1P1P1/1B1PNPBP/2RQ1RK1 w - -,d2d3
5rk1/q5p1/2pNpp1p/1pP1P3/8/6P1/1P3P1P/2Q2BK1 b - -,a7a4
