7k/1P3Np1/2b1p2p/4P3/1q6/6QP/6PK/8 b - -,h8g8
r4rk1/5ppp/1B2b3/4p3/Pn2P3/8/1PPK1PPP/R6R b - -,f8c8
4r1k1/1p1R1p1p/2p5/NqP3p1/5n2/7P/5QP1/6K1 w - -,a5b7
8/5k2/4ppNK/2b1P3/7P/8/8/8 w - -,h6h7
8/5k2/p3p3/bp1q1p2/6pB/1P2P1P1/P2nQP1K/4N3 b - -,f7e8
2r4k/3R3n/1p3p1p/p2p4/3N4/6P1/PP3P1P/6K1 b - -,c8c1
1rr3k1/1p1bqppp/p1n2n2/3p4/Q2N4/2N1P3/PP2BPPP/2R2RK1 w - -,a4d1
8/2p1q3/1pP2k2/4ppp1/Pp2p1p1/1Q2P1P1/3r1P2/1KR2B1r w - -,b3g8
r1bqnrk1/ppp3b1/3p1n2/3Pp1pp/1PP1Pp2/1NN2P1P/P3BBP1/R2QK2R w KQ -,d1c2
2rq1bk1/1b1n1p1p/5np1/1Bp5/1P2r3/1N3N1P/1B3PP1/R2QR1K1 w - -,b4c5
6k1/R5pp/4p3/4p3/4P3/1r3P2/r5PP/2b1RK2 w - -,a7a2
1n6/1p2k2p/p4pp1/4p3/4P3/2P1K3/PP4PP/3B4 b - -,f6f5
r3rbk1/2n2q2/3p1p1p/1p1P1Q2/p7/P4N1P/1P1B1PP1/R3R1K1 w - -,e1e8
r3r1k1/5pbp/1n1qp1p1/pQ2N3/Pp1P4/1N6/1P3PPP/R2R2K1 b - -,b6d5
3r3r/1pp1kp1p/4bR2/6p1/8/1P1BP3/P1P3PP/5RK1 w - -,f6h6
r2qk2r/pp2ppbp/1n3np1/3P1b2/P2P4/1QN2B2/1P3PPP/R1B1K1NR b KQkq a3,e8g8
8/1p3q1k/p3b1p1/3p3p/P2Q1P2/1P3B1P/6PK/8 w - -,h2g1
r2q1rk1/pp1n2pp/2p1p3/1P1p1p2/2PPnP2/2N5/P1Q1PPBP/1R3RK1 b - -,d7b6
6k1/4p2p/2n1p1p1/p7/2N5/1Pb5/P3BPPP/5K2 b - -,c6d4
r3k2r/1b1nqppp/p3p3/1pnpP3/5P2/2NB1N2/PPPQ2PP/R4RK1 w kq -,d2e3
8/1RB2pk1/p3r2p/2P2bp1/1P2p3/4P3/5PPP/6K1 w - -,c7d6
r1bqk2r/ppp1nppp/2n5/1B1p4/1b1P1B2/2N2N2/PPP2PPP/R2QK2R b KQkq -,e8g8
r1bqk2r/pp1pbppp/2n5/2pQ2B1/8/P4N2/1PP1PPPP/R3KB1R b KQkq -,d7d6
1r1q1k2/1b2n1p1/pp2Pn1N/3p1N2/P7/Q7/5PPP/1BR3K1 w - -,h6f7
1kr5/4n1pp/p2p4/1p1Ppp2/4P3/1N3P2/PP4PP/1K1R4 b - -,f5e4
6k1/p4p1p/2B3p1/B1P5/2r5/P5b1/4K1P1/8 w - -,a5b4
5rk1/1pq3pp/2pb3r/p2p2R1/P4P1P/3Q2P1/1PP1R1K1/3N4 b - -,h6f6
2r1r1k1/p4p1p/bp2q1p1/3p1p2/3P1P2/bP1NPBP1/P2Q1K1P/2R1R3 w - -,c1c8
8/5pk1/3Q4/1pr5/8/PR6/KPq4P/8 w - -,b3g3
4rr1k/2pn2pp/p1n1q3/1p1bpp2/8/2PPQN1P/PPBN1PP1/4RRK1 b - -,h7h6
2r5/pb1pbkp1/4qp2/N7/3Q4/P3B1P1/5P1r/R3K1R1 b - -,b7f3
2rqr1k1/1b3pnp/p5p1/1p1Pb1P1/2p1P3/PQ5P/3BNP2/3RRBK1 w - -,b3f3
r4rk1/ppqnbppp/4p3/2pnP3/2P5/5N2/PP2QPPP/RNBR2K1 b - -,d5b4
2rqr3/1p4kp/p2p1pp1/2nP4/1Q2PP2/6PP/P5B1/2RR2K1 w - -,d1e1
8/8/4BR2/2p3rp/8/4n1kP/8/6K1 w - -,f6f2
r2q1rk1/1p2nppp/2n1pb2/pNPp4/P2P1B2/1P3B2/R4PPP/3Q1RK1 w - -,f3g4
r3r1k1/1bq2ppp/p3pn2/1p2bNBQ/8/1BP4P/PP3PP1/3RR2K w - -,g5f6
rnb1kb1r/1pqp1ppp/p3pn2/6B1/3NP3/2N2Q2/PPP2PPP/R3KB1R b KQkq -,f8e7:c7e5
1rbqr1k1/3p1p1p/p3n1pB/n1p1P3/Pp1pB2N/6N1/1PP1QPP1/R3R1K1 b - -,d8h4
rnbqk2r/pp4pp/4pn2/2pp4/3P4/P1P2N2/2P2PPP/R1BQKB1R b KQkq -,c5c4
r7/p4q1k/1p2p2p/3pPn2/b1pP1PQP/P1P5/2P4K/1R4R1 w - -,b1c1
8/1p6/5k2/p6r/P3K3/3pP3/7P/3R4 w - -,e4d3
4r1k1/p4pq1/Pr1p1bp1/Qp1P3p/2p1P2P/5BP1/1P2RP2/1R4K1 w - -,f3g2
8/8/8/5Kp1/5P1p/6k1/4B3/8 b - -,g5f4
4r3/5pk1/3p2p1/8/2p1b3/PrP4P/4R2N/R5K1 w - -,e2e3
8/8/8/1N1nkp2/p6P/P4K2/6P1/8 b - -,d5b6
4r1k1/p4p1p/2p3p1/2Pq4/Q3bP2/6P1/4PK1P/2R1R3 b - -,d5e6
r2qr3/p2n1pbk/b2p1npp/1ppP4/4P3/P1N1B2P/1PBQNPP1/R4RK1 w - -,f2f3
r1bq1bkr/pppp2pp/2n5/4P1N1/3p2n1/8/PPP2PPP/RNBQK2R w KQ -,d1g4
r2r2k1/3n1ppp/4q3/2p5/3b1B2/Pp3PN1/1PQ3PP/1R2R2K w - -,c2f5
8/2r2p2/6p1/1nNR2k1/1P5p/1K5P/6P1/8 b - -,g5h6
1r2b3/p3kppp/2p5/8/5P2/1BP5/P4KPP/3R4 w - -,d1d4
r5k1/2qnbpp1/2p2n1p/p1PpN3/3P4/P1NQP1B1/5PPP/1r3RK1 w - -,f1b1
r3r1k1/pp1q2pp/2p2p2/3pn3/1P1B2PR/P2PP1P1/5PK1/2RQ4 w - -,f2f4
rn5r/1p1bkp1p/4p3/pNP1P3/1P1p4/1R2bN2/P1P3PP/4KB1R w K -,c2c3
r1b1k1nr/pp1pppbp/2n3p1/2q5/2P1P3/2N2N2/PP1B1PPP/R2QKB1R b KQkq -,g8f6
r4r2/1pp1q1bk/4b3/pP2pp1p/P1Pp2p1/1N1P2P1/2Q1PPNP/1R3RK1 w - -,e2e3
3rr1k1/1pqn1pbp/5np1/pP1p4/P1pB4/2P1P2P/2QNBPP1/R4RK1 b - -,d7c5
5r2/pp1r1pk1/1np1p3/6P1/2PP4/8/PP2QP2/K2R4 w - -,d1h1
7R/2k5/4p1p1/4P3/pK3P2/1b5p/7P/8 b - -,c7c6
8/3Q1ppk/pp5p/5P2/2P1p1PP/2b1q3/P3B3/2RK4 b - -,c3b2
r1b1rbk1/pp3pnp/q1pp2p1/4n1B1/2P1P1P1/1PN4P/P3NPB1/R2Q1RK1 w - -,e2g3
r2q1rk1/pb2bppp/1pn1pn2/8/2PP4/2N2N2/PB2BPPP/R2Q1RK1 w - -,d4d5:d1d2
r5k1/6pp/1B2bp2/P3p3/1P2PrPK/2n4P/5P2/4R2R w - -,e1e3
r3k2r/pp4pp/3q1p2/2ppn3/3Q4/2P1P1P1/PP2BPP1/R3K2R w KQkq c6,d4a4
2b3rr/2p1k3/2p2p2/p1N1p3/K1P1P1pp/1P3P2/P2R2PP/3R4 w - -,f3g4
r1bqk2r/pp3ppp/2np4/2pQ2b1/8/P4N2/1PP1PPPP/2KR1B1R w kq -,f3g5
3B4/8/p7/1pkb3p/5Kp1/P1P5/3R2PP/8 b - -,c5c4
8/1Q6/6p1/4K3/8/6r1/6k1/8 b - -,g2h2
r2q1rk1/pp2n1bp/2np2p1/2p1pp2/4PP2/1P1P2P1/PBPN2BP/R2Q1RK1 b - f3,d6d5
rn2k2r/ppq2ppp/2pbp1b1/3n4/2BP1N2/2P2Q2/PP2NPPP/R1B1K2R b KQkq -,b8d7
2r3k1/5b2/5p2/p4P1p/2P1p1pP/P3N1P1/4BK2/8 b - -,g8f8
r1b2rk1/1p2bppp/4q3/pBnpN3/P3n3/2P1BN1P/1P3PP1/R2Q1RK1 b - -,e7d6
6k1/5ppp/2b3n1/3NPP2/2p1B3/2K5/7r/R7 b - -,g6e5
r1b1k1nr/p2nppbp/2pp2p1/qp4B1/3PP3/2N2P2/PPPQ2PP/R1N1KB1R b KQkq -,b5b4
r2q1rk1/pb1nbppp/1pp1pn2/3p4/2PPP3/5NP1/PPQN1PBP/R1B1R1K1 w - -,e4e5
1r5k/6b1/4Bq1p/5P1Q/2P4R/6PK/8/8 b - -,f6a1
r1bq1rk1/ppp1ppbp/2np2p1/8/3PPPn1/2N2N2/PPP1B1PP/R2QK1BR b KQ -,e7e5
r1r3k1/1pB2ppp/p1b1pn2/2b5/7q/1PN4N/1PP1QPPP/R2R2K1 w - -,c7g3
8/3N1pk1/p3p1pp/5n2/4q3/7P/1P1Q1PPK/8 w - -,d2c3
8/pk5r/1p2p1p1/P2pPpP1/2pP1P2/2P3K1/2P5/1R6 b - -,b7a6
4r1k1/2r4p/p7/1p1p1N2/4n3/3BQ3/PqP4P/5R1K b - -,b2e5
1r3rk1/1p3qpp/pN1Q1p2/P1p1p3/2P1b3/1nP2N2/1P4PP/3R1RK1 w - -,f3g5
3r1r2/pn4k1/1pn1p1pp/2p2p2/2P4P/1PN1PNP1/P4P2/R2R1K2 b - -,g7f6
