8/p4r2/1p1Pn1kp/8/8/3Q4/PP4PP/6K1 b - -,g6g7
r4bk1/pp1nq1p1/2p1p1p1/8/2BP1BP1/2P4Q/P1P2P2/R3K3 w Q -,g4g5
r1b2rk1/pp2ppbp/2n3p1/3q4/3N4/4BP2/PPPQ2PP/R3KB1R w KQ -,d4c6
3R4/p1r2ppk/1pq1p2p/4P3/5P2/1P1Q3P/6PK/8 b - -,g7g6
r1b1r1k1/p1n2pb1/1p1p1qp1/2pP4/P3PPp1/2N5/1P2B1PP/R1BQR1K1 w - -,e4e5
1r3qk1/2pb2pn/3p3p/1p1P1p2/1P4P1/4R2P/P2QNPB1/6K1 w - f6,g4f5
8/4k2P/8/R5P1/4BPK1/p7/7r/2b5 b - -,c1b2
8/P2Q4/5kp1/4p3/1P5P/r7/3K1P2/r7 w - -,d7d6
6N1/p2b2k1/2p4p/1p3p2/4pP2/1BP1P3/P3KP2/8 w - b6,a2a3
r4bk1/8/2Np1nn1/3Pp2p/4P3/2N2P2/6P1/1R2B1K1 w - h6,g2g3
2b5/p1k1p2p/1p2P1p1/3K4/5PBP/8/PP6/8 b - h3,c8b7
2b1r1k1/Q2pnpbp/pq3np1/1Np3B1/1pP5/4P3/PP1N1PPP/R3KB1R b KQ -,b6a7
2b1r1k1/1p3ppp/5n2/2Bp4/4P3/1P3P2/4BKPP/3R4 b - -,d5e4
8/3k4/8/2PP2p1/1p2BpP1/1P3P2/1BK5/4r3 b - -,e1e2
r1b1k1nr/pp2qpbp/2n3p1/2p1p3/1P2P3/2P2NP1/P3QPBP/RNBR2K1 b kq b3,c5b4
3Q2k1/6r1/8/5K2/8/8/8/8 b - -,g8f7
r5k1/1p1nqrpp/p1n1pP2/3p4/2pP2P1/2P2N1P/PP2QPN1/R4RK1 b - -,e7f6
r2qrbk1/1b1n1p1p/pn2p1p1/1pB5/8/QBNP1N2/PP3PPP/R3R1K1 w - -,c5f8
4qrk1/pb6/np6/3pN1pp/3Pnp2/P2Q1B1P/1P2PP1B/2R3K1 w - -,b2b4
6k1/pbb5/1p1q4/4pp2/4P1p1/1PB1N1P1/P4P2/1BR3K1 b - -,f5f4
8/p7/2b2pR1/r1k1p2p/4P2P/P1K3P1/2N5/8 b - -,c6e4
3qrrk1/1p4pb/p1pb3p/P2p4/1P1Q4/2P1BB2/5PPP/4RRK1 b - -,d6e5
8/8/4pk1P/2n5/7R/6P1/5PK1/3r4 b - -,d1d8
r1b2rnk/ppq2p2/2p4p/4p3/3P3Q/5N2/PPP2PPP/R1B2RK1 b - -,e5e4
8/8/3r3k/6p1/7p/1R3PK1/8/8 w - -,g3h3
5k2/5p2/7p/1r6/6RP/5PK1/6P1/8 w - -,g4a4
r1r1nbk1/pp3b1p/1np1qpp1/4p3/1P2P1P1/2N1B1NP/P1P1QP2/1R1R1BK1 b - -,b6c4
3r4/p3k1p1/4pp2/3p3p/PPn4P/4PKP1/R7/6R1 b - -,d8b8
r4rk1/pp2bppp/1qbp1n2/4p1B1/4P3/1PNQ1N1P/P1P2PP1/R4RK1 b - -,f8e8
r4rk1/pQ2b1pp/6q1/2PR1b2/2P2p2/P3p3/1P3PPP/2B1KB1R b K -,e7h4
5rk1/p5pp/3Rp3/2N5/2n1Pn2/4K3/2P3P1/R7 w - -,e3d4
r2q1rk1/1pp1bppp/2n5/2n1pb2/1PPp4/3P1NP1/2N1PPBP/1RBQ1RK1 b - -,c5a4
1r1q1nk1/3p1r1p/3p4/3PpBp1/R1Q1P3/PP4PP/8/2R3K1 b - -,d8b6
rnbqk2r/pp2bppp/4pn2/2pp4/8/1P3NP1/P1PPPPBP/RNBQ1RK1 w kq c6,c2c4
1r6/3q2k1/1n1p1ppn/1ppPp3/4P2P/1PP2NP1/2N1QPK1/R7 b - -,b8a8
4r1k1/6pp/2Bq4/5p2/p1R5/3r2PP/5P2/3Q2K1 w - -,d1a4
6k1/p1r1n1pp/8/8/3N1P2/1N4Pb/P6P/4R1K1 b - -,h7h6
r2qnrk1/pp2N1b1/2ppP1pp/4pp2/1PP1P3/5BP1/P4P1P/R1BQ1RK1 b - -,d8e7
7r/2b1kp2/p1p5/1pp1PKP1/2P2B2/1P6/P2R4/8 w - -,d2h2
3qrbk1/p4p1p/1p4p1/2p5/P3p3/1P1RP1P1/2Q2PNP/2R3K1 b - -,d8d3
3Q4/p5pk/2p2r1p/1pP1n3/2b2R1P/P1P3Pq/5P2/4NRK1 w - -,f4c4
2r3k1/3pn2p/pq6/1p1nQp2/8/1N1B3P/PPP5/2K2R2 b - -,b6e3
r1br1bk1/1p3pp1/p1n1pn1p/q1N5/3P4/P3BN2/BP2QPPP/2RR2K1 b - -,c6e7
8/6pp/p2kr3/1ppn1p2/1Bp5/P4P2/1PP2KPP/R7 w - -,b4d2
1r3rk1/2p1qpbp/p2p1np1/1pP1n3/4PN2/1PN1BP2/P1Q1b1PP/3R1RK1 w - -,c3d5
rn3rk1/1bq1bppp/pp1ppn2/8/P2NPP2/2N1BB2/1PP1Q1PP/R4RK1 b - -,b8c6
r2r2k1/pp4q1/2npB3/2n2pP1/5P2/1PN5/1PP4Q/2KR3R b - -,c5e6
8/P4k2/3Rn1p1/2B1ppb1/1pP5/r6P/6PK/8 b - -,e6c5
r2qk2r/pppn1pbp/3p1np1/3Pp3/2P1P3/5N2/PP3PPP/RNBQR1K1 b kq c3,e8g8
3r1rk1/2q1bpp1/p3p2p/2pn4/1p2N3/3P1QPP/PPP1NPK1/R2R4 w - -,a2a3
r1b1r1k1/1pq2pbp/2pp1np1/p3p3/PnPP4/BPN1PNP1/3Q1PBP/R2R2K1 b - -,c8f5
8/8/2np4/2k5/7R/2K5/2P5/8 w - -,h4h8:h4c4
3r1rk1/pbp2p1p/1pn3p1/1R1q4/5PPQ/2PB3P/P1P1N3/5RK1 b - -,d5e6
8/Q3p1kp/3p1pp1/8/4P3/5P1P/2q3PK/8 w - -,a7e7
4r1k1/p2q1ppp/1p3b2/3p4/3P1P2/P1B5/1P4PP/2R2QK1 w - -,c1e1
5r2/1b4k1/1p5p/p1n2B1P/3RP3/6P1/1P3P2/6K1 b - -,b6b5
r7/8/2p2pk1/1bBn2p1/2NP3p/1P5P/r4PP1/2R1R1K1 w - -,c4e3
8/Bn4pp/2k2p2/pp6/P7/1P1K1P2/2P2P1P/8 b - -,b7d6
r3q1k1/1b3ppp/pp2pn2/2b5/P3P3/2N2P2/BP1BQ1PP/2R4K w - -,c1d1
2kr1b1r/pp1nn3/q1p1pp2/3p3p/2PP3P/1P1QBN2/P2N1PP1/R4RK1 b - -,f8g7
3rk1r1/2qbb3/pp2ppn1/B3p1pp/2P1P3/1P3NP1/P1BQ1P1P/3R1RK1 w - -,a5b4
8/1r4pp/p7/8/6P1/Pp1P3P/2k1K3/1R6 w - -,b1d1
4brk1/pp2b1pp/1q2p3/3pP3/P3nB2/1Pr2NP1/2B1Q1KP/3R1R2 w - -,c2e4
1r3rk1/2qbbppp/p2pp3/1pn3PP/3NP3/PBN2P2/1PPQ4/1K1R3R b - -,a6a5
2k5/pp2R1Bp/r4pp1/2pq4/5PP1/8/1PQ3P1/1K6 w - -,e7e8
rnbqkbnr/pp3ppp/3pp3/2p5/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq -,f8e7
8/br3pp1/3k3p/P1p5/2Bp3P/R2K2P1/4PP2/8 b - -,f7f6
1rn3k1/p4pb1/2Rp2pp/R1p5/2N1r3/2P2N2/1P3PPP/6K1 w - -,f3d2
rn2k2r/pp2p2p/3pN1p1/1qp5/5P2/4n3/PPPQ1KPP/R1B4R b kq -,e3g4
2r2b1k/2qn1ppp/bp2p3/p2pP3/3P1NQP/P3BBP1/1Pr2P2/1R1R2K1 b - -,a6b5
7r/kpp5/1b6/p7/8/3R1QP1/q4P2/3R2K1 w - -,d3d2
r1bq1rk1/pppp2pp/4p3/n1P2p2/3Pn3/2P2NP1/P1Q1PPBP/R1B2RK1 b - -,b7b6
8/8/5p2/R7/4k3/2r5/P3KP2/8 w - -,f2f3
1R6/p4pkp/r3n1p1/3NP3/8/3K2P1/7P/8 b - -,a6a5
r2r1nk1/bp2qppp/p1p5/P3p3/1P2P2P/2P2QP1/3B1PB1/1R1R2K1 b - -,h7h6
r3r1k1/1pqbbppp/p3n3/4p2N/2PpB1Pn/PP1P3P/R4P2/1NBQR1K1 b - -,d7c6
r1bq1rk1/1pp4p/3p1pn1/p1nPp1p1/2P1P3/1PN3B1/P2QBPPP/1R3RK1 b - -,f6f5
r2r4/1p2ppkp/6p1/2P5/1pRnPN2/P4P2/RP3KPP/8 b - -,d4c6
1r2r1k1/3q4/1p3p1p/p1Pp2p1/8/P3P1P1/1Q3PP1/2R2RK1 b - -,b6c5
r4rn1/pk1q1pnR/2p2b2/1pPp1Pp1/3Pp1B1/PP2P2Q/1B2NP2/2K3R1 b - -,d7e8
8/4pk2/p2p2p1/2nP1p1p/2PBnP2/7P/P1K1B1P1/8 b - -,f7e8
r3k2r/pp1b2pp/2n1pn2/q7/P3P3/B1PB3N/3Q2PP/R4RK1 b kq -,e8c8
