8/1B6/2p3p1/p3npk1/3R4/6P1/2r3K1/8 w - -,g2f1
rn1qk2r/pbp2pb1/1p1pp2p/6p1/3P4/2P1PNP1/PP1NBPP1/R2QK2R w KQkq -,d1a4
6k1/pb2bp2/4p3/1p2P1p1/2pKP3/5PB1/PP4P1/3B4 b - -,g8f8
r1b1kb1r/pp1n1ppp/1qn1p3/2ppP3/3P1P2/2P2N2/PP2N1PP/R1BQKB1R b KQkq -,c5d4:f7f6:f8e7:g7g6
1R6/5p2/5kpp/8/5P2/4P3/5PKP/4r3 w - -,h2h4
6k1/p3q1pp/2pb4/2p2p2/P1Pp4/1P3QPn/1BP2P2/4NK2 w - -,f3f5
8/p2kpp1p/r7/1pp5/5PP1/P5K1/1PP1R2P/8 b - -,b5b4
b2r1rk1/4b1p1/1p2p2p/1PpnPq1P/P2p1P2/5QP1/3N1BB1/R1R3K1 w - -,d2e4
r4rk1/pbpn2pp/1p1pp3/8/2PPp1q1/P3P1P1/1PQ2PBP/R1B2RK1 w - -,b2b4
3r4/1p2kp2/1qn2bpp/pNp1p3/P1b1P3/2P2NPP/1P2QPB1/3R2K1 w - -,e2c2
8/1p4pk/3q2rp/p2p4/Pb1P1P2/6Q1/1P3P1P/R4RK1 w - -,g1h1
2r2rk1/pq2ppbp/6p1/Q4b2/8/1P1BBP2/P1P3PP/2KR3R b - -,c8c3
8/8/5p2/5k1p/R4P1K/5r2/8/8 w - -,a4a5
1r4k1/5pp1/8/P2p3p/6n1/2R1P1P1/1r4BP/R5K1 w - -,a5a6
3r2nk/1q4b1/RR5p/2p5/2Pp1P2/1P1Q2PP/7K/8 b - -,b7e7
r1b3nk/pp2q2r/3p1n1p/3P3P/4PRP1/2N1Q3/PP1KB3/6R1 w - -,g4g5
3r2k1/5pp1/p4b2/6Pp/7P/1bNq1P2/1P2NQ2/2R2K2 b - -,f6d4
1r1q1rk1/pb2ppbp/np3np1/3pN3/2PP4/PPN3P1/1B3PBP/R2Q1RK1 w - -,c3b5
r2qk2r/1b1nbppp/p1n1p3/1PppP3/5P2/2NP1NP1/1PP1Q1BP/R1B1K2R b KQkq -,a6b5
1r3r1k/1b1nqpb1/1pBp1n1p/pNpPp1p1/Q1P1P3/6B1/PP1N1PPP/R3R1K1 b - -,f8g8
3r4/Qp3n1k/2ppRb2/6qp/2P5/1P4PP/P5BK/3R4 w - -,a7f2
4n2r/3r3k/p2p1p2/P1pP1N2/1pP1P1PP/5R2/4KR2/8 b - -,h7g6
8/p7/4N1pk/5p1p/1P6/K4Q2/8/1q6 b - -,b1a1
1k1rr3/1bpqbpp1/1p1p1n1p/p2N1N2/P3P1P1/1P1Q3P/1BP2P2/2KRR3 b - -,f6d5
7k/p5pp/1p6/3B4/3n1P2/1PN5/P5KP/4r3 b - -,d4c2
3rrbk1/p1q2pp1/2ppbn1p/1p2pN2/2PPPn2/1P3N2/PBB2PPP/RQ2R1K1 b - -,e6f5
8/5R2/1pk4p/p3P1rP/P3KRP1/3P4/8/6r1 w - -,f7f5
r2q1rk1/p2nbppp/Q1p1p3/3p3n/2pP1B2/5NP1/PP2PPBP/R2R2K1 w - -,a6c6
8/5pk1/2R5/r6P/5N2/1b3PK1/6P1/8 w - -,h5h6:g3g4
k1r5/pR6/6p1/N1Pp1p2/3Pn3/3K4/P5P1/5n2 w - -,b7d7
r3k2r/ppp2ppp/4p1b1/3n4/5nP1/5P2/PP1Q3P/R4KNR w kq -,f1f2
8/kpq1p3/7p/pQ6/P3B1p1/2p1P1P1/1b1r2PK/1R6 b - -,h6h5
8/8/6k1/4pN1p/4P2P/3K4/8/4b3 b - -,g6f6
r3r3/1p3kpp/pnp5/2N5/5p2/6PP/PPP1R3/2K2R2 w - -,f1f4
r1bq1r2/4bpk1/p3p2p/1pN2p2/1n1P4/5N2/PP1QBPPP/R1R3K1 b - -,b4d5
r2q2k1/R1p3pp/5P2/8/6Q1/3NP2P/5Pb1/6K1 b - -,d8f6
5rk1/pp3ppp/q7/3pPp2/PbbP4/2r1PN2/3B2PP/1R1QR2K b - -,b4a5
r1b1kb1r/pp2pppp/1nnq4/8/8/NBPp1N2/PP3PPP/R1BQ1RK1 b kq -,c8f5
6k1/8/2r2Qb1/p1r5/1p2P3/1P6/P1P3PP/1K6 w - -,f6d8
8/8/8/5n1p/5k1P/6NK/5P2/8 b - -,f5g3
r4rk1/2p1qppp/bpn2n2/p1b1p1B1/2P1P3/4NNP1/PP2QPBP/R4RK1 b - c3,c5e3
rn5r/ppk4p/2p1bppn/4p3/1PP1P3/2N2N1P/P3BPP1/R2R2K1 w - -,c4c5
1Rb4r/B4kpp/p1q2p2/4p3/2P5/P3Q1P1/5P1P/4R1K1 w - -,e3c5
r1bqr1k1/1p2bppp/2pp1n2/p3n3/P2NP3/2N4P/BPP2PP1/R1BQR1K1 w - a6,c1e3
3r2k1/p2q1rbp/1p2p1p1/5p2/2Pn4/1PNQ1P2/P4BPP/3R1R1K w - -,f2h4
4r3/4q1kp/2Q1pRp1/2p1P1P1/1p5P/1P4PK/P7/8 b - -,g7h8
6k1/pp1nnppp/3qp3/3p4/3P4/P3P3/NPQN1PPP/6K1 b - -,d6c6
r1bqk2r/ppn5/2pp2pp/5pb1/2PP1P2/P1N1P3/1PQ1N1P1/2KR1B1R b kq f3,g5e7
1b6/1P1b2pp/2k2p2/2Rp1p2/3P1P2/4K1P1/3B3P/8 b - -,c6b7
6k1/Bp3pp1/4p1np/8/P7/1r6/5PP1/2R3K1 b - -,g6f4
5r1k/6pp/6n1/8/2P2q2/R3N3/5rPP/4QRK1 b - -,f2f1
r1bqkbnr/pp2pppp/2n5/2p5/2Pp4/3P1NP1/PP2PP1P/RNBQKB1R w KQkq -,f1g2
4r3/6kp/p1b2qp1/4p1N1/5n1P/5R2/Q5BK/8 b - -,c6f3
r2q1k1r/4bpp1/pn2pnp1/1p1p4/3P1B2/1BN2Q2/PPP2PPP/R4RK1 w - -,c3e2
8/p2n1k2/1pn5/3p3p/P2Pp3/2K1BN1P/5PP1/8 w - -,f3h4
6k1/p1nr1pqp/1p2b1p1/8/1P6/P1N1QP2/6PP/3R1BK1 w - -,d1d7
r7/7p/2pk4/3p1p2/5r2/2P5/PK2RPPP/R7 w - -,a2a3
4r1k1/1pq2bpp/p1p5/5p2/1Pn2P2/P1QN1BP1/5P1P/1R4K1 w - -,b1d1
r1b2rk1/1pq1bppp/p1nppn2/8/P2NPP2/2N3P1/1PP3BP/R1BQ1RK1 w - -,d4b3
r4qk1/1b1n1ppp/p1p1p3/Nn6/3P4/2p1P1P1/2Q2PBP/RR4K1 b - -,f8c8
2r2rk1/1b2bppp/p4n2/q1p5/2p2B2/1QN1P2P/PP3PP1/3R1RK1 w - -,b3b7
rn1qk2r/1p2bppp/p2pbn2/4p3/P3P3/1NN5/1PP1BPPP/R1BQK2R w KQkq -,c1e3:e1g1
3r1rk1/ppb1qpp1/3pbn1p/2p1p3/2B1PP2/2PPB2P/PP1NQ1P1/R3R1K1 w - -,f4f5
r1b1k2r/ppp1q1pp/2np1p2/8/2B1P1n1/2P2N2/P1Q2PPP/R1B2RK1 w kq -,f3d4
2kr2r1/ppbnqp2/2p2n2/5Qp1/3Pp1Pp/PP5P/1B1N1PB1/R3R1K1 w - -,d2e4
r2q2k1/6p1/1p3R1p/p1pp1Q1P/3P4/2P3P1/PP3P2/R5K1 b - -,g7f6
1rb1rk2/pp2pp1p/3N2p1/8/P7/1P4P1/3R1PBP/2R4K b - -,e7d6
r5k1/5p1p/bR3Bp1/3p4/8/7P/5PP1/6K1 b - -,a6c4
r1b2rk1/p1b2ppp/1np5/8/3Pp1Pq/1PN1P3/P5QP/R1BB1RK1 b - -,f7f5
r1bqk2r/1p3ppp/pbnBp1n1/4P3/4B1Q1/P1N2N2/1P1p1PPP/R3K2R w KQkq -,f3d2
8/4k3/3p4/3Pp2p/4PnrP/1p3K2/1P2N2R/8 b - -,f4e2
r4r1k/1ppq2bn/p1np4/3Bpbpp/8/2PP1NBP/PP1N1PP1/R2QR1K1 w - -,d2e4
5r2/5q1k/3P2p1/pBp4p/6n1/PP2Q3/6PP/4R2K w - -,e3e7
r3r1k1/5pb1/2p3p1/1p1b4/p1nP2Bp/P1B5/1P3PPP/R2R1NK1 w - -,d1e1
r1br2k1/1pqnbppp/p1n1p3/8/NP1NP3/P3B1P1/4QPBP/2R2RK1 b - -,c6d4
5rk1/p5pp/1p2n3/8/2P5/P5B1/1P5P/3R3K w - -,d1d7
r5k1/1pp3bp/3p2p1/pP1P4/2P2rbq/B4PN1/P3Q2P/2R1K2R b K -,g4f3
r2q1rk1/pp1b1ppp/1bn1p1n1/3pP3/1P6/P2B1N2/1BP2PPP/RN1Q1RK1 w - -,g2g3
2r3k1/5pp1/p6p/1b2Pp2/2NQ1K2/1P4Pq/5R1P/8 w - -,c4d6
8/R3pp1p/3pk1p1/P7/8/2K3PP/4PP2/1r6 b - -,b1f1
2R2b1k/1pR3rp/p3pN2/4P3/8/8/5PPK/3r4 b - -,g7c7
3r1k2/1bQ1qppp/pr2pn2/1p6/3P4/3NP1P1/P4PBP/2RR2K1 b - -,e7c7
2r1k2r/1pqn1ppp/p2bpn2/3p4/3P4/P1PQBN1P/1P1N1PP1/R3R1K1 b k -,e8g8
r1b2k2/2p5/3b1p2/1p1Pp2r/2n5/1BP3B1/1P3P1N/2KRR3 w - -,c1b1
8/2k5/1p4p1/2p2p1n/KPPbp2p/7P/2R3P1/5B2 b - -,h5f4
2r2rk1/1bq1bppp/p1n1p1n1/1p1pP1NQ/8/3B1N2/PPPB1PPP/4RRK1 b - -,e7g5
rn2k2r/2q1bpp1/p1p1pnp1/1p6/3P4/1QN1PP1P/PP1BB1P1/2KR3R b kq -,c6c5
8/p2q2k1/1pp2bp1/2p1p2p/4P3/1P1P1NPP/P1PQ2K1/8 w - -,d2c3
