2N3n1/5k2/8/p5pp/2R2b2/5P1P/P5K1/8 w - -,c4c5
r1b1r1k1/1pqnppbp/p2p1np1/2pP4/P1P1PPP1/2N1B2P/1P1QB3/R3NRK1 b - g3,d7f8
r4rk1/p4ppp/1pp1b3/2Q5/P3PR2/4B3/1PP3P1/4q1NK w - -,c5a3
1r3rk1/5pbp/2n3p1/pppqp3/1P6/P2P2P1/2NBPP1P/1R1Q1RK1 w - b6,b4a5
r6k/3Pq1pp/8/p2RB3/6p1/P7/4N2P/1R2K3 b - -,a8d8
4r1k1/ppqbr2p/2pp1p1b/P2P4/1PP1Ppn1/2NQ1N2/5PBP/1R1R2K1 b - -,c6c5
2r3k1/ppr1q1p1/2n1bpnp/3pP3/3P4/P1B2NPP/1Q3P1K/2RR1B2 w - -,e5f6
r2q1rk1/4npbp/3pb3/p2Np3/Q1B5/2P1N3/1P3PPP/R4RK1 b - -,g8h8
8/7B/3k1p1p/p2n4/1p1K1PPP/1P6/P7/8 w - -,g4g5
8/2b2p2/p1knp3/P1p4r/1pP2p2/1P3P1p/3RKB1P/6R1 b - -,d6b7
1n1r2k1/p1q2pp1/1p2p2p/1Pp1P3/2P1NP2/P6P/4Q1P1/3R2K1 b - -,a7a5
4r1k1/2p2pp1/p4n1p/1p6/3r4/1PPqB3/1P3PPN/R4RK1 w - -,e3d4
1rbq1n1k/p1p1r1b1/1p1p3p/1P1Pp1pB/P4Pp1/2BPP3/2Q1N2P/4RRK1 w - -,f4g5
8/1R6/6pk/7p/1p3K1P/4PPP1/8/1r6 w - -,e3e4
r2qk2r/pp1nbp2/1np1p3/5bp1/2PP3p/1B3N1P/PP2NPP1/R1BQ1RK1 w kq -,d4d5
2kr3r/pbp2pbp/1n1pq1p1/2p1P3/2P1NP2/BP1B4/P4QPP/2KR3R w - -,h1e1
2kr4/ppp2p2/8/4n2p/1P1r4/P5P1/2P2PK1/R2R4 w - -,d1e1
r1b1k2r/1p1nqpbp/p1p2np1/2Pp4/1P1Pp3/1NN1P3/P1Q1BPPP/R1B1K2R w KQkq -,a2a4
4r1k1/3r3p/pp3q2/3b1N2/n4P2/6PP/P4QBK/2R2R2 w - -,g2d5
rb1q2k1/pp1n1ppp/2r2n2/3ppQ2/8/BP2PN2/P2PBPPP/2R2RK1 b - -,d8b6
r3k2r/pppbnppp/2n1p3/8/P1N1P3/2P2P2/1PK3PP/2R2BNR w kq -,b2b4
3B1bk1/5r1p/p2p3r/2pNp2q/2P1Ppb1/1P1R3P/P2R1QP1/6K1 b - -,g4e6
r1bq1rk1/pp2ppbp/2n2np1/3p4/1P6/5NP1/PB1PPPBP/RN1Q1RK1 w - -,b4b5
5k2/5p2/1pR2np1/3p4/3P3P/1r3PPB/5K2/8 b - -,b3b2
2r2rk1/4bp1p/2n1p1pP/p1npP3/3N4/2P2NP1/P2B1P2/RR3K2 b - -,c5e4
8/8/5B1p/5P2/2k3P1/1p5P/2n2K2/8 b - -,c2b4
r1b1kb1r/pp1p1ppp/2n1pn2/q1P5/8/4PN2/PPPN1PPP/R1BQKB1R w KQkq -,f3d4
r5rk/p5b1/1pq5/2p1pBQ1/8/2P4P/PP5K/R1B5 b - -,a8f8
2r2rk1/p4ppp/bp2qB2/4p3/2P5/PPN3P1/1Q2PPBP/R5K1 b - -,e6f6
4r1k1/5pp1/1q1n2p1/1p1Pp1Q1/2p1P3/2P3NP/6PK/R7 b - -,b6d8:b5b4
1r1qk2r/p2nbp2/2n1p1pp/1p1pP3/2pP4/2P2N1P/PPQBNPP1/R3R1K1 b k -,e8f8
r2qk2r/3bbppp/p1n1p1n1/1p1pP3/3P4/2NB1NP1/PP3P1P/R1BQR1K1 w kq -,h2h4
8/8/8/5Kp1/8/6r1/6k1/3Q4 w - -,d1e2
8/5pk1/2p5/p1Pp1Bn1/P2P4/1q2PPQ1/2R1K3/1r6 b - -,f7f6
6k1/2q2p1p/6p1/ppnr4/6P1/1P5P/1BP3Bb/R4R1K w - -,g2d5
r1bqr1k1/pp2bppp/2p2nn1/3pN3/3P1B2/2NBP2P/PP3PP1/R2Q1RK1 w - -,f4g3
rn1qk1nr/pb3ppp/1p2p3/4p3/2PP4/P5N1/2Q2PPP/R1B1KB1R w KQkq -,d4e5
r3k2r/1R1n2pp/5p2/1B1pp3/6b1/2B1P3/P4PPP/4K2R w Kkq -,e1g1
r1r5/6pp/Nk3b2/1P1p1P2/4p2P/2P4R/3K1PP1/5B2 w - -,g2g4
8/8/6p1/2kpK3/3B1p1P/8/6nP/8 b - -,c5c4
2r2rk1/pb2q1p1/1p2pp1n/7p/QP6/P3PNnP/4BP2/B1R2RK1 w - -,f2g3
5rk1/b1q3p1/p1bpprp1/1p2p1Q1/1P2P2P/2PN2P1/P4PB1/3R1RK1 w - -,g5d2
2rr2k1/pq3pb1/2npp2p/1p4p1/3NP3/2P2NP1/PP2QPP1/2R1R1K1 b - -,a7a6
2r3k1/1p2bpp1/p3b2p/P2np2P/1Pr3P1/R1PR1P2/3BN3/5BK1 b - -,e5e4
8/1b3pkp/1p2p3/p1n3p1/2PNP3/4NP2/6PP/6K1 w - a6,g1f1
2rr2k1/1bnn1ppp/p1p5/1p2p3/1P1PP1P1/1N1BBP2/P5K1/2RR4 w - -,d3e2
8/2k5/pr3p2/R7/4P1K1/8/8/8 w - -,g4f5
2rR2k1/5pbp/p3p1p1/qp6/2n1P3/PQN3P1/1P3PBP/2R3K1 b - -,c8d8
2r3k1/2q4p/1pr1p1pP/3b1p2/p2P4/2P1QP2/3B2P1/1R2R1K1 w - -,c3c4
rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq -,g1f3
6k1/p4pp1/5q2/8/4Q2P/5p2/5P2/7K b - -,g7g6
4b1k1/p1Q1P3/6p1/7p/qP6/5P1P/6P1/4R2K w - -,c7c4
4r3/5pk1/pp1q2pn/2pP3p/7P/PPN1R1P1/3Q1P2/5K2 b - -,e8d8
1rb3k1/p1p1qppp/2p2n2/8/4N3/2N1P1P1/PP3PBP/R3K2R w KQ -,e4f6
2r1nk2/B2R2bp/3pRp2/1p4p1/8/1P6/P4PPP/6K1 w - -,h2h4
r1r3k1/2qb1p2/4p1p1/1p1pP2p/1P1B3P/3P2P1/2P1QPB1/2R3K1 b - -,a8a2
8/1p2kppp/r2pb3/1Nn1p3/1nP1P3/1P3P2/1K4PP/2NR1B2 b - -,a6c6
r1r3k1/3bpp1p/p2p2p1/1p1P4/3bP3/1P3P2/P2BB1PP/2R2R1K w - -,c1c8:g2g4
8/5k2/5n2/1R5p/4r2P/6PK/8/8 w - -,h3g2
1r4k1/5ppp/2q1p3/2p4N/pp1b4/1P1P2PP/P3QP1K/5R2 w - -,e2c2
r1b3k1/p3q3/2p3p1/1pb3N1/2p1PBP1/2P5/PP5Q/1K1N4 w - -,h2h4
5r2/p1R3pp/5p1k/3N4/8/3b3P/r4PP1/4R1K1 w - -,e1e7
r3k2r/1bq1bpp1/p2ppn2/1pn4p/1P2PP2/P1NB1N2/2PB2PP/R3QR1K b kq b3,c5d7
r3kb1r/pp2pppp/1qn2n2/3pN3/3P1Bb1/2N5/PP2PPPP/R2QKB1R w KQkq -,e5g4
r2r2k1/1bq2p2/p6p/1p2n1P1/N2pQ1p1/PP6/1BP1N3/R3K2R w KQ -,e4f5
8/3r3k/2p1Q1p1/2P5/3pR3/6q1/3K4/8 b - -,d7b7
r2q2k1/p1p3b1/3p2N1/1p1P2Bp/1PQn3P/3P1p2/P4P2/1R3RK1 b - -,d8d7
r1bq1rk1/pp1n2pp/2p1p3/2npPp2/2P5/3BPP2/PP2N1PP/R1BQ1RK1 w - -,f3f4
2k1n3/r5p1/5p1p/4pN1P/pR2K3/P3P1P1/1P3P2/8 b - -,c8d7
8/6r1/1Pk3p1/3p1p1p/3P1P1P/4PK2/8/6R1 w - -,g1c1
r3r1k1/3nq2p/p1p2pp1/2Pbp2B/5P2/1P2Q3/PB4PP/2R1R1K1 w - -,h5g4
1r6/5k2/6p1/2pRPp1p/2P2P1P/r2P4/p1K5/R7 b - -,b8b3
r3q1k1/pp4p1/3nrp2/n2p3p/P1pP4/2P1PP2/3BQNPP/R4RK1 b - -,a5b3
8/p4k2/R7/2pP3p/4pP1P/2r1P3/P7/4K3 w - -,a6a7
6k1/6b1/p1p4p/PrPrp1p1/2R2p2/P6P/5PP1/2R2NK1 w - -,c4b4
r4rk1/2q1p1bp/n1p2p1B/p2pPp2/1p1P4/5N2/PPPQ2PP/2KR3R w - -,e5e6
6k1/5p1p/6p1/pr2Q3/4P3/Pq1P2PB/1n5P/1R4K1 w - -,e5f6
r1b1qrk1/3Nbppp/p7/7n/2PpNB2/3B4/P1Q2PPP/R4RK1 b - -,e8d7
6k1/p3ppbp/bn1p2p1/n1pPP3/q1P5/B4NP1/P1QN1P1P/5BK1 w - -,c2e4
r3k2r/1b3p2/p2bp3/3p1p2/3P3p/3NP3/1P2BPPP/1K1R3R b - -,b7c6
r2qr1k1/pb3pb1/1pn2npp/2ppp3/P3P3/2PPNN1P/1PB2PP1/R1BQR1K1 w - -,f3h2
r2qkb1r/pp3p2/2n1p3/3pPp2/3P3p/2N1B2P/PP3PP1/R2Q1RK1 w kq -,a2a3
8/2r3p1/4npk1/R6p/8/6P1/4KPN1/8 w - -,g2h4
1rbqr1k1/pppn1pbp/5np1/3pN3/3PP3/BPP3P1/P2N1PBP/R2Q1RK1 b - -,d7e5
