8/6p1/2p1ppP1/8/1PP1bk2/p7/B4K2/8 b - -,e4g6
3r3k/6pp/1p6/p1pB4/2P3P1/PPN5/3p4/6K1 b - -,d8e8
r1nqkb1r/2n2p1p/p3p1p1/Pp1pP3/1PpP1N2/2P2N2/5PPP/R1BQR1K1 b kq -,e8d7
8/BN6/6p1/3P2k1/4pp1p/7P/5PP1/6K1 b - -,g5f6
3r4/3r1pkp/4p1p1/p7/2N1P3/R1Pn1P2/1P4PP/3R2K1 w - -,a3a5
8/K3k3/P7/8/8/3R4/1r6/8 b - -,b2b1
r4r2/1pp2qk1/pn1p1pp1/7p/4PP1P/P2R1Q2/1PP2NP1/2K4R w - -,f4f5
r1b2rk1/bp3p2/pn1p1qpp/2p1p3/3PPn2/1PP2NNP/PBB2PP1/R2QR1K1 b - -,f8d8
2kr3r/pppbqpb1/3pp2p/QN1Pn1p1/2B1P3/8/PPP1NPPP/3R1RK1 b - -,d7b5
8/1p1n1k2/p2bp1p1/PPp1p2p/2P1P3/1K1NB1PP/5P2/8 b - -,f7f6
r4rk1/3bpp1p/pq1n2p1/2pP4/Pp1bPB2/7P/NPPQB1P1/1R3R1K w - -,e4e5
5rk1/p3pb1p/2p3p1/3nqp2/3p4/Q7/PP1B1PPP/2R2RK1 w - -,c1c6
r7/pp3k1p/3Pr1p1/2pN2B1/3b4/5R2/PP4PP/7K b - -,f7g7
r1bqkb1r/2p3pp/p1pp1pn1/4p3/2PPP3/2N2N2/PP3PPP/R1BQK2R w KQkq -,h2h4
8/7R/2p1p1p1/2p1B3/5P2/1r1k3P/6PK/8 w - -,h7d7
5k1r/2qnr1p1/1p1p1pPp/pRpPnP2/P1P5/1RP3BP/3QB2K/8 b - -,e7e8
rn1q1rk1/pp2ppbp/3p1np1/1b6/2PNP3/2N4P/PP3PP1/R1BQ1RK1 w - -,c4b5
8/7k/2B5/1p6/8/2b1B3/r4P2/1R4K1 w - -,c6b5
1r1qB3/4n1bk/2bN2pp/4p3/P7/B4p1P/5PP1/R2Q2K1 w - -,e8c6
8/5pk1/p3r2p/P4RPP/8/5PK1/8/8 b - -,e6c6
2q1rbk1/p4ppp/npp5/3NP3/5P2/1P2B1PP/P3Q1B1/4R1K1 b - -,c6d5
8/4r3/1PR5/8/3K4/7p/5p2/4k3 b - -,f2f1q
5r1k/p3p1bp/r7/3P2q1/4Rp2/2N2Q1P/1P3PP1/4R1K1 w - -,e4e7
r1r3k1/p3Bpb1/1p2p1pp/3p4/1Q2P3/2PR3P/qP1NKPP1/8 w - -,d3f3
1Q2b1k1/p5p1/1p2q2p/3p4/3P4/2PB3P/P5P1/6K1 w - -,d3b5
r1b2rk1/ppq1bppp/2n1pn2/2p5/2P5/4PNP1/PB1P1PBP/RN1Q1RK1 w - -,b1c3
r3k1nr/ppqbb1pp/2n1pp2/1B1pP3/2pP1P2/P1N1BN2/1PP3PP/R2QK2R w KQkq -,e1g1
r4rk1/pb2bp1p/2p1p1p1/4N3/3P4/1P2B3/1P3PPP/R1R3K1 w - -,a1a4
3r4/8/1p1ppppp/p1b2k2/P1P1RP2/1P3PKP/3R4/8 b - -,h6h5
rnbqk2r/pp2ppbp/2p3p1/3p4/2PP1B2/2P2N2/P3PPPP/R2QKB1R w KQkq -,e2e3
r1b1k2r/1pq2ppp/p1pbp3/8/4PP2/2N5/PPP3PP/R1BQR1K1 b kq f3,e8g8:e6e5
4r1k1/6pp/2Q1Nn2/1p2R3/6q1/1P4PP/5PK1/8 b - -,g4d1
8/5B2/8/8/8/4K3/1pk5/1n6 b - -,c2c1:b1c3
r1bqkb1r/pp2pp1p/2np2p1/3nP3/3pB3/2P2N2/PP3PPP/RNBQ1RK1 b kq -,d6e5
r5k1/pp3p2/n1p3p1/4r3/2P1P3/2N2P1n/PPN4P/4R1RK w - -,g1f1
8/p1r3k1/P4p2/1K6/5bPQ/8/8/8 w - -,h4f2
r5r1/ppqnQp1k/2p1p2P/8/2PP4/8/PP3P2/1K1RR3 w - -,e7f7
6r1/1pbk4/1p6/3p1p1p/3PnPp1/PR2P1P1/1P2N1K1/4B3 b - -,g8c8
3r2k1/1p1N2p1/p1p4p/3p3P/3Pn1P1/P5P1/1P4K1/5R2 w - -,d7e5
4k2r/1p2pp2/2n1b1p1/pP5p/8/1PP3PP/5PB1/2R1K2R b Kk -,c6e5
R4nk1/2Q3bp/3Nbnq1/3p2p1/2pPpp2/4P3/3NBPPP/6K1 b - -,g5g4
1r6/5k2/4pp2/1pp5/4PP2/2P1K3/1R5P/8 b - -,f7g6
1R6/5Qp1/4p1bp/4P2k/1pq5/2b3B1/6PK/4q3 w - -,f7f3
1nrr4/4qpk1/1p4pp/p1P1p3/Pb1pP2P/1N1R2P1/1P3P1N/2Q2RK1 w - -,h2g4
r1b5/pp3pk1/2p2q1p/8/4N3/1B4P1/PP3P1p/4R2K w - -,e4f6
r3r2k/1p1n1pbB/2p1b3/2P3Pn/4R3/Pp1QB2P/1q2N3/1N1K3R b - -,b2c2
1r4k1/5pbp/r2pP1p1/2p5/P1N1nB2/R5P1/1P2NPKP/1R6 b - -,f7e6
1qr1n1k1/r2b1p2/pp1p2p1/3Pp2p/1P2P2P/PB2Q1P1/5P1N/2R1R1K1 b - -,a7c7
2brr2k/2Rnq1np/p2p1bp1/3Pp3/1P2Pp2/3B1P1P/1N2NBP1/3RQ1K1 b - -,e7f8
8/2b2p2/4p1k1/1N2P1p1/pPr5/P3R3/6K1/8 b - -,c7b8
5rk1/1p4p1/1p2p1p1/2bN2Pn/7P/4B2B/rP3K2/3R2R1 w - -,d5f6
6k1/2q2pp1/4b3/1p2p3/4Pb2/1P2NP2/P2Q3P/3r1N1K w - -,d2d1
1r2b3/1pb1rpk1/p1p2qp1/P1N5/1P2Pp1p/1BPR1P1P/2Q3P1/3R3K w - -,c5a4
2r3k1/pn1R1pp1/1pn1p2p/2q1P3/2P3P1/4QP2/P3BB1P/6K1 b - -,c5e3
5b2/r4p1k/p3pBpp/R1p1P2P/1pP3P1/5P2/1P2K3/8 w - -,b2b3
8/1r6/5pk1/1q1p1p1p/1P3Q1P/1R4P1/5PK1/8 b - -,b5c4
8/8/p2p4/8/3k4/7P/6b1/6K1 w - -,g1g2
1r6/3R2pk/6bp/4pp2/1p2P3/1Bq2PPP/Q2N2K1/8 b - -,f5e4
5rk1/1r3ppp/R4n2/3p4/3P4/2N4P/1P1K1PP1/1R6 b - -,b7b4
1rb2rk1/5pbp/1qn1p1p1/2Np4/B2P4/3QPN1P/1P3PP1/2R2RK1 w - -,a4c6
8/1p3pk1/1qpbr1p1/3p4/p2P2Q1/P2BP1P1/1PR2PK1/8 b - -,b6a5
3q1rk1/2pn2bp/3pb1p1/r3p3/1pP2PP1/3P3P/PP2N1B1/R1BQ1RK1 b - -,d6d5
r2qk2r/pppn1ppp/1bp5/4p1N1/4P3/1P1P4/1PP2PPP/R1BQ1RK1 b kq -,f7f6
Q7/2q5/1p5p/1k1p4/3Pp1B1/4P3/P2r2P1/K7 w - -,a8d5
r2qk2r/pp3ppp/1npBp1b1/8/3P4/1B2P3/PP2QPPP/RN3RK1 b kq -,d8d6
8/8/2pk4/8/1KPP4/4R3/8/2r5 w - -,e3h3
1r6/6k1/8/p1n1p3/2P2p1P/1P2K3/2B5/3R4 w - -,e3f3
8/8/2r2kpp/8/8/R5KP/8/8 w - -,a3f3
5rk1/5ppp/2Rb4/3q1p2/3Pn3/4PQ1P/P4PP1/2R3K1 b - -,g7g6
r2qk1nr/pp1bppbp/2np2p1/2p5/P1B1P3/2NP1N1P/1PP2PP1/R1BQK2R b KQkq -,g8f6
rnbq1rk1/pp3pbp/3p1np1/2p1p3/4P3/3P1NP1/PPP2PBP/RNBQR1K1 w - e6,c2c3
3r3k/1ppb1r1p/8/1P1pP3/3P1P1q/3BBR1n/7Q/R6K b - -,d7g4
rn1qkb1r/pp1b1ppp/3ppn2/6B1/3NP3/2N5/PPPQ1PPP/R3KB1R b KQkq -,a7a6
3r1rk1/4npb1/pq1p3p/1p2p3/2P4P/N5P1/PP1Q1PB1/R4RK1 b - -,e7f5
r1r5/1Rp3n1/p1P1p1pk/P1KpPp2/7P/3P4/4BP1P/6R1 b - -,g7h5
rnq2rk1/pb1pbppp/1p2pn2/2p5/5P2/1P1PPNP1/PBP3BP/RN1Q1RK1 b - -,d7d6
2b1r1k1/1pq2ppp/3r4/p1b5/5P2/P3P1P1/1PQ3BP/R1B2R1K b - -,c7b6
6k1/2B2N2/6pp/2pB4/2b1PK1P/p1r3P1/8/8 w - -,c7e5
1r1q1nk1/4r1p1/2Bbbp2/pP6/2pPP3/P1N3Pp/3B1Q1P/R4RK1 w - -,c3d5
8/7p/R2kp3/3p4/1r3P2/4K3/7P/8 b - -,d6e7
r4n2/p3RR1p/1p5r/k1p5/P2pN1PP/6B1/1PPK4/8 w - -,e7a7
rn1qkb1r/1bpp1ppp/p3pn2/8/1pP5/1PN2NP1/P2PPPBP/R1BQK2R w KQkq -,c3a4
r3k2r/1b2bp1p/pqn2p2/3B1N2/1ppP1P2/1P4P1/P1P4P/R2QR1K1 b kq -,c4b3
8/1ppk4/p5p1/4p1N1/4P3/nPPKP2P/P5P1/8 w - -,c3c4
