8/6pp/5p2/2n5/p3P3/2k2P2/2N1K1PP/8 w - -,c2a3
r2qr1k1/3bbppp/p2p1n2/2p5/PPpNP3/2P5/2B2PPP/R1BQR1K1 w - -,b4c5
r2q1rk1/pp2ppbp/2n1bnp1/3p3P/4P3/1NN1BP2/PPP3P1/2KRQB1R b - -,a8c8
r1b1k1nr/3nppbp/p2p2p1/qp2P1B1/3pNP2/3B1N2/PPP3PP/R2QK2R w KQkq -,e4d2
2r4r/4kpp1/p2p1q2/np1p1P2/3PpR2/1PP1P3/P2NQ1P1/2R3K1 w - -,a2a4
5k2/2R5/2p5/8/4N3/3PK3/6r1/8 b - -,g2g6
R7/1p2rpk1/p3qnpp/2Q5/1P6/P4BPP/5PK1/8 w - -,a3a4
r1bqk2r/3nppb1/p1pp3p/1p4pn/P2PP3/2PB1NB1/1P1QNPPP/R3K2R b KQkq a3,c8b7
R2r2k1/5p2/6p1/1p5p/1P1N3P/P3P1Pb/6K1/8 w - -,g2h3
3q3k/4Q1b1/3P2p1/3RP1Pp/7P/1P1P4/1K6/r4B2 b - -,d8a8
r5k1/1p2r1b1/1Pp1bqn1/p1Pp1ppp/N2P4/PNQ2PPP/3R4/4RBK1 b - -,a8f8
r1bqk2r/pp2bppp/2n1pn2/3p4/2PP4/P1N2N2/1P2BPPP/R1BQK2R b KQkq -,e8g8
1kr2r2/1p1b4/p3p3/n2qP2p/5P2/P1BB4/1P4PK/3Q1RR1 b - -,a5c6
r3k2r/p3bpp1/4p2p/2nnN3/4B3/6P1/PP3P1P/R3BRK1 w kq -,e4d5
2b5/5p2/pkNp1b1p/3P1P2/4B3/3K3P/P7/8 w - -,d3e3
rnbqkb1r/1p3ppp/p3pn2/3p2P1/3NP3/2N1B3/PPP2P1P/R2QKB1R b KQkq -,f6e4
8/p3kn2/bp2pbpp/2p1p3/P7/2N3P1/1PPN1PBP/6K1 w - -,c3b5
r1bq1rk1/1p3ppp/p1n2n2/2bp4/5B2/2N1PN2/PP2BPPP/R2Q1RK1 w - -,a1c1:f3e5
2k5/8/1RK5/8/1p6/8/P7/4b3 w - -,b6b5
4r1k1/5pp1/2p4p/pp1n1Pq1/3Pr3/1P3Q2/P1NR2PP/3R2K1 w - -,d2f2
5k2/8/4P3/8/3N4/p6P/8/1b4K1 b - -,a3a2
r4rk1/ppq1bpp1/2p2nn1/4pbBp/2P5/1PN2NP1/PQ1RPPBP/R5K1 w - -,a1d1
r3k2r/1pqbbpp1/p2pp2p/2n2PP1/3NP2P/2N2Q2/PPP5/1K1R1B1R b kq -,h6g5
r1bqk2r/ppp1bppp/8/3p4/1nPPn3/3B1N2/PP3PPP/RNBQ1RK1 w kq -,c4d5:f1e1:d3e4:d3e2
3R4/4r1kp/5np1/2b1N3/2N2P2/5KPP/8/8 w - -,e5d3
4R3/p2n1pkp/6p1/3NP3/8/4K1P1/r6P/8 b - -,a2h2
3b4/3k2p1/4p3/P1rpNp2/K7/7P/6P1/1R6 b - -,d7c8
r2qkb1r/ppp2ppp/1nn5/4p3/6b1/3P1NP1/PP2PPBP/RNBQ1RK1 w kq -,b1d2
5r1b/1pqbk2P/pn1pprp1/8/3NP1B1/2N5/PPP3Q1/1K1R3R w - -,g4h3
1k3br1/4pN1p/8/1P1b4/p2R4/6P1/PP1N3K/4R3 b - -,d5f7
2rn1rk1/p2bnpb1/1p1qp1pp/2p5/NPPp4/P2PPNP1/2QB1PBP/1R3RK1 b - -,d4e3
1kb2r1r/ppp5/5pp1/3R3p/7P/1P3B2/P1P2PP1/1K5R w - -,f3e4
2rq1b1k/7P/p1pp4/4p1pn/P1Q1P3/2N1B2P/1PP5/R5K1 b - -,h5f4
8/5p1k/p1p5/q5pp/3RNn2/1P2R2P/PB3PP1/6K1 w - -,d4d7
4r1k1/pp1bppB1/3p4/5P1Q/3qP1p1/1n6/P1P5/2K4R w - -,a2b3
r1b2rk1/pp1nq1p1/2p4p/3p1p2/3Pn3/2NBP3/PPQN1PPP/R4RK1 w - -,f1e1
2n5/1p1r4/p2pp1k1/4p1p1/P1P1P3/2NPK1P1/5P2/1R6 b - -,c8e7
6k1/3R4/1r5p/8/P3N3/5p1P/4nP2/6K1 w - -,g1h2
1rr3k1/4bppp/p2p4/1p1Rp3/2Q1P3/8/PPP2PPP/R3N1K1 b - -,c8c4
1rbq1rk1/p3bppp/2nppn2/2p5/1p2P1P1/3P2NP/PPP1NPB1/R1BQ1RK1 b - -,c6d4
2b4r/p1Np1k2/7p/2p5/8/8/r1P2PPP/2KR3R b - -,h8g8
8/p1r1nbk1/R3p3/3pPpPp/2pP1P2/2P1N1KB/2P5/8 w - -,h3f1
8/6B1/5Rp1/4pk2/2P4P/5bP1/5P1K/4r3 b - -,f5e4
r4r1k/p1Q3p1/6Bp/1P1b3P/4p1p1/3nP1B1/q4P1K/R4R2 b - -,a2e2
r3k2r/1bpn1pp1/pp1b1n1p/4p3/P1B1P3/2N1BP1P/1PPN2P1/2KR3R b - -,e8e7
5rk1/pp3r1p/5bpQ/3pPp1P/8/8/P5P1/7K w - -,e5f6
r3q3/1p1b2kr/p1p1pb2/2Pp1p1p/PP1P1PpP/1Q2P1P1/2R1B1K1/1R2B3 b - -,g7g6
r2q1rk1/pppn1pbp/1n4p1/4N3/3PP1b1/2NQB3/PP2BPPP/2KR3R b - -,d7e5
7k/pb5p/1pnpR1B1/8/3P1rp1/2P3KP/PP4P1/8 b - -,f4f8
6rk/3n3p/pp1p1qrb/2pPpN2/2P1P1p1/PR6/1PK1B1Q1/7R w - -,g2h2
r2q2k1/pp2rpp1/2p3p1/P2n4/R2P4/6PP/1P3PB1/3Q1RK1 w - -,d1b3
2q5/1p3kb1/4p1P1/p2p1pP1/b2p1P2/2rB4/2P1Q3/4RRK1 b - -,f7e7
8/3q1pkp/1p2pQp1/3pP3/1n1P2P1/1PR3K1/r3P1BP/8 b - -,g7g8
6k1/5pp1/2n1p2p/4N3/7P/rN4P1/5P2/1R4K1 b - -,c6e5
r2b1rk1/2qp1ppp/ppb2n2/5N2/4P3/4B3/PP2BPPP/2RQ1RK1 w - -,f2f3
2r3k1/pp1q1pb1/6p1/5n2/3pP3/1Q3N2/PP1B2PP/R5K1 b - -,f5d6
r3q1k1/pp3pp1/1np2b1p/5b2/3P4/1BN2N1P/PP1Q1PP1/2R3K1 b - -,e8d7
4r3/5kn1/pq1p1bpr/1p1P4/5P1P/2PB4/PP4QP/1K1R2R1 b - -,g7f5
8/8/1p1p4/p1k1p1pr/2P1P3/2P1KP1b/B5RP/8 w - -,g2b2
rn1qkb1r/pp3ppp/2p1pn2/3p1bB1/3P4/5NP1/PPP1PPBP/RN1Q1RK1 b kq -,f8e7
3r1rk1/1p2bppp/pqb1pn2/4B3/4NP2/5BQ1/PPP3PP/R4R1K b - -,c6e4
r2qk2r/pp1b2pp/2pb1n2/4pp2/2Q5/3P2P1/PP2PPBP/RNB2RK1 w kq -,c4b3
r4rk1/1bp2ppp/1p3q2/2p1Q3/5B2/5P2/PPP3PP/R4RK1 b - -,f6e5
rnbq1rk1/ppp1ppbp/6p1/2P5/2BP4/2P2N2/P4PPP/R1BQ1RK1 b - -,b8c6
4r2k/4p1bp/q5p1/3p2N1/1P4PP/1Qn1B3/2PK4/3RR3 b - -,h7h6
6k1/1b5p/p5p1/1p1qrNQ1/8/1PP4P/1P4P1/5RK1 w - -,f5h6
r2qr1k1/pp2ppbp/1n1p2p1/3Pn3/2P5/1PN1BB2/P4PPP/2RQK2R w K -,f3e2
r1bqr1k1/ppp1npb1/5np1/3Pp2p/4P1P1/2N1B2P/PPP1N1B1/R2Q1RK1 w - -,e3g5
8/5pk1/3p2pp/2p1p3/2P1P1P1/5PKP/8/8 b - -,g7f6
r2qr3/pppb1pk1/3p2p1/2n5/2P1P1n1/PP3NP1/2QN1PB1/3RR1K1 w - -,b3b4
5r1k/1b5p/5b2/4pQ2/P5q1/4B3/1P1R2PP/5R1K b - -,g4f5
3q1rk1/pp3pb1/3pp2p/6pQ/2r1P3/2NR3P/PPP2PP1/R5K1 b - -,d8b6
1rq1r1k1/2pnn1b1/pp1pb1pp/Q2Npp2/1PP5/3PP1P1/P2B1PBP/1R2NRK1 w - -,a5a4
r3r1kb/1p1qpp1p/p2p2pB/3P4/7Q/1P4P1/P3PP1P/2RR2K1 w - -,c1c4
1k6/pp5p/3bN3/3p4/1P1P4/2P2B2/P3KPP1/3RR2q b - -,h1h6
8/8/p2k2p1/8/P1K2PP1/7P/2p2b2/2B5 b - a3,d6e6
6k1/2n1r2p/6p1/2p1PpP1/qpPp1P2/3P2K1/rP1B4/R5QR b - -,a2a1
6k1/3r2pp/2Rq1p2/2Q1p3/P2p4/3P2P1/4PP1P/6K1 b - -,d6c5
3N4/7p/kb4pB/3Pp3/b5P1/1Q1n3P/6BK/8 b - -,a4b3
8/5p2/4p3/1kp1B1Pp/8/P1K3P1/8/3b4 b - -,d1a4
5bk1/2p2p1p/6p1/3P1p2/P4R2/4N1P1/5PKP/r7 w - -,f4c4
2r2rk1/p2q1bbp/1ppnppp1/8/2PP1P1N/1P1BB3/P1Q3PP/3R1RK1 w - -,h4f3
3r1rk1/1pq3bn/2ppbpp1/p3p1Pp/Pn1PP2P/1PN1B3/2P1NPB1/2QR1RK1 b - -,f6g5
r4rk1/pbpnqppp/1p1ppn2/8/1PPP4/P3PN2/1B1QBPPP/R3K2R w KQ -,e1g1
r1b1r1k1/1pq2pBp/p2p2p1/3P4/P1p1P1n1/N1Nn2P1/1P3PBP/R2Q1RK1 b - -,g8g7
r2qkb1r/pp1n1ppp/2p1pn2/5b2/2PP4/2N2N2/PP2BPPP/R1BQ1RK1 b kq -,f8d6
