8/5pk1/8/7p/PQ4n1/3P4/2K1q3/8 w - -,c2c1
rn2kbnr/pp2pppp/1qp5/3p1b2/3P1B2/5N2/PPP1PPPP/RNQ1KB1R w KQkq -,b1d2
r4bk1/p4p1p/p1r3p1/2NqBb2/3P4/1Q6/P4PPP/R1R3K1 b - -,d5d8
2r1r3/2P3pk/7p/3q1p2/pR2pQ2/P7/1P3P2/K1R5 w - f6,b4a4
r1b2rk1/pp3ppp/2p2n2/q2pp3/1bPP4/2N1P3/PPQNBPPP/R3K2R w KQ -,d4e5
r2q1rk1/1b1n1pbp/pp1ppnp1/2p5/P1PP4/1P1BPN2/1B1N1PPP/R2QR1K1 w - -,d1c2
r2R4/pp2k2p/2b1pp2/6p1/2N5/2P1K1P1/PP3P1P/R7 b - -,a8d8
rn1q1r1k/pb1p1p1p/1b1Ppp1Q/2p4N/2p1P3/P1N3P1/1P3PBP/1R3RK1 b - -,f8g8
8/2p4p/6p1/1k1P4/1pn2PP1/3K4/1B5P/3N2b1 w - -,b2g7
r4r2/2pq1pkp/1pb1p3/b1P5/P1pP4/P3QPP1/4P1BP/RN4K1 w - -,e3g5
2r1b2k/rp3qpp/1R6/p1Pp1p2/P2Pp3/4P2P/1Q1N1PP1/R5K1 b - -,e8c6
5k2/8/6K1/p5PP/8/1B6/P7/4b3 b - -,e1d2
4r1k1/p1q3pp/2pp4/2p2p2/2PPp3/PQP1P3/5PPP/1R4K1 b - -,e8c8
3r2k1/5p1p/4p1p1/1R1b4/2p2q2/B7/2Q1B1PP/4K3 w - -,g2g3
r1bq1rk1/ppp3b1/3p4/3PpP1p/2P3pP/2Nn2P1/PP1NQ1P1/R3K2R w KQ -,e2d3
r1b1k2r/p1ppqp1p/1p3p2/2b1Q3/4P3/2N5/PPP2PPP/R3KB1R w KQkq -,e5c7
1k2r3/ppp2qpp/5n2/8/2P2Q2/3n3P/PPN2PP1/2KR4 w - -,d1d3
8/1q2pk2/4r3/6R1/p1P2PQ1/7P/6PK/8 w - -,g5g7
8/1br1kpp1/pr1p3p/R3p3/2P1P3/RP1B1P1P/4K1P1/8 w - -,e2d2
8/4Bn2/K7/2k1p1p1/3p1pP1/3P1P2/4P3/8 b - -,c5c6
8/4r3/2k5/1R2p3/1P2Pp2/8/8/6K1 w - -,b5c5
8/8/1r6/1P1kpp1P/6p1/2R1K1P1/8/8 w - -,c3b3
2r4r/5Q2/5P1p/1p2ppk1/1b2b3/8/PPPR1BP1/2K5 w - -,c2c3
2r2rk1/pp1n1pbp/5np1/q2ppP2/P3P3/1P1P1N2/1B1NQ1PP/2R2RK1 b - a3,a5a6
r2r2k1/pp1n1pbp/2p1bp2/8/8/1P3NN1/1BPP1KPP/R3R3 b - -,d7e5
4rrk1/1p2ppbp/2np1np1/p5B1/P1BqPP2/1PN5/1P4PP/R2Q1R1K w - -,d1f3
r1b1r3/1p3pk1/p2p2p1/2qP4/P1N1PPPp/2N4P/1Q5K/R4B2 b - -,g7h7
rr4k1/4qppp/n1Qp1b2/3P4/p3pP2/N1P4P/PP3BP1/3RR1K1 b - -,a6c7
8/4bk2/8/4PKP1/6R1/r7/8/8 w - -,g4c4
5k2/p1p2ppp/2pp2P1/3nrP2/7P/2P5/PPKN3R/8 b - -,h7h6
7r/4kpp1/4p3/p1n2bP1/1pB2P2/1P2R1N1/P1P5/2K5 b - -,g7g6
2q4k/p5bp/1n1pp1p1/1p3p2/1P1P4/P5P1/2QNPP1P/B5K1 w - -,c2c8
3r2k1/1b3p2/p3q1p1/1p5p/1P1pP3/P2B1P2/6PP/1QR3K1 b - -,g6g5
r3k2r/pb1n1p2/2pqpp1p/1P6/1bpP3B/2N1PQ2/1P3PPP/R3KB1R w KQkq -,f1c4
8/2p2p1p/5kp1/p3p3/1pP5/PPr2P1P/2K1R1P1/8 w - -,c2b2
k3r3/p2b3r/Pp2p3/3pBp2/2pPn3/2P1R1P1/2P2PB1/4R1K1 b - -,d7a4
8/5p1p/RP2p3/4k3/P2p4/2K5/5PP1/1r6 w - -,c3c2
8/p2r4/4kp2/P2Npnp1/1Pp5/2K2P2/3R3P/8 w - -,b4b5
7R/8/3k1p2/5p1P/5P1r/6K1/8/8 b - -,h4h1
2r2rk1/pp2qpp1/5n1p/3pb3/3B4/1P1QPP2/P4P1P/R1R2NK1 b - -,e5d4
r1b2rk1/1p3pp1/p2qp2p/5n2/3P4/2P5/P1QBBPPP/2R2RK1 b - -,c8d7
r2qkb1r/pppb1p1p/2np1np1/8/2P1P3/2NB1P2/PP1Q2PP/R1B1K1NR w KQkq -,g1e2
5rk1/4ppbp/3p4/2pP1Pp1/b1Pq4/1R1P1QP1/6BP/5R1K w - -,b3b7
8/2pk4/2p5/3p2pp/3P4/1P1Q3P/6P1/4q1K1 w - -,g1h2
3k2r1/1pp1n1pp/p1p2p2/8/4P3/2P1BP2/P1P1KP1P/6R1 b - -,d8d7
rnbq1rk1/pp4bp/2pp1np1/5p2/1PPP4/2N1PNP1/P5BP/1RBQ1RK1 b - -,f6e4
rn3n2/pp2pBk1/2p3p1/6p1/3rP1P1/1PN5/P4PP1/2R1K2R w K -,f7c4
kr6/p4R2/1p2p3/1R6/7P/6P1/r4P2/6K1 b - -,e6e5
3r4/p1q1kp2/b3p2p/2pP2p1/Ppp1P3/2P3P1/2Q1BPP1/1R4K1 w - -,c3b4
rq2nrk1/n2bppbp/p2P2p1/1pP5/8/2N1QN1P/PP2BPP1/1RBR2K1 b - -,e7d6
2r5/1p2kp1p/p3p1p1/PP6/8/1RP2qP1/3Q3P/6K1 w - -,b5a6
3b4/5R2/2k3p1/1p2pb2/pB6/P2P1P2/3K4/8 b - -,d8g5
r3b1k1/p6p/1pq2ppB/4pP2/6Q1/1NP5/P1P5/2K2R2 w - -,g4b4
8/6k1/R5p1/7p/5P1K/2r3P1/7P/8 w - -,a6e6
2rr1nk1/1pq1bp2/p3b1p1/P2np2p/8/2NNBP2/1PPQ2PP/R2R1BK1 w - -,c3d5
q1rn2k1/pb1rb1pp/1p2p3/1Bpp1p2/3P1B2/1QP1PN1P/PP3PP1/2RR2K1 b - -,d8c6
4k3/p7/1p3Q2/3p1B2/3P4/1q1P1pK1/5P2/8 b - -,b3d1
3r2k1/3r1p1p/2p1p1p1/pq2P3/3P4/P1Q4P/1P1R2P1/2R4K b - -,a5a4
1rb1k2r/3p1ppp/p1p1p1n1/4P1B1/2B5/8/PPP2PPP/R3R1K1 b k -,e8g8
r3r1k1/p1q2pp1/1pp3np/P7/1PQ1Pn2/4B2P/5PP1/R3RB1K b - -,f4e6
4kb1r/1p5p/p3p3/4N3/1P6/3p4/P4PPP/2R3K1 b k -,d3d2
3r1k2/4np2/1pn2b2/p1p5/5P2/3PP3/PP3PB1/1R1R1K2 b - -,f8e8
r3r1k1/1ppq1pp1/p2Bb2p/8/2p2Q1P/5B2/PPP2PP1/1K1R3R b - -,c7d6
r3r1k1/p4p1p/1qN3p1/3B4/8/6P1/PbQ1PP1P/5RK1 b - -,b2f6
2rq1rk1/1p2b1p1/3pb1R1/p3pp1n/Pn2P3/1NN1BP2/1PPQ3P/1K1R1B2 b - -,f8f6
6k1/R4p1p/4p1p1/p7/1r1P4/4P1P1/4KP1P/8 b - -,b4b2
1rb1nrk1/p1qpppbp/2n3p1/1p2P3/3N4/2P3P1/PP3PBP/RNBQR1K1 w - -,f2f4
3r2k1/1Q3Rpp/6b1/3ppn2/4q3/8/P2BBPPP/4K2R b K -,g6f7
r3k2r/p1q3p1/1pp1n1P1/3pR2n/3P2b1/2N5/PPQB1P2/2K2B1R w kq -,c3d5
5rk1/5p2/5qpp/1PN5/2Qr1pP1/5K2/1P2R2P/8 w - -,c4c3
2r3k1/5qp1/p3p2p/1p2P3/1P1Pb3/P6P/5Q1K/4R3 w - -,f2f7
8/3k1p2/p6p/1p1pqr2/P5Q1/1R1K4/1P5P/8 b - -,h6h5
r1bqkbnr/pp2pppp/2n5/2pp4/4PP2/3P4/PPP1B1PP/RNBQK1NR b KQkq -,e7e5
3r2k1/pp1q1pb1/2n4p/2p2b2/2N1n1pP/1QP3B1/PP2BPPN/R5K1 w - -,g3f4
Q6n/6pk/6r1/4B3/4K3/8/8/8 w - -,e4d5
6k1/R4pp1/3r1r1p/8/3N1P2/3KP1P1/P5P1/7R w - -,h1b1
6k1/2Nb3p/5pp1/1p2r3/4nQ2/1P5P/P5PK/3r4 w - -,c7a6
rnbq1rk1/pp3ppp/4p3/2Pp4/1bP1n3/2N2NP1/PP2PPBP/R1BQK2R w KQ -,e1g1
1n1rb1k1/p1q2pbp/Pp4p1/1Pp1p1Nn/2N1P3/1QP3P1/1B2BP1P/R5K1 w - -,e2h5
2n4r/5k2/1p1p1N2/p1n1pPR1/2P1P3/7P/PP5R/7K w - -,g5h5
