8/8/Q5pk/P4p2/1P6/4P1P1/2q5/6K1 b - -,c2b1
qr6/3n1pbk/r2p2pp/2nPp3/P7/1p1PB1PP/R2Q1PBK/R1N5 w - -,a2b2
6k1/R4p2/6p1/p2B4/6P1/6K1/5r2/8 b - -,f2f1
r2qk2r/6b1/b2pp1p1/p1p4p/1pP1P1N1/P2P4/1P1B2PP/1R1Q1RK1 w kq h6,d1a4
r3kb1r/p5p1/2p1b2p/5p2/3pN3/NP1P4/1PP2PPP/R4RK1 w kq f6,e4d2
8/1B3p2/3kp2p/pK4p1/1b4P1/1P2P2P/P4P2/8 w - -,b7c6
r1b1k1nr/pp4pp/1q2p3/2bpP3/2p5/P1P5/1P1NBPPP/R1BQ1RK1 b kq -,g8e7
8/5pkn/1p4rq/p2pPQ2/3P2PP/5PK1/R3R3/2r5 w - a6,f5d7
5rk1/r6p/p1p4q/2Ppbpn1/P5p1/4P1P1/1BQ2PKP/1R3RN1 b - -,g5f3
8/p3rqk1/3R1p2/1P2pQ1p/2r4P/2P3P1/1P1R4/6K1 b - -,f7g6
8/5k1p/6n1/2bN4/4KP2/8/7P/3R4 w - -,d1c1
2rbk2r/3b1p1p/p7/1p1PP2R/2n2B2/8/P2NB1P1/1R2K3 w k -,d2e4
r1bqk2r/1p2bppp/p1n2n2/1B1p2B1/3Q4/2N2P2/PPP3PP/2KR2NR w kq -,g5f6
3rr1k1/3q1pb1/p1pp1npB/8/4P3/5P2/PP1QN1PP/2RR2K1 b - -,g7h6
r6r/1k3p1p/1P1p4/pB1Pp1P1/1p5p/1P2B3/2P2P2/R3K3 b Q -,h8c8
8/4R1k1/4p3/3pN2p/3Pn1pP/7r/8/5K2 b - -,g7f8
6k1/2n3bp/p1q3p1/P2n1p2/1p2B3/3p4/1P4PP/2BQ1R1K b - -,f5e4
r1b1k2r/pp1n1ppp/1b4q1/4p1B1/4P3/1N1B4/PP2QPPP/2RR2K1 w kq -,g5h4
4q3/5pk1/3b3p/2pP1QpP/ppPp2P1/1P1N4/P2P4/3K4 w - -,d3f2
6k1/4b2p/p1b2pp1/1p1np3/4B3/PP2PN1P/1B3PP1/6K1 b - -,g8f7
r1bqk2r/4bppp/p1p1pn2/8/2pP1P2/2N5/PP1B2PP/R2QKB1R w KQkq -,d2c1
r1bq1rk1/ppp2pp1/1bnp1n1p/4p3/N1P5/P2P1NP1/1P2PPBP/R1BQ1RK1 b - -,c8f5
8/3n4/3p4/3P3P/4PK2/3k4/8/8 b - -,d7f8
6k1/ppB1ppb1/6pp/n2b4/3P3P/P3PN2/4BPP1/4K3 b - -,b7b6
r5k1/2Q4p/1p1p2b1/4q1p1/P3P3/6P1/P5BP/5RK1 w - -,c7b6
r1bqr1k1/1p3ppp/n2ppn2/p7/1pPP4/PQ3NP1/1P2PPBP/RN3RK1 w - -,f1d1
4r1k1/7p/3q2pb/2pPp3/P1B1Q3/BP6/5PPP/6K1 b - -,h6d2
8/8/rp3k1p/1R3ppP/pPP5/P4K2/5P2/8 b - -,f6e6
2r3k1/1p3p1p/p2p2p1/3P4/P3r3/1BP4P/3B1PP1/5RK1 w - -,f1e1
r4rk1/ppnb1pp1/2p2q2/3p2B1/3P4/PP3B2/2PQ1PP1/R3R1K1 b - -,f6g6
r6k/6q1/p1NQ4/3Pp2P/7P/1P3P2/KPb5/8 b - -,a8e8
5kr1/p4pp1/1qBR3p/2p1p3/1pQ3PP/8/PPP2P2/2K5 b - -,g7g6
r1qb1r2/p4p1k/3p1PpP/2p1p3/2P4Q/PPR1N3/1B2n2P/5RK1 w - -,g1f2
8/1p5p/3p2p1/1Pn1kp2/4p2P/4PPP1/4K3/3B4 b - -,e5d5
2rr2k1/pp5p/3P2pB/nP2R3/6b1/2PB4/PK4PP/5R2 b - -,d8d6
4nkn1/ppp3p1/8/3Q2Bq/3P1P2/2P5/PP4P1/5BK1 b - -,g8f6
8/3n2kp/2p2pp1/1p6/r2pPP2/3P1N1P/2P3P1/1R4K1 w - -,g2g4
r5r1/pp1nknpp/2p1p3/3pNp2/2PP1P1P/1P2PP2/1P2BK2/R5R1 w - -,e2d3
2qbrrk1/2p4p/1p1pp1pn/p7/2PP4/PQ3NNP/1P2RPP1/4R1K1 b - -,h6f7
4rk2/4Rp1p/3pb1p1/1PqP2Q1/2B3P1/7P/5P2/6K1 w - -,g5f6
1rbq2k1/1p2rpbp/p2p1np1/2pP4/P3PP2/2N3P1/1P4BP/R1BQ1RK1 w - -,e4e5
R7/3r2p1/R7/1kp5/1p6/2r5/3KP3/8 w - -,d2e1
rnbq1rk1/pp4pp/2p2n2/3p1p2/3P1b2/2N2NP1/PP2PPBP/R2Q1RK1 w - -,g3f4
3r4/5kpp/5b2/8/1PP5/3PR2P/6P1/7K w - -,g2g4
5rk1/2qnppnp/3p2p1/2p2P2/b1N1P3/3P1NP1/2PQ2BP/5RK1 b - -,d7f6
r4bk1/1pq2p2/p1pp1nbp/4r3/1PP1PB2/1QN3PP/P5B1/2R2RK1 b - -,e5e6
r3k3/pbQn3p/1p2P3/6r1/3P4/2P2BR1/P4P1q/R3K3 b Qq -,a8d8
6k1/pp1rp1bp/q3p1p1/nR1r4/PQ3BP1/2P1PN1P/5PK1/1R6 w - -,e3e4
r3r1k1/pppb1ppp/5qn1/3P4/3P4/3B3P/PPQN1PP1/4RRK1 b - -,f6d4
8/8/r5p1/6k1/4n3/7P/1R4PK/8 w - -,b2b5
8/6k1/3K1N1p/2p4P/2P2R2/8/4rb2/8 w - -,f6e4
rqb1nrk1/1p4pp/p3pp2/2pPp3/1PPNP3/5B2/P2BQPPP/2R2RK1 b - -,c5d4
r3r1k1/1p1nbppp/p1qp1n2/4p3/P3P3/2N5/1PP1RPPP/R1BQ1NK1 w - -,c1g5
1nr4r/1b2q1k1/3bnp2/p2p2p1/P1p3Pp/1PN1PQ1P/2R2P2/R1N1BBK1 b - -,c4b3
r4rk1/1q2p1bp/1n1p4/2pP2p1/4P1n1/1PN1B1P1/P1Q3KP/R3RN2 b - -,b7a6
5r2/1q2b1k1/3p3p/4p1p1/1B2n3/P1Q3PP/4R1K1/2R5 w - -,c3c6
1r6/p2n1k2/1P2p1p1/4Pp1p/5P2/2P1B1P1/1P2K2P/R7 b - -,a7b6
8/8/6p1/2Q2p1p/6k1/8/4q2K/8 w - -,h2g1
6k1/8/8/2KpB3/2p2p2/3r4/8/5R2 w - -,f1f4
2b2rk1/p5bp/1r1p4/2p2p1q/4NR2/2PPB3/P2Q3P/2R4K w - -,e4g3
r3r1k1/1bqn1pbp/1p1p1npB/p2Pp3/P1p1P3/2P2NNP/1PBQ1PP1/R4RK1 b - -,b7a6
3rr1k1/1p2ppb1/p4n2/Rq3PNp/3p2pP/1P4B1/1PPQ1PP1/4R1K1 b - -,b5c6
8/8/1P1Kn3/4N3/8/6k1/8/8 b - -,e6d8
4NQ2/8/2k4p/8/8/8/4q1K1/3b4 w - -,g2g1
r2b1rk1/2p3n1/1pPp2nB/1N1Ppp2/PR2P3/6P1/3N2K1/5R2 b - -,f5f4
r3k2r/pp1nqppp/2pb1n2/8/2QBP3/2N2P2/PP3P1P/2KR1B1R w kq -,d4e3:c3e2
8/p4k2/1p4p1/4bpB1/4p3/P1P1K3/bP6/1N6 w - -,b1d2
rn3rk1/pp2ppbp/1qp2np1/3p1b2/2PP1B2/1QN1PN2/PP2BPPP/R3K2R w KQ -,b3b6
3r3k/p5pp/2p1p3/4p3/2R1P3/1PN5/Pb1r1PPP/1R3K2 w - -,f2f3
r5k1/ppp3pp/3pb1q1/8/3QP3/5r2/PP3PPP/R1B1RK2 b - -,f3f7
6k1/pb1q2b1/5rQ1/2pp4/7R/2P1P3/P2N1PP1/4K3 w - -,g6h7
r1b1kb1r/2qp2pp/p3pp2/2p5/8/1N1Q2P1/PPP2P1P/1K1R1B1R w kq -,f1g2
1r3r1k/1p4pp/1p1N4/2n1n3/2P1Pp2/2B2P2/2K4P/R4R2 b - -,c5d7
4r1k1/ppq2pbp/1np2np1/8/1PPN4/6PP/PBQ2PBK/3R4 w - -,a2a4
8/5bk1/5p1p/1p5P/1P2PPB1/3p4/r2B3b/1R2K3 w - -,g4f3
2b2r2/r2p2pk/p2N1b1p/1p3N2/4PP2/1PP5/1P4PP/3R1RK1 b - f3,g7g6
8/3k4/3B4/PK2Pp2/5n2/2b5/8/5B2 b - -,f4e6
8/4kp1p/6p1/4p3/2Pb3P/6P1/4BPK1/8 b - -,e5e4
r3r3/1b1n2kp/pp2p1p1/3p1q2/3P4/1PN2N1P/P2Q1PP1/R4RK1 w - -,f1e1
rnbq1rk1/ppp1ppbp/3p1np1/8/2PP1B2/5N1P/PP2PPP1/RN1QKB1R w KQ -,e2e3
r1b2rk1/p4pbp/n3p1p1/2Bn4/3P4/q1N1PN2/P4PPP/2R1KB1R w K -,c5a3
5rk1/pp1r3p/q5p1/3P1p2/2PQp3/1P6/P3R1PP/5RK1 w - -,g2g4
5rk1/p1p5/2pp1r2/1b3Ppq/3BQ3/7P/PPP3PK/8 w - -,g2g4
