3r3k/5R2/5K2/7P/4B3/8/8/8 b - -,d8d6
rnbq1rk1/3nppbp/3p2p1/1ppP4/4P3/2N3NP/PP2BPP1/R1BQK2R w KQ -,c3b5
3q4/pp3pkp/2p2np1/4QP2/3P3P/2PB4/PP1K4/8 b - -,g7g8
5k2/2R5/5p2/n4K2/2B5/1P6/P6r/8 w - -,c4d5
r1q1r1k1/1ppn1pbp/2bp2p1/pNn5/2P1PB2/2N3PP/PPQ2PBK/R3R3 w - -,a1d1
r2r2k1/p2qp2p/1pn1p1p1/2p1b3/4N3/P6P/2PP1PP1/1RBQR1K1 w - -,d1g4
3r4/1p1r2pk/1npNRpbp/q1P5/3P4/1Q4PP/5PBK/4R3 w - -,e1e2
8/5ppp/5k2/4pP2/6P1/b4K1P/2B5/8 w - -,h3h4
r2q1rk1/2pbn1bp/1p1p2p1/pP1Pp3/2P5/2N1B2P/P2QBPPN/R2R2K1 w - -,e2g4
8/4k3/7p/6p1/8/P1n3P1/5PB1/6K1 w - -,g2c6
6rr/pp1bkpp1/4p3/3pP3/n5R1/1NPB3P/P1PK2P1/5R2 w - -,g4b4
6k1/5p1p/1p1Np3/1P6/5n1P/r7/5P2/2R2K2 b - -,g8g7
r1b2rk1/pp1nnppp/1qp1p3/8/2B1P3/P1B2N2/1P2QPPP/3R1RK1 b - -,b6c7
r1bqnrk1/p3ppB1/2p3p1/1p1p3p/3P3P/2N1PP2/PPPQB1P1/R3K2R b KQ -,g8g7
r1bqk2r/pppnbppp/8/4p3/3P4/2P2NP1/P3PPBP/R1BQK2R b KQkq -,e5d4
3r1r2/ppq1n1kp/2n1b1p1/3pp3/8/2P2N1P/PPN1BPP1/2QR1RK1 b - -,e7f5
2qr2k1/p3ppbp/6p1/3PP3/4Q3/3R1P2/3B1PKP/8 w - -,d2a5
r4rk1/1p1bp3/3p3p/1PpP3q/P5n1/6B1/RbN1PPBP/3Q1RK1 b - -,b2g7
2r2rk1/1pqnppbp/p2p2p1/8/2n1PP2/2P3PP/PP2QBB1/2RN1RK1 b - -,b7b5
2bqk2r/bppprppp/6n1/p1P3N1/5P2/P3P3/1P2B1PP/R1BQK2R w KQk -,b2b4
r1b2rk1/p4pbp/2p1p1p1/q5B1/3P4/1P2QN2/P4PPP/2R2RK1 w - -,f3e5
r1bq1rk1/ppnnppbp/3p2p1/2pPP3/2P2P2/2NB1N2/PP4PP/R1BQK2R w KQ -,d1e2
3r4/p3kp2/1p1p2p1/2pPP2p/P4P2/1P1K1P2/7P/6R1 w - -,d3c4
8/6bk/2q3p1/R1p1pr1p/P2nN3/2N2PQ1/6PP/6K1 w - -,a5c5
2r1nrk1/3B1pbp/R2Pp1p1/8/1p1P4/1P3n2/4NPPP/4R1K1 w - -,g2f3
3r1rk1/pp4bp/1q2p1p1/4Pp2/4bP2/1P2N1P1/PB2QK1P/2RR4 b - -,f8e8
2r5/8/1pp1Rp2/p6P/P2p1P2/1P4K1/3k4/8 w - -,h5h6
r2q1r2/p1p2p1k/3p1nnp/1pb1p2b/4P1pP/1BPPN1B1/PP1Q1PPN/2KR3R b - -,c5e3
3rk2r/pp2bppp/2b1p3/4P3/1qBP4/1N6/P4PPP/2RQ1RK1 w k -,d1g4
r2r2k1/p4pb1/1qn1p1pp/1pp1P3/3pRPP1/3P4/PPP2BP1/R2Q1BK1 w - -,d1f3
r3k2r/qp1n1p2/1bp1p1p1/3pPn1p/1P1P1P2/PN4P1/1B1QB2P/2R2RK1 b k -,a8c8
rnbq1rk1/pp2ppbp/2p3p1/3p4/2PPn3/2N1PN2/PPQ1BPPP/R1B2RK1 b - -,c8f5
1b1qr1k1/1pr1npp1/p5np/2Np4/1P1P4/P2Q1NPP/1BR2PK1/5R2 w - -,f1c1
8/8/8/1p1p1b1k/1Pp1p3/4P1K1/1P6/5B2 b - -,f5g4
2rr2k1/pp1nbpp1/1qn1p1p1/2ppP3/3P4/2PBBN2/PP1Q1PPP/R1R3K1 w - -,a2a3
7r/p1b3p1/1p2k1p1/4pp2/2N2n2/1NP2P1P/PP4P1/3R1K2 w - -,a2a4
r4k2/1p2p1b1/3p4/3Nqp1Q/p1r1P3/1NP2P2/PP4P1/1K1R4 b - -,a4b3
r4rk1/p3Qppp/2p1p3/2Pp4/1q6/5N2/P4PPP/R4RK1 w - -,a1b1
8/8/p1b3p1/P4kPp/1PpK4/2Pp3r/3B4/4R3 b - -,h3h2
r4rk1/p3n1pp/1qn1pp2/1N1pP3/Pp1P4/6Q1/1P2NPPP/2RR2K1 b - -,e7f5
4rr2/pp2n1k1/n2p1p2/3N2p1/1PP3R1/q4P2/P1RQ2PP/5BK1 w - -,c2c3
8/8/8/4K2p/5P2/6N1/7k/8 b - -,h2g3
r1b1k2r/pp1n1ppp/4pb2/q1p5/3PN3/3B1N2/PPP1QPPP/R3K2R w KQkq -,c2c3
1r2r3/pb1nq1bk/3R2pp/2P2p2/P3p3/Q1N1BPP1/1P4BP/4R1K1 w - -,f3f4
6k1/3n1pq1/1pnpp1p1/p7/P1bPP1N1/2P3N1/3Q1PP1/1B4K1 w - -,g4e3
5rk1/ppR2ppp/1r3n2/3p4/8/1N2PP2/PP3P1P/5RK1 w - -,f1d1
r4rk1/pbq2pp1/1p1Rp2p/2n5/2P2Q2/2P2NP1/P3PPBP/3R2K1 w - -,f3e5
r1r3k1/p3qpbp/2b3p1/2pp4/3Nn3/BP2P3/P3BPPP/2RQ1RK1 b - -,c6b7
rnbqk1nr/1pp3pp/5p2/pPb1p3/2Pp4/3P1N2/P1N1PPPP/R1BQKB1R b KQkq -,g8e7
4r3/7R/8/8/2k5/P7/KP2n3/8 b - -,e2c1
2rr2k1/pp2ppbp/6p1/2P5/1PNq4/1Q6/P3B1bP/1RB1K2R w K -,c1e3
8/8/7p/3R1pkP/4r1p1/6P1/5P2/5K2 b - -,e4e6
3r1k1r/1pq2pp1/p1nb1n1p/3ppP2/6PQ/P1NB1P1P/1PPB2K1/R4R2 b - -,f8g8
1r6/5pp1/RP2p1kp/2B5/8/2n4P/2P2PP1/6K1 w - -,a6a3
rnbqkb1r/p4p1p/2pp1pp1/8/3P4/2PBBP2/P1P3PP/R2QK1NR b KQkq -,f8g7
r3k2r/1bqp1ppp/p3pn2/8/2Q1P3/P4P2/2P1B1PP/R1B2R1K b kq -,c7c4
3b4/5p1p/p1k1p1p1/3pP3/PPb2P2/2K3P1/2P4P/1R6 b - -,d8b6
3r1r2/1Qn4p/3p3k/1p2p1bP/4B3/P4P2/1PP5/1K6 b - -,f8f7
r1bqrbk1/5p2/p2p1Bpp/npp1p3/4P3/2PP1N1P/PPB2PP1/R2QRNK1 b - -,d8f6
r3rbk1/pp3pp1/2n1bq1p/3N4/1P6/P4NP1/4PPBP/2RQ1RK1 b - -,e6d5
r4rk1/1b2qp1p/1p2p1p1/1Nn1b3/2P1P3/4BP1P/P5P1/1BRQ1RK1 b - -,e7h4
5k2/p4ppp/3P4/8/4n3/2Pb3P/P4PP1/4R1K1 b - -,e4f6
8/6pp/4k3/1P3R2/3K2P1/4p2P/4rp2/8 b - -,e2e1
RRbr4/2q2p1k/p5p1/r3p1Qp/2p1P1P1/2P4P/4BP2/6K1 w - -,g4h5
2rqr1k1/bbp2pp1/p2p1n1p/Pp6/1P1PP3/B4N1P/2QN1PP1/R3R1K1 b - -,d8e7
1R4R1/1b1k1r2/2p1p3/2PpBp1p/1r3P2/3P3P/8/7K b - -,f7h7
rn1bnrk1/p1pq3p/1p6/3p1pp1/2BN4/P3PP2/1PQ3PP/R1B2RK1 w - -,c4d3
1Q1R1rk1/3R1ppp/p7/8/1p6/5P2/P5KP/2q5 b - -,c1c2
r1b2r2/7k/2N2q1p/p4p2/2P5/1P2PP2/Pb1QKR1P/3R4 w - -,c6d4
4k3/3n1p1p/6p1/2p5/2Pp1PPb/5N1P/r7/5BKN w - -,f3h4
r5k1/1p3pp1/2b3np/2pN4/2P2P2/q3P3/3QB1PP/1R4K1 b - -,a3a2
r1b1k1nr/2q1bp1p/pn1pp1p1/Np6/4P3/1N1B4/PPP1QPPP/R1B2RK1 w kq -,c2c4
r1b1qrk1/pppn1pbp/3p2p1/4p2n/3P4/2P1P1B1/PP1NBPPP/R2QNRK1 b - -,h5g3
8/1pk2rp1/1R5p/2p1K2P/2P2B2/1P4P1/8/3r4 w - -,e5e6
3rr1k1/1bq1Nppp/pp3n2/3pn1B1/3QP3/2N2B2/PPP3PP/3R1R1K b - -,e8e7
r2qr1k1/1ppnbp1b/p1n3p1/4p1P1/3pP1QN/2PP2NP/PPB2P2/R1BR2K1 b - -,d7f8
8/p4pk1/5rp1/8/2P1Q2p/1q2P2P/6PK/3R4 w - -,e4d4
8/2k2p2/2n1p1pp/pB1pP3/1p1P1N1P/b1P3P1/P2K1P2/8 b - -,a3b2
r1bq1rk1/1p2ppbp/n1pp1np1/p2P4/P3P3/2P2N2/1P2BPPP/RNBQR1K1 w - -,e2c4
3r1nk1/1p2qp1p/1np1p1pQ/4P2P/2P5/1P3NP1/5PB1/4R1K1 b - -,d8d3
8/kp6/p5Q1/5p2/7p/8/1PK5/3Bq3 b - -,e1e4
r1bq1rk1/pp3pb1/2n1p1pp/2pn4/2N5/3P1NP1/PPP2PBP/R1BQR1K1 w - -,c4e5
8/8/r7/8/4k3/4b3/4R3/3K4 w - -,e2b2
2rk4/5Rb1/3Bp2p/p1p1P1pP/1pP1K1P1/1P3P2/8/8 b - -,a5a4
3q1rk1/pR2bp1p/1B2bn2/6p1/2p5/2N3P1/P3rPBP/5RK1 w - -,b6d8
