5k2/2R5/3KB3/p2p3p/P1nP4/8/4r3/8 w - -,d6d5
8/p1k5/1pb5/2p1R1N1/2Pn4/P7/1P1KP3/7r b - -,h1b1
6k1/p4p1p/r3bbp1/8/3pB3/1P4P1/P1RBPP1P/6K1 b - -,h7h5
2r1k2r/1B1n1n2/pP3b2/2BPp1qp/4Pp2/Q4P2/PP4P1/1K1R3R b - -,c8c5
r3nrk1/pppbq1p1/4p2p/4P3/4pB2/1Q6/PPP1B1PP/R4RK1 b - -,e7c5
r1q2rnk/p3ppbp/1pb3p1/4P3/2PN1P2/2N1B2P/P2RQ1P1/3R2K1 w - -,c3b5
2r1bqk1/6pp/p1R1pp2/3p4/3P3P/1P2N1R1/P2Q1PP1/6K1 b - -,c8c6
r2qkbnr/pb3ppp/1pp1p3/8/4P3/3B4/PPP1QPPP/RNB1K2R w KQkq -,e4e5
2r3k1/1p3r2/5p2/3RpPpp/p3P3/Pn3KPP/1B2R3/8 b - -,f7c7
1rr1n1k1/p4ppp/4p3/3pPnNP/3Q4/3B4/1PP2PP1/1R3RK1 b - -,f5d4
6k1/4bpp1/R7/1p2P2p/4pN2/PP4PP/5PK1/3r4 b - -,d1d2
3r1r1k/pb6/1p2pp1p/2p5/3p1nPN/P2P4/1PP2P2/R3R1KB b - -,b7h1
rnbqkb1r/ppp2p1p/4pnp1/8/2BP4/1Q2P3/PP3PPP/RNB1K1NR w KQkq -,g1f3
6k1/6R1/p4R2/2p4P/6P1/1P1p4/P1n5/7K b - -,g8g7
2br1r2/4q1k1/p4pp1/1ppBp3/4P2p/P1PP1R1P/1P3QP1/5RK1 b - -,g6g5
r3r1k1/5p2/1qp2npb/3p1n1p/p1PPpN1P/P3P1PN/1B1Q1P2/1KRR4 w - -,c4c5
r4rk1/pp1nb1pp/2p1p3/q2n4/3Pp3/1BN4P/PPQ2PPB/R4RK1 w - -,c2e4
5R2/6rk/2p3pr/1p1pP3/3P1P2/4n1RP/3q2QK/8 w - -,g2d2
8/p2B4/1p1np3/1P3k2/2p1p2P/2P3K1/5P2/8 b - -,e4e3
2r3k1/7p/5Rp1/4p3/1Bn1P3/8/4KPPP/8 b - -,c8b8
r6r/pp6/3k4/2npq3/2Q5/8/P5PP/3R1R1K w - -,h2h3
rn1qkb1r/pp1b1ppp/3p1n2/1B2p3/3NP1P1/2N5/PPP2P1P/R1BQK2R w KQkq -,b5d7
r1bq1k1r/3n1pbp/p2p1np1/1p6/2BP4/2N2N2/PP2QPPP/R1B1K2R w KQ b6,c4b3
3rr1k1/pp1n2pp/2pBpn2/8/P3Pp2/1PP2N2/2P2KPP/3RR3 b - -,e6e5
r5k1/1qrnbppp/p3pn2/1p1p4/3P4/1PN1PN1P/PBR2PP1/2RQ2K1 w - -,f3e1
r2q1rk1/pb1p1ppp/4pn2/b1pP4/1nP1P3/1PN3P1/4NPBP/1RBQK2R b K -,e6d5
1r2r1k1/ppp2ppn/3p4/1P3q1p/P1PPp2n/4P2P/1BQ2PP1/R1R2BK1 w - -,d4d5
r7/ppp1qk1Q/3p2r1/3Pn3/3BP3/8/PPP5/2K4R b - -,f7e8
8/6pk/b4q1p/p2BN2Q/P2P1P1N/8/2n2PKP/1r6 b - -,a6b7
3N4/7k/6p1/4P3/5n1p/6bP/r7/3R1B1K b - -,h7g7
br4k1/p4p1p/6p1/3nP3/4NPB1/8/3R2PP/6K1 b - -,d5f4
8/6kp/5pp1/2r5/PRp5/3qN1P1/Q4PP1/6K1 w - -,b4c4
2rq1rk1/pp2bppp/2bppn2/6B1/3NP3/2NQ4/PPP2PPP/2KR3R w - -,f2f4
6r1/p2n1k2/3qppp1/3p3p/1r2P3/1B5Q/PP1R2PP/2R3K1 w - -,e4d5
rq3rk1/1p1n1ppp/p1pbpn2/3p3b/2PP4/1P1BPN1P/PBQN1PP1/R4RK1 w - -,f1e1:f3g5
2r1qrk1/p5p1/1npbp1p1/3pN1Pp/2p2P1P/1P1PPQ2/PBP5/R4RK1 w - -,d3c4
r1r4k/1pp1b1p1/p1npNnqp/4p3/1P2P3/P1N1B1PP/Q1P2P2/4RRK1 w - -,g1h2
r1bq1rk1/pp3pbp/2np1np1/4p3/3NP3/2PBB2P/PP1N1PP1/R2Q1RK1 w - e6,d4b3
6rk/4q2p/4Np2/p3pP1Q/1n1r4/2RbN3/6PP/4R2K b - -,d4d7
r1bq1rk1/4ppbp/p2p1np1/1p6/4PP2/2PB4/PP2N1PP/R1B1QRK1 w - b6,f4f5
3rr1k1/p3qpp1/1p3n1p/1npPBP2/5PP1/1P5P/PQ4BK/2R1R3 w - -,a2a4
6rk/1p2Qpbp/p7/P2npb2/4p3/4R3/2PNB2P/6RK b - -,d5e7
r3k2r/pppqbnpp/2n1p3/3pP3/3PbPP1/P3BN2/1PPNB3/R2Q1KR1 b kq -,g7g5
rn1q1rk1/1p3pb1/3pbnpp/p3p3/8/2NPBNPP/PP2PPB1/R2Q1RK1 b - -,b8a6
4rrk1/1p1b1ppp/1qn5/p1bpPp2/5P2/2PB1NP1/PP2Q2P/R1B2K1R w - a6,e2c2
4r1k1/4n1pp/P4p2/8/1b1B4/5NP1/5R1P/7K w - -,f2c2
r2rn1k1/1b4p1/1pp1Rp2/6p1/3P4/P4N1P/1KP2PPB/3R4 b - -,d8d7
r2q1r2/ppp2pkp/1n3np1/6N1/3P3P/3Q1NP1/PP3P2/R3R1K1 w - -,f3e5
1r4k1/p4pp1/1pb1p2p/2b1P3/2R5/2P5/P4PPP/3R2K1 w - -,c4g4
2k5/1p2RQ2/p1p3pp/1q6/8/1KPP4/2P5/6r1 w - -,b3a2
r1b2rk1/pp3pp1/7p/nPpqp3/P7/3PPN2/2P1B1PP/R2Q1RK1 w - -,d1e1
7r/1rk2p2/1p2p3/5p2/1RpP4/1P2K1P1/5P2/R7 w - -,b3c4
1k1r3r/pb2bpp1/1n2p2p/1qp1P3/1nPp2NP/3P1NP1/1PQ2PB1/R1B1R1K1 w - -,c2b3
rn1q1rk1/1b3ppp/p1pb1n2/1p2p3/P3P3/1B3N1P/1PPNQPP1/R1BR2K1 b - -,b8d7
r1bq1rk1/p2nppbp/1p3np1/1Ppp4/2PP4/4PN2/PB1N1PPP/R2QKB1R w KQ -,f1e2
3r1rk1/1p1qb1pp/2p1p3/5n2/pP1P4/P4NP1/2Q2PBP/R2R2K1 b - -,e7f6
rnbq1rk1/ppp1ppbp/3p1np1/6B1/3PPP2/2N5/PPPQ2PP/R3KBNR b KQ f3,c7c6
6k1/5p2/2p1rB1p/2bnP3/rpN1R3/8/P4PP1/1R4K1 w - -,e4g4
8/8/3r4/2kn1R1P/8/2r5/5K2/3R4 b - -,c5c6
8/3P3K/2n3p1/1k4P1/6P1/2p1N3/7P/8 b - -,b5c5
3r2k1/2q3p1/p6p/1p1Ppp2/4P3/P2B4/2rN2P1/R2Q2K1 b - -,c2c3
1r4k1/6p1/4B1p1/8/8/2b3B1/5P2/5K2 b - -,g8f8
6k1/p5b1/1p1Qp1qp/3p2p1/3P2P1/1P3P1P/P3N1K1/8 b - -,g6f7
r4r2/p1Rnk3/1p1pp2p/5pp1/3P2P1/4PN1P/PP3P2/2R3K1 w - -,d4d5
5q2/4ppbk/p2p2p1/3P3p/Pr6/3bB1QP/5PP1/2RB2K1 b - -,h5h4
r5k1/3r2pp/p3pp2/6n1/PQ2q3/6P1/1P4NP/2R3RK w - -,b4b6
4r2r/1p1k4/p1pnpp2/3p1pp1/2PP4/PP2P1PP/4KPB1/2R4R b - -,e8e7
8/1p3k2/2p2p2/P1P2K1p/P6P/8/6P1/8 b - -,f7e7
4k3/pp1n4/1bp2np1/5pNp/2P2P2/B3P1P1/P1B1K2P/8 b - -,b6c5
8/8/1p1p1k1p/p2K1P1P/2P3P1/bP1B4/P7/8 b - -,a3b4
8/6p1/5p1p/5P2/4K1P1/1kp4P/N7/8 w - -,a2c3
8/1R3pp1/4p1k1/B2bP1bp/8/1p1r2PP/2n4K/1R6 w - -,b7b8
r3kb1r/ppqN1ppp/2p1pn2/5b2/2BP4/2N5/PPPBQPPP/R3K2R b KQkq -,e8d7
2kr2r1/1pp2p1p/2n1b3/P7/5B2/P3N2P/5PP1/2KR3R b - -,c6a5
1Q6/6k1/5pp1/N3p1q1/b6p/8/5P2/5B1K b - -,g5d2
1r1q1rk1/pp1bpp1p/2n2np1/2P5/5N2/1N2P1P1/PQ1R1PBP/R5K1 b - -,d8c7
5k2/1b2bppp/p1r1p3/3R2PP/R7/4BP2/1PP1B3/1K6 b - -,e6d5
r6r/4pk2/p3Rpp1/1p1n2B1/3P4/2P2Q2/P4PP1/6K1 b - -,f7e6
8/8/8/8/1p1r4/1P5R/1k6/4K3 b - -,b2c2
r2r2k1/pbq2pb1/1p2p1p1/2n3Pp/2PN1P1P/2B1Q3/PPB5/2KRR3 b - -,a7a5
2r2k2/p2r1pp1/1p1P2p1/1Pn5/1B6/8/1KPR2PP/4R3 w - -,d2d5
2r2k1r/2qp2p1/4p1Q1/p1p1b1P1/2Pn4/1P2B2p/P4P1P/3RR1KB w - -,f2f4
2rr2k1/1p1bbpp1/pqn1p2p/2NpP3/1P1P4/P5P1/1B1QBP1P/R4RK1 w - -,e2g4
2bq1rnk/1p4bp/r2p1pp1/1NpPpP1n/P1P1P1N1/R5P1/1B4BP/3Q1RK1 b - -,c8d7
1r2r1k1/2pq1pp1/2n4p/1pbnp3/3P4/1QP2NNP/1P1B1PP1/R3R1K1 b - -,e5d4
