8/6p1/4p2p/5p1P/2kb1P2/5KP1/3N4/8 b - -,c4d5
3r2r1/7k/p4q2/1p1pp3/2P2n2/1P2QPP1/P2N4/4RR1K w - -,f1f2
5rk1/1b1prppp/p7/2q1PB2/8/P7/1P2Q1PP/4RR1K w - -,b2b4
r1b2qk1/pp3pp1/7p/8/PbN2P2/3Q4/1P2rPBP/2R2RK1 b - -,e2e8
4rbk1/1p1n1pp1/pq1p1np1/2pP4/P1P2BP1/1PN2N1P/2Q2P2/R5K1 w - -,a1e1
r3r1k1/1p1q1bp1/p1p2p1p/2Pp4/3P3P/1Q2R1P1/PP3PB1/4R1K1 b - h3,e8e3
r1q4r/3b2k1/3p1p2/p1nPp1p1/1p2P1P1/1PP1R1N1/5PQ1/R2B2K1 b - -,c8b7
8/5k2/8/1p6/pB4K1/2Pr1P1p/P7/8 w - -,g4h3
8/5pbk/6p1/R6p/4P3/3nB2P/5PP1/1r3BK1 w - -,a5a7
r4rk1/pp2p1bp/2p1b1p1/4n3/2p2P2/2N3P1/Pq1B1QBP/R4RK1 w - -,f2e3
r5k1/p4pp1/1p2pb2/7p/2rP4/2P2PBP/R1R1K1P1/8 w - -,e2d3
r1bq1rk1/bpp2ppp/p2p1nn1/4p3/4P3/1BPP1NN1/PP3PPP/R1BQ1RK1 w - -,f1e1:h2h3
5R1k/pp6/8/n1p4K/7P/P1P5/Br6/8 b - -,h8g7
7k/1p5p/p2p4/P2Pp3/6p1/1P1K2P1/7P/8 b - -,h8g7
2bq1r2/5rk1/pp1p2pb/3Pp1np/P3P3/R2R1BP1/1PN1QPKN/8 b - -,c8h3
r1bqk1nr/pp2ppbp/2np2p1/2p5/4P3/2NPB3/PPP1NPPP/R2QKB1R w KQkq -,d1d2
8/p1p5/P2n4/1P6/2p1p1N1/1k6/3K1P2/8 w - -,g4f6
8/p6p/3k2p1/3P1b2/2B5/P3K3/7P/8 b - -,d6e5
8/3P4/5p2/3P1P2/6k1/8/1p4K1/8 b - -,b2b1q
r1bq1rk1/4ppbp/3p2p1/2p1P3/5P2/P3QN1P/4N1P1/2KR3R b - -,d8b6
8/7p/1R6/6pk/8/1Pr4P/5KP1/8 b - -,c3c2
8/3b2kp/p3p1p1/2qPp3/2p1Pr2/2N4P/PP1Q1RP1/5K2 b - -,f4f2
r1b1kb1r/ppp2ppp/3p1q2/8/2n1P3/2N2N2/PPP2PPP/R1BQK2R w KQkq -,c3d5
r4rk1/2b3pp/p7/1p1q4/3BNpP1/2PP4/PP3P1P/R2Q2K1 w - -,d1b3
1r1q1rk1/pp1bn1bp/3pp1p1/2p2p2/3nPP2/3PB1P1/PPPQNRBP/3N1RK1 b - -,b7b5
8/6r1/p5P1/P2pN3/1P2p2k/4K3/7p/7R b - -,h4g3
r1b1r1k1/pp3ppp/2pN1n2/4n3/1PP5/P5P1/1B2PRBP/R5K1 b - -,e8e7
5k2/8/2B3p1/3PP1Bp/8/2r3PP/8/6K1 w - -,g1g2
8/5rbk/1N1R2p1/7p/3pPpnP/B2P2P1/6K1/8 w - -,g3f4
rnbqkb1r/pp1p1ppp/4pn2/2p5/3P1P2/5N2/PPP1P1PP/RNBQKB1R w KQkq c6,e2e3
r1b1rnk1/pp2bppp/2pp1n2/6B1/3P4/2NB1N1P/PPP2PP1/R3R1K1 b - -,c8e6
6k1/5p2/1b1p2p1/3Pnq1p/1P2p3/2Q3PP/4BPK1/4B3 w - -,g3g4
2r1r1k1/5p2/p2p2p1/1pqP1n1p/4RP2/2P4P/3B2BK/3QR3 b - -,e8e4
5rk1/5ppp/1Q1N4/p1n4q/2P5/PP2P1P1/3K4/3R4 w - -,d2c1
8/8/5kp1/6Rp/P6P/2K2PP1/8/r7 w - -,c3b4
r1br4/pp3p1p/5N1k/8/3nB1P1/P4P2/1P6/3R1R1K b - -,h6g7
8/5p2/4pkp1/R2B4/P5P1/4bP2/5r2/4K3 w - -,d5e4
2rr2k1/1p3pbp/4b1p1/pP1p4/PqnN1B2/1Q1RPB2/5PPP/1R4K1 b - -,b4b3
6k1/p4pp1/P5p1/1ppP1n2/8/2R2BPP/1P3PK1/4r3 b - -,c5c4
r7/4kr2/2P4R/3p2p1/2B1ppP1/pP6/nq1B3Q/3K3R w - -,h2h5
R7/6pk/1p2pq1p/3p4/1Pr1pP2/6QP/6P1/6K1 b - -,c4b4
8/1p2b3/p3k1pR/4p2p/P2rN2P/1P3PP1/4K3/8 b - -,e6f7
6k1/1b1r1pb1/1q4pp/1p1rn2n/3NN3/1P6/PBB2QPP/3R1R1K w - -,d4e2
3n1r1r/pppkq3/3p3p/1P2pbp1/4N3/2PPB1Q1/P4PPP/R2R2K1 b - -,d8e6
8/pp1k3p/3p1np1/1r1P1p2/5P2/P3N2P/6P1/3R2K1 w - -,d1d3
2r1n1k1/1p1q1pb1/2n4p/1QP1p1p1/1P1p4/3N1PP1/P2BP2P/2RR2K1 b - -,f7f5
rn1qk2r/1b1nbpp1/pp2p2p/2p1P3/2Pp3P/N2P1NP1/PP2QPB1/R1B2RK1 w kq -,a3c2
2r2rk1/1p3q2/p2P1npp/5p2/1PbNpP2/P3P1P1/1Q5P/R2R1BK1 b - -,c4f1
r1bqk2r/pp1n1ppp/2p1pn2/6B1/PbpP4/2N1PN2/1P3PPP/R2QKB1R w KQkq -,f1c4
r3r3/pp2ppkp/2pqb1p1/3n2N1/3P3P/1B6/PPPQ1PP1/R3R1K1 b - -,e6f5
r1b2rk1/pp1nbppp/1q2p3/3pP3/3N1P2/2N2B2/PPP3PP/1R1QK2R b K -,e7b4
2r2r1k/3bp2p/pq1p1npQ/8/1p1NP1P1/5P2/PPP1N3/2KR3R b - -,f8g8
1n1r3r/1pk1bpp1/p3p3/2Pp2Pp/1P1Pb2P/4PN2/1B2BP2/R3K2R w KQ -,h1g1
6k1/5p2/4p1p1/5q1p/P1P2P1P/1r6/3Q2P1/4RK2 b - -,b3d3
r4r1k/p3p2p/1p2BppB/3Pb3/Q7/6P1/P1b2P1P/3RR1K1 b - -,c2a4
2r2r1k/Q6p/1p3p1q/5P2/P7/6R1/1P6/1K4R1 b - -,c8a8
r5k1/1p3p2/p5rp/4B3/8/4RP1b/PP3P1K/R7 b - -,h3e6
r4rk1/ppp1bppp/2n1p3/8/2PqN1b1/1P2B1P1/P3PPBP/R2Q1RK1 b - -,d4b2
rn1q1rk1/pb2bppp/4pn2/P1p5/1pP5/5NP1/1P1NPPBP/R1BQ1RK1 w - -,d2b3
r3r1k1/ppb2pBp/2p2Pp1/5N2/3P4/2P4P/1P1K1P2/1q1R2R1 b - -,b1b2
r3k2r/1pqbbpp1/p2ppn1p/8/3nPPP1/2N1B2P/PPP1Q1B1/2KR3R w kq -,e3d4
8/8/1p2pk2/p5p1/6P1/Pr6/1P2R1K1/8 b - -,e6e5
2n3q1/3b1k2/1p1p4/3P1p1n/1P2PB2/3B4/6NQ/6K1 b - -,g8g4
r5kr/1p3p1p/4p1pP/3pP3/p7/P1P2Pq1/BP2Q1P1/R3K2R w KQ -,e1f1
r2rn1k1/1p2bpp1/4p1p1/pNn1B3/P1PNQ3/1P6/5PPP/3R1RK1 b - -,c5e4
r3k2r/1p6/p1n1p1p1/3p1pn1/P2P4/1P3B2/2P1NPK1/R4R2 w kq -,f1h1
6k1/1b3pp1/pQrp1r1p/R3p3/2P1P3/1P5P/4BPP1/R5K1 b - -,c6b6
rr6/3nk1p1/pp1p1p2/P1pPp1n1/4P1Pp/1PNB3P/2P3P1/R4RK1 w - -,a5b6
6k1/rbq1n1pp/p3pr2/1pbp4/3p1P2/1B1P4/PPP3PP/R1BQ1RNK w - -,g1f3
rn1qkbnr/5ppp/p1b1p3/2p3N1/NpP2P2/3p4/PP2B1PP/R1BQ1RK1 w kq -,e2d3
2br2k1/rp5p/p3ppp1/8/4BP2/6P1/PPP1R1P1/R5K1 w - -,a2a4
r1bqk2r/ppp1n1b1/3p1n1p/1P2ppp1/2P5/2NP2P1/P2NPPBP/1RBQ1RK1 b kq -,e8g8
5b1k/3b1pp1/2p4p/2PpQ2n/1p1N3q/1N3P2/r5PP/2B2RK1 b - -,h8g8
r1bq1rk1/bpp2ppp/p2p4/4n2Q/4P3/1BPP3P/PP1N1PP1/R1B2RK1 b - -,e5d3
r3r1k1/1ppq3p/p2b2p1/3Ppp1n/4P3/1PN2PP1/P3QB1P/2R2RK1 w - -,g1g2
1rb1k2r/p1q1npb1/2n1p1p1/2ppP1Bp/1p5P/3P1NP1/PPP2PB1/R2QRNK1 w k -,d1c1
rnbqk2r/4bppp/2p1p3/p2nP3/PpBP4/5N2/NP1B1PPP/R2QK2R w KQkq -,a2c1
r3k2r/3qn1b1/p4pp1/1p2p3/4P1b1/1B1P3P/PPN2Q1P/R1B2R1K b kq -,h8h3
4r2k/p1q3p1/1n2br1p/2p1pp2/7Q/1PP1NP2/P1BR2PP/4R1K1 b - -,a7a5
7r/3k1p2/2pp1Pp1/1p1n4/r2PN2P/2P4R/1PK2P2/4R3 b - -,a4a8
1r2q1k1/1p3pbp/p2prnp1/2p1n3/2P1P3/2NB3P/PPQB1PP1/4RRK1 w - -,a2a4
1r3rk1/pn2q1bp/1p1p1n2/1B1PpNB1/1P3p2/5P2/P2Q2PP/2R2RK1 b - -,e7f7
r5k1/p1Qb1rb1/3p1qpp/2p2p2/3N4/2P1P3/PP1N1PPP/R4RK1 w - -,d4f3
