8/p3R1p1/1p2p3/1P4k1/3PK3/8/r7/8 w - -,e7g7
1r1qr1k1/1bpp1p1p/ppn2np1/2b5/2P2p1N/P1NPP1P1/1P4BP/R1BQ1RK1 w - -,d3d4
8/2k1nN2/1p2P1p1/p6p/P1K5/1P4PP/8/8 b - -,e7f5
r1bqk2r/1p1p1ppp/p1n1pn2/8/1bP1P3/2NB4/PP2NPPP/R1BQK2R b KQkq -,e8g8:d7d5
8/3P4/p3Kpk1/8/1R2P1p1/3r4/8/8 w - -,b4b8
2kr4/ppq2p2/4bn2/3p2p1/P5P1/B1PnPP2/4NKB1/1R5Q w - -,f2g1
8/8/4K3/Pkp5/2NrR3/8/8/8 w - -,e6e5
4r3/1b1q1rkp/p1n1p1p1/1p2Pp2/2pP1N2/P1P2P2/3Q2PP/R2B1RK1 w - -,a1a2
8/6p1/7p/4kP2/4P1Pb/4K3/8/8 w - -,e3f3
2r3k1/p1qRbppp/4bn2/4p1B1/N1p4P/P5P1/1PQ1PPB1/2R3K1 b - -,c7d7
1r6/pp3pkp/1b1Np1p1/3p4/b1P2P2/P2R1n2/1P4PP/5R1K w - -,g2f3
8/6kp/2R3p1/p1p5/3b4/7P/P5KP/8 b - -,g7h6
r1bqk2r/ppp2ppp/1bnp1n2/3Np3/PP2P3/2P2N2/3PQPPP/R1B1KB1R b KQkq a3,a7a6
r1bq1rk1/1p1n1pbp/p1pp1np1/4p3/2PPP3/2N1BP2/PP1QN1PP/2KR1B1R w - -,h2h4:c1b1
r3k1nr/1p1q1pbp/pn1pp1p1/8/P2PPB2/2N2N2/1P3PPP/R2Q1RK1 w kq -,a1c1
r3r1k1/1p2bp1p/p3n1pB/3pPB2/3q3n/4Q1NP/PP3P2/R5RK w - -,f5e6
r1b2r2/1pq3bk/p1ppn1pp/4p3/4Pp2/PQPP1N1P/BP3PP1/R1B2RK1 w - -,d3d4
r1b1k2r/2qpbppp/p1n1pn2/1p6/3NP3/2N1BP2/PPPQ2PP/2KR1B1R w kq b6,d4b3:d4c6:c1b1:g2g4
1r3bk1/1pn2p2/5npp/p1N1p3/N1P3b1/4B3/PP2BPPP/3R2K1 w - -,f2f3
1k3r2/7R/8/8/6pP/4P3/6K1/8 b - -,f8f3
8/8/3k1p2/1p1pn3/2b2pPp/r4P1P/P2R1KB1/R7 w - -,f2e1
1r2r1k1/ppp2ppp/2nqbn2/4p3/P2P4/2PBPP2/3BN1PP/RQ3RK1 b - -,a7a6
r4rk1/1bn1qp1p/p5p1/1p1pP1P1/2pPP3/2N2B2/PPQ4P/2KR3R b - -,e7g5
rnbqkb1r/pp1n1ppp/4p3/2ppP3/5P2/3P1N2/PPP3PP/RNBQKB1R w KQkq c6,g2g3
8/1R3p1k/3r2pp/2p1n3/2Pp4/7P/P3B1P1/6K1 b - -,d4d3
r2q1rk1/1p2ppbp/p2pbnp1/8/3BP3/2N5/PPPQBPPP/1K1R3R w - -,f2f3
2r2qk1/1ppbrpb1/p1np1npp/8/3PP3/4BNNP/PP1Q1PP1/1BR1R1K1 b - -,d7e8
8/3R2p1/p4p1p/r2p1nk1/3B4/b2BP1P1/P4P1P/6K1 w - -,f2f4
8/br3pp1/2k4p/P1p5/2Bp3P/3K2P1/R3PP2/8 b - -,c6d6
7k/1p2b3/pn2p1PP/3pP3/3P1R2/4rK2/5N2/8 w - -,f3e3
8/5pk1/p1pp1qp1/4b3/PrP1Pp2/1P1R1Q1P/4NP2/5K2 b - c3,b4b8
2r2k2/r1qn1ppp/pp1R4/3Q4/1P2N3/5BP1/P3PP1P/6K1 w - -,f3g4
3r2k1/p3b1pp/8/1r6/2ppNB2/P4P2/1Pn1P2P/K2R2R1 w - -,a1a2
r2r2k1/ppnn1pbp/2ppN1p1/8/1PP1PP2/2N1B1PP/P5B1/1R1R2K1 b - -,f7e6
r7/1p1k4/p2p4/3n1Rp1/8/7K/PPP5/4R3 b - -,d5f4
r3kr2/1p1b2p1/1q2p3/2bpPn2/pn5P/P2B1N2/1PNQ1P2/R4RK1 w q -,a3b4
r1b1kb1r/2q2pp1/pn2pn1p/3p4/1p1NP1PP/1P2BP1B/P1PQN3/2KR3R b kq -,d5e4
r3r1k1/ppqb1ppp/2n2n2/3p4/3N4/1N3P2/PPPQB1PP/R3R1K1 w - -,e2f1
4b3/p5kp/2N2pp1/2bB4/6P1/4P2P/4KP2/8 w - -,e2d3
8/1R4p1/6kp/p4P2/7P/1p4K1/8/3b4 b - -,g6f6
r5k1/2p1qr1p/2ppb1pR/p1n5/4P3/1BN2P2/PPPQ2P1/2K4R w - -,d2d4
r4rk1/pp2ppbp/2bp1np1/q7/3BPP2/1BN4P/PPP3P1/R2Q1RK1 w - -,d1e1:d1d3
5k2/1p3p2/p4np1/2bp3p/7P/2P2PP1/PPN1N3/5K2 b - -,f8e7
r7/p1kn1ppp/2p5/N3r2b/PnB5/4NP2/1P1K2PP/R3R3 w - -,e3c2
r2qk1nr/1b1nppbp/p2p2p1/1pp5/3PP1P1/2N1BP2/PPPQ3P/2KR1BNR w kq c6,c1b1
8/1p5k/p1p4P/P2p1P2/3P1BP1/6K1/8/3b4 b - -,d1c2
4rr2/5p1k/3Q1Pp1/3Pp1bP/4P1B1/7K/8/8 b - -,h7h6
3r2k1/R2n1pb1/p1q3p1/4p2p/2NpP2P/2rP2P1/P4P2/1R1Q1BK1 b - -,d8a8
r1bq1rk1/pp1n1pb1/2p3p1/4P2p/2P1Q1nP/1P4NN/PB3PP1/R3KB1R w KQ -,e1c1
5bk1/5n2/4r3/Q4R1p/1p3n2/8/P3rK2/B7 w - -,f2f3
8/q5k1/2B1p1pp/3p4/6P1/2P2NKP/1P2R3/5r2 b - -,a7f7
r4rk1/pp1qb1pp/2n1pp2/1B1p1b2/3P1B2/PQR1PN1P/1P3PP1/5RK1 b - -,f5g6
r4rk1/pb4pp/1p2p3/n1p1P2q/2P4B/1BPQ3P/P4Pp1/3RR1K1 w - -,d3g3
8/3k2p1/1B4R1/P3rn1P/2p1p3/P7/4K3/8 b - -,e5b5
rn3r1k/ppq1n3/2p4p/2B1bp2/2B1p3/2P2P2/PPQN2PP/R4RK1 w - -,f3e4
r3kb1r/1pqb1ppp/p2ppn2/n7/3NP1P1/1BN1B3/PPP1QP1P/2KR3R b kq g3,a5b3
r2qnrk1/2p1bppp/p1npb3/1p1Bp3/4P3/2PP1N1P/PP3PP1/RNBQR1K1 b - -,e6d5
2kr3r/ppp1bppp/2n1p3/2Pn3q/3P4/2N1BN2/PP2QPPP/1R3RK1 w - -,c3e4
2Q5/5ppk/p7/Pp1q3P/1P6/5P2/5PK1/8 b - -,d5d6
br6/4bk2/4p3/2P2pp1/1p2P3/4BPP1/1R2K1B1/8 w - -,e3d4
r2q4/3n2kp/p2p2p1/P1pP1r2/1p6/4N2P/1P2QPP1/R4RK1 b - -,f5e5
8/5pk1/3p1np1/4p2p/2P4P/3PQ1P1/2q1BPK1/8 b - -,c2b2
4r3/5k1p/1B2pbpP/5p2/3p4/1B3P2/PP3nP1/1K2R3 w - -,a2a4
5rk1/8/p1Pp4/1p1P1q1p/1P2N3/6B1/R3B2K/8 b - -,f5e4
2rq1rk1/pp3ppp/1n2bn2/2bp2B1/3N4/2NQ2P1/PP2PPBP/2R2RK1 b - -,h7h6
r1bqk2r/pp3ppp/2n1pn2/3p4/1bPP4/P1N2N2/1P1B1PPP/R2QKB1R b KQkq -,b4e7
1r4k1/p2n1rpp/4p3/2p1P3/2P2pnq/P1B2Q2/1P1N2P1/3R1RK1 w - -,f3h3
8/3k3p/3n1p2/2R3p1/r1P5/P5P1/3N1K1P/8 w - -,c5d5
r1b2rk1/pppn2p1/2nb1q1p/3pp3/1P1P4/2PB1N2/P1QN1PPP/R1B2RK1 w - -,c2b3
5R2/8/8/7p/6b1/8/r5P1/4k1K1 b - -,a2e2
6k1/2p1qp1p/2Bb2p1/r2P3r/1pR1Pp2/1P3P2/P4QPP/2R3K1 b - -,a5a6
r3qrk1/4n1pb/p2bpp1p/1p1p4/1P1Pn2N/P1NBP2P/1B3PP1/2RQ1RK1 w - -,d3e4
3r1rk1/5p2/B1p4p/p3nnp1/Pp2N3/8/1P3PPP/R2R2K1 w - -,e4c5
8/5p2/3kp2p/5p2/r2P4/PK1R3P/5PP1/8 b - -,a4a8
8/3R2k1/6p1/6Np/5P1P/6K1/8/4r3 b - -,g7g8
r3nrk1/3q2pp/1B1p4/p2Pp3/2P4b/1PN2P2/P1Q1B2p/R4RK1 w - -,g1h1
r1b1r1k1/ppq2pp1/2pp1bnp/4p3/P2PP3/5N1P/1PPQRPPB/R4BK1 b - -,c8e6
r2n2k1/1pp3p1/p2pr3/3Q4/4P3/2Pp3P/PP4P1/4R2K b - -,c7c6
2k3r1/pp6/5p1p/3p4/q1p2Br1/P1P5/2P5/R2Q1RK1 w - -,g1h1
2r3k1/2qn1pp1/3p3p/2rPp1P1/4B3/P3Q3/1PPR1P1P/2K4R b - -,h6h5
rn3rk1/pbp1q1pp/1p2pn2/5p2/1bP5/P1N2NP1/1P1BPPBP/R2Q1RK1 b - -,b4d6
r7/pb4bk/1p5p/5n2/2P1pPB1/1P1p2B1/P5PP/2KRR3 b - -,h7g6
r1bqk2r/pppnppb1/3p3p/6pn/2PPP3/2N2NB1/PP3PPP/R2QKB1R b KQkq e3,c7c5
r1bqkbnr/pp1pppp1/2n5/2p4p/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq h6,h2h3
3q1k1r/4rppp/2Ppbn2/8/1p6/4R1P1/1PPQ1PBP/R5K1 w - -,e3d3
5q1k/6rp/1Q6/3P2p1/P1p5/6P1/5P1P/2R3K1 b - -,g7d7
1r1qk2r/Q2bppbp/6p1/3Bp3/8/2P3P1/PP3P1P/R1B1K2R b KQk -,e8g8
