8/8/pp6/1k5p/1P2RP2/3K4/8/5r2 w - -,d3e2
3r1nk1/6pp/p3Nb2/1p2q3/4b3/1Q2B1PB/PPP5/1K3R2 b - -,e4d5
8/8/6R1/1p3p2/2k4p/P5nP/1P4PK/8 w - -,g6g4
rn3k1r/pb1q1p1p/1pp1pb2/2PPp3/Q7/P1N1B3/1P2PP1P/R3KBR1 w Q -,e3h6
r2qr1k1/pp3pbp/3p1np1/2pP4/2PpP3/8/PPQNBPPP/R4RK1 w - -,a1e1
1r3rk1/4bpp1/2p2n1p/p3q3/N1b5/6P1/P1Q1PPBP/1R1R2K1 w - -,c2c4
3r1rk1/pb1nqpbp/1p2p1p1/2p5/2BPP3/1QP2N2/P4PPP/2BRR1K1 w - -,c1g5
5rk1/2p1bppp/b1qp4/1p1P4/8/N7/1PP2PPP/2BQR1K1 b - -,c6d7
4rbk1/1p1r1p1p/p1p3p1/P2q4/Q2Pp3/4P2P/1PRB1PP1/5RK1 b - -,d5g5
rnb2rk1/pp2p1b1/2pp1n1p/4P1pq/1PPP1p2/1Q3NP1/PB1N1PBP/R3R1K1 b - -,f6h7
2R5/1p2k2p/6p1/1P2b1N1/4P3/p4PP1/6KP/1r6 w - -,c8a8
r1b1k1nr/1pqp1ppp/2n1p3/1N6/4P3/8/PPP1BPPb/R1BQ1R1K b kq -,c7b8
r3r1k1/pp3pp1/2pqbn1p/3p4/3P4/2PBPN1P/P1Q2PP1/R4RK1 w - -,c3c4
8/8/6p1/5n1p/4pk1P/2N4K/5P2/8 w - -,c3d1
r3k2r/p1qbnpbp/2npp1p1/2p2P2/p3P3/3P1NQ1/1PPNB1PP/R1B2RK1 b kq -,e6f5
1r1qr1k1/5pbn/p2p2pp/1bp5/1n2PPP1/4B1NP/1PPQN1B1/R2R2K1 w - c6,a1b1
8/P7/6k1/8/8/1p3bKP/1B6/8 b - -,f3b7
8/5pk1/1p1Q2p1/2PPn2p/1P1q3P/6P1/6K1/8 b - -,d4d2
r1bqkb1r/1pp2ppp/p1np1n2/4p3/B3P3/2P2N2/PP1P1PPP/RNBQK2R w KQkq -,d2d4:d2d3:e1g1
2r5/1R3p2/3p1k1p/p1r1p1N1/5nKP/7P/5P2/R7 b - -,h6g5
1R4k1/6p1/4p3/3pPq1p/3Bp2P/4P3/2Q2P1r/5K2 b - -,g8h7
8/4k2p/4PnPP/4KP2/8/8/8/8 b - -,f6g4
r3r1k1/pb3ppp/2pb1n2/q3n3/1p2P3/1NN1B2P/PPQ1BPP1/R3R1K1 b - -,a5c7
8/8/1R1p2nk/2pPp3/2P1P3/3Nb1P1/6BK/3r4 w - -,b6b3
rn3rk1/pp2ppbp/2p1bnp1/2Pp4/3P1B2/1PN1PN1P/1P3PP1/R3KB1R b KQ -,f6e4:a7a6
5r1k/p5p1/2QR3p/bP6/4Bp2/3K1P2/6q1/8 b - -,g2d2
rnbq1rk1/ppp1ppbp/3p1np1/6B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQ -,b7b6:b8d7:c8g4:c7c6:c7c5:h7h6
r1bqr1k1/p2n1pbp/3n2p1/1ppP4/5P2/1PN1B1PP/P2QN1B1/3RR1K1 b - -,b5b4
2rr2k1/pq3pp1/np2pn1p/2p1P3/2NP4/P1P5/1B2QPPP/R3R1K1 b - -,f6e8
4rr1k/pp1qn1b1/2pB1n1p/4pPp1/1QP5/2N3P1/PP4BP/3R1R1K w - -,d6e5
r1bq1rk1/ppp2ppp/4p3/3n4/2Q5/2PP4/P1PBNPPP/R3K2R b KQ -,b7b6
2r1k3/p5pp/1p6/4Np2/4n3/bPB1P3/P1R2PPP/5K2 w - -,e5c4
3rrbbk/4q3/5R1p/3p2PP/1ppPp1B1/4P3/1P3Q2/1N3RK1 b - -,f8g7
8/r4pp1/Pr1pk2p/4p3/R3P3/P2K1P2/6PP/3R4 b - -,a7a6
r1bqnrk1/pp1n2bp/2pp2p1/2P2p2/1P1Pp3/P3P2P/3NBPPB/R2QNRK1 b - -,d6d5
q1r1n1k1/1br2p1p/1p4p1/pP1pp3/P7/Q1P1PN2/3N1PPP/2RR2K1 b - -,f7f6
4k3/1R5p/5pp1/3Pp3/p3P3/R3BP2/1Pn1qPKP/8 b - -,c2e1
rn3rk1/1pq2pbp/p2p2p1/2pP3n/P3P1b1/1QN1BN2/1P2BPPP/R3K2R w KQ -,h2h3
6k1/3n2p1/p3r2p/4p2R/2r1p3/6P1/1B3P1P/R5K1 w - -,a1d1
6k1/pp1r1pn1/2p1p3/2P1P1Qp/7P/2PrP3/P7/5R1K b - -,d3d1
r2q4/2pr1pk1/p1n2n1p/2b1pN2/1p2P3/1PPP3P/4QPP1/R1BR2K1 b - -,g7h7
2k3r1/p2b3p/1p2p3/3p4/PPpP1q2/8/2B2Q1P/RN2K3 b - -,f4c1
r5k1/6pp/1p6/1N2bp1P/PP3R2/B3PpK1/5P2/3r4 w - -,g3f3
b1rr4/5p1k/p2pp1pb/1q5p/4PPnP/1P3NP1/PB1RQ1B1/4R2K w - -,f3h2
b7/8/P1p2p2/8/3P4/6P1/5K2/5B1k w - -,f1h3
8/p3Rpkp/1b4p1/3B4/2KP1N2/6P1/2b4r/8 w - -,e7f7
r1bq1rk1/1p2ppbp/2np1np1/p7/4P3/1NN5/PPP1BPPP/R1BQR1K1 w - a6,a2a4
rnbqkb1r/1p3ppp/p1p1pn2/3pN3/2PP4/2N3P1/PP2PP1P/R1BQKB1R b KQkq -,b8d7
5k2/6p1/8/8/R2KPP1p/6r1/8/8 w - -,d4e5
r1r4k/6b1/5npp/q1N1pn2/2Q1N3/4BP2/P5PP/R4RK1 w - -,e3f2
r2q1k2/2p1bpr1/p5p1/1p1p4/8/2P5/PP2RPPP/RN1Q2K1 w - -,b1d2
3rN1k1/pp4bp/5n2/3p2pq/1B2p3/1P2PpPb/P1Q2P1P/2RR1BK1 b - -,h3f1
4rbk1/1bq3p1/p2p1n2/1p2p1N1/2n1PP2/P1NQ3B/1PP5/R1B1K3 b Q -,e5f4
8/8/2p4p/1p1k1K1P/2n5/1N6/P7/8 w - -,f5g6
rnbqkb1r/p1p2p1p/1p2pp2/8/3P4/4BQ2/PPP2PPP/R3KBNR b KQkq -,c7c6
1r4k1/5p1p/3p1np1/1b1P4/p3PP2/3NB3/1PR1K1PP/8 w - -,e3a7
rnbqk2r/pp1pppbp/5np1/2p5/2P5/2N3P1/PP1PPPBP/R1BQK1NR w KQkq c6,g1f3:e2e4:e2e3
5r2/p7/2k1p3/2b1B3/P1p1P1p1/2P5/2KR2P1/8 w - -,e5d4
r1bqk2r/1p1nbppp/p1n1p3/2ppP3/3P4/2PB1N2/PP1N1PPP/R1BQ1RK1 w kq -,f1e1
r5k1/1p3rbp/pBnR1pp1/3Npb2/7P/5N2/PP3PP1/5RK1 b - -,a8e8
8/6np/1pkb1Np1/p1p3P1/P4PK1/1P2N3/2P5/8 b - -,g7e6
r2qk2r/1pp3pp/p1nb1p2/2p1p2b/4P3/1QPPBN1P/PP1N1PP1/R4RK1 w kq -,d3d4
2r2r1k/1p2b1pp/p2p1n2/P2Ppq2/2P2p2/1PN2P2/5BPP/R2Q1R1K b - -,f5d7
2rr2k1/pp1n1pp1/2p1p1qp/8/2PP4/1P2Q1NP/P2R1PP1/2R3K1 b - -,d7f6
rnbqkb1r/p2p1ppp/1p2pn2/2p5/2PP4/2N1PN2/PP3PPP/R1BQKB1R b KQkq -,c8b7:c5d4:f8e7:d7d6
8/6K1/3r3P/5k2/8/8/8/8 w - -,h6h7
r1q2rk1/pp2ppbp/2pp1np1/8/3BP3/3P2Pb/PPP1NPBP/R2Q1RK1 w - -,d1d2
r4rk1/1b2qppp/p1p2nn1/1p3NB1/4P3/8/PPQ1BPPP/3R1RK1 b - -,e7e4
4n3/1R1N4/3kpr1p/3pN3/P2n1p1P/6P1/5P2/6K1 w - -,d7f6
8/5p1k/1P4pp/4b3/4P1P1/2p4P/4N1K1/8 w - -,b6b7
5rk1/pp2q1pp/n1pRbp2/Q7/2n1P3/2B3P1/PP3PBP/3R2K1 w - -,d6e6
Q7/3B2k1/1p3r2/8/1p4p1/1Pb3p1/P4P2/6K1 b - -,g3f2
8/p7/P3R3/4K3/5p2/4bk2/8/8 w - -,e6f6
2r2knr/ppp2pp1/2p1b2p/4B1b1/4P3/1PN2P2/P1P1B1PP/1K1R3R w - -,f3f4
r5n1/1Rpk1r2/p1p3pp/b7/3BP3/3P3P/P1P1N1P1/3K3R w - -,b7b3
5rk1/7r/6p1/p2pPpP1/2pP1R2/2p3QP/P3q2K/5R2 w - -,f1f2
r3r1k1/1p3qpp/2p1b3/p1N1Pp2/3Q1P2/bP3BP1/P1R1P1KP/3R4 b - -,e8e7
r3kb1r/pb3pp1/1pn1p2p/2ppq3/Q6N/N1PP4/PP2BPPP/R3R1K1 b kq -,f8d6
k3qr2/1p3p1P/p3p3/1b4Q1/4P1P1/2P5/PPB5/1K1R4 b - -,f8h8
6k1/5p1p/3R2p1/8/5P2/5K2/6PP/4r3 w - -,h2h4
3r4/pqp2kb1/6pp/1pBrP3/3P2n1/1P3QP1/P4P1P/R3R1K1 b - -,f7g8
