8/6r1/8/8/4k3/R3p1p1/6K1/8 w - -,a3a4
1rbn1r2/1p4bk/pP1p3p/2p1p1pq/2P3p1/P1NPPQP1/3B1PNP/1R3RK1 w - -,f3e2
2R5/pr4k1/1p1p2q1/1P1Qp3/P3P1p1/4BpP1/2K2n2/8 b - -,g6e4
8/1p3p2/2pkb2p/5p2/1P1K1P2/6P1/4P1BP/8 w - -,g2f3
8/5pk1/3bp2p/6p1/6P1/2rB3P/R4PK1/8 w - -,d3b5
b7/5pk1/2p1p1pp/2Q1P3/1P2BP2/6PP/8/3q2K1 w - -,g1h2
r1b2rk1/2pp1pbp/1np1q1p1/p3P3/2P1Q3/2NB4/PP1B1PPP/R4RK1 w - -,a1e1
5bk1/2qpQp2/2b1p1p1/8/1r1pP3/1B1P1N2/1PP3PP/5RK1 w - -,e7h4
8/8/2r4p/Rp3k2/p2B1P1K/2P1P3/4b3/8 w - -,a5a8
2r2rk1/pb2bpp1/p2p3p/N3p3/R6P/2B3P1/PPP2P2/2K1R3 b - -,b7d5
3r4/1p3pk1/p2p2p1/3Pp2n/PP2P3/2R5/3N1N2/6K1 b - -,d8d7
5r2/pp3rkp/2p3p1/3pR2n/3P1n2/2PB3P/PPKB4/5R2 b - -,f4h3
rnbqk2r/1p3pbp/p2p1np1/2pP4/4P3/2NB1N2/PP3PPP/R1BQK2R w KQkq -,h2h3:a2a4
2r4k/p4p1p/1n5r/2p5/1P1p1P2/3R1B1P/P5P1/2R3K1 b - -,b6a4
5rk1/1p2q1p1/7R/2Q2p2/5p2/1B3n2/PP2r3/1K4R1 b - -,f8f7
3r2r1/1b3k2/ppqpp2p/5p2/P1P1nP2/1PNB3P/5QPK/2R3R1 w - -,c3e4
r1bq1rk1/pppn1pp1/4pn1p/8/2pP3B/2Q1PN2/PP3PPP/R3KB1R w KQ -,f1c4
2krr3/1p1q1p1p/1bn3p1/1NR2n2/p2p1BB1/P5P1/1P1Q1P1P/2R3K1 b - -,b6c5
2k4r/p2bn3/1pn1pr1p/3p2p1/q1pP4/P1P2N2/R1PBBPPP/3Q1R1K w - -,f3e5
b2br1k1/r4pp1/p2p3p/2p4P/2PpP1P1/1P1B1P2/P2B1K2/3R3R b - -,f7f6
1r3rk1/3b1pbp/p2p1np1/q1p5/2P1P3/2N1BP2/PP1QB1PP/R4RK1 b - -,d7e6
r2qk2r/1p2bppp/p1n1pn2/2p5/3pP3/2PP1N1P/PPB1QPP1/R1B2RK1 w kq -,c1f4
5rk1/rpNb2pp/p1n5/3pP3/1Q6/8/PP3PPP/R3R1K1 b - -,c6b4
r3kb1r/1bq2pp1/p1nppn1p/1p6/4PP2/PNN5/1PP1BBPP/R2QK2R w KQkq -,e2f3
6k1/5p1p/1nN1p3/1P4p1/6P1/2r2PKP/8/R7 b - -,c3b3
8/p2b3p/3p4/1ppPk2n/4P3/5K1P/PP3N2/5B2 b - -,e5d4
r4rk1/ppq1bpp1/2p1pnp1/2Pp4/2nP4/1QN1P1P1/PP3PBP/R3BRK1 b - -,b7b6
r1bqrbk1/1ppp1ppp/p1n2n2/4p3/B3P3/2NP1N2/PPP2PPP/R1BQR1K1 w - -,c1g5
r1b3k1/p4rpp/1qp1p2B/4Pp1B/3b4/P5Q1/5PPP/3R1RK1 b - -,f7c7
r2r1bk1/3n1ppb/q1p1pn1p/pp1p4/2P1P3/PP1P1NPP/1B1N1PB1/2QRR1K1 b - -,a5a4
8/8/8/8/5p2/4pKp1/4N3/3k4 b - -,g3g2
r2q1rk1/1pp2pbp/p1n1bnp1/4p1N1/4P3/2NBB2P/PPPQ1PP1/R4RK1 b - -,d8e7
5rk1/R2Q3p/3p2qb/2p1p3/2PnP3/6P1/6BP/6BK b - -,d4e2
rnbqk1nr/pppp2bp/6p1/4pp2/2P5/3P1NP1/PP2PPBP/RNBQK2R b KQkq -,b8c6
1r3rk1/4ppb1/ppqp2pp/2n5/P1P5/Q3P2P/1P2BPPB/R2R2K1 b - -,c6e4
8/5R2/6K1/2pk3p/8/7r/5P1P/8 b - -,h3h2
3r1k2/6bp/q1rn1pp1/B1p1p3/2P1P3/5N1P/2Q2PP1/R2R2K1 b - -,d8a8
1r1qnrk1/1ppbn1bp/p2p2p1/3Pp3/1PP2P2/4p1PP/P1Q1N1B1/1RB1NRK1 b - -,e5f4
r1b2rk1/p1qnppbp/1ppp1np1/8/P2PP3/2N1BN1P/1PP1BPP1/R2Q1RK1 w - -,d1d2
r2q1rk1/1bpn1ppp/4pn2/2Pp4/1P3Q2/P4NP1/4PPBP/RN3RK1 b - b3,f8e8
2r1k2r/1b1n1p2/p1q1p3/1p1pPp1p/1P1N1P2/P4B2/2PQ2PP/2KR3R b k -,c6c3
8/8/1b2p1kp/1p1pP3/p2P4/P1B2KP1/1P6/8 b - -,h6h5
1k6/1p2Rppp/p1n5/5b2/1P6/P1N5/3r1PPP/R4BK1 b - -,c6e7
5rk1/1N2bpp1/p6p/4P3/2r5/2n5/P2R1BPP/5RK1 b - -,e7h4
6k1/1b3pp1/pr1p1r1p/R3p3/2P1P3/RP5P/4BPP1/6K1 b - -,f6e6
8/8/K5p1/1P6/8/4k3/5p1P/8 b - -,f2f1q
rn1qk2r/1b2nppp/p2b4/1p1p4/P1PP4/5N2/2PNBPPP/R1BQR1K1 b kq -,b5c4
8/8/8/2k5/5pKP/5P2/3b2P1/1B6 w - -,g4f5
1rbq1rk1/1p1nppbp/p1pp1np1/6B1/2PPP3/2N2P2/PP1Q2PP/R1N1KB1R w KQ -,a2a4
r1bq1rk1/1ppn1pp1/p3p2p/4P3/3PN3/5N2/PPPQ2PP/R3KR2 w Q -,e1c1
1r2n1k1/2p1qppp/1p1r4/p2Pp3/P1Q1P3/3R1PPB/7P/2R3K1 b - -,b8a8
2rr2k1/1p1q1bb1/p1p1p1p1/3p1pPP/P1PP1P2/1P1B1P2/1BQ3K1/4R2R b - -,g6h5
8/8/2NK1k1p/5p2/5P1P/3b4/8/8 w - -,c6e5
8/6p1/7p/p3k2P/Pr4P1/4P1K1/8/R7 w - -,a1f1
5R2/8/8/3K4/6k1/8/5p2/8 b - -,g4g3
2k5/1pp3p1/p2rpn1p/4p3/4P3/5QNP/1P1q1PP1/5RK1 b - -,d6d3
rnbqk2r/pp3p2/4p2p/2ppP1p1/3P4/P1P3B1/2P2PPP/R2QKB1R b KQkq -,d8a5
Q7/5kp1/p1rp1p1p/1p1RP2P/1P3P2/5PK1/8/6q1 w - -,g3h3
8/2r1k1p1/1pP4p/p2Bp3/P7/6P1/1R4KP/1b6 b - -,e7d6
8/6p1/6B1/p5P1/P1pK4/nk6/8/8 b - -,c4c3
8/5N2/p3R3/1pp3k1/1n2P3/1P1PK3/2r5/8 b - -,g5g4
7k/8/p2r1b2/3p1P1p/8/P7/1P3P2/1B2R1K1 w - -,e1e6
2r3k1/3rppbp/q1p3p1/p7/Q3N3/PP6/2P2PPP/3R2K1 w - -,d1d7
2R5/4q2p/6p1/6Pk/1p1QPP2/7r/8/6K1 w - -,g1g2
r3k2r/p1pqn1pp/np2p3/3pPp1Q/P2P4/2P5/2P2PPP/R1B1K1NR b KQkq -,g7g6
1r2brk1/p6p/2p2p2/q1Pp4/N2pN3/1P6/P1Q3PP/R3R1K1 b - -,d5e4
r3kbnr/1pp1q1pp/p3bp2/2p5/4PB2/1NN5/PPP2PPP/R2Q1RK1 b kq -,e7f7
q2rr1k1/p2npbbp/1pp2p2/Q2P2p1/2P5/1B3NBP/PP3PP1/3RR1K1 w - -,a5a3
2kr1b1r/p1ppqppp/bnp5/4P3/2P1QP2/8/PP1N2PP/R1B1KB1R b KQ f3,f7f6
6k1/5pp1/4p2p/1Bp1b3/5P2/1P4P1/7P/6K1 b - f3,e5d4
r4rk1/pp1bn1pp/2n1p3/3pPp2/8/P1NBB3/2P2PPP/R3K2R w KQ -,e3c5
1r3bk1/4p3/4p2p/2B2p2/np1P4/1N5P/5PPK/4R3 w - -,e1e6
1r1r2k1/1pn2p1p/p1bp1qp1/2p5/4PN2/2P3P1/PPQ2PBP/3R1RK1 w - -,h2h4
5k2/2n2pp1/p2N3p/1p2p3/4P3/PP2KPP1/7P/8 w - -,f3f4
2kr4/2b4p/5pn1/pB6/1p1PP2P/1P3KB1/8/2R5 b - -,g6h4
8/1p2r3/pR2bk1p/3B1p2/1P3K1P/6P1/8/8 w - -,d5b7
r4rk1/pbqnppbp/1ppp1np1/8/3PP2N/2N1B1PP/PPPQ1PB1/1R3RK1 b - -,c6c5
r2q1r1k/1bp1bpnp/pp1p1npB/3Pp3/P3PP2/2N4P/1PPQ2PN/R3RBK1 b - f3,f6g8
8/1p3pk1/2p2r2/p5p1/P4PP1/1PQ1P3/q2RK3/8 b - -,a2b1
2R3B1/pp6/7p/3nk1p1/3r1p2/PP4P1/4KP1P/8 w - -,g8d5
4bk2/2p2pBp/2pb4/8/r1P2n2/1N5P/1P4P1/1B2R1K1 b - -,f8g7
2r2r1k/6bp/pB4p1/1p6/8/q4B2/P1R2PPP/3Q1K1R b - -,c8c4
8/5p2/2r3k1/2P2p1p/7R/6RP/5PPK/1r6 b - -,g6f6
1q1r2k1/p3npp1/1p1Rp2p/3bP3/8/2B3Q1/PP3PPP/5BK1 w - -,c3d2
3rr3/1ppk2pp/p4p2/3Pn3/N2KP3/7P/PP4P1/2R2R2 b - -,d7c8
