1R6/8/3p4/P2P1npk/1P1r3r/2R5/6KN/8 b - -,d4d2
r3rnk1/pp1q1ppp/2p1b3/3n2B1/3P4/P2B1N1P/1PQ2PP1/3RR1K1 b - -,h7h6
r1bq1rk1/ppp1ppbp/1n4p1/n2P4/4P3/6P1/PP2NPBP/RNBQ1RK1 w - -,b1c3
1r6/1r4k1/p2R1p2/P2PP1p1/n7/6P1/1p5P/1B3R1K b - -,a4c3
5rrk/1p6/3p2Bb/pP1Np2P/2P2Pq1/1P1Q3R/8/5K2 b - -,h6f4
4rq1k/2r3pp/R3Rn2/2p1Np2/2Q5/4PP2/5PKP/8 b - -,f8g8
r5k1/4q2p/p2p2p1/Ppp1bb1N/4p3/1P1nBPQP/6P1/3R1RK1 w - -,h5f4
rn3rk1/pbq2pbp/3pp1p1/3n4/2NP4/2P2N2/PP2BPPP/R1BQ1RK1 w - -,f1e1
r4rk1/ppq2ppp/2p1pnb1/4n3/R2P1B2/2P1P3/3QBPPP/5RK1 w - -,f4e5
Q7/2p2pkp/p2q2r1/1p4B1/2np4/1B5P/PP3P2/6RK w - -,a8f3
8/1p3k1p/2b5/pn4R1/6PP/1P2K3/8/8 w - -,h4h5
1r3r2/p6k/4B2p/7p/3b4/3N2P1/PP2PP1P/R5K1 b - -,b8e8
r1bqk2r/pppp1ppp/5n2/4p3/2n1P3/P1NP4/1PP2PPP/R1BQK2R w KQkq -,d3c4
6r1/pp6/3p3p/4k3/1P2np1N/2PBb2P/PK4P1/4R3 w - -,h4f3
1r4k1/8/2B3pp/2b5/2R4P/6P1/N2nP1K1/8 b - -,d2c4
br1q1Bk1/5p1p/4p1p1/4b3/2PN4/2Q2P2/2B5/R4R1K w - -,c3e1
r2q1rk1/4bppp/p1n1bn2/1pppp3/4P3/2PP1N1P/PPB2PP1/R1BQRNK1 w - -,e4d5
r3k1nr/pp2ppbp/1q1p2p1/3P4/4P3/6PP/PP2QPB1/R1B1K2R b KQkq -,b6b4
2rqr1k1/pp1nppbp/5np1/3p4/3P1B2/2NQPN2/PP3PPP/2R2RK1 w - -,c3b5
r1b2rk1/pp2pp2/6pp/2PQ4/8/5N1P/P2q1PP1/1R1R2K1 b - -,d2d5
5R2/8/3p1k2/3r1p2/2p5/4K3/6P1/8 b - -,f6e7
4r1k1/p5p1/6qp/2p2p2/2Pp1P2/P2P2P1/3Q2KP/4R3 b - -,g8f8
r1bk4/p2nq1b1/4p1Q1/1p1pP3/2pP4/2N3P1/PP3P2/R3K2R w KQ -,c3b5
8/p1k1b2p/7r/p1p1p1p1/4P3/4B2P/1PP2PP1/R4K2 w - -,a1a5
r5k1/p4pbp/Bpb3p1/4r3/8/1PP1B1P1/4PP1P/R2R2K1 b - -,e5d5
8/2R3pp/8/4k3/8/1pP3K1/1Pr4P/8 b - -,c2b2
8/1p3k2/2p1n3/1p2B2p/1P5P/2P2K2/8/8 b - -,e6f8
4r1k1/1p4p1/p1p1np1p/4p3/3rP3/1P1PN2P/1PP2RPK/5R2 b - -,d4d7
r2r2k1/pp3pbp/1q4p1/n1pp1b2/P4B2/Q1P1PN2/1P2BPPP/3R1RK1 w - -,b2b4
8/p7/8/3kp3/3p3p/P2K1P2/1PR3P1/6r1 w - -,c2f2
3r4/2q1ppkp/2bp1np1/rp6/P3PP2/1BN5/2PQ2PP/4RRK1 w - -,a4b5
1r5k/p3p3/1p2P3/3P2PP/3b4/7P/P5B1/5R1K b - -,b8c8
5r2/1pkn1r1p/p1p5/8/PP1p4/6PP/2R2PBK/3R4 w - -,h2g1
r3k2r/ppp2ppp/5b2/8/5B2/5b2/PPP2PPP/2KR3R w kq -,h1e1
8/1r2p3/p4k2/3Q2R1/4P1Pp/8/5PKP/1q6 b - e3,e7e6
r3r1k1/p1b3p1/1p1P2Q1/4p1p1/2P5/B1qP2p1/5PNP/R3R1K1 w - -,h2g3
5rk1/ppp2p1p/2n2bb1/3P4/2B2Bp1/q3P1N1/2PQ2PP/1K1R3R w - -,d2d4
8/p7/1p3rk1/4Rpp1/PP1R4/3P2P1/4K2r/8 w - -,e2f3
r2q1rk1/pbp3pp/np1bpn2/5p2/2P5/3NP1B1/PPQN1PPP/2KR1B1R b - -,d8e8
6k1/2q2p1p/p5p1/3B4/1pP2P1b/1P1R2n1/PQ6/6K1 b - -,c7c5
8/8/5k2/1R6/2K4P/6P1/6r1/8 w - -,b5g5
8/4n1k1/4r2p/8/1Rp1pr2/2P1N3/5P1P/3R2K1 w - -,b4c4
3r4/p3p1kp/1p3qp1/2p2p2/2b1P3/P1N1QP2/1PP2P1P/1R4K1 w - -,b2b3
3rr3/pp4kp/2p3p1/2p1pb2/3q4/1PNP3P/P1PQ1PP1/4RK1R w - -,c3e2
r1bqk1nr/ppp2ppp/2n5/2p1p3/4P3/6P1/PPPP1P1P/R1BQKBNR w KQkq -,f1g2
8/8/5k2/pNpP4/4p3/2P3PP/PP5K/8 w - -,h2g2
3r4/pB2nk1p/3r1pp1/2p2p2/2PP4/P3P3/5PPP/3RR1K1 w - -,b7f3
4r1k1/p1rq1pb1/1p5p/3p4/Pn1P1p2/6P1/PB3RBP/1Q3RK1 w - -,f2f4
4r2k/pp1qr1bp/2p2p2/2Pp2p1/4n3/2P1BN1P/PPQ2PP1/R3R1K1 b - -,f6f5
rnbqkb1r/ppp2ppp/4pn2/3p4/3PP3/3B4/PPP2PPP/RNBQK1NR w KQkq -,e4e5:e4d5
5Qbk/8/2BBp2p/4Pp2/5p2/8/8/3q1K2 w - -,f1g2
r5k1/1q2ppbp/6p1/2pPP3/4Q3/2B3PP/1P4K1/4R3 b - -,a8d8
1k6/8/1p4p1/4p1P1/5r2/3P1nKP/1P6/7R w - -,h3h4
1rbqrnk1/5ppp/p7/5PbR/Np1pp3/1P6/P1PN2BP/2R1BQK1 w - -,c1d1
r1b2rk1/pp3ppp/2p5/4q3/1bP1p3/2N1P3/PPQ1BPPP/R3K2R w KQ -,e1c1
r1bqk2r/2pp1ppp/p1n2n2/1pb1p3/4P3/1BNP1N2/PPP2PPP/R1BQK2R b KQkq -,c8b7:d7d6:h7h6
1r6/p2bk1rp/8/2P1Np2/7R/P1R3P1/1P3P1P/6K1 b - -,b8b2
rn1qk2r/ppp1bppp/3p1n2/7b/3P4/2NB1N1P/PPP2PP1/R1BQK2R w KQkq -,c1e3
r3kb1r/pp1q1ppp/1n1pp3/1N2P1N1/1n1P4/8/PP3PPP/R1BQ1RK1 w kq -,d1h5
r1bqr1k1/1pp1bpp1/p1n1p2p/3p2n1/2PP4/P1NBPN2/1PQB1PPP/3RK1R1 w - -,f3e5
r3k2r/pp1q1p1p/4p1p1/nb1pP3/1bnP4/2N3Q1/PPB1NPPP/R1B2RK1 w kq -,a2a3
2kr2n1/1bqn1p2/p1p3r1/1p2p3/4P3/3N1P2/PPP3Q1/2KR1BNR w - -,g2f2
3n4/3k4/1P6/3K4/8/7N/6p1/8 w - -,d5e4
3q1rk1/5r1p/p2p2p1/1p1Pp1bn/8/P1PBB1PQ/1P5P/4RR1K w - -,e3g1
rqb1r3/1p1n1k1p/p2Pp1p1/6N1/3Q2P1/1B5P/PP3P2/4R1K1 b - -,f7g8
r2q1rk1/pp3pb1/2npbnpp/2pNp3/2P5/P2P2P1/1P1NPPBP/R1BQ1RK1 w - -,a1b1
2k5/7b/2p1Np1r/p1b4p/2P4P/P3P3/1P3PP1/K2R4 b - -,c5e7
8/1pr2k2/p2R1n1p/5p2/5P2/2p1PP1P/P4K2/1R6 w - -,f2e2
2r2rk1/1p1nbppp/pqn1p3/3p4/Q7/2NP2P1/PP2PPBP/1RB2RK1 w - -,c1d2
5rk1/1r3qpp/3Q1p2/pp3P2/3PR3/7P/6P1/4R1K1 b - -,f7d7
8/6pk/R3P3/1p1n4/7p/5PKP/1r4P1/8 w - -,g3h4
8/6k1/8/4pp1p/8/8/3N1PP1/6K1 b - -,g7f6
6k1/1b2rpb1/2BRn1p1/4P2p/1rp2P1P/p3B1P1/P3N3/2R3K1 w - -,e2c3
5n2/5q1k/2p3pp/2p1P3/2b1p2N/2N3PP/2Q2B2/6K1 w - -,c3e4
r3r1k1/1pq1bpn1/2p1b1p1/p2p4/P2P2P1/4PPN1/5Q1P/BB1RR1K1 b - -,e7h4
3R4/8/8/3n1pN1/2k4K/4p1PP/8/5r2 w - -,d8e8
r1bq1rk1/ppp3bp/6p1/3p2N1/3p1P2/3B4/PPP3PP/R2Q1RK1 b - -,d8d6
8/5k2/R7/7p/P4pp1/1P4P1/2N2K1P/3r4 b - -,d1d2
8/6b1/3p3k/1pp2rp1/3P3r/2P4P/1P5K/R5R1 w - -,a1a6
8/1p1n2pp/1prbkp2/3Np3/PP2P1P1/2BK1P2/7P/4R3 b - -,h7h6
1r1q1r1k/1ppb1pbp/p1np1np1/4p3/B1P1P3/2NPBN1P/PP3PP1/2RQR1K1 b - -,d7e6
1rbq1rk1/pp2ppbp/6p1/3N4/3n4/4B3/PPPQBPPP/R4RK1 w - -,e3d4
8/1pq2rpk/p2pQ2p/P1rR4/2P5/1P5P/6PK/4R3 w - -,e6e4
r1b1r1kb/3np2p/p2p1ppB/q1pPPPN1/2B5/2PQ3P/P5P1/4RRK1 b - -,f6g5
r3kb1r/1p1bpppp/p1n2n2/8/3NPB2/2N5/PP3PPP/R3KB1R w KQkq -,d4c6
7R/1P5k/8/8/4K3/8/5r1p/8 b - -,h7h8
r2q1rk1/1b2bppp/p2p1n2/1p1Pp3/n3P3/5N1P/1PBB1PP1/RN1QR1K1 w - -,c2a4
2r2r1k/1b3qb1/pp1p3p/2p3pN/P2p2P1/N1P1Pp1P/1PQ4B/R4RK1 w - -,e3d4
2r3k1/3b1pb1/3p1n2/3Pp2p/p3P3/1rN3R1/3B1P2/R2B1K2 b - -,b3b2
1r2r1k1/2q2pbp/2ppnnp1/p7/4PP2/P1N1B1PP/1P2RQBK/3R4 b - -,b8b3
