8/2n2p1k/3p4/8/1PP1K3/8/8/8 b - -,h7g6
2b2rk1/r4ppp/2p1p3/pp6/2pPB3/2R1P1P1/PP3P1P/2R3K1 w - -,e4c6
R7/P3p2k/6p1/3Pr2p/8/4b3/4KP2/8 w - -,a8h8
r2qk2r/pp1nbppp/2p2n2/4p3/4P1b1/5NP1/PPPN1PBP/R1B1QRK1 b kq -,e8g8
1rbqr1k1/1p3pbp/p2p1np1/2nP4/P1p1PP2/2N3NP/1PB3P1/R1BQ1RK1 w - -,c1e3
6k1/1b4pp/4pn2/1p2N3/3P4/8/q1r2PPP/3Q1RK1 b - -,b5b4
1r6/Q4pk1/4b3/7p/3p1qp1/3B4/PPP4P/K2R4 b - -,b8d8
2rq1r2/pp2bb1k/1n1ppnpp/5p2/2PP1PP1/1PN4P/P1N1BR2/R1BQ2K1 w - -,f2g2
3q4/2r3kp/p1B2Pp1/4p3/2P2b1P/1R3Q2/1P3PK1/8 b - -,d8f6
5rk1/7p/3N2p1/4Pp2/5PP1/6KP/8/8 b - -,g8g7
3rr1k1/1b4pp/p3p3/P1B2p2/5n2/8/1P3PPP/2RR1BK1 w - f6,b2b4
2kq3r/4bp1r/p1p1p1p1/Pp1pP1P1/1PnP1B1p/2P2B1R/4RPP1/2Q1K3 b - -,c8b7
2rr2k1/p4pp1/1q2p2p/3pP3/8/2pR3P/PP3PP1/2RQ2K1 w - -,b2c3
2r5/p2k4/4p3/4b1P1/4B2P/2nP3K/2R2P2/2R5 w - -,h3g4
4rr1k/6bp/p1n1p3/1pqp1pN1/2p2P2/P1PP3P/1PB3P1/R2Q1R1K w - -,d1h5
1r4k1/p3Rp1p/b2P2p1/8/1B1b4/P2n2P1/3N2BP/7K w - -,g2d5
2q3k1/1b2pp2/pQ1p2pp/3P4/4P1P1/6B1/P4PPK/8 w - -,f2f3
r4rnk/pp1qnppp/3p4/2pP4/2P1PB1N/2PB2Pb/P1Q4P/R3R1K1 b - -,e7g6
8/4k3/8/5pnB/1K3p2/8/8/8 b - -,f4f3
3k4/4p3/3pp2p/p5p1/B1PbPPP1/7P/4K3/8 w - -,e2d3
3Q4/5pk1/1p4p1/p7/2P2q1p/1P5P/P5P1/6K1 b - -,f4e3
r1b2rk1/ppp1qppp/nb1p4/3P4/3P3N/P5P1/1P3PBP/R1BQ1RK1 w - -,c1e3
r1bqk2r/1p1n1ppp/p2bpn2/2p5/P1BP4/1P2PN2/5PPP/RNBQ1RK1 w kq -,c1b2
5rk1/1ppn2qp/1b1p4/3Ppp2/1PP3p1/3P2PP/3BQP1K/R4B2 w - -,d2e3
8/8/8/8/P1p5/2k3R1/r7/2K5 b - -,c3b4
2kr3r/2p1n1pp/1p1q1p2/pPb2b2/1nBp4/BQ1P1N2/P2N1PPP/R1R3K1 w - -,f3h4
r2qk2r/pb1nbppp/1p6/2pp4/3P4/P4NP1/1PQBPPBP/R3K2R b KQkq -,e8g8
1k1b3r/pppr1p1p/2n3p1/8/3PN3/P1PB3P/1PK3P1/3R1R2 w - -,g2g4
1k6/2p5/1p6/p7/3q2P1/8/4QP2/5K2 b - g3,d4d5
1rb1rbk1/2q2ppp/p2p4/1p2p2n/Pn2PP2/1PN2B2/1BPQ2PP/R4R1K w - -,f3h5
rn1q1rk1/pbpp2pp/1p2p3/3P1p2/2P5/P5P1/1P1nPPBP/R1BQR1K1 w - -,c1d2
r3k3/5pp1/bpn1p3/2bpP3/1P5P/P4N1R/2QK1PP1/1R1N1q2 b q -,a6c4
r1b2rk1/p1q1b2p/2p1pp1B/2pp4/8/2NP4/PPP2PPP/R2Q1RK1 b - -,f8f7
r2qkb1r/p4pp1/2p2n1p/1pn1p3/4P1P1/1BN1BQ1P/PPP2P2/R3K2R w KQkq -,a1d1
r1b1r1k1/ppp2ppp/3q1nn1/3p4/3P4/2PB1P2/PP1QN1PP/RN3RK1 b - -,d6e7
r1bqk2r/1p1n1pp1/p3pn1p/2pp4/1b1P1B2/2NBPN2/PPP2PPP/R2Q1RK1 w kq -,a2a3
r4rk1/1bq1bppp/p1p1pn2/P2p2B1/4P3/2NB4/1PP1QPPP/R4RK1 w - -,e4e5
5r1k/p5pp/1p6/6B1/2P5/3R2P1/PP2r2P/R5K1 b - -,h7h6
r3k2r/1ppb1pb1/p1np1q2/3Pp1p1/P1B1P3/5P2/1PPQN1KP/1N1R1R2 b kq -,d7h3
rnb2rk1/1p2qppp/8/2p1p3/n7/PQ1PPN2/4BPPP/R1B2RK1 b - -,c8e6
r2q1rk1/1b1nbp2/ppp2n1p/3pN1p1/3P3B/2NBP3/PPQ2PPP/3R1RK1 w - g6,h4g3
2kr3r/pppb1pp1/3pq2p/3n4/4PP1P/4R3/PPP2QP1/2KR1B2 w - -,e4d5
8/3n4/1P6/6p1/8/3k4/2N1p3/4K3 w - -,b6b7
r1bqkn1r/pp2bpp1/3p1n2/2pPp3/2P1P2p/P1N5/1P2BPPP/R1BQNRK1 b kq -,f8g6
r1q2rk1/pp2ppbp/n1p2np1/N4b2/Q2P4/5NP1/PP2PPBP/R1B2RK1 b - -,f5e4
8/3k1p2/4bp1p/8/6PP/4P1K1/5P2/8 w - -,e3e4
r1b2rk1/ppp1ppbp/2nq1np1/4N3/3P4/6P1/PP2PPBP/RNBQ1RK1 w - -,e5c6
8/7p/6p1/1B3pk1/P3p3/R3PnP1/1P2K2P/r7 b - -,a1e1
5bk1/p1r3pp/2N1pp2/1QPnN2q/8/P6P/5PP1/4R1K1 w - -,e5d3
8/4k3/3p1nK1/2pP4/1pB5/1P3Np1/P7/8 b - -,f6g4
2kr1r2/pp1b4/6p1/q1BpPpPp/5P2/P1P5/4B2P/R2Q1RK1 b - -,a5c5
2rqr1k1/3bppbp/3p1np1/p3n2P/1p1NP1P1/1B2BP2/PPPQN3/1K1R3R b - -,a5a4
5bk1/2rb2p1/p2Np2p/3nP3/8/BNp3P1/2P2P2/4R1K1 b - -,d7a4
r1r3k1/3b1ppp/p1n1p3/qp6/P1RPP3/5N2/3Q1PPP/3BK2R w K b6,a4b5
r1bq1rk1/pppnppbp/6p1/8/Q1pP3B/2P1PN2/P4PPP/R3KB1R w KQ -,a4a3
rr3bk1/3q1bp1/3p1n1p/1p1Pp3/1B2B2N/P1PQN2P/4RPP1/6K1 w - -,h4f5
8/6p1/4n2p/1P5k/4q2P/2B2p2/2PQ4/2K5 w - -,b5b6
r4rk1/p4ppp/bbQ1pn2/P3N2q/8/1p3NP1/1P2PPBP/R2R2K1 b - -,a8c8
4R3/8/8/3k4/3b4/8/7r/4K3 w - -,e8e2
2b1r1k1/p1r1q2p/1p1b2p1/3p1p2/1PpPn3/2B1PNPB/PQR2P1P/1R4K1 w - -,h3g2
8/8/1p6/8/8/k1K5/1r6/6R1 b - -,a3a2
kr6/P1p5/7p/2pPq1pP/3Nr3/5R2/K5P1/8 w - -,a7b8q
r1bq1rk1/p2nbppp/1pp1pn2/3p4/2P5/1P3NP1/PBQPPPBP/RN3RK1 w - -,d2d3:b1c3
2r1rnk1/pp3p2/2pq3p/3p2p1/3P2n1/2N1PN1P/PPQ2P2/2KR3R b - -,g4f6
1rb2rk1/3qbppp/p2p1n2/1ppNp3/P1BnPP2/1P1P3P/1BP1NRP1/R2Q2K1 w - -,a4b5
2rk1r2/pp1bn1pp/3Bp3/3pP1NQ/P1q5/2b5/2B2PPP/R4RK1 w - -,a1b1
r2qkb1r/1b1n1ppp/p3pn2/8/Pp1P4/1P1B1N2/4QPPP/RNBR2K1 b kq -,f6d5
4k3/6pp/p3q3/8/2rRp3/P1p3PP/2Q1PP2/6K1 w - -,c2b3
r1br2k1/p1q1bppp/2n1pn2/1ppp4/4P3/2PP1N2/PPQ1BPPP/R1B1RNK1 w - b6,a2a3
2n5/2Pk2pp/3b1p2/B7/1pKN4/6P1/5P1P/8 b - -,d6c7
3r4/ppbn2k1/2p2p1p/4P1p1/5PP1/1P2B1P1/P4KB1/7R w - -,e5e6
2r5/8/1pp2p2/p2p1k2/P2P1P2/1P4KP/8/2R5 b - -,f5e4
8/8/4k1p1/2bp3p/2p4N/4N2P/4K1P1/8 b - -,g6g5
3qrb2/r2p1p1k/2p4p/pp2PNpP/4R3/1P2R3/1P1Q1PP1/6K1 w - -,d2d3
r1b1r3/2pnqpk1/p5pp/1p1Pp3/6PP/4QPN1/PPP5/2KR1B1R w - -,h4h5
