6k1/5p2/5Bp1/7p/5b2/8/PP2KPb1/8 b - -,g2d5
r1b2rk1/1p2bppp/1qp1p3/p7/3PP3/2Q2NB1/PP3PPP/1K1R3R w - a6,f3e5
r4rk1/1p2nppp/p1B1p3/2qpPb2/Q2N4/2P5/PP3PPP/R1B1K2R b KQ -,e7c6
r4rk1/pp3p2/2p2pp1/8/1b6/1BP5/PP3PPP/R1nR2K1 w - -,a1c1
8/1q4k1/p2p2p1/3Pp2p/1PQ3B1/P5P1/7P/6bK b - -,g1a7
r5k1/2qrbppp/p3bn2/1p2p3/2p1P3/2P1R1NP/PP1N1PP1/R1B2QK1 b - -,e7c5
8/3kp3/7p/p1Q5/3N2PP/2p2PK1/P2rr3/8 b - -,e2g2
1r4k1/5p1p/p1pP2p1/2p2q2/PP1bbB2/8/3Q2PP/2R1R2K w - -,f4g3
rn1q1r1k/2p3bp/bp2p1p1/p2pN3/P2PpB2/2P1P2P/1P1NQPP1/R4RK1 w - -,c3c4
r3rbk1/1b1p1pp1/2nq3p/1ppBp3/4P1N1/P2P3P/1P1B1PP1/R2Q1RK1 b - -,c6d8
8/1pr2k2/p2R1n1p/5p2/2p2P2/4PP1P/P4K2/1R6 b - -,c4c3
2r2rk1/p3qp1p/4p1pP/4P1P1/1BnP4/P4Q2/2p3P1/2R2R1K b - -,e7g5
5rk1/4nppp/1Np1q3/4p3/1n6/R1Q1P1P1/1B2bPBP/6K1 b - -,f8d8
2r1r1k1/1p1n1pp1/p3p1p1/q2pP3/Pb1P3P/1B2B1P1/1P2QP2/R1R3K1 b - h3,d7b8
6k1/8/4K3/PR5P/8/8/5r2/8 b - -,g8g7
8/pp3pp1/6k1/1q4r1/4pQ2/2P1P3/1P6/4R2K b - -,g5h5
3r2k1/1bpr2p1/1p2q1np/p1p5/P1P1pP2/1PB1P1PP/2Q2R1K/5BR1 b - -,e6e7
r2qr1k1/1p1np2p/p1p3p1/2Ppbp2/3PnB2/3BP2P/PP3PP1/2RQ1RK1 w - -,f4e5
r1r3k1/p2qnpBp/4p3/8/PpN1P3/1Q4Pb/1P3P1P/R2R2K1 b - -,d7c6
4r1k1/r3qpbp/pp3np1/2p3N1/2Q5/P3PB2/1P4PP/3R1R1K b - -,e7e3
8/3pQ1bk/2r3pp/pp1q1p2/3PnP2/2PR3R/P6P/4BK2 b - -,h6h5
r6r/pp1k4/n1p1p3/3pP3/3P1PPq/2P3n1/PP2QR1P/R1B3K1 w - -,e2f3
1r4k1/p3bp1p/4pnp1/3p4/q2Pn3/N2BPNP1/QPR2PKP/8 w - -,f3e5
r6r/3b1p2/3p1kp1/p1pPN3/PpP1Pp1p/1P5P/4BPP1/3RR1K1 b - -,f6e5
2r2rk1/pp1n1p2/4p1p1/3p4/1n1P1PP1/qP2P1N1/P5Q1/RB1R2K1 w - -,g2d2
2r2bkr/pp4p1/2n1p1p1/3p2P1/3P2pP/2NBP1q1/PP1K4/R1B2Q1R w - -,d3g6
5R2/4r1p1/2k5/1p2r3/1P6/1KP5/8/5B2 b - -,c6c7
6k1/5pb1/7p/2B5/p1K5/2p3PP/5r2/R7 b - -,f2g2
rnbqk2r/ppp2ppp/3b4/8/2P3n1/4P3/PP3PPP/RNBQKBNR w KQkq -,g1f3
r2qk2r/1pp2pbp/3pbnp1/8/2P1P3/1PNn3P/1B1QNPP1/3RK2R w Kkq -,d2d3
b1r3k1/1q1n1ppp/8/1p1p3r/pQPPB3/P5P1/2RN1P1P/1R4K1 w - -,b4a4
rnbqkb1r/1p3ppp/p4n2/2Pp4/8/4PN2/PP1N1PPP/R1BQKB1R b KQkq -,f8c5
q1r3k1/3n1ppp/pPb5/3prN2/8/5PP1/P4Q1P/2RR1BK1 w - -,f1h3
5rk1/1p2npb1/rPp1qnpp/4p3/2N5/1QNP2P1/1B2PPKP/1R3R2 w - -,b1a1
4r3/1qk4p/3nb1p1/2p5/R7/1PN4P/P2Q1PP1/6K1 w - -,c3d1
r6r/pp4qk/n7/3P1Q1p/8/P1N5/1P3PPP/R4RK1 b - -,g7g6
r3kb1r/1p3ppp/p1n5/8/3p4/1P4P1/PBPP1PBP/2KN3R b kq -,e8c8
rnbqkbnr/ppppp3/7p/5pp1/3P4/6B1/PPP1PPPP/RN1QKBNR b KQkq -,f8g7:g8f6
3r4/4p3/P5k1/5p2/2N1p3/2b3K1/5Pp1/6R1 b - -,d8a8
2b3rk/p6p/1nBp1q2/1NpP1p1n/2P1pP2/P6P/2Q1N1P1/1R5K b - -,c8a6
8/1p6/1kp5/4R1P1/p4K2/8/PPP5/6r1 b - -,g1f1
5rk1/R4pp1/5n1p/p7/3N4/P1r3P1/5PbP/R5K1 w - -,g1g2
6k1/4Rp1p/6p1/8/p7/6P1/5P1P/q4BK1 b - -,a4a3
r1r3k1/7p/2pBbbp1/1q2p2P/pP2P3/5NN1/P1Q2PP1/2R3K1 b - -,a8a6
4r1k1/pp2rp1p/2p2Qn1/3p1b2/3PP1q1/P2B2R1/1P6/5RK1 w - -,g3g4
8/5p2/4p3/4P1p1/3n3p/7P/4R1P1/1k2K3 w - -,e2f2
r1b1k2r/3np2p/2p1Q1p1/3p2N1/p1B2q2/2P5/P1P3PP/K2R3R w kq -,h1f1
8/7p/3N4/4k3/8/R6P/p4K2/1b6 w - -,d6b5
rnbqk2r/pp2ppbp/2pp1np1/8/3PP3/2N4P/PPP1NPP1/R1BQKB1R w KQkq -,a2a4
1rbq1rk1/p2n1pbp/6p1/1p2pP2/2pnP1P1/4BN1P/PPP2QB1/RN3RK1 b - -,d7c5
3r2k1/1p4bp/1qp1b1p1/p1n2p2/1nP1p3/1PN1N1P1/PB2PPBP/R1Q3K1 w - -,c3a4
7Q/3k2p1/5p2/4n3/1B6/3q1P2/2p3PK/8 w - -,h8g7
2rr1nk1/2q2ppp/1p2p3/p1b5/2P1R3/1P5Q/PBB2PPP/5RK1 w - -,e4h4
r1bq1rk1/pp3pbp/6p1/3Pn3/2B1P3/2N1B3/PP1Q1NPP/3RK2R b K -,e5c4
7k/5qpp/1Bpb4/p2p2Q1/P1n5/2P3N1/5PPP/6K1 w - -,g5d8
r3r1k1/1pp3b1/p3b3/4ppp1/2B2n2/N1P1B2P/PP1R1PP1/R5K1 w - -,e3f4
r3r1k1/pp3p2/4qnp1/1P1b4/1QNPp1Pp/4P2P/5PBK/R1R5 w - -,b5b6
2k5/6Q1/p1q2p2/8/r6p/4P3/5PP1/6K1 w - -,g7f8
5rk1/p4r2/1p1p2q1/2pPpn1p/2P2bpB/P4P2/1P2QNPP/4RR1K w - -,f3g4
rq3rk1/pb1pbppp/1p2pn2/8/2P1P3/P1NB1Q2/1P3PPP/R1B2RK1 b - -,a7a6
rn3rk1/1Np1b2p/2p3p1/3pP3/1pP3b1/8/P2N1PPP/R1B2RK1 w - -,c4d5
r1bqkb1r/1p4pp/p1n2p2/3pp3/3P4/2N1PNP1/PP3PP1/2RQKB1R b Kkq -,c8e6:f8b4
r3k2r/p4p2/2q1p1p1/3pPnN1/2p4p/Q1R5/PPP2PPP/2KR4 b q -,d5d4
6r1/1p2r1kp/p1p3p1/4p1P1/2PpP3/P2P4/1P4P1/2R2RK1 b - -,g8f8
8/8/1R6/1P1P1pk1/5p2/8/r5P1/5K2 b - -,a2a1
2rr2k1/4p2p/p5p1/1p3p2/3Nb3/8/PPPRR1PP/1K6 b - -,g8f7
r1b1k2r/2qnbppp/pp1ppn2/8/2P5/1PN2NP1/PB2PPBP/R2Q1RK1 w kq -,a1c1
5k1r/1pr1qpp1/4p2p/P2p4/1R1Pb3/1P2P3/2PQNPPP/4K2R w K -,b4b6
1r3rk1/p2n1ppp/2pq4/5b2/3PN3/PP4P1/2pQ1PBP/R4RK1 b - -,d6e6
2r3k1/pp3r1p/4R1p1/5p2/3n4/P2B3R/1P3PPP/6K1 w - -,e6e1
r3r1k1/p1nq1ppp/1p3n2/8/3Pp3/P2Q1PN1/6PP/R1B2RK1 w - -,f3e4
Q7/3R1pk1/4pb2/6p1/2n5/6PP/R4K2/1r6 b - -,c4b6
r1bqr1k1/pp2bppp/2p2nn1/3pN3/3P4/2NBP2P/PP3PPB/R2Q1RK1 b - -,g6e5
8/6kp/1P6/B1p5/3p1n2/3P4/r6P/7K w - -,b6b7
3r4/pkp3p1/1p3n1r/2qP1p2/4pPp1/1P2P1P1/PBQR3P/1K1R4 w - -,c2c5
3N1B2/8/1p2pK2/1k1pP3/p2P4/8/4nP2/8 b - -,e2d4
r5k1/5p1p/4p3/4P1p1/P1rN4/2p3P1/3R1P1P/R5K1 w - -,d2d3
2r2rk1/1b1nbp1p/p1q3p1/1p6/2pp4/P3PPN1/1PBBQ1PP/R2R2K1 w - -,e3d4
1qr1r1k1/1b1nbppp/p2p4/1p2p3/3Pn3/1P1BNN1P/PB3PP1/2RQR1K1 w - -,c1c8
r1bq1rk1/pp1n1pp1/2pbpB1p/3p4/2PP4/2N2NP1/PP2PPBP/R2Q1RK1 b - -,d7f6
r1bqk2r/pp3pbp/2npp1pn/2p5/4PP2/2NP1NP1/PPP3BP/R1BQ1RK1 b kq -,e8g8
2Rb2k1/p4pp1/7p/8/q2P4/1r2BQP1/5P1P/6K1 b - -,a4a5
8/8/1KNk4/3p3p/3Pp1pP/4Br2/5P2/8 w - -,c6e5
