8/8/1R6/p7/1p3k2/5p2/r7/4B1K1 w - -,b6b8
2kr4/5p2/p2bb3/2B3pp/P3P1n1/2qB1N2/6PP/1R1Q1R1K b - -,d6c5
8/2r4p/6p1/5pk1/8/1R3KP1/8/8 w - -,b3a3
6k1/p5pp/1pp1b2q/3pP2r/3P1r2/2P2PQ1/P4RBP/5RK1 w - -,f2e2
r2r2k1/p3ppbp/2R3p1/8/3PP3/1P2B3/5PPP/4K2R b K -,g7d4
r2q1r2/1pp3k1/p1n2p1p/3p1bp1/3Pn2P/2PBPN2/P4PPB/2RQK2R b K -,d8e7
5qk1/R2b3p/3np1p1/1p1p4/1P1Q1P2/8/5PB1/6K1 b - -,d7c8
rnb2rk1/pp3ppp/2p5/8/4np2/1BP2N2/PPP3PP/R1BR2K1 w - -,c1f4
1R6/5b2/4Nk2/3P3p/1KP5/5r2/1P6/8 w - -,b8h8
8/5k1p/3p1B2/2p2PP1/2P4P/8/8/1K2b3 w - -,h4h5
2r2rk1/1p3pp1/p1nqpnp1/3p4/N2P4/4PP2/PP2B1PP/2RQ1RK1 w - -,a4c5
1r1q1rk1/bppb1ppp/p2p4/8/P1PP1Bn1/2NQ2P1/1P3PBP/R4RK1 b - -,f7f5
1rbq1rk1/n1p1ppbp/3p1np1/8/Np1P4/1P3NP1/PBQ1PPBP/2R2RK1 b - -,c7c6:a7b5
8/1bq1rpkp/6p1/pBp1p2n/Pb1pP3/1P3PPP/4Q2K/2RRN3 w - -,e1d3
rn2k2r/pp3ppp/2pq1n2/3p4/3P4/2NQP1N1/PP3PPP/R3K2R b KQkq -,g7g6
8/8/3n3p/6p1/6P1/4k1K1/8/5B2 b - -,d6e4
1r4k1/5p1p/1qb1p1p1/8/ppPQ4/4P2P/PR2BPP1/6K1 b - -,b6b7
1rbqr1k1/1p3pb1/p2p2p1/P1pPn1Pp/4PP2/2N3BP/1P4Q1/R3RBK1 b - -,e5d7
2r1k2r/1bqnbppp/p2pp3/1p4P1/2nNP3/1BN1BP2/PPP1Q2P/1K1R2R1 w k -,e3c1
4Q3/6p1/8/6k1/5q1p/1K6/2P5/8 w - -,c2c4
r2q3r/3bbpkn/p2p2pp/1p1Pp3/1P2P3/P2QBNNP/5PP1/R1R3K1 b - -,h7g5
rnbqkbnr/pp2pp1p/3p2p1/2p5/2BPP3/5N2/PPP2PPP/RNBQK2R b KQkq d3,c5d4
8/8/5rk1/R6p/7P/5PK1/8/8 b - -,f6b6
6k1/p2r4/3Pnpp1/8/P6R/7P/5PPB/5K2 b - -,d7b7
2q5/5p2/p1k1n3/3pPpRp/2pB3P/P7/1PP1NK2/8 w - -,c2c3
8/p2bk1q1/2p1p3/1p2N3/3PQ2p/4P1P1/PP6/6K1 w - -,e4h4
4r3/2p4B/1pPkp3/3pN2p/1P1n1P2/2n3P1/5P2/R5K1 b - -,h5h4
3rr1k1/pp3p1p/n4bp1/q1pP4/2Q5/5N2/PP1RBPPP/5RK1 w - -,c4b5:d5d6
r1br2k1/ppq1bppp/2n1pn2/2pp4/3P4/1PPBPN2/PB1N1PPP/R2Q1RK1 w - -,d1e2
rnbqk2r/4bppp/p2p1n2/1ppP2B1/4P3/5N2/PP1NBPPP/R2QK2R b KQkq -,f6d5
3r4/6k1/1bn1P1p1/1p1q1r1p/p2pR3/PN1Q1N2/1P4PP/4R2K w - -,b3c1
rn1q1rk1/pb2b1pp/1p1p4/2pPpp2/2P4P/2P2NP1/P1Q1PPB1/R1BR2K1 w - -,f3g5
8/5p2/p7/1p2k1p1/PPbpP2p/5P1P/2B2KP1/8 w - -,c2d1
6r1/2pkb1rp/p3p3/1p1p4/3P3P/2P1P3/PP2BP2/3R1K1R w - -,e2d3
r3n1k1/1p1q1p1p/2p3p1/3nN3/p2PN2P/P7/1PQ2PP1/4R1K1 b - -,d7d8
r2q1rk1/1pp2ppp/1nn1pbb1/p7/2PP2P1/P1N1BN1P/1P2BP2/R2Q1RK1 w - -,g4g5
r1b1r1k1/1p3ppp/5n2/p2Pp3/8/6PP/PBq1PPB1/2R2RK1 w - -,c1c2
8/pr4k1/6b1/NNp1n1pp/2P5/4P2P/P5P1/6K1 w - -,a5b7
8/8/R3P3/6p1/4K1k1/1r6/8/8 b - -,b3b1
1b6/1k6/1PRp2r1/K2Pp3/1B3pP1/3P4/6P1/8 b - -,g6g4
2r1r1k1/1b1nqp1p/1pp3p1/3p4/QP1P4/2NNP3/6PP/2R1R1K1 b - -,c8a8
8/p6R/3kp3/1p1pr3/2rR2K1/P1P5/1P6/8 w - -,d4c4
4k3/1R5p/5pp1/3p4/5P2/6PP/PP1r4/5K2 w - -,a2a4
r2qk2r/p4p1p/2pbp3/8/2p1P1b1/4QN2/PPP2PP1/R1B2RK1 b kq -,h8g8
2r2rk1/1p3p2/p2ppq2/4b1pp/P2NPn2/2P1BPP1/1P5P/R2R1Q1K b - -,f4g6
r3k2r/1p2bp1p/1pp2np1/3pBb2/1n1P4/P1N1PN2/1P1K1PPP/R4B1R b kq -,e8g8
3r4/1pkb4/2p1pN1p/p4rP1/5P1P/P3K3/1P6/3R1R2 b - -,e6e5
r1bq3k/1p5p/1P2p2r/n1NpPpp1/P1n5/2B5/4BPPP/1R2QRK1 w - -,b1b5
1rb1kb1r/p1qppppp/1p3n2/4P3/3Q4/1NP2P1N/PP4PP/R3KB1R b KQk -,f6g8
5r1k/1p6/1P1Kp1Q1/3b4/5P2/8/8/8 b - -,d5c4
2r3k1/5pbp/3q2p1/3p1p2/3PrP2/1BpR2P1/2P2Q1P/3R2K1 b - -,h7h5
8/B7/p1N1p2k/1p1p2p1/3P4/bPP4P/P5K1/1b6 b - -,b1a2
8/1q2rk2/3Qp1p1/1p5r/5P1p/P3p2P/1P4P1/2R2R1K b - -,h5d5
r2qr1k1/pp2pp1p/1n4p1/3P2B1/8/1PP2Q1P/5PP1/R3R1K1 b - -,d8d5
1k4r1/2rb1p2/B1npqn2/3Np1p1/Pp2P2p/1R5P/1P3PPN/2RQ2K1 w - -,d5c7
8/pp3rkp/2p5/3b1pQP/3P4/P7/1PP5/2K5 b - -,g7f8
8/5pkp/3p2p1/2nPp3/p2rP3/1RN2P1P/1PR3PK/8 b - -,a4b3
1n1rr2k/R3bppp/2q1p3/4P3/3BN1Q1/1Pp5/6PP/5R1K w - -,f1f7
6k1/p2b1rp1/8/1p3p2/2pP1P1Q/q1P3R1/5K1P/4R3 b - -,a3d6
6k1/5p2/3p1qp1/4p3/1P2P1Pp/Pbn1P2P/1r2B3/R3Q1K1 w - -,e1c3
3rrq2/3n1pkp/1pb1p1p1/p1p5/2PP4/1PN1Q1PP/P4P2/3RRBK1 w - -,f1g2
3r4/pb3p2/1p2p1kp/8/3P1P2/P7/1P1R1K1P/3N4 b - -,g6f5
r2qk2r/pbpnb1pp/1p1ppn2/5p2/2P5/1P1PPN2/PB2BPPP/RN1Q1RK1 w kq -,b1d2
r2q1rk1/1p1nbppp/p1p1p3/8/2PPQB2/5N2/PP3PPP/3R1RK1 b - -,d7f6
1r1q1rk1/p3bpp1/2p1bn1p/3p4/8/1PNB1Q1P/P1PB1PP1/R3R1K1 b - -,f8e8
rnbqkb1r/pp2pp1p/3p1np1/2p5/4P3/2PB1N2/PP1P1PPP/RNBQK2R w KQkq -,e1g1:h2h3
R7/8/8/3r1k1p/5PpP/8/6K1/8 b - -,f5f4
1rbq1r2/1p1p1pkp/p1n1p1p1/2p2n2/2P5/2NP1NP1/PP2PPBP/R1Q2RK1 w - -,f3d2
r2qr1k1/pp1n1ppp/2p5/4p3/1bP1P1bN/1P3PP1/PB2R1BP/R2Q2K1 b - -,g4e6
r2r2k1/NQ3p1p/1R2nq2/3pNb1p/3P4/4P3/P4PPP/2R3K1 b - -,f6g7
r6k/1pp3qp/2n1b3/p6r/4Q3/P3PpP1/1P3P1P/R2R1BK1 w - -,e4e6
3k3r/1p3pp1/pb1p4/3Nn3/1Pr2N1q/4P1n1/PQ3KB1/R1B1R3 w - -,d5b6
kr1q1b2/pp5r/P2p1p2/1B2pNp1/1PPpPnPp/1R1P3P/QR3P1K/8 b - -,d8c7
2rq1rk1/pb1nbppp/1p1p1n2/3Np3/P1B1P3/1P3N2/2P2PPP/R1BQR1K1 w - -,e1e2:c1a3
8/4r2p/8/5pk1/5R2/3K2P1/7P/8 b - -,e7e1
2r5/p6p/4kpp1/P3p3/2n5/4B2P/4KPP1/2R5 b - -,a7a6
2r2r1k/1p4qp/5R2/3pP3/PppQb2N/8/6PP/2R4K w - -,c1f1
8/2pk4/1p1p4/1P1PpK2/p1n1P3/5P2/P7/2B5 b - -,c4a5
6k1/2r5/5B1P/4Np1P/4p3/p7/P5K1/8 b - -,f5f4
5rk1/2qnpp1p/R2p2p1/2pPb3/1r2P1P1/1P6/2PBB1PP/3Q1RK1 b - -,b4b8
4rbk1/pb1r1pp1/2p5/pP1p2q1/Q2P3p/2N1P1P1/5PBP/3RR1K1 b - -,c6b5
3R3Q/8/8/p1qPpk2/1p3b2/1P6/PB6/6K1 w - -,g1h1
r2r2k1/pp5p/2p1N3/8/3B1b1q/2P4P/PP1Q2P1/3R2K1 w - -,e6f4
