8/8/3Q2pk/3Ppq1p/pN2b3/P3K1P1/7P/8 b - -,f5f3
rn1q1rk1/pb1p2pp/1p1np3/2p1Pp2/2PP4/2PB1P2/P5PP/R1BQNRK1 b - -,d6f7
8/pp2Rk1p/6p1/n7/8/6P1/PR3P1P/2r2BK1 b - -,f7e7
3n4/2R2ppk/p3r2p/1p2pN1P/1P2P3/2P3P1/1P4P1/6K1 b - -,e6f6
R1kb3r/1p2nppp/4p3/1PPpP3/8/5N2/3BKPPP/8 b - -,c8d7
3r2k1/1Rp2p2/3r1Pqp/3PQ1p1/p3P3/5R2/P4PKP/8 b - -,c7c6
5bk1/5Np1/3pP3/1r1b1P2/p3B1P1/8/1n4KP/R7 w - -,e4d5
r4rk1/pp1bqpb1/2ppnnpp/4p3/1PN1P3/1BPP2N1/P1Q2PPP/R1B2RK1 b - -,h6h5
3rrnk1/1p2b1pp/2p1p3/p1p5/P3PP2/2N2NPP/1PP5/R3R1K1 w - -,e4e5
r1bq1rk1/ppp1ppb1/2np1np1/7p/3PP2P/2N1BP2/PPP1B1P1/R2QK1NR w KQ -,g2g4
8/8/1R4K1/4k3/7P/4P3/5r2/8 b - -,f2g2
5r1k/p2r1Pp1/1p5p/3n2B1/2B5/2P2P2/P4P1P/4R1K1 w - -,e1e5
3RNn2/1p3p2/1rp1b1pk/4P2p/p4P2/1P4PP/P5B1/6K1 w - -,e8f6
r1q2rk1/pp2bppp/2pB1n2/3p4/3P4/2NQPN2/PP3PPP/1R3RK1 b - -,e7d6
rn3rk1/1p2ppbp/6p1/p1nB4/1P4P1/4PN1P/P4P2/1RB2RK1 b - b3,a5b4
r3q1k1/pR1N2b1/6p1/3p4/2bp4/3NrP2/3R2PP/3Q2K1 w - -,g1f2
r3k2r/1p2n1b1/p2P1n1p/3pp1p1/N3Pp2/3N1P2/PP4PP/R1B2RK1 b kq -,e7g6
2q3k1/3Rbrpp/r2NQ3/p6P/8/1Pp2P2/P1P5/1K5R b - -,a6d6
8/R2PBpkp/6p1/8/2p5/2b3P1/P2r1K1P/8 w - -,f2f3
8/8/1p6/1k2BP2/1b4K1/5R2/7r/8 b - -,h2g2
r1b2rk1/ppppnppp/2n3q1/8/2BPP3/4B3/PP1N1PPP/R2Q1RK1 b - -,d7d5
r2r2k1/1p3pbp/4b1p1/4p3/1N6/2P2P2/Pp4PP/R1B1K2R w KQ -,c1b2
8/4R3/1br4p/5BpP/3k2P1/5K2/8/8 w - -,f3e2
r3n1k1/1q3p1p/2R1p1p1/pB1p4/Pr1P2P1/1P2QP2/7P/2R3K1 b - -,a8d8
8/p7/1p3kBp/1Pp4P/2Pb1p2/3P1K1R/5P2/4r3 w - -,h3h4
r1b1kb1r/1p1p1p1p/pq2p3/1N2n1p1/Q1P5/2N1P1P1/PP3P1P/R3KB1R w KQkq -,e1c1
1r3bk1/5ppp/8/1R1p4/3P4/2R5/5PPP/2B3K1 b - -,b8b5
r4rk1/1p4p1/1qp1pn1p/p2n4/PbBPN3/3Q1P2/1P1B1P1P/2R2RK1 w - -,g1h1
r1b2r1k/1p1nq1bp/2p4n/p1P1pPp1/QP6/2N3B1/P2NBPPP/2R2RK1 b - -,h6f5
8/5B1k/5K1P/5N2/1p6/1P6/3b4/8 w - -,f7g6
8/r6k/pR4b1/4B1Pp/3P1P2/6P1/1P6/6K1 b - f3,a6a5
r3r1k1/1bqn1pbp/p1pp1np1/1p2p3/P2PP3/2PBBNNP/1P3PP1/R2QR1K1 w - -,d1c2:d1d2
4r1k1/3n1pbp/r3p1p1/q2pP3/1p1P4/5N2/P1QB1PPP/R2R2K1 w - -,h2h4
8/pp2q1bk/6pp/3Qp3/6P1/2P5/PP1R4/5K2 b - -,e7h4
br6/r4k2/p6p/1PP2Np1/3Np3/8/5PPP/R5K1 w - -,f5d6
5rk1/1pb2p2/6q1/p1PR3p/1PQ1p3/1BP3P1/P4P2/5K2 b - -,h5h4
r5nk/2p1q1bp/p2p2p1/3Pp1N1/1pr3BP/8/PP1Q1P2/1K1NR2R b - -,c4g4
2kr3r/1pp1qppp/1pn2n2/3p2Q1/4P3/1PN2P2/1PP3PP/2KR1B1R b - -,d5e4
r4rk1/ppq1ppbp/2N3pn/4P3/5P2/2N5/PPP3PP/R2QK1BR b KQ -,b7c6
6k1/rpqbrpbp/p5p1/4p3/Q1Pp4/3P2P1/PR1NPPBP/1R4K1 w - -,a4a3
1q6/p4Qpk/7p/2p2N2/r7/2P1P2P/PP4P1/R6K b - -,b8e5
r2r2k1/1p2qp2/4b2p/6p1/3N4/P5P1/2Q1BPP1/R4RK1 b - -,d8d4
2kr3r/1pq1bpp1/p1n1pnp1/2pp4/4P1P1/2PP1N1P/PP1N4/R1BQRBK1 b - -,c7g3
4r3/3q1pbk/3p2p1/2p5/1p1p3r/1P1R1R1P/3Q1PK1/5N2 b - -,h7g8
1r6/3p4/1p1P1k1p/p1p2p2/2B2Pb1/R1N1Pn2/P4K1P/8 w - -,c3d5
2q3k1/1p5p/1N1b2rr/p3pp2/Pn4p1/1PN1P1P1/5P1P/2RR2KQ b - -,c8c6
1r6/2N2pkp/2b3p1/p3p3/2Pb4/1P1R3P/6P1/4R2K b - -,c6d7
1rr5/6kp/6p1/3B1p2/1p6/4P1P1/1R3P1P/5K2 b - -,c8c5
R2qkb1r/1bpn1ppp/4pn2/3p4/1p1P4/1P3NP1/2PNPPBP/2BQ1RK1 b kq -,d8a8
1r2r1k1/pbqnpp1p/1p1p2pb/3n4/P2P4/1QPN1N1P/1P2BPPB/R4RK1 b - -,b8c8
1Nq2bk1/p1n2p1p/1p2n2p/8/8/4BPP1/PQ4BP/2R3K1 b - -,c8b8
r1bq1rk1/ppp3pp/8/2b2p2/2Pp4/1P3nP1/PB2PPBP/R2Q1RK1 w - -,g2f3
r1b2rk1/2pnq1pp/1p1b4/p2Ppp2/2N5/1P4P1/PB2PPBP/R2Q1RK1 w - a6,d1d2
r1b2rk1/4p1bp/3p2p1/2pPPp2/5P2/Pq2BQPP/1P6/1R2RBK1 b - -,c8b7
3r2k1/1p1nb1pp/p1r2p2/q3p3/2pPP1B1/2P1Q1BP/P4PP1/R4RK1 w - -,f1d1
r2qk2r/ppp1n1bp/3p2p1/4nbB1/2PN4/2N5/PP3PPP/R2QKB1R b KQkq -,d8d7
r7/3k4/2nbpp2/3p1q2/n1pP3P/P1P1QP1N/R6P/4R1NK w - -,h4h5
1R6/8/8/8/5pk1/6r1/6K1/8 w - -,g2f2
rn1qkb1r/pp3ppp/2p1pn2/8/N2P2b1/1P2BN2/P1P1BPPP/R2QK2R b KQkq -,b8d7
8/pk2B3/1p6/3p4/2pP4/P1P1P1K1/1P6/7r w - -,a3a4
rn1q1rk1/2p2pp1/1p1ppn1p/8/2PPb3/PpQ2NP1/1B2PPBP/R4RK1 w - -,g2h3
r3k2r/ppq2pp1/1np1pnp1/3p4/3P1BP1/3Q3P/PPP1PPB1/RN2RK2 b kq -,c7f4
r2qk1nr/pb1nbp2/3pp3/1p5p/2pPP1p1/1PP5/P1BN1PPP/R1BQRNK1 b kq -,d6d5
r1bqkb1r/5ppp/p1p1pn2/3p4/4PP2/2NB4/PPP3PP/R1BQ1RK1 b kq f3,d8c7
8/r3k3/3p4/3P1p1p/1RpK3P/r1P2PP1/p7/R7 w - -,b4c4
rnbqkbnr/1pp1pppp/p7/1N6/8/5N2/PPPP1PPP/R1BQKB1R w KQkq -,b5c3
rn1q1rk1/pbpp1ppp/1p2pn2/8/2PP4/5NP1/PP1BPPBP/R2Q1RK1 b - -,b7e4:d7d6:h7h6
r2r1bk1/1p4N1/1p1p3p/2nPp1p1/4P3/P5P1/1BQ2P2/5RK1 b - -,f8g7
5r1r/4bB2/1k1p3p/pp3Rp1/4P1P1/5R2/PPPK3P/8 w - -,a2a3
5k2/5p2/3p1n2/1p1b2p1/1P1P2q1/2N1Q1P1/4N3/6K1 w - -,c3d5
r1q1kb1r/pp3ppp/2n1p3/3p1b1n/5B2/1QNP1NP1/PP2PPBP/R3K2R w KQkq -,f4e3
r3q2k/2p3pn/6np/1P3RP1/4P2P/N1P5/1P2QP2/2B3K1 w - -,g5h6
r4rk1/pq3pp1/1pN1pn1p/8/1Q6/PP2P3/5PPP/2R2RK1 b - -,f6d5
4r2k/p3pp1p/2p1b1pP/3n4/5q1Q/BBP5/PP3PP1/4R1K1 w - -,h4f4
8/3n4/1pR2p2/6p1/P3k3/4N1P1/1r6/5K2 w - -,e3c4
r4rk1/pp3pp1/3q3p/3p4/3P4/3B3b/PP1Q1PP1/3R1RK1 b - -,h3g4
1r6/1p2k1b1/p5b1/3B1p2/2Pp1P2/1P2pP1R/P2K4/8 w - -,d2e2
1r3rk1/2q1b1pp/4bP2/1pp1p3/4P2P/3P4/1PP1Q1BN/R4RK1 b - -,e7f6
r2q1rk1/pp2bppp/2n2n2/2P3B1/3p2b1/2N2NP1/PP2PPBP/R2Q1RK1 w - -,g5f6
r1b1qrk1/1p3pbp/2pp1np1/p1nPp3/2P1P1P1/2N1B2P/PP1NBP2/R2QK2R w KQ -,h1g1
7N/8/p3pk2/1p3pp1/7p/2R2P2/PPK3PP/6r1 w - -,c3c7
r1nr1k2/5p1p/p2P4/Pp4R1/2p1N3/7P/1P4PK/3R4 w - -,e4f6
r5k1/p2rp1bp/1p4p1/n1p2P2/3P4/2P1B1N1/P5PP/2R2RK1 b - -,a5c4
