8/5bk1/6p1/2P5/8/1P1n4/P5Bp/1K2R3 w - -,e1h1
2rb2k1/1R3pp1/2P1p2p/3n4/3P4/rN4P1/5P1P/2R2BK1 b - -,g7g6
1r1q1rk1/4npbp/1p1pb1p1/1Pp1p3/2Pn4/2NPN1P1/4PPBP/1RBQ1RK1 b - -,d4f5
5rk1/4pr1p/2Np2p1/2Q4n/2p5/1P3P2/6PP/4RRK1 b - -,d6c5
5r1k/6bp/4pp2/4P3/5P1Q/4B2P/3R1K2/7q w - -,e5f6
1r2b3/Rp1rk1pp/4P3/1PR5/3NK3/6P1/7P/8 b - -,d7d8
6k1/4bpp1/pq2p1p1/1p2P1NP/2prPPQ1/8/PP4P1/5R1K b - -,g6h5
r3k2r/1bq1bpp1/p1nppn1p/1pp5/4PP2/P1NP2PN/1PP3BP/R1BQ1RK1 w kq -,f4f5
1r1q1rk1/2p1bpp1/p1B1p3/1p2P1p1/3P4/2P3P1/P1Q2P1P/3RR1K1 w - -,d4d5
8/4r3/5k2/8/8/R4K2/8/8 b - -,f6e5
3rrb1k/1ppq2pp/p3bp2/2p1pN1P/4P3/3PNQ2/PPP2PP1/R4RK1 w - -,g2g3
r4rk1/pp2pp1p/6p1/q1p1b1Nn/2P3bP/2NB4/PPQB2P1/R4RK1 w - -,g5f3
5r2/p5pk/2p2r1p/2P4q/3NPn2/6Q1/PP1R1P1P/4R2K b - -,f6g6
rnbq1rk1/p3ppbp/3p2p1/1N1P4/2B1nP2/5N2/1PP1Q1PP/R1B2RK1 b - -,e4f6
2r1brk1/pp4pp/4p3/2q1Pp2/2P1n3/6P1/PBQ2PBP/R4RK1 w - -,g2e4
2r1r1k1/1q2bpp1/3p1n1p/4p3/p3P3/2NN1P2/1PPRQ1PP/5RK1 b - -,a4a3
2r5/3n2k1/p2p1p1r/1ppN1R2/4P2P/P2P2PK/1P6/3R4 w - -,f5f2
6k1/5p2/1R4p1/2N4p/1p3P2/2b2KP1/3r4/8 w - h6,c5a6
2b2rk1/2r3p1/p3p2p/1pqp1p2/4n3/1PPNP3/P3QPPP/1BR1R1K1 b - -,c5d6
8/p4kp1/2n4p/5P2/Np6/5PK1/7P/2B5 b - -,c6d4
r4r1k/1q4pp/pp6/5n1Q/P1BBpbN1/7P/1PN3P1/5RK1 b - -,f5d4
2r1b1k1/6p1/4p2p/ppP1q3/5p2/Q4P2/P2R2PP/2B2K2 w - -,a3a5
1rbq1rk1/1p1nppbp/p2p1np1/8/P1PNP3/2N3PP/1P3PB1/R1BQ1RK1 b - -,d7e5
2R5/1r6/PB1b1ppp/3k4/3p4/1P5P/4KPP1/8 b - -,b7b6
2r1k2r/3qppb1/b2p1Pp1/p2N2Pp/Ppn1P2P/1N2B2R/2PQ2B1/2KR4 b k -,d7a4
r1r3k1/1p2ppbp/1q1pbnp1/p5B1/2P1P3/1PN5/P2QBPPP/2R2R1K b - -,b6b4
3rr1k1/p2qbppp/1p6/3p4/3B2b1/2R1PPP1/PP2Q1BP/3R2K1 b - -,g4h3
rnb1k2r/1p2ppb1/p5p1/q1p1P1Np/6nP/2N1B3/PPP1BPP1/R2QK2R w KQkq -,e2g4
1r3rk1/5q2/np4pp/3P1p2/2P1pQ2/P5NP/2R2RPK/8 w - -,f4h6
rn4k1/1p3ppp/p2rb3/3p1N2/P7/2N5/1PP2PPP/R3R1K1 b - -,d6d8
r4rk1/pb1q1p2/np1P2p1/4p1bB/1PP1P3/2N3N1/6PP/1R1Q1RK1 w - -,h5g4
rn1q1r1k/4b2p/ppp4P/3p1p2/1P1P1P2/P1N1P3/6R1/2BQ1K1R b - -,b8d7
5rk1/1B3ppp/4pq2/8/3R4/r3Q1P1/2P2P1P/6K1 w - -,e3d2
r5k1/3b2pp/3qp3/1p1p1p2/p2P1P2/4Q3/PP2PPBP/2R3K1 w - -,c1c5
3r1rk1/1q3pp1/3p1n1p/1Np4P/2PpPP2/1P4P1/P3Q2K/3R1R2 w - -,e2f3
4r1k1/5ppp/1bp2q2/1p2pP2/1P1R4/2P2N2/2B2nPK/4Q3 b - -,b6d4
3q1b1r/1p3kp1/p1r1pp2/n2pP2p/3P1B1P/1P1Q1N2/P4PP1/2R1R1K1 b - -,c6c1
2r2k2/3p1pp1/3P4/p1P2p1p/q4P2/P7/3Q1K1P/6R1 w - -,d2e3
5rk1/5pp1/1qp2np1/1p2p3/3PP3/2PQ2NP/6P1/3R2K1 b - -,f8d8
8/2nk2p1/p4p1p/1pN1pP2/4P3/PP2K1P1/7P/8 b - -,d7c6
r2q1rk1/1bpnnppp/3p4/p2Np3/1PP1P1P1/P2BPN1P/R6R/3Q2K1 w - -,d1e1
8/7p/pR6/2p2p2/P3rP2/2k1P2P/4K3/8 b - -,e4a4
3r2k1/2r2p1p/1R2p3/1p2P1p1/1Pp1P1P1/2R1K3/5P1P/8 b - -,c7d7
1r1r2k1/p1p2p2/1pnq2pp/5b2/2P1P3/2QN2PP/P4PB1/1R1R2K1 b - -,f5e6
1r2r1k1/pbn4p/1p1p2p1/2pPqp2/1PP5/P2QPBP1/2N4P/4RRK1 b - -,b6b5
2b1kb1r/5pp1/p6p/3p4/5pP1/4n2P/PPPN4/2K1RB1R w k -,f1d3
2r2rk1/1b3ppp/p1q2b2/3p1B2/1Q3B2/5P2/PPP3PP/2KRR3 b - -,c8d8
rnr3k1/1q3pp1/p3pn1p/2BpNb2/RP1P4/4P2P/4BPP1/3Q1RK1 b - -,f6e4
8/4rk2/5Rp1/4ppP1/7P/8/6K1/8 b - -,f7g7
2rqr1k1/1b3pbp/p2p1np1/1pnP4/2p2P2/P1N1BB1P/1PPN1QP1/R4RK1 b - -,a6a5
3r2k1/p4ppp/1p3n2/qN6/2P1p1b1/3nP1P1/PQ1B1PBP/R5K1 w - -,b2f6
2r5/pp3pkp/2n3p1/1B6/4n3/5N1P/PP3PP1/5RK1 w - -,f1c1
8/5p2/6p1/3b3p/1p1k1KPP/5P2/8/2R5 w - -,g4h5
5K2/4N3/4kr2/8/8/8/8/8 w - -,f8e8
7r/1p6/p4kpr/2Pp1p2/1P3n1P/P1K2BR1/8/7R w - -,a3a4
r2qkb1r/pppn1ppp/4pn2/3p4/3P2b1/1P2PN2/P1P1BPPP/RNBQ1RK1 b kq -,f8d6
r1bqrnk1/ppb2pp1/2p1p2p/2PpP3/5P2/1P1BP2R/PB1N2PP/R2Q2K1 b - -,c7a5
r2qkb1r/pp1b1ppp/2nppn2/8/4P3/1NN3P1/PPP2PBP/R1BQK2R b KQkq -,a8c8
r4rk1/p1q2pbp/bpn1p1p1/2ppPn2/5B2/2PP1NP1/PP2QPBP/R3RNK1 b - -,a8c8
r1br2k1/p4p2/7Q/2P4N/8/2Bq4/P4PPP/2R3K1 b - -,d3c3
3r2k1/2R2pp1/p5b1/1p6/2p3P1/2BP4/PPP3K1/8 w - -,d3c4
2r2k2/1p5p/1p1r2p1/n4p2/PP3P2/3BP2P/4K3/1R1R4 b - -,a5c6
r1b1kb1r/1pqnn1pp/p3pP2/2p5/2P5/P2B1N2/1P2QPPP/RNB2RK1 b kq -,d7f6
3r4/p6p/r3bkp1/2p2p2/B7/1P3P2/P2R2PP/6K1 w - -,d2d8
2r2r1k/RQ1n1p1p/2N3pb/8/4p3/4P2q/1P2R3/2B1K3 b - -,d7c5
r4r1k/1p3pRp/p2p1n2/4pP2/2q1P3/1N2Q3/PPP4P/2KR4 w - -,e3h6
4rrk1/ppq1n1b1/2npb1pp/2p1pp2/P1N1P3/1PPP1NP1/4QPBP/R1BR2K1 w - -,c1b2
r4rk1/pp2n1p1/2n1bq1p/4pp2/1PNp4/3P2P1/P4PBP/R1BQ1RK1 w - -,b4b5
5r1k/1p3p1p/3p2p1/rp1B4/8/2P2P1P/P1P3P1/1R5K b - -,h8g7
r2q2k1/p1p1n1pp/8/1bPp4/1P1P1PP1/R1B4P/6B1/R5K1 w - -,a3a7
6k1/1p3p1p/2rq2p1/3p3n/1P1Q4/rB1RPP2/5PK1/7R b - -,h5f6
r1b2rk1/p3q1pp/1pp1p3/2bpPp2/2P1n3/1P2P1P1/PBQ2PBP/RN3R1K w - -,b1c3
r1bqkb1r/pppn1ppp/3ppn2/8/2PPP3/2N5/PP3PPP/R1BQKBNR w KQkq -,g1f3
8/2k5/B1Pp4/1P2n3/4Ppp1/2P5/5K2/8 w - -,f2g2
8/1b2k3/4pN1p/1P2P1p1/2P2pP1/8/5K1P/8 w - -,c4c5
5r1k/p3N2p/2p2P2/3p4/5n2/5B1P/P3P3/5K2 w - -,e7c6
r1bq2k1/1p3p1p/p2p1npQ/2pPr3/2P3P1/2NB3P/PP3P2/R4RK1 w - -,a1e1
2r5/1q2p1kp/p3b1p1/2Q1P3/1p4n1/3B4/PPP3P1/1K2R2R w - -,c5d4
r3k2r/pp1qpp2/3p2p1/2p5/2Pn2n1/3P1NP1/PP2PPB1/1RbQR1K1 w kq -,d1c1
