8/R7/6pk/P5p1/4BnP1/5P2/r7/4K3 w - -,a5a6
br3k1r/4bp2/4p1p1/B3P2p/5P2/1q2N2P/1P1Q2P1/2R2R1K w - -,a5c7
r6r/pp5p/1kB2bp1/5b2/5B2/1N6/PP3PPP/3RR1K1 b - -,b7c6
2K5/5p2/2P5/6k1/4P1p1/8/4r3/6R1 w - -,g1c1
r4rk1/1b1nbppp/p2p3B/q3p3/1p2P3/PBN3Q1/1PP2PPP/2KR2R1 b - -,e7f6
5k2/5p2/5r2/2pB2Q1/2Pq4/2p1R1P1/Pr3PKP/8 w - -,d5f3
r1b2rk1/p3ppbp/1pnq2p1/8/3P4/2P1BN2/P2QBPPP/R4RK1 b - -,f8d8
2b4k/6rp/p2p1b2/B2Pp3/2P1Pp2/R6P/6P1/1N4K1 b - -,g7b7
6k1/1br5/pp2n3/3p1p1p/PP1PnPp1/3BB1P1/4N1KP/R7 w - -,a1c1
6k1/1R3p2/p4rp1/7p/PP6/4P3/4K3/8 b - -,h5h4
3n3Q/1p2k2p/2p3p1/p1bq4/P1N5/1P5P/5BP1/6K1 w - -,f2c5
b2r1rk1/p4pp1/q1pNp2p/2R1P3/3P4/PR5P/3Q1PP1/6K1 b - -,f7f6
1r3rk1/R5b1/1q1p2pp/2pPpb2/1p3p2/1P1P2PP/3BPPB1/Q4RK1 b - -,f4g3
4r3/p4p1k/4n1p1/6P1/2B5/2n2NP1/P2R2KP/8 b - -,e8e7
r1bqk2r/pp2bppp/2np4/2pQ2B1/2P5/5N2/PP2PPPP/R3KB1R w KQkq -,g5e7
Q6R/6k1/p3b1p1/2P1p2p/1p2p2P/5P2/6P1/2q1KB1R w - -,e1f2
2kr4/pp3R1p/3qn1pQ/1Bpn4/3P2P1/2P4P/PP2N3/6K1 b - -,c5d4
r4rk1/5p1p/p1pb1n2/1p3bpq/3PR3/1BP2PP1/PP1N2QP/R1B3K1 b - -,h5g6
8/8/R4k2/1r3P1p/8/6P1/6KP/8 b - -,f6f5
r2qkb1r/1b1n1p1p/p2ppp2/8/4P3/6NP/PBP2PB1/R2QK2R w KQkq -,e1g1
2Q3q1/2p3k1/3pN2p/3Pp2n/2P1P3/P1N3p1/8/4K3 b - -,g7h7
1r1qk2r/1b3pb1/p1n1pnp1/1p1p3p/1P1PP2P/4BPP1/PN1QN1B1/R4RK1 b k -,d5e4
1r1q2k1/2n2pbp/p2N2p1/1p1pPP2/1PbP4/P3B2P/3Q2B1/2R3K1 b - -,c7e8
5bk1/8/6p1/1Q2P2p/5P1P/P5P1/2q3BK/8 b - -,f8a3
4r1k1/5q2/4pp2/p1Pp1n1p/P4PP1/2PR4/1r4P1/3Q1RNK b - -,h5g4
1r6/5k2/p2p1n1p/n1pP1p2/1qP1pP2/4P2P/P1RNB1K1/2Q5 w - -,g2f2
1r6/4ppk1/1qn1b1p1/3pP1N1/pr1P1QP1/3R3P/B4P2/3R2K1 b - -,c6a5
r2r2k1/1b2bppp/nq2pn2/1p2N3/1P6/1QP5/P2N1PPP/R1B1RBK1 b - -,b7d5
r2q1rk1/3b2pp/ppn1pbn1/3p4/1P1P4/PN2BN2/4BPPP/R2Q1RK1 w - -,a1c1
2rqnrk1/p3p1bp/1Nnp2p1/1N3b2/2P5/4BB2/PP1Q1PPP/2RR2K1 b - -,c6e5
r1b1k2r/4bp1p/p1qp1p2/8/1pBpPP2/8/PPP1Q1PP/2KR3R b kq -,c6c5
1r1r2k1/1p3p1p/1N3np1/P7/4p1b1/6P1/1P3PBP/2RR2K1 w - -,d1e1
5rk1/5ppp/p1pb4/1P3q2/8/1BPbQ1P1/1P1N1P1P/R5K1 b - -,a6b5
r4rk1/1p1b2pp/p1pp1q2/4n3/4B3/2P2PN1/PP1Q2PP/R4RK1 b - -,g8h8
r5k1/pp1q2p1/8/2bpppBQ/4n3/1P6/1P3PPP/3RR1K1 w - -,g5e3
r2q2k1/1b2p1bp/1p1p2p1/p4r2/P1P4P/2NQB3/1P3PP1/3RK2R w K -,c3d5
r1bqkb1r/pppp1ppp/2n5/4p3/2B1N3/5N2/PPPP1PPP/R1BQK2R b KQkq -,d7d5
2rr2k1/pp1nbpp1/2p1pnp1/q7/PPBP4/4P2P/N1Q2PP1/R1BR2K1 b - b3,a5h5
r3qrk1/1ppb1ppp/3p1nn1/p2Pp3/2P1P3/P1B2NPP/1PQ1BP2/R3K2R w KQ -,f3d2
8/1P6/3r4/8/5Pk1/1R6/4p1p1/6K1 w - -,b3e3
r2q1rk1/pp3pbp/3p2p1/4pb2/8/4BP1P/PPPQB1P1/3R1RK1 w - -,c2c4
2r5/8/1k6/1p6/7K/P2R4/6P1/8 w - -,g2g4
r1b1r1k1/2q1bppp/2p2n2/pN1p4/8/1P1B4/PBP1QPPP/4RRK1 b - -,c6b5
2rq2k1/p1r1bppp/4p3/1P1p4/P1b5/2B1P1P1/3Q1PBP/R1R3K1 b - -,e7f6
4rrk1/1p4bp/6q1/pP1p3p/3Np3/2P4R/1P2QPP1/4R1K1 b - -,g7d4
1r5k/2q3p1/3N1p1p/p1PppPP1/8/5Q1P/Pr6/K6R w - -,f3d5
8/8/p5r1/2K5/1PP1k3/8/6p1/6R1 b - -,g6g5
3r1b1k/6pp/5n2/1p6/8/1P2BBP1/P1R2P1P/6K1 w - -,a2a4
7k/Q2n1q2/p1p3r1/4P2p/2pB1P1R/8/P5K1/8 w - -,g2h2
r4rk1/1R4p1/4p2p/2qpPp2/3NbP1P/2P3P1/6K1/R1Q5 w - -,g2h3
r3r2k/pb4bp/np3Np1/3p4/1q1Q1P2/3B2P1/PB2P2P/R4RK1 w - -,g3g4
7k/3R3p/1r2Bp2/1p2qPp1/8/6PP/1Q4K1/8 w - -,b2e5
2B3k1/1p3pp1/p2q1n1p/3P4/8/6PP/PP2QP2/3n2K1 w - -,e2d1
7R/8/1r6/1pK2kp1/8/7P/8/8 b - -,b6b7
r3kb1r/5pp1/2q1p1np/ppPp4/1PpQ3B/2P4P/P3BPP1/2R2RK1 w kq -,h4g3
1r1k4/3r3p/2q3p1/3p1p2/pPp2RP1/P1Q1P2P/5P2/3R2K1 w - -,c3e5
2R2n2/3p2k1/pp5p/5R2/1P3PPP/PK6/2B1r3/7r b - -,f8e6
4b3/1B2b3/8/4k3/p3p2p/2P1N2P/P3K3/8 b - -,e8h5
rn1qkb1r/1bp2ppp/p3pn2/1p6/8/1P2PN2/P2PBPPP/RNBQ1RK1 w kq -,c1b2
r6r/1b1p2k1/p1q1pB2/1p5p/6n1/2PB2Q1/P1P2PPP/R3R1K1 b - -,g7f6
8/8/5pk1/1R5P/6K1/1pr2PP1/8/8 b - -,g6h6
5nk1/1p1b1ppp/pb2p3/8/1P1pP3/P6P/B2NNPP1/6K1 w - -,d2c4
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq d6,c4d5:g1f3:d2d4:b2b3
6k1/2qn1ppp/4b3/p1bNp3/1p2P1P1/1P5P/2PB1PB1/Q5K1 b - -,e6d5
5r2/2k5/p7/P1P5/3r4/4N2P/5PK1/2R2R2 w - -,f1d1
1r1q1r1k/7p/ppb1p3/4P3/2pB1p1b/1PQ5/P2N2PP/2RR2K1 b - -,f4f3
5rk1/4qpb1/2n3pp/r1p5/1pB1P3/6N1/1PP2PPP/R2Q1RK1 w - -,a1b1
3R4/2r3k1/P4pp1/4b2p/4P3/3B2P1/1PP2r1P/2K4R w - -,b2b4
6r1/5k2/1pp2n1p/p7/3PPp1R/P2K1P2/1P2N2P/8 w - -,h4f4
8/5p1R/8/pk2P3/1p2K3/1P2B3/2P5/5r2 w - -,h7h5
5bk1/ppn2pp1/3p3p/3PpB2/qBQ1P2P/P5P1/1P3P2/6K1 b - -,a4d1
r7/1kp4p/1p1bnp2/4p1pP/2P1P1P1/PK2BB2/6P1/R7 w - -,a3a4
r1n1n1k1/2r1qp1p/1p1p2p1/pPpPp1P1/P1N1PP2/3P4/3QB2P/4RRK1 w - -,e2g4
r1k5/2p2ppn/r2p2b1/2p3Bp/2N1P3/P2P3P/1PP5/2K2R1R b - -,h7g5
r1r3k1/pp2q1p1/1b5p/8/1P2Q3/2Pn4/P4PBP/R1B1K2R w KQ -,e1d2
8/6pp/1pp1k3/b1n5/2P2PK1/8/4P2P/R7 w - -,g4f3
6k1/4bp1p/2q1n1p1/2p1p3/2B1P3/2N3P1/5P1P/3Q2K1 b - -,e6d4
5R2/4n1p1/4Ppk1/7p/7P/8/7K/8 w - -,f8e8
2q2r2/ppb1pk1p/6p1/1RP2p1n/3Q1B2/P2P1PP1/4P1K1/5R2 w - -,f4c7
r1r3k1/4Rpp1/p1qBp2p/1bPp4/3P4/2p1PP2/5QPP/R5K1 w - -,a1c1
4r1k1/p3q1pp/bp6/3p4/P2QP3/1n5P/6P1/3RR1K1 w - -,d4d5
r6r/pppnkppp/4n3/1P2p3/P1Pp4/B3PP2/3P1P1P/R3KB1R b KQ -,d7c5
1r5k/1pnq3p/rQ1p1Pp1/2pPp3/2P1Pp1P/P4P2/1P2KB2/R5R1 w - -,b6b3
r2qrbk1/pb3ppp/1pp2n2/3p4/3P4/PQN2NP1/1P2PPBP/2RR2K1 w - -,e2e4
8/6p1/2n2k2/8/2K2P1N/4P2P/8/8 w - -,h4f3
