7k/4R1n1/7p/2Q3rp/8/8/5Pp1/6K1 w - -,c5c8
r4r2/ppq1bp1k/2n1b1pp/2pnp3/4P3/2P2NP1/PPQ2PBP/R1B1R1K1 w - -,e4d5
8/2p5/5p2/p2Pb1p1/2k1B1P1/5P2/8/1K6 b - -,c4c3
1rb2rk1/ppp2pp1/2n1pq1p/8/1bpP4/2N1P1P1/PP1N1PBP/R2Q1RK1 b - -,c6a5
r2qk2r/ppp3p1/2nbpnpp/3p4/3P3P/2N2P2/PPP1PBP1/R2QKB1R b KQkq -,e8g8
r1bq1nk1/pp2rppp/2p5/3p4/3Pn3/3B1N2/PPP1NPPP/R1Q1R1K1 b - -,f8g6
r4rk1/pp1n1ppp/4pn2/q2p4/P7/2PP1QPP/2PB1PB1/R4RK1 b - a3,a8c8
8/8/4N1p1/4npK1/4k3/6P1/8/8 b - -,e4e3
5r2/p2pk1p1/2b1p3/2R1P1Pp/5p1P/rP1B1P2/P2R1K2/8 b - -,a7a5
R7/1Bp2pk1/P2b3p/r2P4/2K2P2/6P1/8/8 w - -,a8d8
8/2N2k2/1R2bbpp/5p2/4p3/1P2P1P1/1r3P1P/5BK1 b - -,e6d7
1r1q1rk1/3b1pbp/3p2p1/pppNp3/2Pn4/P2PP1PP/1P3PB1/R1BQR1K1 b - -,d4e6
4r1k1/3npp1p/1rN3p1/1RpPp2n/2P5/7P/2P2PPB/4R1K1 w - -,c6e5
4r3/pp4pk/2p5/5pbq/P2Q2p1/2BP2R1/1P3PP1/5NK1 b - -,e8e7
8/8/8/4nkP1/3R4/rp5P/4PKB1/8 w - -,h3h4
1R6/8/1P4p1/7p/2p3kP/1r4P1/2K2P2/8 w - -,b6b7
5rk1/6p1/1pp3r1/4pq1p/p1PnN2P/P2Q1P2/KP4P1/6RR w - -,a2a1:d3d2
k7/q2r1p2/p1Q1p1p1/4P2p/1P1P1P1P/P3B1P1/4K3/8 b - -,a7b7
8/R2PBpkp/6p1/8/2p5/2b5/P4KPP/3r4 w - -,g2g3
3r2k1/pp3p1p/8/2p1n2N/2q5/8/PP3QPP/5RK1 w - -,f2f6
2bq2k1/r4p1p/3p2p1/2pPr2n/1p2P3/1P1B1Q1P/1N3PP1/R3R1K1 b - -,e5e7
8/4k2p/p4pp1/R7/3PK3/8/1r3PP1/8 b - -,b2f2
2rq1rk1/5ppp/p7/1pn1p1B1/4b1Q1/1B6/PPP3PP/R4R1K b - -,d8c7
r2qkb1r/1p2ppp1/p1n5/3p1b2/3P1B2/2N2P2/PPP4P/2KR1BNQ w kq -,g1e2
8/3P4/2Q3p1/5pk1/2K5/5P2/8/3q4 b - -,d1c2
r2q1rk1/pppnbppp/1n6/3P3b/8/1BN2N1P/PP3PP1/R1BQ1RK1 b - -,d7e5
r1b1r1k1/pp1n2p1/1np4p/5N2/4PB2/6P1/PP4BP/R4RK1 b - -,d7e5
8/8/pp1R4/6k1/5rP1/8/1K6/8 b - -,f4b4
2r1k2r/p2n2p1/bp2p1np/2p2p2/2PP4/PN1BPPB1/4K1PP/2R4R b k -,e8g8
r3k2r/pp3ppp/1qpb1n2/3pn3/5BP1/1QPbPP2/PP1NN2P/R3KB1R w KQkq -,b3b6
5r2/5pkp/Q1Rb2p1/3q1p2/3Pn3/4P2P/P1R2PP1/6K1 b - -,f8b8
8/p1pr3p/1p2pk2/8/1R3P2/4P3/PP1r2PP/5RK1 b - -,d2c2
2rqk2r/p2pbpp1/2n1p3/2p1P2p/2P1Q3/6P1/PP3PBP/R1B1R1K1 w k -,c1d2
8/5k2/6q1/7p/8/4Q3/8/5K2 w - h6,e3a7
r1bqk1nr/pppp1Bp1/2n4p/2b5/4P3/2p2N2/PP3PPP/RNBQ1RK1 b kq -,e8f7
r2q1rk1/1p2bppp/2n5/p3pb2/2Pp4/PP1P1NP1/1B3PBP/R2QR1K1 b - -,e7f6
3r3r/5kp1/1p1q2n1/p1pP1pPB/P1P1pP1R/4Q3/1P5P/5RK1 w - -,e3h3
5r2/2q2pkp/1p4p1/4p3/4P3/1Qr5/P4PPP/1R3RK1 w - -,b3b6
1r2k1r1/4bp1p/pqbppp2/8/1p2PP2/3B4/PPP1NQPP/1K1RR3 w - -,f2h4
r6k/1pr2p2/3q2pp/p2Pp3/8/1P3R2/P5QP/K2R4 b - -,a5a4
rn1q1rk1/2p1bppp/1p2b3/p2pN3/3P1B2/6P1/PP2PPBP/R2Q1RK1 b - -,f7f6
r1b2qk1/4p2p/npp1n1pb/p2pP3/P2P2PR/1BN2rB1/1PP1QP2/1K4R1 w - -,g1h1
r2q1rk1/pb1nbppp/1p3n2/2pp2B1/3P4/2NBP3/PP2NPPP/2RQ1RK1 w - c6,a2a3
r1b2rk1/pp2qppp/5n2/3pb3/8/PP1B4/1BPN1PPP/R2QR1K1 b - -,f6g4
r3q1kr/2p3p1/p2Np2p/8/3Pb3/4P3/PP3PPP/R1B1K2R w KQ -,d6e8
r1bq1rk1/1p2bppp/p3p3/3pP3/1n1N4/2NPB3/PP2QPPP/R4RK1 w - -,f2f4
r3k1nr/pp1qnpb1/2pp2pp/4p3/2P1PP2/2NP1NPb/PP4BP/R1BQ1RK1 w kq -,g2h3
rnbqk2r/pp4bp/3p1np1/2pPp3/2P1B3/2N1BP2/PP4PP/R2QK1NR b KQkq -,c8f5
2r5/p2r1kp1/1p3pp1/n2p4/P2B3P/2P2P2/1P3KP1/3R3R w - -,h4h5
6k1/5ppp/p3b3/q7/2p1P3/2N3QP/PP4P1/3K4 b - -,h7h6
r3r1k1/p4ppp/2p2b2/1p2n3/q3PP2/2P3B1/P1RNQ1PP/3R2K1 w - -,c2c1
6r1/p7/4k3/2Rp4/3Kp2P/1P4P1/2P5/8 b - -,g8g3
8/p5k1/5R2/7P/1P4KP/q7/8/8 w - -,f6f4
r6k/p5q1/1p1p4/1P1Pbr2/P1N3b1/1R4P1/3Q2B1/4R2K b - -,e5d4
4k3/3npp1N/8/2n1PN2/rp6/6PP/3R1PK1/8 w - -,f5g7
1k5r/1b1r3p/p5p1/1p1pR3/1P5P/P2B4/2P3P1/4R1K1 b - h3,h8g8
4rbk1/p4p2/1p3n2/6q1/4p1bp/PP2P1P1/1B1R1PB1/2Q1R1K1 b - -,h4h3
r4rk1/1b3p2/1qn1p1pn/p1bpP2p/1p1N1P2/2PBBN2/PPQ3PP/R3K2R b KQ -,f8c8
1rr2b2/5Q2/pk1p1P2/2q1p3/1p6/2N5/PPP3BP/1K1R4 w - -,c3a4
r3kb1r/1p1n1ppp/p1p1pn2/q2p3b/2PP4/1P1BPN1P/P1QN1PP1/R1B2RK1 b kq -,f8a3
r1bqk2r/ppppbppp/2n5/4Nn2/3P4/8/PPP2PPP/RNBQRBK1 b kq d3,f5d4
3b4/8/4Bk2/2K1pPp1/4P3/6P1/8/8 b - -,d8a5
3n4/3k4/1R6/PN2ppp1/1P6/5P2/1K2P3/6r1 w - -,b6d6
4rr1k/ppqb2pp/2n1pn2/3p4/3P1b2/2BB1NN1/PPQ1RPPP/5RK1 b - -,a7a6
Q7/6kp/bp3p2/2q5/5B2/1P3B2/5KPP/5R2 w - -,f4e3
5k2/r5p1/8/5p1B/7P/4P1P1/P4P2/6K1 b - -,f8e7
5k2/5pb1/3r4/3qpb2/p1P5/Pp2Qp2/1P6/K1B1RB1N b - -,d5c6
4r2k/pp2q1p1/2bp1p1p/3B4/3PP3/1QP4P/P5P1/4R1K1 b - -,c6d5
rn2r1k1/ppp2ppp/3b4/3P1b2/2P2P2/4B3/PP2BKPP/RN5R b - c3,b8d7
rnb2rk1/ppp2pp1/3q3p/3p4/2PP4/1Q2PN2/P4PPP/R3KB1R b KQ -,d5c4
5r2/1p2r1p1/2p4p/pPkp4/P6P/3B1PP1/2PP1K2/1R6 b - -,f8f6
5r2/3R1pk1/6p1/4P3/5Q1p/5P1P/6PK/4q3 w - -,d7e7
r4rk1/1pp1ppbp/1p6/3P1p2/2P5/P1N5/1P3PPP/3R1RK1 w - -,d1d3
1q5r/1b1n2kp/2n1pp2/Bp1P2pB/2p1P3/Q5P1/1P1N1P1P/5RK1 b - -,e6d5
r2qkb1r/pppnpppp/5n2/1B1P1b2/8/5P2/PPPP2PP/RNBQK1NR w KQkq -,b1c3
r3k2r/pppqbppp/2npb3/8/7P/2P1BN2/PPPQ1PP1/2KR1B1R b kq h3,h7h6
r2qr1k1/1p3pb1/n1p1bnpp/3pp3/1PP1P3/2NP2P1/2QBNPBP/1R3RK1 w - -,c4c5
6k1/5b1p/p3Q1p1/8/P7/5P1P/2r3P1/6K1 w - -,e6a6
r2q1rk1/pp1nbppp/2p1p3/5b2/2QP4/2n1PNP1/PP3PBP/R1B1R1K1 w - -,b2c3
2rqk1r1/1p1b1p1p/p2Qp3/5p2/P2BP2b/1NN4P/1nP3P1/R4RK1 w - -,d6f4
4r1k1/p7/2q2pp1/1p5p/1R1QnP2/4P1P1/PB5P/6K1 w - -,d4d3
r1b1k2r/pp3ppp/2p1pn2/q2p4/1bPPnB2/2NBPN1P/PPQ2PP1/2R1K2R b Kkq -,d5c4
r1bq1rk1/pp3ppp/2pb4/8/3pPB2/3P1QN1/PPP3PP/R4RK1 b - -,d6f4
5rk1/p2Q3p/1p1PR2q/8/3b4/5pP1/P4PKP/8 w - -,g2f1
r4rk1/1p1npp1p/5np1/1B6/3B1b2/2P2NP1/PP3P1P/3RK2R b K -,f4d6
1rbk1nnr/4q3/1p1p1pp1/pPpPp2p/2P1P1P1/2N1N1QP/P3BP2/1R3RK1 w - -,f2f4
