8/p7/5n1P/5k2/B4p2/5K2/8/8 b - -,f5g5
r1b5/1p3k1p/p1r5/P3P3/2n2Pn1/2N5/P1P3PP/R1B2RK1 w - -,f1f3
8/8/1K6/2Nq4/1P1k4/8/8/8 w - -,b6b5
r2qrbk1/4pp1p/1pp3p1/p1PnBb2/P1BP4/5N1P/1P1Q1PP1/3RR1K1 w - -,c4d5
r1b2rk1/1pqnbppp/1np5/p3p3/P3P3/2N1BN1P/BPP2PP1/R2QR1K1 w - -,f3g5
rnb2rk1/ppq2pbp/3p1np1/2p1p3/3PP3/2PB1N1P/PP3PP1/RNBQR1K1 w - e6,b1a3
r1b1k2r/1p1nbpp1/q1n1p3/3pP2p/p2P4/P4NN1/1PB2PPP/R1BQ1RK1 w kq -,c1g5
r2r2k1/p3bppp/bqp1pn2/3p4/2P5/1P4P1/PBQNPPBP/R4RK1 w - -,e2e4
2r3k1/R4pbp/1r4p1/1p2p3/2q1P3/4QN1P/1P3PP1/3R2K1 b - -,b6c6
2R5/pp2rp1k/1n3b1p/8/5BB1/2P3P1/P4P2/5K2 w - -,c8c5
r7/p4rp1/2p4p/n2k1P2/R2PpB1P/P1P5/2P2KP1/4R3 b - -,a5c4
8/6k1/bp6/p4P2/P1pb2Pp/5B2/2R5/6K1 w - -,g1g2
2kr3r/ppp2pp1/1bn3b1/4p2p/1P2B1Pq/2P2QNP/P2P1PK1/R1B2R2 b - -,c8b8
8/6b1/3P1p1k/4nKp1/R2B3P/8/PP1r3P/8 b - -,d2e2
6k1/B3b2p/p3p3/1p2np2/2b2p2/P4P1P/1PP2QPK/3r4 w - -,b2b3
8/1p2k1b1/2n1p1pp/pBP2p2/4P3/2P1B1P1/1P2K2P/8 w - f6,e4f5
3qk2r/3pppbp/b1r3p1/3QP3/3B4/3B4/P4PPP/R4RK1 w k -,f1d1
r1q2rk1/1p1nb1pb/2ppn2p/p3pp2/1PP1P3/P2P1N2/1BQ1NPPP/2RR1BK1 b - -,e6g5
5k2/3r1p2/1prbp2p/p2p1p2/3P4/1PP2NP1/1P1K1P1P/R3R3 w - -,f3e5
5rk1/pp5p/3pq1pb/2p1p1n1/2P1P2n/1P1BP3/P2BQ1PP/R3N1K1 w - -,e1c2
3r1rk1/pp2p3/n1p3pp/2P1N3/6P1/1P6/2b2PBP/R3R1K1 w - -,a1c1
r2qk2r/1p1bbpp1/1n1Np2p/3pP3/pn1P3P/3B1N2/PP3PP1/R1BQR1K1 b kq -,e7d6
2Rn4/3P4/1r1k1bp1/2NBp3/2K1P2p/1P6/6PP/8 b - -,d6e7
2qbr1k1/5ppp/pp6/3P4/P5n1/1P2B3/4NQPP/3R1BK1 w - -,f2f4
8/p3kp2/7p/Pbp1PP2/6B1/4K1P1/8/8 w - -,f5f6
r2r2k1/4bppp/pq1pbn2/1p6/3nP3/PP5P/1BB2PP1/R2QRNK1 w - -,b2d4
rnb1k2r/ppp2ppp/3bq3/8/3P1p2/5N2/PPP1Q1PP/R1B1KB1R w KQkq -,c2c4
r4rk1/2p2p1p/4p1p1/pbn5/2NR4/pPn4P/1NP2PP1/4RBK1 w - -,c4a3
4r3/1p3nk1/p2pbR2/2r3p1/P1P1P3/1P6/5QPP/6K1 b - -,c5e5
5k2/1p1b1p1p/2pn2p1/p4pP1/P1PP1N1P/1B3P2/2PK4/8 b - -,f8e7
6R1/5p2/2kpb2r/pp2p2P/8/1PP5/P3B3/1K6 b - -,a5a4
6k1/5pp1/1pr1pq2/p2r4/5P1p/PP4P1/1Q3P1P/R3R1K1 w - -,b2f6
3qkb1r/1p3ppp/pNrp1n2/4p3/Q3P1b1/4BN2/PPP2PPP/R3K2R w KQk -,e1c1
r1b2rk1/1p2qp1p/2p3p1/4b3/N7/4P1P1/PB2QPBP/2R2RK1 b - -,a8a4
r3r1k1/ppqn1ppp/2pbbp2/8/2PP4/3BB2P/PP2NPP1/R2Q1RK1 b - -,d7f8
8/1p6/p1kR4/6Pp/4K3/1P1P4/2P5/8 b - -,c6d6
1rr1k3/4bp2/4pp2/2p5/4P2Q/5N2/4bPPP/R5K1 w - -,h2h3
r1b1qrk1/pp3nbp/2p1npp1/4p3/1PP1P3/P1N2N1P/5PP1/R1BQRBK1 w - -,c4c5
r1bq1rk1/1pp3bp/3p1np1/p1nPpp2/2P1P3/PPN5/1B1NBPPP/R2Q1RK1 w - -,f2f3
1rN5/1p4pp/p2q4/P3p2k/4p3/6B1/1PP3B1/5QK1 b - -,d6c5
rnbqk2r/ppp1ppbp/3p1np1/8/2PP1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq -,e8g8:f6h5
5r2/p1k1p1R1/3p4/3PrBP1/8/2p5/PP6/1K3R2 w - -,g5g6
r1bqr1k1/pp1n1pbp/2pp2p1/4pP2/2PnP3/3PN1P1/PP2N1BP/R1BQ1RK1 b - -,d7f6
2B4R/8/8/8/6p1/4n1k1/8/6K1 b - -,g3f4
5k2/2KB1ppp/8/2P5/8/R4bP1/4r2P/8 b - -,f3e4
8/pp1nbk2/2p3p1/7p/2P1BP2/5KPP/PB6/8 b - -,d7b6
7k/2p3p1/3p2q1/2p2b2/2P5/1rb1QPB1/7P/4R1NK b - -,c3e1
4r3/5pk1/4bp1p/1R6/1n1p4/2N3P1/1P2PPBP/6K1 w - -,c3e4
rr3k2/5ppQ/b3p1n1/2ppn1NP/6q1/1PNP2P1/P4PB1/2RR2K1 w - -,g5e6
2r1rk1b/1p1bq3/p2p1n2/P2P1p2/1P1B1P2/2N1R2P/3QB1P1/5RK1 b - -,e7f7
R7/1r3pk1/1bpBn2p/5Bp1/1Pp5/2P3PP/4r1PK/3R4 w - -,f5g4
r3r1k1/1pp1qppp/3p1b2/p1R5/4PP2/2P2B1P/PPQ3P1/R1B3K1 b - -,d6c5
rn1qkb1r/pp3ppp/2p1pnb1/8/3P1B2/2N2BN1/PPP2PPP/R2QK2R w KQkq -,h2h4
4r1k1/1p1b1ppp/p2p4/8/3N1P1b/2B3rP/PPK3P1/R5R1 b - -,h4f6
8/2r1k1pp/p3pp2/1nn5/1pN5/1P2PBP1/P4PKP/1N1R4 w - -,c4a5
rn1q1rk1/pb1pbppp/1p2pn2/2p3B1/3P4/2PBPN2/PP1N1PPP/R2QK2R w KQ -,d1c2:e1g1:h2h4
r5k1/pp3pb1/2nq3p/6p1/3PB1P1/2PQ3P/PP3B2/3R2K1 b - -,a8e8
rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq -,g7g6:e7e5:b8d7
8/8/K7/1P1pB3/2kP4/8/r7/8 w - -,a6b6
r1b1qnkb/1p3r1p/2pB4/2Pp2pN/p2Pp1B1/2Q2PP1/PP5P/R4RK1 b - -,f8g6
2kr3r/pp1n1pp1/1bp3bp/4p3/2P1N3/1P4P1/PB2PPBP/R1R3K1 w - -,c4c5
rnbq1rk1/pp2bppp/4pn2/2Pp4/2P2B2/2N1PN2/PP3PPP/R2QKB1R b KQ -,e7c5:b8c6:d8a5
r1b2rk1/ppqn1ppp/4p3/2P1n3/3QP3/P1P1BP2/5KPP/3R1BNR b - -,e5c6
3q1rk1/2nnbppp/3p4/4pPP1/rpB1P3/1N2B3/1P1Q3P/1K1R3R b - -,d8a8
r1b3k1/pp1n2pp/2p4r/3p4/3PN2q/1Q2P2P/PP1N1PP1/2R2RK1 b - -,d7b6
8/8/2r1p1p1/p1rk4/5RPp/2R4P/3K4/8 w - -,c3d3
r4rk1/5ppp/3q1n2/p7/1p1p1PbP/6N1/PP1Q2P1/2RN1RK1 w - -,d1f2
r2qk2r/pp3pp1/1bppbn1p/4p3/B3P2B/2PP4/PPQN1PPP/R4RK1 b kq -,g7g5
5r2/1p2p1kp/1r1p4/8/p1P1pn2/2K5/PP2B1PP/2R1R3 b - -,f4g2
2r2rk1/1bq2ppp/pp1ppb2/4P3/2n2P2/PnN2B2/1P2QBPP/1N1R1RK1 b - -,b7f3
1rr3k1/p3Bp1p/6p1/1pppP3/4bP2/2P1K3/PR5P/8 w - -,e7d6
5bk1/2p3pp/2p3q1/2Pb4/P2P1B2/4nN1P/1R4P1/4Q1K1 b - -,e3c2
Q7/4nkpp/p1r1q3/1p3p2/3B4/4P1P1/P1r2P1P/R2R2K1 w - -,a2a4
r3r1k1/1pq2ppp/p1n1b3/4P3/3p4/1R1B2B1/PP3PPP/3Q1RK1 w - -,b3a3
8/8/8/1p1bp2p/p6P/Pk6/3KN3/8 w - -,e2g3
r2q1rk1/1b1n1ppp/2n1p3/1B1pP3/pb1N1P1P/2N1B3/PPPQ2P1/1K1R3R b - -,d8c7
r1bqkb1r/pp3ppp/2n1p3/1BPp4/3Pn3/2N2N2/PP3PPP/R1BQK2R b KQkq -,f8e7
6k1/1p1R1np1/r3r2p/p3p3/PbN5/5Pp1/1P2PBKP/2R5 w - -,h2g3
2r3k1/pbr2p1p/1p2p1p1/3nN3/3PBQ2/P2R4/1P3PPP/4R1K1 b - -,d5f4
3rk2r/1p2bpp1/1qn1p2p/p3P3/1n1PQ3/1N3N2/PP1B2PP/2R2RK1 w k -,d2b4
8/p1b1r1k1/2R2p2/6p1/4PP2/1P1B1KP1/8/8 w - -,f3g4
8/1r2b3/R3P3/8/2P2k2/p4N2/P3K3/8 w - -,f3d4
r4rk1/pp2bppp/2p1bn2/7q/2PP4/1N2N3/PB3PPP/R2Q1RK1 w - -,d4d5
