8/6k1/3np1pp/8/6PP/6K1/8/5R2 w - -,g3f4
7k/8/4BKbP/6P1/8/8/8/8 w - -,e6g8
2b2rk1/7p/3p3r/1p2n1pq/2pQPp2/2B2P1P/1P2BRP1/R6K w - -,e2f1
1r6/2R4p/8/1P6/3k4/4pKP1/8/8 b - -,b8f8
8/5pk1/4p1p1/4P1Qp/1p1q3P/1P6/P5PK/8 w - -,g5f6
7r/3k4/6R1/4K2p/5P2/8/8/8 b - -,h5h4
3N4/7R/6p1/1n2k3/p6P/6P1/r3PPK1/8 b - h3,b5c3
r1b2rk1/pp3p1p/2N1pp2/3q4/1b6/2N1P3/PPQ2PPP/R3KB1R b KQ -,d5c6
r2q1r2/2pbp1bk/p2n2pp/Q2P1p2/N3pB1P/1P4P1/P3PPB1/2RR2K1 b - -,d7a4
r4rk1/bp2qppp/p1b1p3/3pP3/1P1B4/P2P1N2/3Q1PPP/2R2RK1 b - -,a7d4
1rb3rk/p1p1b1qp/p1P5/3Pp3/N3PpnN/P1Q5/3B1PP1/4R1KR w - -,c3f3
6R1/8/8/1P2k1P1/4p3/5p2/6r1/4K3 w - -,g8f8
8/p3Np2/1p4kp/2p3p1/2K1P3/1P3PPP/n7/8 b - -,g6f6
r3k3/pR3N2/2p3p1/pb2P3/3r2P1/2R4P/P4P2/6K1 w - -,f7d6
r3kr2/p1n4p/1pP1qnp1/P2p1p2/8/6P1/1BQ1PPBP/R2R2K1 b - -,e8f7
r1bqr1k1/1p3pp1/2pp1nnp/p7/P2PP3/RP2RN1P/2QN1PP1/5BK1 b - -,c8e6
r1bqrbk1/5ppp/p1np1n2/1p2p3/3PP3/5N2/PPB2PPP/R1BQRNK1 w - -,d4d5
rn2kb1r/ppq1pp1p/2p2p2/8/3P2b1/6Q1/PPP1NPPP/R1B1KB1R b KQkq -,c7d7
rnbq1rk1/pp2ppbp/6p1/2pP2B1/4P3/2P5/P4PPP/2RQKBNR b K -,d8d6
r4rk1/4Rpbp/3p2p1/2nP4/3q1P2/2N1QRPP/6BK/8 b - -,d4c4
4n1k1/2b1qb1p/2Q3p1/p2Pp3/PpN1P1P1/1P2B2P/6B1/6K1 w - -,c6c5
5bk1/5p2/6p1/3PQ2p/7P/3q1NP1/5PK1/8 w - -,e5d4
r2r2k1/ppn2pbp/2p2np1/q2Pp3/4P3/P1NQBB2/1P3PPP/1R1R2K1 b - -,d8d7
5k2/4r1b1/2r1pq2/p2p3Q/1P3P2/6PB/PP2R3/4R2K b - -,a5b4
q4r2/7p/1Q1pp2k/6p1/5nP1/1PB5/P1P2P2/4R1K1 w - -,c3g7
r2qr3/pb3pkn/1pnp2p1/2pNp2p/2P1P3/3P1NPP/PP1Q1PBK/R4R2 b - -,h7f8
rnbq1rk1/pp3pp1/5n1p/8/1bPQ3B/2N2N2/PP3PPP/2R1KB1R b K -,g7g5
2rr2k1/4bpp1/p3pn2/6Bp/P7/3B1P2/1qP3PP/R2RQ2K w - -,a1b1
r2q1rk1/pp1bppbp/2np1np1/6B1/3NP3/1BN5/PPP2PPP/R2QR1K1 b - -,d8b6
8/1pk3pp/8/pBP1b3/3pP3/3K2P1/PP5P/8 b - -,b7b6
7r/1qkr1p2/p2N2p1/2P4p/8/8/P4PPP/2R2RK1 w - -,d6b7
6Rq/7P/8/5k2/7R/5P2/6PK/8 b - -,h8e5
r2kb2r/1ppn4/p2bP3/5Bp1/6Pp/2N4P/PPP4B/2KR4 w - -,e6d7
1r1r4/3k1pbp/R5p1/8/1n2P3/1N4P1/4BP1P/2R3K1 w - -,a6a7
rnq2rk1/pp1bppbp/3p1np1/2pP4/2P1PP2/2N1B2P/PP2B1P1/R2QNRK1 b - f3,f6e8
rn2r1k1/1p3p1p/p5p1/PbpP4/2B1q3/1QP5/4NPPP/1R3K1R w - -,c4b5
5rk1/1rp3p1/p2npqn1/2Q1p1N1/4P3/7p/PPR2PPP/3R1NK1 w - -,g5h3
r1b1r1k1/pp3pbp/2n3p1/3B4/4P3/5N2/P2B1PPP/2R1K2R w K -,e1g1
1r3rk1/2q2ppp/2p2n2/1pb1pPB1/8/3B1Q2/1PP2PPP/R4RK1 b - -,c5e7
r7/1kp2pp1/1p2b3/2p1Pn1p/5P2/2BRNK1P/r1P3P1/2R5 w - -,g2g4
r1b1kb1r/1pqn1p1p/p2pp1p1/2n3P1/3NPP2/2N2Q2/PPP1B2P/R1B1K2R w KQkq -,c1e3
r2qk2r/p3nppp/2p1p3/2b1Pb2/3p1B2/5N2/PPPN1PPP/R2QK2R w KQkq -,e1g1
2r2rk1/pp3ppp/4pn2/qP6/2nP4/1Q4PB/P6P/R1BR2K1 w - -,h3f1
2r1kb1r/pppnpppp/1q3n2/1N4P1/3PbB2/4NP1P/PPP5/R2QKB1R b KQk -,f6d5
8/1pq2pbk/pNp1rnpp/2P1p3/1P2P3/P3BP2/3Q2PP/3R2K1 b - -,e6e7
2r1nbk1/r4ppp/pn1p4/q2PpNB1/Pp6/3Q1B1P/1PP2PP1/R3R1K1 w - -,h3h4
5rk1/p4p2/6p1/2P2b2/3b2r1/Q7/3q1NBP/2R2RK1 w - -,a3f3
4rk2/Q3n1pp/4p3/4P3/bB6/P5P1/1K5P/8 b - -,a4c6
rr4k1/5qpn/2n2p2/2p1pP2/P1PpP1QP/PN4R1/1B6/1R2bBK1 w - -,b1e1
1R6/2p1kp2/2r1r3/P1PpP1Pp/3B1K1P/2P5/4b3/R7 w - -,a1b1
2rr2k1/pb2qppp/1p2pn2/3p4/2PR4/1PB1P1P1/P4PBP/2R1Q1K1 w - -,c3b4
2n1r3/kpr2q1p/p2p1pp1/3P4/1RPP4/P2B1Q1P/5PPK/1R6 w - -,c4c5
r2qkbnr/p4ppp/1pn1p3/2ppP3/8/3PQ2P/PPP1BPP1/RNB1K2R b KQkq -,g8e7
r1br1k2/p5pp/2n2n2/2b5/p1BP4/4BN2/PP3PPP/R2K3R w - -,d1e2
4B3/5R1k/1p4R1/7p/2P5/4p1PK/P6P/3q4 b - -,h7h8
3r4/5p1p/p1k3p1/Pp1b4/1Pp4P/4N1P1/3R1P2/4K3 w - -,d2d4
rn1qk2r/pp2bppp/3pbn2/1Pp1p3/2B1P3/P1NP4/2P1NPPP/R1BQ1RK1 b kq -,e8g8
r1bqk2r/5pbp/1pn1p1p1/1Npn4/p7/2PP1NP1/PP2QPBP/R1B2RK1 w kq -,c3c4
6k1/p3qpb1/4p1p1/2pbPP1p/1p2r3/7R/PPPQB2P/3RK3 b - -,g7e5
r2qr1k1/2b4p/1np2pp1/1p1p1N2/1PnP1PP1/3Q4/4P1BP/1RB2RK1 w - -,f5g3
3r3r/pkp2pp1/1p6/3pPb2/n2P3P/4KBP1/P2N4/R5R1 w - -,a1c1
6k1/1p1q2p1/pQp5/P2pBb2/3P3P/5P2/6PK/8 w - -,g2g4
2r5/5pkp/6p1/pp6/3N4/1B2P1P1/5K1P/8 b - -,a5a4
8/8/1b6/1P6/4p3/3k1B2/3p4/5K2 b - -,e4e3
R7/5R2/2pk4/8/5br1/2K5/P7/8 w - -,a2a4
r5k1/1pr2pp1/p3b2p/3n4/3N4/1P1RB2P/P4PP1/R4K2 w - -,f1g1
rb1qk2r/pp2npp1/2p1n1p1/2Pp4/3P4/1P3N1P/PBQN1PP1/R3R1K1 b kq -,e8g8
rnk2b1r/pp3ppp/2p1p1b1/8/3PPB2/1P6/1P1N1PPP/R3KB1R w KQ -,f1d3
r4kr1/p1n5/bp1p3p/2nPqpp1/4P3/Q1N1B2P/P1BK1PP1/2R4R w - f6,f2f3
1r1q1rk1/1ppbnpbp/p2p1np1/8/2PN4/1PN3PP/PB2PPB1/R2Q1RK1 w - -,a2a4
5k2/5p1p/1pB2p2/p4N1P/8/1P1K4/P7/6b1 b - -,g1c5
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N2P2/PP2N1PP/R1BQKB1R b KQ -,a7a6:b8d7:e7e5:c7c6:b8c6:c7c5:h7h5
3q1rk1/1p1bbppp/1n2p3/1NppP3/1BP2P2/1P1P2P1/4N1BP/r2Q1RK1 w - -,d1a1
8/8/6p1/2b1kp1p/2P2R1P/3P2P1/5PK1/2r5 w - -,g2f3
N4rk1/pp3pbp/2nB2p1/2P2bqn/1PPpp3/8/P3PPPP/2RQKB1R w K -,d6f8
r1bq1rk1/1p1nbppp/p2pp3/8/3BP1PP/2N2P2/PPPQ4/2KR1B1R b - h3,b7b5
5bk1/2rnrp1p/5np1/Rb2p1N1/1P2P3/6NP/1PB2PP1/2B1R1K1 b - -,c7c2
r4r1k/pp4pp/6q1/3p4/8/5PQ1/PPP3PP/1K1RR3 b - -,g6f7
1rbq1rk1/1pp1npb1/4p1pp/p2nP3/2QPN3/5NP1/PP3PBP/R1BR2K1 w - -,h2h4
rnbqk2r/pp3ppp/2p1pn2/3p4/1b1PP3/2N2P2/PPP1N1PP/R1BQKB1R w KQkq -,a2a3
4r3/pp1q1ppk/1b5p/2np3n/3Nr2N/2P3B1/PP1Q1PPP/3R1RK1 w - -,h4f5
1n4rk/2p1R1p1/1p6/p2pB1Nr/3Pb3/PP6/4KP2/6R1 w - -,g5e6
2r3k1/2Q2ppp/1p1n1q2/8/8/4PP2/6PP/2BR2K1 w - -,c7b6
r2q1r2/pp3pkp/4bNp1/3Pn3/5R2/2P5/PP2Q1PP/R5K1 b - -,e5d7
r2q1rk1/ppp1b1pp/4p3/4P3/1PP1bB2/P7/4B1PP/R2Q1RK1 w - -,e2g4
8/8/3p1k2/b1pP3B/P1P1KP2/8/8/8 b - -,a5b4
3qkb1r/1b3ppp/p7/3nP3/1PPNp1P1/4B3/2PQ3P/1K1R2R1 b k -,f8b4
