2r5/3k1p2/1R3bpP/2PK4/1p6/8/P7/8 w - -,b6f6
r3k3/ppp1q1Bp/4p1r1/P2p1pp1/3P4/2P1P3/1P2QPPP/R3K2R b KQq -,g6g7
r2r2k1/pp2qpp1/2p2n1p/8/2QPp3/P3P3/1P2RPPP/1BR3K1 w - -,e2c2
8/8/4k3/1R4pr/2PK4/8/8/8 b - -,h5h4
r3k2r/ppq2ppp/2p1pn2/8/3P4/2PB3P/PP1BQPPb/R4R1K b kq -,h2f4
r1b2rk1/pp2ppbp/6p1/2P1n3/1P6/P7/1BP2NPP/2KR1B1R b - -,c8e6
2r1k2r/1q1pb1pp/p3pB2/8/1p6/2NQ4/PPP2PPP/3R1RK1 b k -,e7f6
2rq1bk1/3r1p1p/b3p1p1/pN1p4/Pn1P4/BPR5/3QBPPP/2R3K1 w - -,c3c8
3r4/3P1pbk/6pp/4P3/Pp6/3pQ2P/1Pq2PP1/4R1K1 w - -,e3d4
3kb3/8/8/4PK1p/1p6/1B6/8/8 w - -,f5e4
r6r/ppp5/3p1k2/3PbbR1/2Pp1p1p/3P3P/PP1Q1P2/2K3R1 b - -,f5h3
2r1r1k1/pp1b1p2/3ppqpQ/4n2n/3NP1P1/1BN5/PPP5/1K4RR b - -,f6g7
3r1r2/1pq2pk1/p1p1bbp1/4N3/3P1PP1/1B2Q3/PP3R2/3R2K1 w - -,b3e6
2k2r1r/pbpp3p/1p2pq2/4R1pQ/3P4/2PB4/PP3PPP/5RK1 b - -,h7h6
2rq1rk1/pp3ppp/2n1bb2/8/3pN3/3N2P1/PP1QPPBP/R4RK1 b - -,b7b6
r6k/1ppq2pp/2n1b3/p4r2/3BQ3/P3PpP1/1P3P1P/R2R1BK1 b - -,f5h5
8/5qp1/3k3p/2p5/1p1p3P/1P1P2P1/Q6K/8 w - -,a2a6
r1bR1k2/pp3ppp/2p5/4r3/2P5/2P1PP2/P3B2P/R5K1 b - -,e5e8
r2q1rk1/pp1nbppp/2pp1n2/4p3/2PP2b1/1PN3P1/PB1QPPBP/R3K1NR w KQ -,e2e3
r1bq1rk1/pp4b1/n1pp1npp/5p2/2P5/1PN2NP1/PB2PPBP/R2Q1RK1 b - -,f8e8
4r3/5k2/7p/2p1B3/3P4/4p1N1/1PK4P/8 w - -,c2d3
8/4p3/2R5/P3bk1p/8/r4p2/5PKP/4B3 w - -,g2h3
3rr1k1/1b3pp1/p4q2/1p1P4/7p/1Q3PP1/PP1RN1P1/6BK w - -,g3g4
3r2k1/pb1qb1pp/1pp1p2r/8/2PPQ3/1P2pBP1/PB2P2P/3R1RK1 b - -,e7g5
2r3k1/p4bbp/2P3p1/8/2p1N3/4P2P/PB3RP1/5NK1 b - -,c8c6
8/4q1K1/1k6/5P2/6P1/8/8/8 w - -,g7g6
3r2k1/2NP1p2/7R/1Bp2p2/8/8/5bPK/2r5 b - -,c1c3
k7/p6q/Pnb1p2B/Rp1pP1p1/2pP1pPr/2P2B1r/1QP2P2/1R3K2 b - -,h4h6
r3r3/pp4k1/1q3n2/3P1pQ1/8/1P5P/P3P1B1/R6K b - -,g7h8
r2qk2r/1pp2ppp/pb1p1nn1/4p3/4P3/1BPP1Q1P/PP3PP1/R1BR1NK1 b kq -,g6h4
r5k1/1q3ppp/p3pb2/1p1r4/8/1P3QP1/P2NPP1P/2R2RK1 w - -,d2e4
2rrb1k1/ppq1bppp/2n1pn2/8/2N5/1P3NP1/PB2PPBP/1QR2RK1 b - -,b7b5
1r1q1rk1/p2p2pp/1p2pb2/3n4/4N3/2PQ1N2/PP3PPP/3R1RK1 b - -,b6b5
8/6k1/3pQ1pp/2p5/2P2PK1/1P1q2P1/P6P/8 w - -,e6d5
4r1k1/5p1p/p7/3Pbb2/2B5/8/PP1R3K/4R3 w - -,h2h1
8/K2k4/6q1/1Q6/8/8/5P2/8 b - -,g6c6
8/2p3R1/p1p5/2Pkb3/PP6/3K2p1/8/8 w - -,g7g5
2rrn1k1/2q3pp/pB2pb2/np2p3/8/P1NB4/1PP2QPP/4RR1K b - -,f6h4
1qrr1bk1/pb1n1p1p/1pp1pnp1/8/PPNPP3/3B1N2/2R1QPPP/1RB3K1 b - -,f8e7
rnbr2k1/1p5p/p2p1ppB/2pP4/P1Pb4/1R1B4/3KNPPP/7R w - -,e2d4
r2q2k1/1p1rbppb/2n1p2p/2p1P2P/PpP2PP1/1Q1P1N2/RB2B3/3R2K1 b - -,d8a5
r3r1k1/pp3ppp/1qb1p3/3pP3/2PN4/PP1R4/4QPPP/5R1K b - -,d5c4
3r4/1p2q1kp/P2b2p1/3p1p2/P2Pn3/1R2PQP1/2r4P/1N2BRK1 b - -,b7a6
2r1k2r/Rp3ppp/4p3/6q1/3B4/1PP5/4BPPP/5RK1 b k -,e8g8
8/1R6/8/p2r3p/Pbk2P2/7P/4K3/8 b - f3,c4b3
6k1/8/8/p2N1pp1/8/P1KR2P1/5q2/8 w - -,c3c4
1rr3k1/4np1p/p1b1p1p1/1p1pP1P1/3N1P2/P1PR4/1KP2B1P/R7 w - -,d4b3
6k1/6p1/7p/Q7/7P/3qnPP1/2r4N/4R2K b - -,c2h2
8/pp2k3/2p2pp1/3p4/3P1Pp1/2P4P/PP3K2/8 w - -,h3g4
1rb2rk1/p1q1pp1p/3p1npQ/2p5/4P3/1BN2P2/PPP3PP/1R3RK1 b - -,c5c4
8/8/6kP/6P1/7K/8/1r6/3R4 b - -,b2b4
4r1k1/1Rp1q1p1/3b1pbp/2r5/P2RP3/4QN2/4BPPP/6K1 w - -,e2d3
7R/b4pp1/3r1k2/4p3/4P3/2PB4/2K4p/8 w - -,h8h2
2k4r/ppq2p2/3r2p1/2pPN1Pp/2P2P1P/8/PP1Q4/2KR4 w - -,c1b1
r4nk1/1pbbqrpp/p3pp2/2p1p2Q/P1B1P3/1P2N2R/1BPP1PPP/R5K1 w - -,e3g4
r5k1/1pr2pbp/p3pqp1/2P1n3/4P3/N3B2P/P3RPP1/1R1Q2K1 w - -,e2d2
1r3n1r/p3qpk1/4p1p1/2p1P2p/2PpQ2P/PP1R1N2/5PP1/4R1K1 b - -,f8h7
7r/4k3/R7/7p/3KP2P/8/8/8 w - -,d4e5
1rbq1rk1/pp2npbp/3pp1p1/2p5/3nPBP1/2NP2NP/PPPQ1PB1/2KR3R b - -,f8e8
1k5r/ppqr1pp1/3bpn1p/2p5/2PP3P/3RBN2/PPQ2PP1/1K5R w - -,h1d1
8/3N3p/1p3pp1/pP1n4/2k2PK1/3r2P1/3R3P/8 w - -,d2c2
r1r1b1k1/p3p1bp/1q4pn/2nPPp2/1p1Q1BP1/1Pp1NN1P/P3BP2/2R1K2R b K -,c5e4
rn2k2r/p1qbnpp1/1p2p2p/1BppP2P/3P4/P1P5/2PB1PP1/R2QK1NR w KQkq -,b5d3
7r/p2n1R2/1pk5/3pp2P/6K1/P7/7P/5R2 b - -,e5e4
2N5/8/1p4p1/p1k4p/P1n4P/6P1/1P1K4/8 w - -,d2c3
8/p4pk1/8/6K1/P4R2/4rPP1/8/8 b - -,e3a3
4k3/1R6/4pp2/1Pp3p1/2P3n1/3nP1P1/N6r/2R3K1 b - -,h2a2
3r2k1/1Q3ppp/p3p1q1/1p2p3/7P/5P2/PPP1B1P1/1K5R w - -,g2g4
3n2k1/rb2ppqp/6p1/2pn2N1/2B5/4P2P/1Q1N1PP1/1R4K1 w - -,b2b5
r1b4r/5p2/p1pR1k1p/bpB1p1p1/4P1P1/1PN2P2/1P4P1/2K4R b - -,c8e6
2kr3r/1b2n1b1/pq5p/3pP3/2p2pP1/1PP2N1R/2QNB2P/5R1K w - -,b3c4
2r1r1k1/bp3pp1/p1q4p/P2p4/3Nb3/2P3P1/1P1Q1PBP/R3R1K1 b - -,c6c4
2r3k1/1b4pp/p1nrp3/5p2/PbB5/1P3PN1/6PP/1R2BRK1 b - -,g7g6
4rrk1/p1q3bp/1pnp2p1/2p1pp2/PPP5/3P2P1/4PPBP/1RBQ1RK1 w - -,b4b5
rn3rk1/1ppb2b1/3p2p1/p1nPppB1/2P5/2N3N1/PPB2PPP/2KR3R w - -,h2h4
r1b5/p7/1p3k1b/2NNpp1P/4Ppp1/1R6/PPP2PP1/1K6 b - -,f6g5
q1r3k1/5p1p/4pb2/pB3p2/Pp2b3/4P3/1P3PPP/R2QN1K1 w - -,d1e2
6k1/3R3R/8/2p2K2/8/1P5P/2P1q3/8 w - -,h7g7
r3r1k1/pp1qn1pp/3p4/2pP1b2/2P1NP2/1PKQ4/P2B3P/4R2R w - -,d3g3
r5k1/1Q2p1rp/p4p2/2p2Pq1/2nnP1b1/2NR4/PP4P1/1K3BNR b - -,a8d8
3r4/pp5p/3P3k/4b2B/3nNp2/1P6/P4PPP/3R1K2 w - -,h5g4
2r2rk1/2q2ppp/P2b1n2/N3nQ2/1P6/3BP3/3B1P1P/R4RK1 b - -,e5d3
r2r2k1/ppq2ppp/5n2/P1p1N3/2Q5/2P4P/5PP1/R3R1K1 b - -,d8e8
r2q1rk1/ppp1b1pp/1n2p3/4nb2/2PP4/P1N1B3/1P2B1PP/R2Q1RK1 w - -,d4e5
2kr2r1/1bpqbp2/p1n4p/1p1BP1p1/8/P4N1P/1P1QNPP1/2RR2K1 b - -,g5g4
r2qk2r/ppp1nppp/2n5/1Bb5/3pP3/1Q3N2/PP3PPP/R1B2RK1 b kq -,e8g8
r2qnrk1/1p1nb1pp/p2p4/2pPpb2/P7/2N5/1PPNBPPP/R1BQ1RK1 b - -,e8c7
2k1rr2/pp1q2b1/2p1n3/3p1p1p/3P1PpP/P2Q2P1/1PP1N1B1/1K1R3R b - f3,e6c7
