r7/pkn5/7R/2pqPP2/5Q2/7P/PP4P1/6K1 w - -,h6d6
r1b2rk1/pp2bppp/4p3/2n5/4N3/2P2N2/PPB2PPP/R2R2K1 w - -,e4d6
4r1k1/1p3pp1/p1b4p/P7/8/1q2B3/3Q1PPP/5R1K w - -,f1e1
rn2r2k/pp4bp/2p1q1p1/4p3/7P/PQN1P3/1P3PP1/3RK2R w K -,b3e6
r5k1/p4r2/7p/N5p1/8/3n2P1/PPR2P2/R5K1 b - -,a8f8
2r1k2r/1b2bppp/pp3P2/4p3/P1q1n3/1PN1B2P/2P1N1B1/R4RK1 w k -,b3c4
r1bqkb1r/1p2pppp/p1np1n2/2p5/P3P3/1PN2N2/1BPP1PPP/R2QKB1R b KQkq -,g7g6
r4r1k/p1q1Npbp/bp4p1/3p4/8/6P1/PPP2P1P/R1BQR1K1 w - -,e7d5
r3r1k1/p1qn1ppp/bp6/2bp2B1/4p1Q1/1BP1P3/PP1N1PPP/R3K2R w KQ -,g5f4
1r1qk2r/p2n1ppp/2Q1p3/3pP2b/8/2P2N2/PP1N1PPP/R3K2R b KQk -,b8b2
rnq1k2r/pbpp1ppp/1p2pn2/8/2PP4/2B2NP1/PP2PPBP/R2Q1RK1 b kq -,b7e4
8/8/2p2k2/1p1p2RP/p2P1P2/P1P2K2/8/4r3 b - -,e1a1
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/3PP3/2P2N2/PPB2PPP/RNBQ1RK1 b - d3,d7d6:e5d4
r2q1rk1/1bpn1pbp/p2pp1p1/1p2Pn2/3PNP2/P2BBN2/1PP3PP/R3QRK1 b - -,c7c5
rnbqrbk1/ppp2p2/3p3p/6p1/3Nn3/2N3B1/PPP1BPPP/R2QR1K1 w - -,c3e4
1rbq1r2/1pn1ppkp/p2p1np1/2pP4/P1P1PP2/2N4P/1P1QB1PN/4RRK1 b - f3,e7e6
3rr2k/6pp/pp3p2/4p3/2Pq4/1P2RQ2/P5PP/5R1K b - -,h7h6
2r3k1/1Nr1bp1p/p1q1p1p1/2p1P3/1pP2PP1/3R1Q2/PP5P/3R3K w - -,f3c6
2r2r2/1R3pkp/p1Pp1np1/8/8/5P2/P3B1PP/2R3K1 w - -,e2a6
r1bq1rk1/1p1nppbp/p4np1/3p4/3P4/1PNBPN2/PB3PPP/R2Q1RK1 b - -,b7b6
rnbq1rk1/pp2p1bp/2p2ppn/3pP3/3P1P2/3B1N2/PPP3PP/RNBQ1RK1 w - -,c2c3
8/1R3k1p/6p1/p2p4/3Bp1PP/2P1K3/r7/8 b - -,f7e6
2rqr1k1/1b1nbppp/p2p1n2/1p2p1B1/3PP3/P1N2N2/1PB2PPP/R2QR1K1 w - -,a1c1
2r2r1k/p1pn1qpp/bp1p2n1/3N4/2P2PB1/1P4P1/P2Q1N1P/4RRK1 b - -,f8e8
2kr4/2n5/p1q3p1/1p2R2p/3P4/1PP3P1/4QP1P/R5K1 w - -,e5c5
1n1r1k2/p4pbp/b7/4pNNp/4P3/2P3P1/1B3P1P/R5K1 b - -,f8g8
3r1rk1/p3ppbp/1p4p1/4p3/4P1nP/1NN1B3/PPP3P1/2KR3R w - -,d1d8
8/3r1pkp/Q1p1pp2/5r2/8/4PqP1/PR3P1P/5RK1 b - -,d7d1
8/5p2/1b1kp2p/6p1/4BrP1/7P/4RPK1/8 w - -,e4c2
8/4kp2/3bp2p/8/1p2RP2/1B3K2/PP5P/6r1 b - -,g1h1
r2qrk2/pp2bp1p/2p1n1p1/3p2P1/3P1BN1/2P5/PP1Q1PP1/R3R1K1 w - -,e1e6
5rr1/pkp5/1p4p1/5p1p/3R3P/1P6/P1P2PP1/2K4R b - -,f8e8
2r3r1/1p3q1k/p1pb4/P4pP1/1P1Pp2p/4P1PP/2QBR2K/6R1 w - -,d2e1
8/8/2b1r3/6B1/6p1/3k4/2R3pK/8 w - -,c2c1
r4qk1/pp3bb1/n1p3pp/2n1pp2/2P5/P3NN1P/1PQ1BPP1/3R1RK1 w - -,b2b4
3k4/R2n4/p2p4/1p2b2B/4P3/8/4K3/8 b - -,d7c5
1rbqnrk1/4ppbp/2np2p1/1p6/1P2P3/2NPB1P1/4NPBP/1R1Q1RK1 b - -,e8c7
r3k2r/1bqnbpp1/p3p2p/1p1nP3/P1pPN2P/2P3P1/4QPB1/RNB1R1K1 w kq -,c1a3
1rbq1rk1/p3ppbp/2np1np1/2p5/1p2PP2/2NPB1PP/PPPQN1B1/R3K2R w KQ -,c3d1
2rq1rk1/1p2ppbp/p1npbnp1/6B1/4P3/1NN5/PPP2PPP/R2QRBK1 w - -,c3d5
8/8/1p4B1/8/P4k2/2n1p3/8/4K3 w - -,g6e8
2r1nrk1/pp1bqpb1/n5pp/2pPp3/2P1P3/1P1N1NP1/PB4BP/R1Q2RK1 b - -,f7f6
1k5r/1p1qb3/p1p2p2/4p1pp/1PB1P1b1/P1NPP1P1/3Q3P/2R3K1 b - -,h8d8
5r1k/5p2/1nn1p1pP/2pbP1B1/p7/P4NP1/1r3PB1/3RR1K1 w - -,g5f6
r1bq1rk1/pppn1pp1/5n1p/2b1p3/2B1P2B/2N2N2/PPP2PPP/R2Q1RK1 b - -,c7c6
2qr1rk1/4bppn/ppPp3p/2p1P3/5B2/P5PP/1PQ2PBK/R2R4 b - -,d6e5
r1b2k1r/4qp2/pnn1pNpp/1p1pP3/3P1P1P/2N1Q3/PP2B1P1/1K1R3R w - -,b1a1
6k1/pp4p1/2p4p/5p2/2P5/2Q2R2/PP2rPPq/2K5 w - -,c1d1
8/1p6/p2p4/3Pk2p/1PP3pP/4K3/6r1/3B4 w - -,d1e2
3R1k2/ppb2p2/2p2p1p/8/P1B5/2P3PP/1P3P2/5K2 b - -,c7d8
3rr2k/R3b1qp/p5p1/Q1n2p2/8/4NN2/P4PPP/5RK1 b - -,g7f6
r6k/pp1b4/2q2r1p/2P1Q1p1/3P4/6P1/PP5P/3RR1K1 w - -,e1f1
rnbqk2r/ppppb1pp/4pn2/5pB1/2PP4/4P3/PP3PPP/RN1QKBNR w KQkq -,g1f3
1rr3k1/3b1p1p/p2qp1p1/1pR5/3P3P/3BPQ2/P4PP1/2R3K1 b - h3,c8c5
8/5B2/7p/p5p1/P1p3P1/3kP3/1K6/8 w - -,f7g6
r3r1k1/ppp2ppp/2n5/8/3P1P2/2P1n1NP/PBQ3P1/4RRK1 b - -,e3c2
1Qr3k1/5p1p/6p1/1R6/P2Pp1q1/4P3/r4PPP/5RK1 w - -,h2h3
2rr2k1/5pb1/bp2p1pp/p1p1nq2/P3N1nP/2PP1NP1/1PQ1BPK1/R1B2R2 w - -,f3e5
r1b2rk1/ppq2ppp/2nppb2/2p5/4P3/2PPBQ2/PPN2PPP/R3RBK1 w - -,d3d4
8/5p2/4p1k1/2p1P2p/4KPpP/2b3P1/4R3/8 b - -,c3d4
8/5pk1/5R2/4PP1p/7K/5P2/8/7r w - -,h4g3
8/7r/5k2/1p1p2p1/3p2P1/P1bP1P2/R5K1/2N5 w - -,a3a4
r5k1/pp3pp1/1b2rn1p/3p4/5N2/2P4P/PP1N1PP1/R3R1K1 b - -,e6e1
1rq1r1k1/1p1bppbn/p2p1np1/2pP3p/P1P1PP2/2N1B1NP/1P1QB1P1/R4RK1 b - -,d7h3
rn1qkb1r/pbpp1p2/1p2p2p/6pn/2PP4/2N1PNB1/PP3PPP/R2QKB1R b KQkq -,h5g3
8/6Kp/1kb3p1/6P1/1P3B2/8/8/8 b - -,c6e4
7r/ppq1kp2/7p/3QPp2/8/2P2RP1/P4P2/6K1 b - -,h8d8
r5k1/1p3p1p/2p1b1p1/1P2b3/2P1P3/5rP1/3R1B1P/1R3BK1 b - -,a8a4
rn1q1rk1/pbp2ppp/1p2pn2/3p4/1bPP4/2NBPP2/PP1BN1PP/R2QK2R b KQ -,b8c6
8/r3n3/6p1/p4p2/N1R1k3/2P1p3/4K2P/8 b - -,e4d5
3rk2r/pp1b1pb1/q6p/P3p3/6nR/1N2B1P1/1P2PPB1/R2Q1K2 w k -,e3d2
r1n1r1k1/bp1q1ppn/2pp3p/p1P1pb2/NP2N3/P2PP3/1BQ1BPPP/R3R1K1 b - -,b7b5
8/2kr2p1/p3p3/4b3/2qnN3/2N3RP/1P3PP1/4Q1K1 w - -,e4d2
3rrbk1/1bq2p2/1pp1n1p1/p1n1P1P1/2P2P2/2N2B2/P1QRNBK1/3R4 b - -,d8d2
8/2p2kp1/pp3p1p/1n1P4/2K3P1/3P4/P2B1PP1/8 w - -,d2b4:d2f4
r4rk1/1p4pp/1q1p1b2/p1nPpp2/P1B5/BP3P2/4Q1PP/2R1R2K b - -,a8c8
3r1k1r/pp1qbppp/5n2/2ppR1B1/2P5/2N5/PP2QPPP/R5K1 w - -,a1e1
r1bq1rk1/pp2p1bp/5np1/3p1p2/3PnB2/1N2PN1P/PP2BPP1/R2Q1RK1 b - -,c8d7
r2nbrk1/p5pp/3bp1N1/q2p4/2pP4/2P3PB/P1Q2P1P/R1B1RNK1 b - -,e8g6
5bk1/7p/6p1/P2b1p2/8/1P2p1PP/2Qr4/5BK1 w - -,c2c3
rnbqkb1r/ppp1pp1p/6p1/3P2B1/2P1p3/8/PP2PPPP/R2QKBNR b KQkq -,f8g7
rn2k2r/pp3p1p/2p1qn1b/8/3pP3/3P2B1/PPP1Q2P/R2NK1NR w KQkq -,g1f3
r1b2r1k/8/2p2p2/p2P1P1p/1p2P1p1/KPNB4/P1Q3P1/R1B3q1 w - -,a3b2
rnbqkb1r/pp3ppp/3ppn2/2p5/2P5/1P2PN2/P2P1PPP/RNBQKB1R w KQkq -,c1b2
