8/8/1R2K3/r7/8/2kb4/8/8 b - -,c3d4
r1bqk2r/2p2pbp/p2p1np1/np2p1B1/4P3/1B1P1N2/PPP2PPP/R2QKN1R w KQkq -,f1e3
r2qk2r/pb1p1ppp/1pn1pn2/2b3B1/2P1P3/PNN5/1PQ2PPP/R3KB1R b KQkq -,c5e7:c6d4
2r3k1/6p1/3p3p/1Q1Pn3/p2q4/P5P1/1P4BP/5R1K w - -,b5e2
r4rk1/pp1b2pp/2n1pn2/2qp4/5P2/2NB1N2/PPP3PP/R2Q1R1K w - -,d1d2
r1b1kb1r/1p1B1ppp/p4n2/q7/P2Pp3/2N1B3/1PP1N1PP/R2QK2R b KQkq -,c8d7
6r1/pR4pk/2p4p/4N3/3P2QK/6PP/2q5/8 b - -,a7a5
4r1k1/1ppq1p2/3p2n1/1p1P1pP1/4rP2/P2Q2BP/1P3RK1/2R5 w - -,h3h4
r5k1/pp3p1p/1npp4/7p/2P1rPb1/2P1N3/P5PP/R1BR2K1 w - -,d1d6
rn4k1/5ppp/p1r1p3/3n4/8/R2BP2P/3BKPP1/R7 w - -,g2g4
2r1r1k1/1p5p/p2pp3/2n1bp2/2P4q/1P1N1P2/P3Q1PP/3R1RBK b - -,c5d3
rnbqkb1r/pp3ppp/3ppn2/2p5/2P1P3/2N2NP1/PP1P1P1P/R1BQKB1R b KQkq -,b7b6
rn1qk2r/pbp1bppp/1p2pn2/3p4/3P1B2/3BPN1P/PPP2PP1/RN1QK2R w KQkq d6,f3e5
8/8/RR2nk2/4rp2/4p2p/5P1P/4K1p1/8 w - -,a6a1
8/8/8/2p1k1p1/3P2P1/2K5/2B3b1/8 b - -,c5d4
1rk1r3/pp4p1/2p1npNp/2b1P2P/2P3P1/1R3PB1/6K1/1R6 b - -,e6d4
5b2/8/1p1k1p1p/p6R/P1B5/1P2PKP1/3r1P1P/8 w - -,h5f5
r4rk1/ppqbppbp/2N2np1/2pp4/5P2/1P1PP3/PBP1B1PP/RN1Q1RK1 b - -,d7c6
8/1pk5/p4R2/8/PP1N4/3K3p/8/7r b - -,h3h2
r3r3/5pk1/1p1b1Qp1/p4b1p/P1BPp2P/1PB1P3/3PKP2/R5R1 b - -,g7f6
b1r3k1/p4ppp/4p3/1p2P3/3p1P2/1P4P1/P1P2RRK/8 b - -,a8g2
r1b2rk1/pp3ppp/2n2b2/q3p3/8/2PB1N2/PP2QPPP/R1BR2K1 w - -,e2e4
8/6pk/7p/3p1q2/2pQ3P/5P2/1P3KP1/8 w - -,f2f1
r2q1rk1/p1pbppbp/1pn2np1/8/2Pp2P1/QN1P1N1P/PP2PPB1/R1B1K2R b KQ -,e7e5
3qNb1k/5p1p/pnb3p1/3P2P1/1P3P2/P1Q2B2/7P/6K1 b - -,h8g8
r2r2k1/3b1ppp/p2p4/4q3/2P1PQ2/1P5P/2B3PK/R3R3 w - -,f4e5
r1b2rk1/2qpbpp1/p1n1pn2/1p5p/4PP2/PNNBB2P/1PP3P1/R2Q1RK1 b - -,d7d6
1k1r2r1/pp6/1n2qp1Q/4p3/1P6/6PP/PB1R2PK/2R5 w - -,d2f2
5b2/pp5p/4k2P/1P2pppn/P2pP1N1/3P2P1/4KP2/2B5 w - -,e4f5
8/4n1p1/p6p/2pk1p2/5P1N/1PK3P1/P6P/8 w - -,c3d3
rn3rk1/pbpp2pp/1p2p3/5p2/2PP3q/2PBPP2/P1QB2PP/R4RK1 b - -,b8c6
r2qkb1r/p4ppp/2p1pn2/2pb4/P2P4/3BPN2/1PQ2PPP/R1B1K2R b KQkq -,d5f3
3r4/6p1/8/2PNnPk1/pP4Pp/7P/P1Kp4/6R1 w - -,d5c3
8/1p6/r1pk4/3p4/pP1P4/4PP2/P4K2/1R6 w - -,a2a3
r1b2r1k/pp2q1pp/1bn2p2/4p3/1PB5/P1Q1PN2/1B3PPP/R2R2K1 w - -,h2h3
2r1k2r/4nppp/p2bqn2/1p6/2p5/2N3P1/PP2PPBP/R1BQ1RK1 w k -,d1c2
r1b2r2/pp2ppkp/2q3pn/8/2P5/4P3/P3BPPP/RN1Q1RK1 w - -,d1d4
r1r3k1/1R3ppp/4p3/2Np4/2nP4/P3P2P/5PP1/2R3K1 b - -,a8a3
4qk2/4b3/4Q3/1p6/2p2PN1/7P/1P4P1/6K1 w - -,e6e5
rr1qb1k1/4bp1p/2p1pnp1/p1Np2B1/3P4/2PB3Q/PP3PPP/1R2R1K1 b - -,a8a7
8/KP6/3k4/7p/8/8/2R5/1r6 b - -,b1a1
3k2r1/1p3pPp/p1n5/2B5/2b2P2/2N5/PP3KPP/7R w - -,c5f8
r1b2rk1/4qppp/p7/2bp4/2PB1P2/P7/4B1PP/R2Q1RK1 w - -,e2f3
8/8/8/2Nn3k/1p5P/1P5b/1PPK2N1/8 w - -,g2e3
r4rk1/1p1q1pbp/1n2p1p1/pN1p4/Pn1P1B1P/1BP2Q2/1P3PP1/R3R1K1 b - -,b4c6
8/1B6/8/4p1k1/5n1p/5P2/7K/8 w - -,b7c6
rnbq1rk1/p1p1bppp/4pn2/1p6/2pP4/5NP1/PP1NPPBP/R1BQ1RK1 w - b6,a2a4
1q2r3/r5p1/pk2Np2/1p6/4Q3/1B1P4/P1P3PP/4R2K w - -,e4d4
1rr3k1/p4p1p/4pqp1/8/5R2/2p1PN1P/P1Q2PP1/6K1 b - -,f6d8
r5k1/2b2pp1/2P1p2p/2N1q3/B7/6P1/1PR2P1P/3R2K1 w - -,b2b4
r7/1p3k1p/2p2pp1/1p1n4/3P3P/P3BKP1/1P3P2/2R5 w - -,c1c2
r1q1r1k1/1ppb2bp/n2p2p1/p2Ppp1n/2P1P3/PPN1BP2/3NB1PP/1R1QR1K1 w - f6,b3b4
2r3k1/5p1p/2r2P2/p2p4/1p1Pn3/1P1R1KbP/Pq1B4/2N3Q1 w - -,f3e2
6k1/6pp/p7/1p2r3/P1p2R2/2P2P2/1P4PP/5K2 b - a3,e5c5
1rr4k/1p4bp/p1p5/2Nn1n1q/PP3P2/6P1/2R1QPNP/1R2B1K1 b - -,h5h3
1kb3r1/5qr1/3bpn1p/p2p1p1P/P1pP1P2/1pP1Q1PB/1P1N2R1/4RNK1 b - -,f7h5
r4r2/5p1k/3p2p1/2pP2Pp/2q1PN1P/p1P2P2/1nQ1R1K1/R7 b - -,f8b8
4r3/p5pk/q6p/2R2p2/P4P2/3r3P/3Q2P1/R6K w - -,d2c2
8/8/3k4/7B/4PP2/5K2/8/6b1 b - -,g1d4
1r1rb3/p5kp/1p2Bpp1/2b1p3/P1N2P2/3PP1P1/7P/R2R2K1 b - f3,a7a6
rnbq1rk1/p4ppp/1p2p3/8/3PP3/3B1N2/P2Q1PPP/2R1K2R b K -,c8b7
8/5k2/2R5/4pr1p/8/6KN/5P2/8 b - -,f7g7
r1b1qbk1/p4pp1/1ppr1n1p/3pN3/Q2PP3/P1N3P1/1P3PBP/2RR2K1 b - -,c8e6
8/3r4/1pp1R1k1/8/8/2Bp2P1/P6P/6K1 b - -,g6f5
r4rk1/3b1ppp/1R3n2/3p1P2/3P4/q5N1/4B1PP/3Q1RK1 b - -,a3e3
8/5p2/4kP2/4P3/5P2/r5R1/6K1/8 b - -,a3a2
2r3k1/pq4pp/b1p5/Q4p2/1pPr4/6P1/P4PBP/R1R3K1 b - -,a6c4
8/5p2/pp2rpk1/5r1p/3R1P2/2B3PK/PP6/8 b - f3,f5c5
5rk1/2nq1pbp/r2p2p1/2pPp1P1/p1P1N2P/P3B3/1PQ2P2/2KR2R1 b - -,f8b8
8/1p2k2p/p5p1/6P1/2P2P2/3R1K1P/P7/r7 b - -,a1a2
8/5k2/1p1r2p1/5p2/5P2/6KP/1R6/8 w - -,g3h4
b6r/2rpkppp/1pnRp3/8/4P3/1N3P2/PP2B1PP/1K1R4 b - -,g7g5
r3nr2/ppqbNpkp/6p1/2pp4/5P2/1P1PP3/PbP1B1PP/RN1Q1RK1 w - -,e7d5
2r2rk1/pb2bpp1/1qp1pn1p/1p2N3/3PN3/6P1/PPQ1PPBP/R2R2K1 b - -,f6e4
3b4/3k3p/1p3ppP/p7/3PP3/4N3/r7/3R3K w - -,e3d5
r1q2rk1/1b2bppp/np6/p1pp4/2P2B2/5NP1/PP1R1PBP/R2Q2K1 w - -,c4d5
r5k1/1b1q1pp1/p2r1n1p/1p2p3/4P3/P2BQ2P/1P2NPP1/3R1R1K w - -,e2g3
8/3q1rk1/2pn2pp/1p1pQ3/p2P2Pn/P1PB1P2/1P3K2/3NR3 b - -,g7g8
r1b1k1nr/1p1n1ppp/p7/q7/1b1P4/2N2N2/PP1B1PPP/R2QKB1R b KQkq -,g8e7
2k5/2pRr3/1pb1rp2/2p3p1/p3P1Np/P1B2P2/1PP3PP/2KR4 b - -,c6d7
