2R5/1P6/3Np1k1/3bP3/p2K2p1/Pr6/8/8 b - -,d5b7
4r1k1/1b3q1p/1p3r2/2np1pp1/3N1P2/4P1B1/5QPP/3RR2K b - -,c5e4
r4k1r/pp3p2/7p/1q2b1p1/N7/P4PP1/1P3PK1/2RQ3R b - -,b7b6
rn1qk2r/pbppb1pp/1p3n2/3p1p2/2P5/5NP1/PP1BPPBP/RN1Q1RK1 w kq -,f3d4
r4rk1/pp1bppbp/2np1np1/q7/2BNP2P/2N1BP2/PPPQ2P1/2KR3R b - h3,c6e5
2r2rk1/1pqnbppp/p2pbn2/P3p3/4P3/1NN3PP/1PP2PB1/R1BQR1K1 b - -,d7c5
1r2r1k1/1p4pp/1p2n1n1/3R1N1P/2P1Pp2/2B2P2/2K5/6R1 b - -,g6e7
r3kb1r/pp1qnppp/2b5/2Qn4/8/P1N2NP1/1P1P1PBP/R1B1K2R b KQkq -,d7e6
r2r2k1/pp1qnpbp/3ppnp1/8/2P2N2/1P2N1P1/PB2PP1P/2R1QRK1 b - -,b7b5
8/1Prn3k/8/7P/3K4/N5R1/8/8 b - -,c7b7
r2r2k1/ppn2p1p/2ppb1p1/q6n/2PNP3/P1N3PP/1P1RQPB1/R5K1 b - -,a5e5
r1bq1rk1/p1p1b2p/6p1/5p2/2Pp1Bn1/3B2N1/PP3PPP/R2Q1RK1 w - -,h2h3
8/1Qnk3p/p5p1/5p2/2P5/4N2P/5PP1/q5K1 w - -,g1h2
5B2/8/2k1K3/5p2/6r1/1p6/3R2P1/8 b - -,g4g8
8/5pkp/p2R2p1/8/8/6P1/4PP1P/1r3K2 w - -,f1g2
r4rk1/p5pp/2p2pq1/2Pp4/3Qb3/P5B1/1P3PPP/2R1R1K1 b - -,f6f5
r4bk1/1b1n1p1p/n1p3p1/1q2p3/4P3/1NQNB2P/1PB2PP1/2R3K1 w - -,c1a1
5br1/2n5/1kqPp1p1/1pQp3p/2pP1B1P/2P3P1/1RB2PK1/8 b - -,c6c5
5k2/8/r3pK2/p3P3/7R/8/8/8 b - -,f8e8
2r1qrk1/p2bp1bp/n1pp1np1/5p2/1PPN4/2N3P1/P3PPBP/1RBQ1RK1 w - -,b4b5
r6r/p3kpbp/2b1p1p1/1pN1n2P/4PB2/2P5/PP2BPP1/2KR3R b - -,a7a5
8/1p6/pR6/8/3pk3/1P1r2P1/1P4K1/8 w - -,b6b7
8/4kp2/p2r2pR/1p6/5PPP/1PK5/P7/8 b - -,d6c6
r4rk1/p4pbp/2q2np1/1p2p3/2B1P3/1P3Q1P/P4PP1/R1B1R1K1 w - b6,c4f1
8/5p1p/4pNk1/3bP1p1/5r2/7P/2R3P1/7K w - -,c2d2
r4rk1/5p1p/1p4p1/p1qQn1N1/Pb6/6P1/1P3P1P/R1BR2K1 w - -,c1f4
3r4/R2P4/1p2pkp1/4p2p/P3P3/8/5PPP/6K1 w - -,a7b7
1rbqk2r/2p2ppp/3p1n2/1p2n3/3QP3/1B6/1PP2PPP/RNB2RK1 w k -,f2f4
rn2k2r/p1p2p2/1p2p1pp/1q1pP3/n2P2Q1/P2P1N2/3B1PPP/2R1R1K1 b kq -,b8a6
3k4/p4p2/1p3rp1/2rP3p/P2R3P/6P1/3R1PK1/8 w - -,f2f4
2rq2k1/r4pbp/3np1p1/P1pp4/3P4/2BBP2P/4QPP1/1RR3K1 w - -,d4c5
4R3/1p1r1p2/p4kpp/P1Qp4/1P1Pp3/4P1Pq/5P2/6K1 b - -,h3g4
r3k2r/1bqn1ppp/1p1bpn2/1N6/2P1P3/6P1/PP3PBP/R2QR1K1 b kq -,c7b8
r3kbnr/pp3ppp/1nq1p3/3pP3/1P1P4/P1N2N2/3B1PPP/2RQK2R b Kkq -,b6c4
3qr2k/1p2rb1p/p1n3pb/3p1p2/3P1N1P/P3PNP1/1P1Q2K1/1BR1R3 w - -,b2b4
1r1r1k2/p2bppbp/Bp3np1/4n3/1P1NPP2/P1N1B2P/3R1KP1/7R b - -,e5c6
5k2/1p6/2p1B2p/p1P1P3/5PP1/5b2/8/4K3 w - -,e1d2
3R4/pr3k1p/5ppB/n1p1p3/6P1/2P1P3/P4P1P/6K1 w - -,d8c8
r1r2k2/p2n3p/2N3p1/2p5/8/7P/PP3PP1/3RRK2 b - -,d7b6
8/p7/5N1p/k5p1/1n2K3/6PP/5P2/8 w - -,f6g4
r4rk1/1p1n1pp1/1qp1pn1p/p4b2/PbBP4/1QN1PN1P/1P1B1PP1/R1R3K1 w - -,d2e1
rr4k1/2qb1pbp/3p1np1/p2P4/4P3/2NNBP2/1P4PP/R2Q1RK1 w - -,f1f2
8/p3qp1p/2QNn1pk/1P2p3/N2bP2P/5PP1/6K1/8 w - -,c6c1
2r5/pp2k1p1/1q2p1p1/2b2p2/4Q2P/5P2/PPP3P1/1KBR4 w - -,e4e5
rnbqk2r/1p3ppp/p4n2/3pp3/1b2P3/2NB1N2/PPP2PPP/R1BQK2R w KQkq d6,c1d2
4qk2/5pbQ/4p3/1p1rn1NP/8/2P3B1/6P1/4R1K1 w - -,h5h6
r3nr2/pp3pk1/2bppqp1/Q5Np/2P1PNnP/1P4P1/P4PB1/2RR2K1 w - -,c1c2
r2q2k1/1b1n1pp1/1p1ppn1p/2p5/1PPPP3/2Q2P2/1B1NB1PP/R5K1 b - -,a8a1
4r1k1/r5p1/p2p1p2/1p5R/2p1PPn1/6P1/PPB3K1/1R6 w - -,g2f3
8/5R2/3p1R1p/2bP2pk/1p4r1/8/5P2/5K2 w - -,f7h7
2r2r2/1p6/p4pnk/2pq1bp1/3pN3/P2P4/1P1Q1PP1/2R1RNK1 b - -,g6f4
7k/7p/1p6/8/p1P5/5KP1/PPR4P/4r3 w - -,c4c5
2R2bk1/5r2/3p2p1/1b1Ppp2/1P2P2p/8/r2B1NPP/2R3K1 w - -,d2h6
4r2k/1p1n1ppp/1p3n2/p7/P2QP3/1NP5/2P3Pq/1K1R1R2 w - -,g2g4
4r2k/1p4p1/3b1r1p/pBpP1p2/P6q/1P3Q1P/5PP1/4R1K1 w - -,e1e8
3rq1k1/1pp4p/p4r2/b2p1P2/1n1P2BP/1Q2BP2/PP4N1/1K1R3R b - -,f6c6
r5k1/3qbr2/p2p1pNn/1ppP4/4PR2/2P4P/PPN1Q1PK/R7 w - -,f4h4
1k5r/1pb5/2p5/7q/Pp2Q1p1/2PN2P1/4RP1p/7K w - -,c3b4
1qnbnrk1/p2r2pp/1PPp4/P3pb2/8/1Q2B2P/3N1PP1/2R1RBK1 b - -,d7f7
2r1rbk1/p2R2pp/1p2p3/8/6P1/2P2QBq/P4P1P/4R1K1 b - -,g8h8
r1b1k1r1/pp1n1p1p/2p1pn2/q7/2PPp3/P1P1Q3/4NPPP/R1B1KB1R b KQq -,b7b6
4r3/1p3Bk1/7b/p1pNp3/P7/2P3P1/1P5P/3R2K1 b - -,g7f7
5bk1/p2r2pp/1p5q/3p1PR1/3Q4/1P2P1K1/PB6/8 w - -,g3g4
r1b2rk1/1pq2p1p/p4Qp1/3B4/8/8/PPP2PPP/R3R1K1 b - -,c8e6
r2qk2r/pp1bppbp/3p1np1/4n3/3NP1P1/2N1BP2/PPPQ3P/R3KB1R w KQkq -,h2h4:e1c1
3B4/5kpp/8/4p1P1/2P1pP1P/P2n4/5P2/6K1 b - -,e5f4
1qrb1rk1/5ppp/Bpb3n1/2p1p2Q/4P3/1PN1BP2/P5PP/2RR2K1 b - -,c8c7
8/1p6/p4p2/3pk2R/P5P1/1Pr5/7P/5K2 b - -,e5e4
3r4/p4k2/1p1nppp1/1P1r3p/P2P1P2/1N6/3R1KPP/3R4 w - -,f2f3
r2knn1r/p2bQ1R1/7p/2Pp1B2/qp5P/4PP1N/PPP5/2K4R b - -,d8c8
4r1k1/6b1/3p1qp1/p2P3p/1pN5/8/PPP3QP/1K1R4 b - -,g6g5
5rk1/p4q1p/1p4p1/2np4/2r1p3/PQ2RPB1/1P4PP/3R2K1 w - -,b3a2
8/p1R2ppk/3p3p/r7/8/7P/P4PP1/6K1 w - -,c7f7
r1bq1rk1/1p2ppbp/p2p1np1/2pPn3/P1P1P3/2N1BP2/1P1Q2PP/R3KBNR w KQ -,h2h3
2k5/p5p1/1p4p1/3r4/8/6P1/PR4KP/8 b - -,c8b7
2rq1rk1/pb1nbppp/1p2p3/3p3n/3P4/1QN2NP1/PPRBPPBP/R5K1 w - -,a1c1
rnbqk2r/pp1p1ppp/4pn2/2p5/2PP4/P1P5/2Q1PPPP/R1B1KBNR b KQkq -,b8c6:d7d6:d8a5
r3kb1r/ppqbn1pp/4p3/2ppP3/8/2P5/PP2BPPP/RNBQR1K1 w kq -,b1a3
6k1/3n1pp1/3P3p/5P2/pq2r3/1N1R2B1/1PP3PP/5R1K w - -,b3d2
8/2BR1p2/1p3rkp/p1p3p1/P1P5/1P2n2P/4r3/1R5K w - -,d7d6
8/8/8/6Rp/5p2/4k2P/3r4/5K2 b - -,d2d1
2rr2k1/1ppqb1pp/pnn1bp2/4p3/1P2N3/P2P1NP1/1BQ1PPBP/2R2RK1 w - -,e4c5
r2qkbnr/ppp2ppp/2n1p3/3p4/2PP4/2N2P2/PP3PPP/R1BQKB1R w KQkq -,c4d5
8/p3kp2/1p2p3/5n1P/2r5/7R/PP1K4/3B4 b - -,e7f6
r3bnk1/r5b1/3p2p1/Np1Pp1Pp/1P2p2P/3BB3/4K1P1/R1R5 w - -,d3e4
