6k1/p2r4/1b6/5PP1/7R/4p3/P3K3/8 b - -,d7d2
r2qkb1r/pp1b1ppp/n3pn2/8/2B5/2N5/PPPN1PPP/R1BQ1RK1 b kq -,f8e7
1rr5/5p2/4p3/1p1p1kp1/1P1P3p/R1P1KP1P/6P1/5R2 b - -,c8c7
r1b2rk1/p1q1bpp1/1npp3p/4p3/3PP1n1/1BN1BN2/1PP2PPP/R2Q1RK1 w - -,d1e2
4b1k1/rp1npp1p/1n1p2p1/1P1B4/1P2PP2/2N5/2Q3PP/5K2 w - -,d5b3
r2q1rk1/pb1nppbp/1p3np1/2pp4/2PP4/1P1BPN2/PB1N1PPP/R2Q1RK1 w - c6,a1c1
rn2kbnr/ppqbpppp/8/8/2BP4/2NQ4/PP3PPP/R1B1K1NR b KQkq -,g8f6
2brr1k1/1p2qppp/2p2n2/1P6/3PN2b/3BP1N1/5QPP/1R2R1K1 w - -,e4f6
5r1k/1pqn1pp1/2pb3p/2Np1B2/1P1P4/r3Pb2/2Q2PPP/1R3RK1 w - -,c5d7
8/3r1pkp/6p1/3r4/1R1p4/3R1P2/5P2/6K1 w - -,g1g2
r4k2/5p2/p1p1p1r1/1p1qP2p/P1pP1Q2/2P3P1/R4P1P/R5K1 b - -,f8g7
r3rnk1/pbnqbpp1/1p2p2p/2ppP3/2P4P/1PNP2P1/P3QPBN/R1B1R1K1 b - -,f7f5
2r5/1n4pk/1q1P1p1p/pp3p2/3RbP2/1B2P2P/R2Q2PK/8 w - -,d6d7
r1qr2k1/1p2bpp1/p1p1pn1p/2P5/3P2P1/1Q4BP/PPB2P2/3R1RK1 b - -,d8d5
8/p4p2/1p3kp1/2r4p/4PPK1/1P3P1P/P2R4/8 w - -,g4g3
8/p4k2/2R2pp1/4p3/P2b2P1/3K1P2/8/8 b - -,d4b6
3Qn1k1/p1r2ppp/q3p3/1b1pP3/8/1p3BP1/1P1BPP1P/5RK1 w - -,f1c1
8/1p1b4/p6p/3pkn2/5N2/2PB2PP/P1P5/2K5 w - -,f4e2
8/5ppp/ppn1k3/8/4K1PP/1PN2P2/P7/8 b - -,b6b5
5rk1/1pn3b1/p2p4/3P2P1/4QPK1/3BnR2/7P/3q4 w - -,e4e3
2rqr1k1/1p2bp1p/pN2bnpB/P2pp3/4P3/3P3P/1P1NQPP1/R1R3K1 b - -,c8c1
8/7p/p2k2p1/3p1rP1/1P1K4/2P5/R7/8 w - -,a2a6
1n3bk1/7p/2p2pp1/1p6/3P4/P3B1PP/1n1N1PK1/2R5 w - -,d4d5
3r2k1/6pp/p3p3/5p2/pP1P4/P7/4KPPP/7R w - -,h1c1
2r1r1k1/3q1pbp/pp1p2p1/n1pP2Bn/2P5/1P1B1N1P/P2Q1PP1/4RRK1 b - -,f7f6
rnb1k2r/ppp2pb1/3ppq1p/6p1/2BPP3/2N5/PPPQNPPP/R3K2R b KQkq -,b8c6:a7a6
8/K7/4k3/1P2p1p1/PN4r1/4P2p/1R4bP/8 b - -,g4h4
4b3/4k3/8/4N3/rR3KP1/8/8/8 w - -,b4a4
r1bqk2r/ppp1bppp/2n1pn2/3p2B1/2PP4/P1N2N2/1P2PPPP/R2QKB1R b KQkq -,e8g8
r1br4/pp2bkpp/1q2pn2/8/8/P4N2/BP3PPP/R1BQ1RK1 w - -,f3g5
1r1qr1k1/2pb1pbp/p2p1np1/3Bp3/4P3/2PP1N1P/P2B1PP1/R2QR1K1 w - -,d5b3
2rq1bk1/p4p1p/p1r3p1/2N1Bb2/3P4/4Q3/P4PPP/R1R3K1 b - -,d8d5
2b5/p1r3pp/1p1k1p2/3B4/1RP2K2/4P3/P5PP/8 b - -,c8d7
r2q1rk1/1p2bppp/p2pbn2/8/3BPR2/2N5/PPP1B1PP/R2Q2K1 b - -,d8c7
7k/1p6/p2R3p/2P5/1P1P1n2/P7/7P/2r2BK1 w - -,d6h6
r2q1rk1/1b1nbppp/p1P1pn2/1p6/5B2/1BN1PN2/PP3PPP/2RQ1RK1 b - -,b7c6
rn1q1rk1/pb2bppp/1p2p3/2pn4/8/1PN1PN2/PB1PBPPP/2RQ1RK1 b - -,e7f6
3q4/pk6/3R1pp1/2Qp4/3P3r/1P6/P4P2/1K6 b - -,d8c7
r2q1rk1/p4pbp/b1p3p1/2p5/8/P2P2P1/1P2QPBP/1RB2RK1 w - -,f1d1
3r2k1/p1qrbppp/1pn1b3/2p5/2P2P2/PPNP2nP/2Q1B1P1/R1B1NRK1 w - -,f1f3
1kr4r/3Rp2p/1q4p1/8/B7/2P5/P1P3PP/KR6 b - -,b6b1
rnbqk1nr/pp4pp/2pbp3/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1 b kq -,g8f6
8/p3rk2/2p2r2/1pR1Rp2/5P2/1P3K2/P1P5/8 b - -,e7e5
r2q1rk1/pb3pbp/1pnPp1p1/2p2n2/B4P2/2NP1N2/PPP3PP/R1BQ1RK1 w - -,a4c6
6k1/r2n1p2/3B1npp/p1p1p3/2P5/P4P2/1PB3PP/3R2K1 w - -,c2a4
8/8/4p3/6k1/R5P1/8/1r3P2/4K3 w - -,f2f3
r1bqnrk1/ppp1n1bp/3p4/3PppB1/2P1P3/2N2P2/PP1QN2P/R3KB1R b KQ -,g7f6
8/5pk1/1R5p/p2r4/P1p3P1/2P2K2/1P6/8 w - -,b6b5
r1bqkb1r/1ppn1ppp/2n1p3/p2pP3/3P4/1N3N2/PPP2PPP/R1BQKB1R w KQkq a6,a2a4
4k2r/4qppp/2r2n2/1pb5/2pp1p2/2B2Q1P/PP1N3P/R4R1K b k -,c6e6
4Nk2/5r1p/2R1K1p1/1p1P1p2/2n5/6P1/7P/8 w - -,d5d6
4q2k/4n1p1/1Q2Bn1p/8/3p3P/2p3P1/5P2/2B3K1 w - -,b6d4
8/p2k2p1/2p5/P1P3P1/4PK2/2P4b/4B3/8 b - -,d7e7
r1bq1rk1/ppp2pbp/6p1/3pPP2/6n1/2Nn1NQ1/PPP3PP/R1B2RK1 w - -,c2d3
8/5kp1/p4p1p/1p6/3qpPPP/3b2Q1/PP3K2/4R3 w - -,g3e3
r1q1rnk1/pp4bp/2p1npp1/2P1p3/4P2P/1N2BPP1/PPQ3BK/R4R2 b - -,c8c7
3r1rk1/pbq1pp1p/1pn3p1/2p5/2P5/1P2PN2/PQ2BPPP/R2R2K1 b - -,d8d1
rnbqk2r/ppp3pp/5n2/3p1p2/1bPP4/5N1P/PP2PP2/RNBQKBR1 w Qkq -,b1c3
8/2rbkp2/p2bpnpp/1p6/1n2BP1B/1N2P2P/PP1N2P1/3R2K1 b - -,b4d5
8/4rk1p/1p1p1q2/p1nP4/P3Bpp1/2P2P2/2Q3PP/5RK1 b - -,h7h5
8/7p/2p2k1b/p1Pp4/P2Pn1P1/5K2/8/B3N3 b - -,f6e6
r3r1k1/3b1p1p/3p1qp1/p1pP4/Pp2P3/1P2R1P1/3Q1PB1/2R3K1 b - -,a8c8
2br1rk1/p3bpp1/1pnq3p/2p1p2P/6R1/3PB1PN/PPP2PB1/R2Q2K1 w - -,g4a4
3r2k1/pp3p1p/2p3pB/4b3/1qn1P1b1/1PN3P1/P1Q2PBP/5RK1 w - -,c3b1
8/7p/4k1r1/pp1pPp2/2pP3b/P1P2R1P/1P3B1K/8 b - -,h4e7
8/5k2/3R4/8/5pK1/5N1P/2r3P1/4b3 b - -,c2g2
6k1/1p4pp/pNp5/2N2p2/2P5/1P6/P2r2PP/3b2K1 w - -,c5b7
r2q1rk1/ppp2pbp/6p1/1N3b2/2Pp4/3nB1P1/PP2PPBP/R1QR2K1 w - -,e2d3
r2q1rk1/pb1nbppp/2n5/2pp4/8/PP1B1N2/1BPN1PPP/R2QR1K1 w - -,d2f1
r1bqkb1r/p4ppp/2p2n2/3Pp3/8/2N1P3/PP3PPP/R1BQKB1R b KQkq -,c6d5
2rq1rk1/p3bppp/bpn1pn2/3p4/3P4/PPN2NP1/1B2PPBP/R2QR1K1 b - -,c8c7
6k1/5p1p/2R2bpB/p3r2n/P5P1/5P2/4N2P/6K1 b - -,f6d8
5R2/r6k/7P/3K1pB1/5P2/6n1/8/8 b - -,a7a5
5rk1/2r2pp1/1n2p1p1/1B1n2N1/P1p4P/2P3P1/1P2RP2/3R2K1 b - -,f8a8
rn2kb1r/pp3ppp/q4n2/3p1b2/8/1NNPB1P1/PP3PBP/R2QK2R b KQkq -,f5d3
1r2r1kb/pb2pp1p/q2p2p1/2pPn3/8/1PN3PP/P2BPPBK/R1Q1R3 b - -,e5d7
8/4qpk1/1b4p1/p3n1P1/P3Q3/1P2P3/5PB1/5NK1 b - -,e7d6
8/8/8/1k5p/3K3P/p4rp1/R7/8 w - -,d4e4
6k1/p1n2pp1/4p3/4P2p/2qp2Q1/1p2BPP1/1P3PKP/8 w - -,g4h4
5k2/6p1/3N1p2/1p6/p7/2P1PKP1/R4PP1/1r6 w - -,c3c4
r1bqk2r/pp1pbppp/2n1pn2/8/8/1N4P1/PPP1PPBP/RNBQ1RK1 w kq -,b1c3:c2c4
2q2bk1/p3n1pp/1pn1pp2/8/4NB2/P1PQ1N1P/1P3PP1/6K1 w - -,f4g3
3r4/4R3/6p1/4p1k1/8/1P3RP1/P3rPKP/8 w - -,h2h4
