2k5/1p6/1K6/P7/7n/8/1P4p1/6B1 b - -,h4f3
rn1qkb1r/pp2pppp/2pp4/3nP3/3P4/5B2/PPP2PPP/RNBQ1RK1 b kq -,d6e5:e7e6
r1bqkb1r/pp3pp1/2np1n1p/1N2p3/4P3/2N1B3/PPP2PPP/R2QKB1R w KQkq -,c3d5
3k4/6R1/B1n3p1/2P1pp2/8/P4P2/2rr2PP/4K1R1 b - -,c6e7
r2q1rk1/1bp1nppp/p2b1n2/1p2p1N1/P1P1P3/1B5P/1P2QPP1/RNBR2K1 b - -,d8e8
r2q1rk1/pbpn2pp/1p1pp3/8/P1PPPp2/2PB1P2/2QB2PP/R4RK1 b - a3,e6e5
r2q1rk1/1pp1n1b1/2npb1pp/p3pp2/P1N1P3/2PP1NPP/1P3PB1/R1BQ1RK1 w - -,d1e2
8/5pkp/4p1p1/6R1/5P2/2pK4/6PP/2r5 w - -,g5g3
4br2/1n2p2p/1p2k3/p1p1BpP1/P1P2P1P/8/3NK3/R7 b - -,b7d6
r4rk1/p7/1pbp1p2/2p1b1BB/8/2P4P/P4PP1/2RR2K1 w - -,g5e3
6k1/pb1qpp2/6pp/2B1b3/P3N1PP/5P2/1r3N2/1Q3K2 w - -,b1c1
r3k2r/p1ppqppp/bnp5/2b1P3/2P5/PP4P1/1B1NQP1P/R3KB1R b KQkq -,e8g8
1Q6/p3p1kp/1p3qp1/8/2p5/2Pr1P1N/6PK/8 w - -,b8a7
r5k1/p4p2/4nQp1/7p/2Pp4/3r4/1PqB1PPP/R3R1K1 b - -,d3d2
r2q1rk1/pb2bppp/1pp1pn2/3pn3/2PPPB2/2N3P1/PP3PBP/R2Q1RK1 w - -,d4e5
8/8/R5P1/4p3/1p6/1P2k3/P5r1/4K3 w - -,e1f1
rn1q1r1k/pp4pp/2p1bn2/2Pp1p2/2PPp3/BB2P3/P3NPPP/R2Q1RK1 w - -,e2f4
r2q1rk1/pb4pp/1pp1p3/2npPp2/2P5/2N1P2P/PPQ2PP1/R2R1BK1 b - -,d8c7
r2qr1k1/1ppbbppp/p2p1n2/8/3QP3/2N4P/PPP2PP1/R1B1RBK1 w - -,c1f4
r3k2r/p4ppp/1qpbpn2/2pp1b2/N4P2/1P2PN2/PBPP2PP/R2Q1RK1 b kq -,b6c7
R7/5pk1/5p1p/1b1pr3/1r3N2/2b3PP/2B2P2/3R2K1 b - -,d5d4
7k/4q2p/3p2r1/2p1b3/1pP1B1P1/pP1P3Q/P7/5R1K b - -,g6f6
8/4pp2/1R2k1p1/r1P4p/7P/5PP1/6K1/8 b - -,e6d7
r1bqr1k1/pppp1ppp/2n5/2bN4/2P5/4Pn2/PP2BPPP/R1BQ1RK1 w - -,e2f3
6r1/1p6/p2kp1Pr/3p4/3P1P2/1PP1K1Rp/7R/8 w - -,h2h3
5k2/1ppq2pp/p1p2p2/2b2P1P/3pQ3/1P1P4/P1PB1PP1/5K2 b - -,h7h6
3r2k1/p1r2ppp/Bn2pn2/2b5/1p6/1P2PP2/PB2NP1P/R4RK1 b - -,d8d2
3N4/4P3/8/6p1/8/6pn/5k2/r4B1K w - -,e7e8q
3r1rk1/1Rp2pp1/p6p/5q2/2QPpb2/2P2N2/P4PPP/5RK1 w - -,f3h4
8/1n4n1/pNp1k3/4P3/5B2/5P2/P3K2P/8 w - -,h2h4
3q1r1k/p1p3pp/3p2b1/2p1b3/1r6/1P2B1N1/P1P1QPPP/3R1RK1 b - -,b4h4
3rr1k1/1R2ppbp/p3b1p1/q2p3n/3P4/2NBBQ1P/1PP2PP1/4R1K1 b - -,e6c8
2r1kb1r/1bqp1ppp/p3p3/1p1nP3/3Q1P2/2N1B3/PPP1B1PP/3R1RK1 w k -,c3d5
r2q1rk1/pppbbppp/2np1n2/4p3/2P5/PQN1P1P1/1P1PNPBP/R1B1K2R w KQ -,e1g1
2rr2k1/p4pp1/1pQppn1p/2p5/2PP4/B1P1P2P/P4PP1/1RR3K1 b - -,c8c6
2kr3r/ppqnbpp1/2p1p3/3pP3/3P1BP1/2P4P/P1P3B1/1R1Q1RK1 w - -,f4h2
1q4k1/pr3pp1/2Qp1n1p/8/8/1P1B2P1/P4PP1/4R1K1 b - -,g7g6
8/8/b7/2k1p1p1/1pP1P1P1/4K3/P1B5/8 b - -,a6c4
8/5p1k/pQ4p1/7p/1Pq1K2P/6P1/5P2/8 w - -,e4e5
3R4/1pr2ppk/2p1pn1p/6P1/Pp2bP2/1P6/5BBP/6K1 b - -,c6c5
2r1k2r/pbqp1pp1/1pn1pn1p/2b5/2P5/P1N1PN2/1PQ2PPP/2BRKB1R w Kk -,f1e2
r3r1k1/p1q2pb1/2p1nn1p/2P1p1p1/1P2P3/2N1B2P/P1Q3PN/R2R2K1 w - -,a2a3
r3r3/1pk1P3/npp3N1/5B1p/1P4p1/P1b5/4R1PP/5R1K w - -,f5e6
3k4/p1P3R1/8/3pK3/1P1N1n1r/P3p3/8/8 b - -,d8c8
r2q1rk1/pbpnbppp/1p1ppn2/8/2PP4/1PNBPN2/P4PPP/R1BQ1RK1 w - -,c1b2
r1b1kb1r/ppp1pp1p/2q2np1/8/3QP3/2N5/PP1P1PPP/R1B1KB1R b KQkq e3,a7a6
r5nk/1b1qr1bp/ppp2Pp1/3p4/NP1P4/P2B1N2/2Q1RPPP/4R1K1 b - -,g7f6
2b5/4qpk1/B1r3p1/2N1n2p/1P2PQ2/2P5/6PP/R6K b - -,c6f6
8/6p1/4k1n1/1p1p1pPp/1P1P3P/2B2P2/5K2/8 w - -,f2e3
r1bk2nr/pp1n2bp/2p2pp1/4p2P/2B1P3/2N1B3/PPP2PP1/2KR2NR b - -,g6g5
r4rk1/1bq2pp1/B2bp2p/8/3P1n2/5N2/1P1BQPPP/R2R2K1 w - -,d2f4
6k1/5p1p/N3pnp1/8/2r5/1P2b3/P5PP/1B3K2 w - -,b3c4
2R5/4k3/7p/8/p4p1P/1Pn2Pp1/6P1/2r3BK b - -,a4b3
8/8/6p1/7p/4kP1P/4n1PK/8/6N1 w - -,h3h2
8/8/2k5/p7/1p6/3Q4/q5PK/8 b - -,a2f2
r1b2rk1/ppq2pbp/2n2np1/4p1B1/8/2PB1N1P/PP3PP1/RN1QR1K1 w - -,d1c1
1nr3k1/5p1p/3p2p1/1B1Q1b2/P1P2P2/8/2r2pKP/1R1R4 b - -,b8d7
3k2r1/pp1bqpp1/2p1p3/4P1P1/3PBQ2/P6R/1PP5/1K6 b - -,d7e8
r1bqk2r/pp3ppp/n1p1pn2/3p4/1b1P1B2/2NBP3/PPP2PPP/R2QK1NR b KQkq -,c6c5
r1b1qrk1/ppp2pb1/n2p2pp/8/2PNP1n1/2N4P/PP2BPP1/R1BQ1RK1 b - -,g4f6
5rk1/1p1n2pp/p2p4/2pP1p1P/P7/1PNB4/2PK4/4R3 b - -,d7e5
4b2r/r3k1p1/4Pp2/pp1R3p/3p1N1P/P5P1/1PP5/1K2R3 b - -,a7a6
8/1P6/3bp1k1/8/6p1/5p2/5K1p/3R4 b - -,d6b8
r1r3k1/p3qppp/1pnppn2/8/2PP4/PPbN2P1/3B1P1P/R1RQ2K1 w - -,d2c3
4rqk1/1p3ppp/2p2r2/8/4Q2P/2N1BBP1/p4P1K/R7 w - -,e4g4
2rkr3/3b1NQ1/2n1p3/pp1pPP2/8/1qP5/1N4PP/1K1R3R b - -,d8c7
8/6pp/5k2/1pr5/2p1R2P/5KP1/1P6/8 w - -,e4f4
8/5R1p/6pk/3B1b2/P7/2p3P1/1r1r1P1P/5RK1 w - -,d5c4
1rbq1rk1/1p2pnbp/p2p2p1/2pP1p2/2P1P3/P1N4P/1P1BBPP1/R1Q2RK1 w - -,b2b4
8/7K/6p1/5k2/7P/8/3n4/8 w - -,h7h6
5rk1/5ppp/p3b3/2p3PP/P3BR2/R7/1rP5/6K1 w - -,e4d3
rnbq1rk1/ppp1ppbp/3p1np1/8/2BPP3/5N2/PPPNQPPP/R1B1K2R b KQ -,c7c6:f6h5
2bq1r1k/5r2/npp1p2b/p2pP2Q/3P3P/1PN5/P1P3P1/R4RK1 w - -,f1f7
3r4/5p1p/k3p1p1/pR1P4/P3P3/4K1P1/5P1P/8 b - -,e6d5
3r1rk1/pp2bpp1/2b2n1p/8/3np3/2N1B1PP/PP2PPB1/2RRN1K1 b - -,d4b5
3r2k1/5p2/R3p1p1/P2n3p/3P3P/1N4Q1/1q3PP1/6K1 b - -,b2b1
2r3k1/p2R1p1p/1p4pB/1np4r/8/2P2R1P/P4PP1/6K1 w - -,h6d2
r3k3/pp2np1p/2qpp3/4Ppr1/P1B5/2P3N1/6KP/R2Q1R2 w q -,d1f3
