4k3/p7/4p3/1p5P/1P2K1P1/b2p4/3B4/8 w - -,e4d3
r4rk1/pp1n2p1/2p1bP1p/7n/3PN1q1/2NQ2P1/PPB4P/R4RK1 b - -,d7f6
8/5k2/8/p3pp2/3K1P2/2P3P1/8/8 w - -,f4e5
4r2k/p1n3p1/1p1p1q1p/2pP1b2/P4P2/2N2BQP/1P4RK/8 w - -,f3h5
r1b2rk1/4bppp/pp2p3/6N1/2Pp1P1N/1P6/Pq1PQ1PP/R1R3K1 w - -,e2e4
1r1r2k1/p1q2pbp/b1p3p1/3p1n2/1P3P2/P4B2/2P1NBPP/1R1QR1K1 w - -,e2d4
r4rk1/1bqpbppp/ppn1pn2/6B1/2P1P3/P1N2N2/1P2BPPP/R2Q1RK1 w - -,a1c1
5rk1/6pp/p7/1pq5/8/4Q3/PP4PP/4R1K1 b - -,c5d5
r3nrk1/1p1b1pbp/1q1p2p1/p1nPp3/4P3/2N3PP/PP1NQPB1/R1B1R1K1 w - -,d2c4
2r3k1/3r1pbp/1p1pp1p1/pP5q/P1PP4/2R1B1P1/2Q2PKP/2R5 b - -,d7c7
r3kb1r/1p1qppp1/p1p1b2p/3pB3/3P4/2PBP2P/PPQ2PP1/R4RK1 w kq -,f2f3
2kr3r/p3b1p1/2p2p2/q2p1PPp/3BpPn1/2N4Q/PPP4P/2KR3R w - -,h1f1
7k/2q2p1p/8/2p1nP2/1pP1PRr1/1P2Q1N1/r7/1R4K1 b - -,e5c4
5r2/2p4k/1p1p2r1/p2Pp1q1/2P1Q1P1/1P6/P3NPP1/5RK1 b - -,g5g4
r2q1r2/p1p1n1kN/2ppb1p1/4p3/7B/2PB4/PP2QbPP/R3K2R w KQ -,h4f2
3r1r2/p4kp1/1p1b3p/2p5/P1Pp1P2/3P2P1/4R1KP/2B1R3 b - -,f8e8
3r2k1/p2r1pp1/4p2p/q1p5/PbQPn3/4B1PP/N4P2/1R1R2K1 w - -,a2b4
8/3Rn2r/4pkp1/4N3/3P4/4PK2/5P2/8 b - -,h7h3
r1bq1rk1/pp1n1pbp/2p1pnp1/3p4/1PPP4/2N1PN2/P3BPPP/R1BQ1RK1 w - -,c1b2
r2q1rk1/pp3ppp/2n2n2/3p2B1/5Qb1/P4N2/1P2PPPP/R3KB1R b KQ -,f8e8
4r1k1/1p1n1pp1/p3b2p/4p3/1q2P1P1/2N4P/1PP2PB1/Q4RK1 b - -,e8c8
r1b2rk1/pp2bppp/4pn2/2n5/2B2B2/P1N1PN2/1P3PPP/R2R2K1 b - -,b7b6
1kbr3r/7p/pP1q1p1b/P1Np1n2/3Pp3/4P3/3NQ1PP/R1R3K1 w - -,d2f1
r7/1p1r1kp1/2p2p1p/P7/2P2P2/2B3PP/4BK2/1R6 w - -,e2g4
3r4/1B1nrpkp/1p3np1/2p5/6P1/P7/1P1B1P1P/R2R2K1 w - -,d2c3
4k3/5p2/6p1/4P1Bp/7P/r4P1K/6P1/8 w - -,h3g3
r1bq1rk1/pp2bppp/2nppn2/6B1/3NPP2/2N5/PPPQ2PP/2KR1B1R b - f3,c6d4:a7a6:h7h6
r2q1rk1/1b1nbppp/p1n1p3/1pppP3/8/P2P1N1P/BPP1NPP1/R1BQR1K1 w - -,e2g3
b2r4/4r2k/Pqn3pp/8/4P3/2QP1NNP/5PP1/R1R3K1 w - -,c3c5
1r3r1k/p1p3pp/3b4/8/2BPQp1q/4PP2/PP3P1P/R3K2R w KQ -,b2b3
r3kbnr/1bqp1pp1/p1n1p2p/1pp5/4PPP1/2NP1N2/PPP3BP/R1BQ1RK1 w kq -,h2h3
rn1q1rk1/1b2ppbp/p2p1np1/1ppP2B1/2P5/2N1P3/PPQNBPPP/R4RK1 b - -,b8d7
2r3k1/p2n1bp1/1p1q3p/2pPp3/2P1P1Pb/1P4Q1/P7/1BB2R1K w - -,g3h4
1r2k1nr/p2bppbp/3p2p1/7q/Np1NP2P/PP2n1P1/2PQ1PB1/R4RK1 w k -,d2e3
6k1/3qnpb1/3p2pp/p2Pp3/1p2P3/3P1NP1/P2Q1P1P/2r2BK1 w - -,d2c1
8/4k1p1/3p4/p2P3p/2Pp1K1P/1P6/2bN2P1/8 b - -,e7d7
r5k1/1b4p1/5pQp/r1p2P2/6P1/8/7P/4R1K1 b - -,a5a1
r3qb1r/p1kpp2P/1pn2nQ1/2P3N1/5P2/3BB3/PPP4P/RN2K2b w Q -,g6f5
7Q/8/3q1k2/p3b1p1/1p6/1P6/P4PK1/4R3 b - -,f6f5
6rk/3Q1ppp/p3p3/3p4/8/BP6/P4q1P/K1R2R2 b - -,f2h2
rn2k2r/1bqp1ppp/p4n2/1p2p3/1b2P3/1BNQ1N2/PPP2PPP/R1B2RK1 b kq -,b4c3
8/3R4/pPP1k3/8/8/2K5/8/2r5 w - -,c3b4
2k5/pp3p2/2p2r1p/6b1/8/P1PN3R/1P4K1/8 w - -,g2g3
r4rk1/1p4pp/pB1R1p2/1b6/5P2/2R5/1P1K2PP/8 b - -,f8e8
1r6/2n3p1/2kp1p1p/2p1p2P/4P1P1/2K2P2/2PB4/R7 w - -,c3d3
r1r1bbk1/7p/p7/3P1p2/1Pp5/4B1P1/R4PBP/1R4K1 w - -,d5d6
2r1r3/pp2pkPp/n5p1/8/3B4/2N2N2/PP3PPP/2K4R b - -,a6c5
8/6pk/4Qp2/q7/3P1P2/P1n2NP1/6K1/8 w - -,e6h3
4r1k1/1R3p2/p6p/P2n2p1/8/3NP1PP/6K1/8 b - -,e8e3
3Q4/kp3p2/p3r3/P7/1PP1n1P1/4P3/6P1/6K1 b - -,f7f5
1r2r1k1/3n1pbp/p2q1np1/2pPp3/NpP5/1P1B1Q1P/P4PP1/2BRR1K1 w - e6,d5e6
rn1q1rk1/pb1pbppp/1p2pn2/2p5/2PP4/P3PN2/1P2BPPP/RNBQ1RK1 w - c6,b2b3
2r3k1/p1r1ppb1/2b3p1/7p/2Q1P1n1/2N4P/PPP3P1/2KR2B1 b - -,c6b7
8/4k3/1pbpnpp1/p3p3/P1P1P1P1/1PN1P1K1/2B5/8 b - -,e7f7
4rr2/p1q1ppkp/1pb3p1/2p2P2/3Pp2Q/2P1P3/PP1N2PP/4RRK1 b - -,f7f6
5b2/5pk1/4r2p/R3P1p1/5p2/5N1P/5PP1/6K1 b - -,f8b4
2R5/1p1rr1pk/p3p2p/3pQb2/7P/P5P1/1P1qPPB1/2R3K1 w - -,g2f3
r4rk1/1p3ppp/p1n1b3/q7/Pb6/2BB4/1P3PPP/RN1Q1RK1 w - -,d1e2
6k1/4p2p/2p1rbp1/B7/R7/4P3/5PPK/8 b - -,c6c5
5k2/5p1p/6pP/b1R1p3/4P3/r1r1RB2/6P1/3K4 w - -,e3c3
5k2/1pB1R1p1/p4p2/3K3p/8/2r3P1/8/8 w - -,c7d6
rn1q1rk1/1p4bp/2ppbnp1/p4p2/2P5/1PN2NP1/P3PPBP/1RBQ1RK1 b - -,b8a6
3r1rk1/8/1pppq2p/4ppp1/2P1P3/3Q1PP1/PP4P1/4RR1K w - f6,f3f4
3r4/5pbk/p6p/1P2P1p1/2p1n3/2P1NNP1/1P2KPP1/7R b - -,a6b5
rnbq2k1/4p1b1/2p2r2/p2n1pNQ/3P4/PBP5/3N1PPP/2KRR3 b - -,a5a4
r2q1rk1/p3p1bp/2bpPpp1/1pp2P2/1n2N2Q/3P1N2/PPP3PP/R1B2RK1 b - -,c6e4
2r1r1k1/1bqn1ppp/p1pb1n2/1p2p3/P2PP3/2NBBN1P/1PQ2PP1/2RR2K1 b - -,e5d4
r3r1k1/pp3ppp/2n2n2/1Nqp1b2/8/2P1PP2/PP1Q2PP/R3KBNR w KQ -,e1f2
r1bq1rk1/1p1n1ppp/p2p1b2/2pP1P1P/P3P3/2N5/1P2BP2/R1BQK2R b KQ -,d8e7
rn1qkbnr/ppp2ppp/4p3/3p1b2/5P2/1P2P3/PBPP2PP/RN1QKBNR b KQkq f3,g8f6
r1bq1rk1/p4pp1/2p2n1p/3p4/1b3B2/2NB1Q1P/PPP2PP1/R4RK1 b - -,b4d6:f8e8
8/p2b1p1P/5P2/2k5/8/2p3P1/3p1P2/R5K1 b - -,c3c2
R2r2k1/1bpnqpbp/2n3p1/1p2p3/4P3/1NP1BN1P/1PB2PP1/2QR2K1 b - -,d8a8
r1bqr1k1/pp2bpp1/2p2n1p/3p4/3P1B2/2NQ2N1/PPP1RPPP/R5K1 b - -,e7f8
r2qk2r/pp1bbppp/2n1pn2/8/3PN3/3B1N2/PP1B1PPP/R2Q1RK1 b kq -,c6b4
8/p4kp1/1p2b2p/3rP3/8/P1B4P/1P4P1/5RK1 b - -,f7e7
r1r3k1/4bppp/2q1p3/p3N3/1p3P2/8/PPPQ2PP/1K1R3R b - -,c6c7
r3r1k1/ppp1qpbp/2np2p1/5b2/2P1P3/1P3PP1/PB1Q1NBP/R4RK1 b - e3,f5d7
1rbq1rk1/p5pp/2p1p3/5p2/1b6/1PnB2N1/P1PB1PPP/R2QK2R w KQ -,d1f3
rn2k2r/ppq1nppp/4p3/3pP3/bP1p1P2/P2B1N2/2P3PP/R1BQ1RK1 b kq -,b8c6:c7b6
8/8/p5p1/r5k1/2R5/4K1P1/4N3/8 b - -,a5a3
2kr3r/pp2qpb1/2npb1p1/2p1pnP1/2P1N3/PP1PPN2/1B1QBP2/R3K1R1 b Q -,a7a5
2r3k1/4qpp1/3p2b1/p6p/1rPRP1P1/2Q4P/2B2P2/3R2K1 w - h6,d1d2
8/8/5k2/P1p3p1/r2bP3/5K2/3B2P1/2R5 w - -,f3g4
1r3r2/p2qppkp/1pn1b1p1/2p3N1/2P3P1/3PP2P/P4PB1/1R1Q1RK1 b - -,b8d8
8/P3R3/3k4/5p2/r7/5K2/8/8 w - -,e7e8
6k1/4Rpp1/5b1p/8/8/6PP/5P2/3R2K1 b - -,f6e7
8/2PR4/8/8/5p2/4k3/2r5/4K3 w - -,d7e7
