8/6k1/R7/5p1p/4r2P/6K1/8/8 b - -,e4g4
rnbqk2r/ppp1bppp/4pn2/3p2B1/3P4/3BPN2/PPP2PPP/RN1QK2R b KQkq -,b8d7:e8g8:b7b6
r3k2r/ppqn1pp1/2p1pnp1/8/1bBP2P1/2N2Q1P/PPPB1P2/2KR3R w kq -,c1b1
8/p3rpkp/b2r2p1/R6P/Pn1N4/1NR2P2/6P1/3K4 w - -,h5g6
2rq1rk1/3bbppp/p2p4/1p1P4/3QP3/3BB3/PP3PPP/R3K2R w KQ -,e1g1
r5k1/pp4bp/2n1rpp1/4p3/4P3/P3BN2/1P3PPP/2R2RK1 b - -,a8d8
r1bq1rk1/pp1p1ppp/2n1pn2/3P4/2P1P3/P7/2Q2PPP/R1B1KBNR b KQ -,e6d5
8/r4pk1/7p/2pPpQp1/3q4/1P1R2P1/5PPK/8 b - -,d4a1
r6k/pp1qr2p/3p1p1B/2b5/4P1nQ/1BP5/PP3PPP/R4RK1 w - -,h2h3
8/8/p2k4/5ppp/PP6/4KP1P/8/8 b - -,d6d5
r2q1rk1/1b2bpp1/p2p1B1p/npp1p3/4P3/P1NP1N2/BPP2PPP/R2QR1K1 b - -,e7f6
2r2n1r/1pN2pk1/1p2bb2/3p3p/P2P1B2/1P3B1P/6P1/2RR2K1 b - -,f8g6
6r1/p4Nrk/1p2P1n1/1Pb3Rp/5p1q/3B1P2/P1Q2pPP/5R1K b - -,c5e7
1r3r2/1N1Pq2p/2Q1pkp1/p4p2/8/1P6/P1P3PP/2KR4 w - -,a2a4
r2qk2r/pp2ppbp/1nnp2p1/8/2PP4/2NBBb1P/PP3PP1/R2QK2R w KQkq -,d1f3
8/2k5/2p4p/p3p1pP/P3P1P1/1PKN1n2/8/8 w - -,d3c5
6k1/3rrppp/1q3b2/8/1pB5/3PPR2/5QPP/1R4K1 w - -,g1h1
rr4k1/2n1ppbp/q2p2p1/2pPN3/4P2P/2N3P1/PP1BQPK1/R3R3 b - -,g7e5
8/p1k2p2/1p2p1pp/1Pp5/P7/7P/3K1PP1/8 b - -,c7d6
8/3k4/6p1/2pP2P1/2P1p1K1/8/8/2b1B3 w - -,e1f2
3r1rk1/1pq1bpp1/4pn1p/p1P2b2/2P5/PP4P1/1B1N1PBP/R1Q2RK1 b - -,c7c5
r1r5/1p1n1pbk/1Bqpb1pp/P7/1QP3P1/R4PNP/4B1K1/2R5 w - -,b6e3
2b1r3/6kp/1p4p1/3B4/PPPR2P1/8/5P2/5K2 b - -,h7h5
r2q1rk1/pp1nbppb/2p1pn1p/8/4P3/1P3NP1/PBPNQPBP/R4RK1 b - -,d8c7
3k4/8/1p5p/pBp5/P1P4P/1b1K2B1/8/2b5 b - -,b3d1
r1bqk2r/pppp1p2/2n1pn1p/6p1/1bPP4/2N2NB1/PP2PPPP/R2QKB1R b KQkq -,f6e4
2k5/1p4p1/p1p1pb2/2P3p1/1PKP1BBr/7P/1P6/7R b - -,g5f4
4Q3/3r2kp/5pp1/4p3/3q4/5P1P/6P1/4R2K w - -,e1b1
4r2k/1p4p1/p1p1qp1p/8/1P2P3/PBQ3Pb/5P1P/4R1K1 b - -,e6d6
8/1p6/8/1R5k/3rrB1P/6P1/8/5BK1 b - -,h5g6
2r2k2/1brqbpp1/p1n1p2n/P3P3/QpRp1PP1/3P4/1P1BN1BN/R5K1 w - -,a1c1
6k1/4Qpn1/p2R4/2p1P1p1/2q5/6P1/1p3P2/6K1 w - -,d6d1
5rk1/1r1q4/1p1P2p1/2pR1pBp/1p2p2Q/6N1/1b3PPP/4R1K1 w - -,g3h5
8/8/2R5/P1p2pk1/2r5/8/5K2/8 b - -,g5f4
r1nr2k1/1p3pbp/6p1/8/P1P5/1P1p1N2/5PPP/2R1KB1R b K -,c8e7
r1q1r1k1/p1nnppbp/2pp2p1/4P3/2pP1P2/1PN3P1/PB2Q1KP/3RNR2 w - -,e2c4
r1bq1rk1/pp1n2pp/1np1p3/4Pp2/3P4/1QN2NP1/PP3PBP/R4RK1 b - -,d7b8
8/pp3p2/8/8/P7/5k1p/1PP2P2/6K1 w - -,a4a5
8/4B3/2p2p2/1p3k2/1P4pp/5b2/6K1/8 w - -,g2h2
3r2k1/pbnqb1pp/1p6/2ppB3/8/1P2Pr2/P2QNPPP/R2R2K1 w - -,g2f3
8/1p2n3/pB1p2k1/P2P4/5Pp1/6p1/1P4K1/8 w - -,b6c7
5r2/2p1k3/2Pp3q/2n2pR1/p3pP2/P1Q5/1PB5/1K6 w - -,c3g3
8/2p3p1/1pk1p1n1/2p1P3/p1P1NPPb/1P3R2/P5K1/3r2B1 w - -,e4c3
5rk1/5qpp/p1r5/Q2p4/P2B4/2Pn4/5PPP/1R3RK1 b - -,f7h5
2b3r1/8/1rp1Nk1n/p2p4/2P2KPp/1P1B3P/P7/3RR3 b - -,c8e6
r2qk2r/1b2bppp/p1p1pn2/1p2P3/P7/1Q4P1/1P2PPBP/RNB2RK1 b kq -,f6d7
4B3/p3p2k/2P3p1/6Bp/8/P2r2b1/2p1K3/2R5 b - -,d3c3
r1bq1rk1/pp2ppbp/2n2np1/2p5/2B1PP2/5N2/PPPNQ1PP/R1B1K2R w KQ -,e4e5
5r1k/p5p1/2QR3p/bP1K4/4Bp2/1q3P2/8/8 w - -,c6c4
8/2p5/3k2N1/3n1p2/3K1P1P/8/8/8 b - -,d5f6
rnbq1rk1/pp2ppbp/2pp1np1/3P4/2P1P3/2NB4/PP3PPP/R1BQK1NR w KQ -,g1f3
r4rk1/1q1nbp2/R2p1npp/3Pp3/QP2P3/5P2/N3BBPP/4K2R b K -,f8c8
r1nq3k/P4rpp/R2p1n2/1B1P4/1p2Pp2/1N6/1P3QPP/R5K1 b - -,f6g4
r2q1rk1/4ppbp/Bpn3p1/3p4/3P4/2P1BN2/P2Q1PPP/R4RK1 b - -,a8a6
3r4/p4p2/6p1/8/3k4/1P1p4/5R1P/4K3 b - -,d8e8
r2q1rk1/ppp2pbp/1nnp2p1/3Pp3/2P3b1/1PN1BNP1/P2QPPBP/R4RK1 b - -,g4f3
3r4/p5p1/3P4/3K1k2/2B5/1P2p1P1/P7/8 w - -,c4e2
rnbqk2r/1p2ppb1/p2p1n1p/6p1/3NP3/2N3BP/PPP1QPP1/R3KB1R b KQkq -,b8c6
r1bqr1k1/pp2bp2/2N3pB/3pP3/4n3/P4N2/1P3PP1/RB1QK2R b KQ -,b7c6
3bk3/5pp1/Q1p1p1p1/8/1r6/5qB1/P4P1P/5RK1 w - -,f1c1
r2r2k1/p2qppbp/2n1b1pn/1pp1P3/5P2/2PPN3/P2QB1PP/R1B1NRK1 w - -,e2f3
6k1/1R6/r6p/P7/1Prnp3/6P1/5P1P/R4NK1 w - -,b4b5
r2r2k1/1p3pp1/p1bppb1p/q7/2R1PP2/P1N1QB2/1PP3PP/2KR4 w - -,c1b1
r2q1rk1/pb3p2/1p3n1Q/3pbP2/3n4/2NB4/PP4PP/R1B3K1 w - -,h6g5
5K2/8/5k1p/7P/8/8/3p4/3B4 w - -,d1e2
r1b1kb1r/3pp1pp/p1p2p2/8/3N1q2/3Q4/PPP2PPP/1K1R1B1R b kq -,c6c5
rn3rk1/p2bppbp/3p2p1/1pqP4/4P1n1/1QN2NP1/P2B1PBP/1R3RK1 b - -,a7a6
8/8/p1p3p1/2Pp1k2/P1nP1B2/2K2P2/8/8 w - -,f4c1
r1bq1k1r/pp2nppp/2n1p3/2ppP3/2PP2Q1/P1P2N2/5PPP/R1B1KB1R w KQ -,f1d3
1r6/1P5p/6p1/3kp3/8/4K3/6PP/1R6 b - -,d5c6
r6k/pR6/2p3R1/p2bPN2/6P1/6KP/P4P2/7r b - -,h1g1
3k4/3b3R/8/p1p1P3/PpP1N2p/1P5r/4K3/8 b - -,d7g4
r4rk1/1b1q1ppp/pR1Pp3/8/2pP1B2/4QP2/P5PP/5RK1 b - -,b7d5
5rk1/2p2ppp/4p3/2bbP1PP/r3pB2/Pp2P3/1P3PB1/1K1R3R w - -,d1c1
r1bq1rk1/1pn1ppbp/p2p2p1/8/2PP4/1PN3P1/PB3PBP/R2QR1K1 b - -,c7e6
r5k1/4b3/8/P2p4/3Pp1pp/6P1/Q4P1P/2R2BK1 b - -,e7f8
1r2k2r/2q1npbp/1nP1p1p1/1B1pP3/1p1P3N/6P1/1B3P1P/2RQ1RK1 b k -,e8g8
2k5/5pp1/n3p2p/8/PpK5/4N1P1/5PP1/8 b - -,c8c7
6k1/r7/3BNppb/4p2p/2b1P1nP/6P1/5PB1/4R1K1 w - -,e6c7
3b2kr/3q2r1/3p1p2/p1pPpPpp/1nP1P2P/1PN3R1/3Q1PK1/3B3R b - -,g5g4
2k5/1pp1n2p/p1p1qpp1/8/2PPQP1B/1P3P2/P5KP/8 b - -,c8d7
r1bq1rk1/4bppp/p1np1n2/1p6/3pP3/5N1P/PPBN1PP1/R1BQR1K1 w - -,d2b3
r5k1/6p1/7p/8/6P1/p6P/5K2/4R3 b - -,a3a2
rn1qk2r/4ppbp/bn1p2p1/2pP4/8/2N2NP1/PPQ1PPBP/R1B2RK1 b kq -,b6c4:e8g8:b8d7
rnbqkbnr/1p3ppp/p7/2pp4/3P4/2P2N2/PP2BPPP/RNBQK2R b KQkq -,f8d6
r3r1k1/pp2qpbp/n1p3p1/2P5/4pBP1/1Q2P3/PP1N1PP1/R4RK1 w - -,f4d6
