8/7k/7P/1r4PK/8/8/6R1/8 w - -,g2a2
2kr1bnr/1bq2p1p/ppn1p1pP/3pN1P1/2pP1P2/2P1PQ2/PPBN4/R1B1K2R w KQ -,f3h3
3r2k1/pp3p2/5p1p/2Pr4/2RR4/1P2PbPP/P4P2/6K1 b - -,d5d4
8/ppkb1rp1/6Rp/3pP3/2pP4/P1P2P2/1rPK2P1/R7 w - -,e5e6
6k1/p5pp/2n2p2/2br4/4r3/1P2BN1P/P4PP1/2R2RK1 b - -,e4e3
q7/8/3Q2pk/1R5p/1K2q3/1PP5/8/8 w - -,c3c4
4rr1k/1pR5/3p3p/1p1P1p2/1P6/3q2RP/6P1/7K w - -,g3d3
1r3rk1/3n1ppp/p1p1qn2/N1Pp4/P2Pp3/1P2P2P/3QbPP1/1BR1R1K1 w - -,d2e2
8/1p1r4/2p2pp1/2n1k3/p3P3/2P1K3/1PB3PP/5R2 w - -,h2h4
3r2k1/pp1n1pbp/3q2p1/8/3p3P/PP4P1/1B1Q1PN1/3R2K1 b - -,d7e5
3n1r2/6qk/3p3p/RQpB1pBb/8/2PPN3/1P3PKP/8 b - -,g7g5
r2q1rk1/pb1nbppp/1pp1p3/3pN2n/2PP4/4B1P1/PPQNPPBP/R4RK1 b - -,d7e5
2b3k1/1p3pp1/r6p/2p1pP2/2PbP3/1R3K2/4B1PP/5N2 b - -,g8f8
6k1/pbr1qppp/1p2n3/3p4/6QP/1P2P1P1/PB1R1PB1/6K1 b - -,c7d7
1q6/5p2/2k1p1b1/2pn2P1/1p1p2Pr/pP1P4/P1PBQ1R1/5NK1 b - -,b8h8
8/5pk1/4pp1p/r6P/5PP1/4PK2/3R4/8 w - -,d2g2
2k2b1r/p1p2ppp/2p5/4P3/5Pn1/2N1B3/PP3P1P/2Kr3R w - -,c1d1
r2qn1k1/pp4pp/4b3/r1p2pP1/P4R2/2Q1P3/1B1P2BP/R5K1 w - -,c3e5
3r1rk1/pp3ppp/1n2pn2/2b1NN2/b5P1/1B2BP2/PPP4P/2KRR3 b - -,c5e3
2rq1r1k/1p2ppbp/p5p1/2pPPb2/5P2/2P1BQ1P/P5P1/2RR1BK1 b - -,d8a5
8/5ppk/4p2p/2Qn1n2/1P6/3N2PP/5P2/1q3BK1 b - -,h6h5
4r1k1/1p2qpbp/p2p2p1/2NP1b2/1P3P2/R2Br3/3Q2PP/5RK1 b - -,d6c5
1k6/2pb2q1/1p1p1pr1/p3n3/P2Q1RPB/1PP5/1KP1B3/8 w - -,d4e4
k2r4/p1r4p/5p2/Rp5q/1pN1P3/1P2Q1P1/2KN3P/2B5 w - -,e3b6
3b1rk1/3q2pp/1pn1p3/1p1pPp2/3P1N2/1R1QPNP1/7P/7K w - -,d3b5
4r2k/3b4/3R3p/ppn1P3/2N5/6P1/1P2B2P/6K1 w - -,d6d5
rb6/3k2pp/pp1qr3/3Q4/3P4/3NP1P1/7P/2R3K1 w - -,d5a8
r2r2k1/1nqbbppp/p2p1n2/1p1Pp3/2p1P3/2P2N1P/PPBB1PP1/R2QRNK1 w - -,f1g3
8/5p2/2p1p1k1/r7/8/2r3PK/2PRRP1P/8 w - -,e2e4
r3r1k1/1p1q2b1/7p/p2PB3/2P5/1PQ2pP1/P4P1K/4RR2 b - -,e8f8
r1bqr1k1/pp3pp1/2pb1n2/2n4p/2P5/2NpN1P1/PBQ1PPBP/R4RK1 w - -,e2d3
8/p2k1p2/4b3/1PPp1p2/3K4/5R2/2B4r/8 w - -,c2f5
5k2/2Q1p2p/1p1r4/3pNb2/q2P4/7P/5PP1/5RK1 w - -,f1e1
6k1/1p3r1p/p4p2/3p4/3q3P/1P1R4/1P3PP1/6K1 w - -,d3d4
2b1rrk1/7p/p5pq/3P4/4pb2/1PNR4/PB3PK1/2R1Q3 w - -,d3e3
8/1P3p1k/6p1/4b3/7P/4B1P1/2p2P1K/8 w - -,h2g2
8/6k1/1B3p2/1P1PpK2/2r1P3/pR6/P2b4/8 b - -,d2b4
5qk1/pp3p1p/4pPp1/3p2P1/3P1P1P/P1Pb4/6BK/2Q5 b - -,f8d6
4k3/1p3p2/p1rpb1p1/q6r/P1PBPR1p/1P2Q3/6PP/R5K1 b - a3,a5g5
8/6pk/3bPp2/2pp1P2/6p1/1PBK3P/8/8 w - -,h3g4
r2qk2r/pp1n1ppp/2pbpn2/3p4/2PP4/P2QPN2/1P3PPP/RNB2RK1 w kq -,b1c3
2kr1bnr/ppp2ppp/2q5/4P3/6b1/2N2N2/PPPP2PP/R1BQK2R w KQ -,e1g1
r1bqk1nr/1p1p1pbp/p3p1p1/2p5/P1BnP3/2N5/1PPPNPPP/R1BQ1RK1 w kq -,e2d4
8/8/1p1rk3/4pn2/5p2/N2K1P2/8/1R6 w - -,d3e2
1r1q1rk1/4bppp/p2ppn2/1p1Pn2b/2P1P1P1/NP3N1P/1BB2P2/R2QR1K1 b - g3,e5f3
1r1q1rk1/3b1pbn/1n1p2p1/p2Pp3/1p2P1Pp/1P2BP1P/PK3Q2/1NNR1BR1 w - -,b1d2
7r/1p3r2/p1p1q1k1/2R2bp1/3P4/3PpB2/PB2P2p/5Q1K b - -,g5g4
1Rr3k1/2P1q2p/3B2pb/p4p2/8/3p2PP/7K/8 w - -,d6e7
r1bqr1k1/pp3ppp/2nb1n2/4p3/2Pp4/1P1P1NP1/P1N2PBP/R1BQ1RK1 w - -,f1e1
8/8/5k1p/8/P4p2/5PrP/1R5K/8 b - -,g3f3
1r6/5pkp/4bnp1/8/1P1RPP2/6PP/3N1KB1/8 b - -,b8c8
8/2r5/1pP1kp1p/p2pp1pP/6P1/5P2/3K4/8 b - -,c7c6
4r1k1/1p5p/2n1p1p1/p1b5/2N1rB2/PP4P1/5P2/4R1K1 w - -,e1e4
r2qb1k1/4bpp1/2n1p2p/1NNp4/1PnP1B2/3BP2P/2Q2PP1/1R4K1 b - -,e6e5
r4r1k/1p1bNppp/p4n2/3p4/8/2N2P2/PPPB2PP/1K1R1B1R b - -,d7e6
1br1r1k1/p4ppp/1p1q1n2/1Pp2P2/Q1Pp4/5N1P/P4PB1/3R1R1K w - -,a4c2
r2qr1k1/1p3pbp/n1ppbnp1/p3p3/1PP5/PQ1P1NP1/1B1NPPBP/R1R3K1 b - -,f6h5
4Q3/6pk/7p/P7/3b1P2/5N2/2q1p1PP/4r2K w - -,f3e1
r1q3nk/5Qbp/2pB2p1/1p2p3/4P3/P1N3P1/1P5P/5BK1 b - -,g8h6
rn1qk2r/pp2bppp/3p1n2/2pPp3/2B1P3/1PP2b1P/PB1NQPP1/R3K2R w KQkq -,e2f3
rqb2rk1/pp2ppbp/1n1p1np1/1NpP4/2P1PP2/3B1N2/PP4PP/R1BQ1RK1 w - -,f3g5
3r3r/1p2bpp1/1kp5/4PP2/p3BBbp/2R3P1/PPP5/2K4R w - -,g3h4
7Q/8/2p3K1/1p6/1k6/8/8/8 w - -,h8d4
8/p2r4/1pq5/3kpQ2/b1n4P/2p5/2P3P1/KR2R3 w - -,b1b4
r5k1/pp1q1pp1/2nbR2p/8/7B/5N2/PP3PPP/R2Q2K1 b - -,d7e6
8/7Q/8/1p2n3/1Pbr4/P4p2/2k2P2/4K3 b - -,c4d3
4rrnk/pp1b3p/1n1p1pp1/2pPP2q/2P2P1P/P1NB1NR1/1P1Q1R2/6K1 b - -,d7g4
r1b1kb1r/1pqp1ppp/p1n1pn2/2p5/4P3/1PNB1N2/P1PP1PPP/R1BQR1K1 w kq -,c1b2
1r1b4/p4rkp/1p1p2q1/1PNNp1p1/2P3Q1/3P3R/5PPP/1R4K1 b - -,b6c5
2rq1rk1/p4ppp/R2p1b2/3QpP2/4P3/1PN5/1P4PP/5RK1 b - -,c8c5
r3r1k1/pb1nbpp1/1pp1p2p/8/2PP1q2/1Q3NN1/PPB2PPP/R3R1K1 w - -,b3d3
rnbqkb1r/1p3ppp/p3pn2/2pp4/2PP4/1PN1PN2/PB3PPP/R2QKB1R b KQkq -,b8c6
b2k3r/3nq1b1/p2p2pn/1p1PP2p/5P1P/2N1B3/PPPQ2P1/R3K2R b KQ -,h6f5
8/5p2/4k3/1p2r2p/3R4/5K1P/6P1/8 b - -,e5c5:e5d5
5r2/8/1p1pk3/pNp4p/P1P1nP2/1P1nN1P1/6K1/1R6 w - -,e3f1
8/p6k/1p3Pp1/2pB3n/P1P3R1/2P3P1/6KP/4r3 b - -,h5f6
rnbq1rk1/pp2p1bp/2pp1np1/5p2/2PP4/2NQ1NP1/PP2PPBP/R1B1K2R w KQ -,e1g1
rn1qk2r/p1p2ppp/bp2pb2/3pB3/3P1P2/3BP3/PPP3PP/RN1QK2R w KQkq -,d3a6
rnbqkb1r/pp2pppp/5n2/2pp4/5P2/6P1/PPPPP1BP/RNBQK1NR w KQkq c6,g1f3
4Q3/4n3/3b1qpk/3p3p/5P2/4P1P1/2B1N1K1/8 w - -,g2f3
