8/3RK3/2k1p3/5b2/8/1R6/2r5/8 w - -,b3b8
3rk2r/pp1nbpp1/1q2p2p/2p2b2/2PP1Bn1/3N1NP1/PP3PBP/R2Q1RK1 w k -,d4d5
r1bq1rk1/ppp2ppp/3p1b2/2nP4/2Q5/2N1N3/PPPB1PPP/3R1RK1 b - -,a7a5
rqb1r1k1/5pp1/2pb3p/1p1n4/1P1PN3/5BP1/2QB1P1P/1R1R2K1 b - -,b8c7
2r1r1k1/ppq1bpp1/2pnp2p/3p2P1/P2P1P2/BP1PPN2/7P/R2Q1RK1 w - -,a3d6
r5k1/pp1b2pp/4p3/6n1/4R1N1/8/PP3PKP/R7 w - -,e4e3
8/5p2/6p1/p1k1p1P1/1p1qPP2/1P2Q1P1/P3K3/8 b - -,a5a4
r3kb1r/pp3p2/qnp1p1pn/4P2p/P1PP1P2/3Q1N2/3BN1PP/R4RK1 w kq -,f1c1
2b2rk1/4n3/2pq3p/p2p4/N4PP1/1P6/P2Q2BP/4R1K1 b - -,c8g4
5bk1/5ppp/4p3/1NP5/3Pp3/3bP3/1P1K1PPP/r1B4R w - -,b5a3
1r1qk2r/1b1nbppp/ppnpp3/8/2P1P3/NQN1BP2/PP2B1PP/3RK2R b Kk -,e8g8
5k2/3K1p2/5Bp1/3B2P1/1b6/8/8/8 w - -,d5b3
7k/3r2p1/5pQp/1p3P2/4q3/1RP5/7K/8 b - -,d7d2
r1b2rk1/p1n2pbp/1pn1p1p1/2p1q1B1/2P5/3P4/PPNNBPPP/R1Q2RK1 w - -,d2e4
3rr1k1/p1Q2pp1/8/7p/3q4/P2B3P/5N2/1R4K1 b - -,d4f6
8/5p2/6p1/p1pk1b1p/1p5P/2PPKPN1/PP4P1/8 b - -,f5d7
6k1/p3r1pp/b3q3/3p1p2/3Bn2P/1P2P1PB/2R2P2/3Q2K1 b - -,a6b5
r1b2rk1/bpq2ppp/p1p3n1/8/3NNn2/2P2Q1P/PPBB1PP1/R3R1K1 b - -,a7b8
1r1q1Nk1/2nn2b1/3p2p1/2p5/P2pP3/2N3P1/1PQ2PK1/R1B4R b - -,d4c3
1r1rn1k1/5pbp/6p1/q2Pp1P1/B1p1b2P/P1N2Q2/1P3P2/1R2R1K1 w - -,f3e4
5n2/1p1nk3/1p1p4/3P1P2/2rBN3/P3K3/8/7R b - -,c4a4
r4rk1/ppQ2pbp/6p1/3q4/3n2b1/5N2/PPPN1PPP/R1B2RK1 w - -,f3d4
1r1n4/pr2k1pp/4p3/2RpP3/Rn4P1/1PK4P/3NBP2/8 b - -,g7g5
4k3/R3p2r/3p4/3R3p/1b1B1P2/5KP1/2r4P/8 w - -,d5b5
6k1/p4p2/1b3p2/1pn1p3/1P4PP/2P1B3/P1B5/1K6 b - b3,c5d7
5r2/p2q3N/5kp1/1r3b2/2N5/Q6P/1P3PP1/2n2BK1 b - -,d7h7
r2qk2r/pb1nbppp/2p1pn2/1p6/8/2NP1NP1/PPQ1PPBP/R1B2RK1 b kq -,a8c8
8/6p1/p1n5/1b2k1P1/5R1P/1P4K1/8/8 w - -,h4h5
r4rk1/pp3ppp/2n1pn2/q1Rp1b2/3P1B2/1Q2P3/PP2BPPP/5KNR b - -,a5b6
r2qk2r/2pbbppp/3p4/p1pPp3/2P1Pn2/2NB1N1P/PPQ2PP1/R3K2R w KQkq -,e1c1
6k1/4pp1p/6p1/1P6/3p3P/3NnPP1/1r6/2R1K3 b - -,b2b5
8/6r1/p5P1/P2pN3/1P2p2k/4K3/7p/5R2 w - -,f1h1
8/1p3k2/p1p5/2P3p1/1P2Pp2/P7/4K1P1/8 b - -,g5g4
2r1k3/3qpp2/p2p1r2/Pp1Pn3/1PbB2P1/R6P/2PQ2B1/4K2R w K -,e1d1
1k1r4/1pq2pp1/1ppbp2p/4N2P/r1PPQPP1/8/PP6/1K1R3R w - -,b2b3
8/4kpp1/p3pn1p/2p5/2P5/4KP2/PP3NPP/8 b - -,f6d7
r2r2k1/ppqbbppp/2n1pn2/8/2N5/1PB3P1/P2NPPBP/2RQ1RK1 b - -,d7e8
q3nrk1/2nb1pbp/1Q2p1p1/2pPP3/2N5/P1NB4/3B2PP/5R1K w - -,d5d6
r1bq1rk1/1p2npbp/p2p1np1/3Pp2P/4P3/2N1B1N1/PP2BPP1/R2QK2R b KQ -,f6e8
3r2k1/6p1/8/5p2/8/Pr2R1P1/1P2R1K1/8 b - -,d8b8
r4rk1/p1p3pp/3bp3/2n1N3/8/2PP1N2/PP3PPP/R1B2RK1 b - -,d6e5
5b2/5kpp/r7/2p1Pp1P/1pPp1P2/1P1P1K2/rB5R/7R b - -,a6h6
rnbq1rk1/pppp1ppp/4pn2/8/2PP4/P4N2/1P1bPPPP/R1BQKB1R w KQ -,c1d2:d1d2
rnbq1rk1/ppp1ppbp/3p2p1/3nP3/3P4/5N2/PPP1BPPP/RNBQ1RK1 w - -,c2c4
2r3k1/p5pp/1p3p2/1R1p4/7P/2P2P2/P3N1P1/3nK3 b - -,d1c3
r1b2rk1/pp2ppbp/2p2np1/q4n2/3PNB2/2PB3P/PP1N1PP1/R2QR1K1 b - -,f6d5
1r4k1/1p3pbp/p2r2p1/2RN4/bP1pP1P1/3B3P/PR4P1/6K1 w - -,c5c7
5nk1/p2q1ppp/8/1p2PP2/1P1nQ3/P5P1/1B3RKP/3r1B2 w - -,f1d3
8/4kp2/N1n1p3/1p1pP2r/1P1n2R1/P1N5/5P2/5K2 b - -,h5h3
r3r1k1/ppp4p/2n2p2/2Np2p1/3P4/P1P3P1/1P4PP/R4RK1 b - -,g8f7
3rr1k1/2q2pbp/N3pnp1/2nP4/2p5/2N3P1/PP3P1P/R1BQRBK1 b - -,c5a6
r1b2rk1/p1qn2p1/2p1p3/Pp1n2P1/1PppN3/R7/5PP1/1Q2KB1R w K -,a3h3
2nb1k2/r2r1ppp/1p2p3/p1p1P3/P1P1NPP1/2B1P3/1RR1K2P/8 w - -,c2d2
r3k2r/p1q2p2/1p2p1pp/2pb4/5P2/P1QP1N1P/1PP3P1/1R3RK1 b kq -,e8c8
rnbq1rk1/pp2ppbp/3p1np1/2p5/4P3/P1P2N2/1PQPBPPP/RNB2RK1 b - -,b8c6
6k1/3nb2p/p1rpp1p1/2p2q2/5P2/1PB2Q2/P1P3PP/3R1RK1 b - -,d6d5
6k1/3rn1p1/5p1p/Bppq3P/8/P7/1Q3PP1/4R1K1 b - -,d5c4
r4r2/2p2pbk/2N1bnpp/p1P5/3Bp3/2N4P/PP3PP1/3RR1K1 w - -,d4e5
r2q1rk1/pQ3pp1/5bp1/3Bp3/4P1P1/7P/PP3P2/R4RK1 b - -,a8b8
8/1R3k1p/3B1r1b/5N2/6K1/P4P1P/8/2r5 b - -,f7e6
4b3/2knn1p1/1p6/pP1p1pPp/P2PpP1P/2N1P1K1/3NB3/8 b - -,c7d6
r4rk1/pp1bppb1/7p/2p1q1p1/P1B1P3/2P1N1P1/1PQ2PP1/3RK2R b K -,f8d8
r1n4r/1pknb1pp/2p1bp2/p3p3/N1P1P3/PP2BN1P/4BPP1/R3R1K1 b - -,h8d8
1Q3R1k/7p/p1r3n1/q1P1p1B1/4b3/7B/PP2N2P/6K1 b - -,h8g7
r2q1rk1/pb1nbpp1/1p2pn1p/8/2BP3B/2N2N2/PP2QPPP/2R2RK1 b - -,a7a6:f8e8
2kr3r/1b3pp1/p6p/Pp1p1pPP/1P3P2/2NP1P2/8/2KR3R w - -,d3d4
r2q2k1/ppp1b1pp/4p3/4Pr2/1PP2B2/P7/6PP/R2Q1RK1 w - -,g1h1
4rrk1/2q1nbbp/3p4/p1pPp3/Pp2PP2/1P6/1BN3BP/1R1Q1RK1 b - -,e5f4
rn1q1rk1/pbppbppp/1p2pn2/8/3P4/3BPN2/PPPN1PPP/R1BQ1RK1 w - -,b2b3
8/1p6/p4k2/2pn1p1K/5P1N/2P4P/PP4P1/8 w - -,h4g6
4R3/8/8/2pb1PK1/3k2P1/7P/8/2r5 w - -,h3h4
r2q1rk1/1pp1ppbp/p5p1/P2P4/8/1QNnPN1P/1P4P1/R3K2R w KQ -,e1e2
1n1r1rk1/1pqNbppb/p3p2p/P1p5/2N1PP2/1P4P1/1BP1Q1BP/R4RK1 b - -,b8d7
r6k/qbRB3p/p4p2/P3n2Q/1p1pP3/8/1P3PPP/3R2K1 b - -,a7b8
r2qk2r/1b3ppp/p2p1b2/1pn1p3/4P3/2N3PP/PPPQNPB1/R4RK1 b kq -,e8g8
r4rk1/1p1qb1pb/n1p1pp1p/p7/2P1B1Q1/PP1P2P1/1B1N1P1P/R3R1K1 b - -,h7f5
r4rk1/p1q1b1pp/2b1p3/1p2P3/2pP1B1P/P4NR1/1P1QK1P1/2R5 b - -,c6e4
4rnk1/4q2p/1ppr4/p3pPP1/P5Q1/R6P/1PP5/5RK1 b - -,e5e4
8/1p6/p3kpp1/r6p/1Rp1PP1P/2P1K3/1P6/8 w - -,b4b6
2nq1r2/3b3k/3p2pb/1NpPp2p/4P2P/3PB1P1/2Q3BK/1R6 w - -,e3h6
5R2/1pk4p/6p1/2PK1p2/5P1P/r1P5/8/8 w - -,f8f7
8/5pp1/6p1/8/6kP/1K6/5P2/1B6 w - -,b1e4
6k1/q4pp1/2BP1n1p/8/1b2n3/6BP/3r1PPK/1Q3R2 b - -,e4g3
r1bq1r1k/5p1p/p4n2/1p1p1p2/5N1P/P1P3R1/1PBQ2P1/4R1K1 b - -,f8g8
8/pp6/3pk3/2n1pp2/2P4p/1PN2P1P/P5P1/6K1 w - -,g1f2
