8/8/3k4/p4p2/2PN2pn/P2K4/5P1P/8 w - -,d3c3
r1r3k1/3b1ppp/1pn1pq2/3p4/1P6/P1PBP3/3N1PPP/R2Q1RK1 w - -,d1c2
8/7p/p7/Kp6/1B2k2P/P2b4/5P2/8 w - -,a5a6
8/R4ppk/1B5p/p3pN2/1q6/1n5P/5PPK/8 w - -,b6e3
3Q4/5r2/2p2qp1/p3p1kp/P3P3/2P3P1/1R3P1K/8 w - -,d8d2
8/6pk/3nprpp/1B6/3P2Pb/8/2R2PK1/R7 w - -,b5d7
7k/4b3/4N1p1/4p2p/1p1pP3/1P6/2P3K1/8 b - -,h8h7
r2qk2r/1ppbbppp/p2p1n2/8/3QPB2/2N5/PPP1BPPP/3RK2R b Kkq -,d7c6
5b2/5k2/4ppp1/3b3p/2q4P/2B1Q3/r1P2PP1/3RN1K1 w - -,d1d4
r3k2r/ppq2pp1/1np1pnp1/3p2B1/3P2P1/3Q3P/PPP1PPBb/RN2R1K1 w kq -,g1f1
2r1qr1k/pb5p/n2p2p1/1p1PppPn/1pP4P/1Q2P3/PP1NBP1N/R3K1R1 w Q -,h2f1
6rk/pp1rbp1p/3q1p2/4p3/3nP3/PB2QN1P/1P3PP1/R2R2K1 w - -,f3d4
1r5k/1p1bq1pp/p4p2/1n1P4/1b6/3Q2P1/1B2NPBP/2R3K1 b - -,b4d6
8/6pp/2r2rk1/R7/P7/6PP/5P2/4R1K1 w - -,a5a7
6k1/1b3p2/p7/1pp3B1/3qP3/8/PPP3P1/1K3Q2 b - -,b7e4
5rk1/p1r1bp2/1q2p1pp/n2p4/4P3/1PP2NN1/P1R1QPPP/5RK1 b - -,d5e4
8/4Qp1k/6p1/7p/5P1K/6PP/q7/8 b - -,a2d5
r1b2r2/2p1qpbk/3p1nPp/p2Pp3/P3P1n1/2P1B1N1/2BN1PP1/1R1QR1K1 b - -,f7g6
r2q1rk1/pb2bppp/1pn2n2/2pp1N2/8/P1N3P1/1PQ1PPBP/R1BR2K1 b - -,d5d4
r3kb1r/1pq2ppp/p1p1bn2/4p3/P3P3/2NB3P/1PP1QPP1/R1B2RK1 b kq -,f8c5
2r3k1/pq1r1p2/1pn1p1pb/2p2n1p/2P4P/P1BPP1P1/Q3NP2/1R1RN1K1 w - -,e1g2
4r1k1/pp3p2/2p1q2p/3bP1r1/3P1Q2/2P1R2P/2B2RP1/7K w - -,e3g3
3rr1kb/p6p/6pP/2p2pP1/1pPnqP2/1P2N3/P2B3K/1R1Q1R2 w - -,f1f2
6k1/5pb1/3p2Q1/p2B4/1pP5/1P5P/P4qP1/4R2K b - -,f2e1
r2qk2r/pp3pb1/1np1n1p1/3pPp1p/3P4/2PB4/PP2QPPP/R1B1RNK1 b kq -,g7h6
r2q1rk1/2p1bppp/pn1pb3/1p4P1/3QPB2/2N5/PPP1BP1P/1K1R2R1 w - -,f4c1
r3k2r/1p2bpp1/1np1q1p1/p2n2P1/4NP2/1Q2P2P/PP1B2B1/1K1R3R b kq -,a5a4
2kr3r/Bp3ppp/2p1bn2/8/Nb3P2/6P1/PPP1R1BP/R5K1 b - -,e6g4
rnbqk2r/1p2bp2/p2ppnp1/6B1/3NP2P/2N5/PPP2PB1/R2QK2R w KQkq -,d1d2
1r1qr1k1/p2n3p/b2pp1p1/2pNb1PP/1p2P3/3P4/PPP3B1/R1BQ1RK1 w - -,d5f4
rnbq1rk1/ppp1bppp/8/3pP3/3P4/P2B1N2/1P1B1PPP/R2QK2R b KQ -,c8g4
4rb1k/2n4p/5p2/1r1np3/Q7/P5P1/7P/B2R2K1 w - -,d1f1
2r1qrk1/np4pp/p3pn2/3pb1B1/1P1P4/P1N4P/5PP1/2RQR1K1 w - -,d4e5
8/p4ppk/1p1r3p/4p3/1PQ1P3/2R3PP/P2q1PK1/8 b - -,d6d4
3r1k2/5pp1/3rn2p/pp5P/4P3/P1RPK1R1/1PB5/8 b - -,e6d4
3q1k2/1p3ppp/p7/2P5/1P6/P7/5PPP/2Q3K1 b - -,d8d3
3r4/1p2q2k/p1p1bpp1/P1p4p/2PrPR2/1PQP3P/6PN/5RK1 b - -,f6f5
r4rk1/1b3pp1/1p5p/p1n5/3Np3/P1R1P3/1P3PPP/1B3RK1 b - -,a5a4
r4rk1/pppq1ppp/8/5b2/2PN1B2/8/PP2Q1PP/R4R1K b - -,d7d4
r4rk1/3nppbp/3p1np1/2pP4/Pq2P3/2N2NP1/1PQB1PKP/R6R b - -,f8b8
r3kb1r/pp2pp2/1np2np1/6N1/3P4/2N3B1/PPP2P1P/1K1R3R b q -,a8d8
rn3rk1/pp3p2/7p/q1PpBbp1/1b1Nn3/2N1P3/PPQ2PPP/R3KB1R b KQ -,f8e8
2rqk1nr/1bpnppbp/p2p2p1/1p6/3PP2P/2N1BP2/PPPQ2P1/1K1R1BNR b k h3,h7h5
5rk1/4bppp/2p1p3/3pP3/3P4/1P5P/2RB1PP1/6K1 b - -,f8b8
Q5k1/p4pp1/1p2n1p1/2p1P3/5q2/P4N1P/1P3PP1/6K1 b - -,g8h7
1rr3k1/1p3pbp/3p2p1/p1p1p3/2P1B3/P2PP1Pb/1P3P1P/1RB1R1K1 w - -,b2b4
rnbq1rk1/5pbp/pn1p2p1/1ppP1P2/4P3/2NB1N2/PP4PP/R1BQ1R1K b - -,g6f5
1r1qr1k1/p1p2ppp/2p2n2/3p1b2/2PP4/1P4P1/P2N1PBP/2RQR1K1 b - -,d8d6
5r2/2R2pk1/5q1p/4N1pQ/1p6/6P1/Pn3P1P/6K1 w - -,h5e2
1r1q1r1k/1bn3bp/p2p2p1/P1pPp2n/2N1Q3/2N4P/1P3PPB/3RRBK1 w - e6,c4b6
2r3k1/2q2pbp/4p1p1/8/2n1N3/4P2P/P4PP1/1RQ1B1K1 b - -,c7e5
5rk1/p1r5/1p2q3/3nPppQ/2pP4/2P3B1/P5P1/1R3RK1 w - -,g3e1
4q2k/1Q4b1/7p/4p3/1p2B3/8/1P2b1PP/R6K b - -,e8f8
1r4k1/2q2pp1/2p1pnp1/p1P5/1r2PP2/1PQ3P1/1PB4P/2KRR3 w - -,d1d4
rnbqk2r/pp2bp1p/2p2np1/3p4/3P1B2/2N1PN2/PPQ2PPP/R3KB1R b KQkq -,c8f5
r7/1p2kpp1/1P2p2p/1BPb4/5P2/6PP/8/2R3K1 b - -,a8c8
1n1rr1k1/1b3pqp/p2p2p1/P1pP4/1pN1PP2/1P4PP/6B1/1R1QR1K1 w - -,d1d2
r3k2r/ppp1np2/2nbbqp1/3p3p/3P4/2PB2NP/PP1NQPP1/R1B2RK1 b kq -,h5h4
2k5/2n5/3p2pp/P2pb3/3N1p2/2P2P2/5P1P/1R4K1 w - -,g1f1
1r4k1/bpp2rpp/p4p2/2n1pP2/6PB/2P2N1P/PP2RP2/3R2K1 b - g3,b7b5
8/1b3pk1/1R2n3/1N4p1/1N3p2/5P1P/5KP1/3r4 b - -,d1d2
5rk1/p2R1p1p/4pbp1/q6r/P4B2/1P4P1/2Q1PP1P/2R3K1 w - -,c2c6
r4rk1/4np2/pB3b1p/3Pnbp1/1p6/1N3P2/PPP3PP/2KR1B1R w - -,d1d2
r2qk2r/p3nppp/npp1p3/3pP3/3P4/P1P5/2P1QPPP/R1B1K1NR b KQkq -,a6b8
1r2r1k1/1ppnqpbp/p2p1np1/8/2P5/1PN1P1P1/PBQ2PBP/2R1R1K1 w - -,c1d1
8/5pkp/1P3p2/2p5/6P1/6P1/3rP1K1/5R2 b - -,d2e2
1r2r1k1/3b1pbp/pq1p1np1/2pP4/2n1P3/1NN2PP1/1PQ3BP/R1B1R1K1 w - -,g2f1
8/1Q2k1bp/5pp1/5P2/1n3B1P/P2P2PK/4q3/5R2 b - -,e7e8
rn1q1rk1/pbp3pp/1p2p3/3p1p2/3P1P2/3N1P2/PPPQP1BP/R4RK1 b - -,b8d7
r4rk1/pp1bppb1/2np1n1p/6pq/4P3/1B2BN1P/PPP1NPP1/R2QR1K1 w - -,e2g3
3rRk2/2p2p1p/2P2p2/p1b5/1pB5/8/PP3PPP/R4K2 b - -,f8e8
rn2kb1r/ppq2ppp/2p1pn2/3p1b2/2P5/1Q1P1NP1/PP2PPBP/RNB1K2R w KQkq -,c1f4
8/1r6/8/6pk/8/R5K1/8/8 b - -,b7b4
8/8/5k2/2K2pRp/4p2P/4N3/5r2/8 w - -,g5h5
r1b2rk1/2pn2pp/p1nbp3/1p1p3q/3P4/2P1NN2/PPB2PPP/R1BQK2R w KQ -,c1d2
7r/p7/1p1kp3/3p4/3P1P2/1P3K2/P1R4P/8 w - -,f3g4
5k2/7R/6p1/2PK4/p7/2r3P1/7P/8 w - -,h7a7
r1b2rk1/1p2bppp/p1n1pn2/8/N7/1B2PN2/PP1B1PPP/2RR2K1 b - -,e6e5
r1b2rk1/1p1pppbp/p4np1/q7/2PBP3/2N5/PP2BPPP/R2Q1RK1 w - -,e4e5
r2q1rk1/pp3ppp/2n1pb2/3n4/1PN2P2/P2BP3/1B2QP1P/R3K2R w KQ -,a1d1
8/p1r4p/3kp3/2R2p2/1pK2P2/8/P5PP/8 w - -,c5c7
r4rk1/1bq2ppn/p1p2b1p/1p1Nn3/3NP3/3B2BP/PP2QPP1/2RR2K1 b - -,c7d6
5r2/1p1q2k1/2p2n1p/3p1p2/4rQ2/1BP3P1/PP3P1P/3RR1K1 w - -,f4d2
r1br2k1/pp2ppb1/5npp/2p5/4P3/2P2NP1/PP3PBP/RN2R1K1 b - e3,c8e6
r1bqr1k1/pp3pp1/3p1nnp/2pPp3/1bP1P3/2NQ1NP1/PP1BBP1P/R3R1K1 b - -,c8h3
r2r4/pp3kbp/3p4/4p3/6Q1/1N6/PPb3PP/R5K1 w - -,g4c4
6k1/B3b2p/p3p3/1p2npp1/2b2N2/P4P1P/1PP2QP1/3r3K w - -,h1h2
R7/B7/p1r2p2/4pkp1/8/3K2PP/1n3P2/8 w - -,d3d2
8/p5rp/8/PR6/5RP1/4P2r/kP3K2/8 b - -,h3h2
