8/5k2/2R5/rr3p2/2p1p2P/6PK/8/R7 w - -,a1a5
rnbqk2r/pp1p1ppp/4pn2/2p5/1bPP4/2NQ1N2/PP2PPPP/R1B1KB1R b KQkq -,c5d4
r3nrk1/pb2qp1p/1pnp2pP/2p1p1P1/2P5/1PQ2N2/PB1PPPB1/2KR2R1 b - -,e8c7
r1bqr1k1/ppp2ppp/2np1n2/4p3/1bP5/2NP1NP1/PP1BPPBP/R2QK2R w KQ -,e1g1
5R2/8/b5k1/P1p5/5Bp1/6K1/r5P1/8 b - -,a2a5
rnbqkb1r/ppp2p1p/4pnp1/3p4/4P3/3P1NP1/PPP1QP1P/RNB1KB1R b KQkq -,f8g7
4b2r/pppkN3/4pp1r/3PP1Qp/1q6/2R5/2PK1P2/7R w - -,e5f6
1r1q1rk1/p2nppbp/b1np2p1/2p2P2/1p2P1P1/3P2NP/PPP1N1B1/R1BQ1RK1 b - -,d8b6
r1b2rk1/2q3bp/3p2p1/p1p1n1B1/P1PppN1P/1P3P2/3Q2P1/RN2K2R w KQ -,h4h5
3r4/5pk1/2R5/1p5p/1PbN3P/2P2P2/3K4/8 w - -,d2e3
3r4/8/2r1kp2/2p3pp/1pN5/1P2B3/2P1K1PP/R7 w - h6,a1a7
r3b1k1/3n2p1/p1p2r1p/2p2p1P/5N2/3P2P1/PPP2P2/R1B1R1K1 b - -,f6d6
r2q1rk1/pp2pbbp/2n3p1/2pP1p2/3Pn3/1P2PNP1/PB1NQPBP/R4RK1 b - -,f7d5
8/pp6/2b1r3/2p2k2/2P5/1P1K4/P4P1R/8 b - -,f5f4
r3nrk1/1b3p2/1p2pPpQ/p3P3/3Bq3/2Pn1NR1/PP2B2P/4R1K1 w - -,e2d3
8/8/2R5/6k1/2P5/1r3PK1/8/8 w - -,c4c5
2r3k1/5rbp/1p2qp2/p2Np1p1/P1PpP1P1/1P3Q1P/5PK1/3RR3 b - -,g7f8
3rk2r/pp1qbp2/4p1n1/2Pp3p/2PQ2p1/1N2B3/PP3PPP/R3R1K1 b k -,d7c7
r5k1/q3b2p/2p1npp1/2p1p3/2P1P3/pPP2R1P/P1Q1N1P1/2Br2K1 w - -,c2d1
2kN4/8/1p4K1/3Q4/8/8/1n4P1/q7 w - -,d8e6
5k2/5br1/7K/8/8/7R/8/8 b - -,f8g8
8/2p5/3kP3/4p2p/4Pp1b/1B1K1P2/7P/8 w - -,b3a4
8/3R1p2/3p1k1p/2pP4/2PbB1pP/3Pq1P1/6QK/3b4 w - -,d7d6
4r1k1/3n1ppp/p1pprb2/B7/N7/8/PPP2PPP/3RRK2 w - -,d1d6
4r1k1/6pp/qn1bp3/5p2/1npP1P2/1pR3P1/1P1NQ1BP/6BK w - -,g2f3
r5k1/3b1pp1/p1p5/3p2q1/1Q1N3p/2P2P2/PP2R1PP/6K1 b - -,a8e8
K7/8/P7/8/4q3/8/6k1/8 w - -,a8b8
1r4k1/2q2pp1/4p2p/p1Nn4/PpQP4/5R1P/6P1/7K w - -,c4f1
2kr1b1r/1pp2ppp/p1nq1nb1/4p3/2B5/2NP2N1/PPPB1PPP/R2QR1K1 w - e6,d2g5
2kr1bnr/pp2pppp/2n5/2P2b2/8/2P2N2/PP3PPP/RNB1KB1R b - -,g8f6
2rq1rk1/1b2npbp/p2p2p1/np6/3NPB2/2N4P/PPB2PP1/2RQR1K1 b - -,a5c4
r4rk1/1bnp2bp/4p1p1/2pn4/P7/2N1PN2/1P1BBPPP/R2R2K1 b - -,b7c6
r1B2rk1/ppq1b1pp/2n2n2/2ppp3/8/3P1NP1/PPPNQP1P/R1B1R1K1 b - -,a8c8
r1bqk2r/pp2bppp/2n1pn2/3p4/3N4/1PP1P3/PB2BPPP/RN1QK2R w KQkq -,e1g1
2r2k2/pp1b1p1Q/3Pp3/5p2/6r1/6R1/Pq3PBP/5RK1 b - -,b2g7
r1br2k1/1q3pp1/1p2pn1p/n1p5/p2PPB2/2PB1NP1/P4P1P/1QRR2K1 b - -,c5c4
6n1/5kp1/8/1p2p2P/1P2P3/3K4/3B4/8 w - -,d2c3
r3k2r/pp1qbpp1/4pn1p/3pBb2/2pP4/2P1P3/PP1NBPPP/R2Q1RK1 b kq -,e8g8
2b2rk1/4ppbp/1q1p2p1/2pPnP2/2P4N/R1BP2P1/1r4BP/3Q1RK1 b - -,g6g5
r3r1k1/pbqn2pp/1p3n2/2pp4/3P4/P1BB1Q1P/1P1N1PP1/4RRK1 b - -,d7f8
r2qnrk1/2p3bp/3p4/p1pPp3/2P1N1B1/7P/PP3P2/R2QK2R b KQ -,f8f4
5k2/p4pq1/1p1P1np1/1Np5/2P1r3/2Q4R/P4PP1/5K2 b - -,a7a6
6rk/1p1b1pq1/2n1pb2/1pPp1p1p/P2P1Br1/5NP1/3QNP1P/R3R1K1 w - -,a4b5
2R2bk1/8/5pp1/r3p2p/p3p3/P3B2P/5PP1/6K1 b - -,g8f7
8/8/R1p3p1/p1r2k2/7P/6P1/5K2/8 w - -,f2f3
r3r1k1/p1pb1p1p/1np3pB/4p3/3P4/6P1/P3PPBP/R1R3K1 w - e6,d4e5
6k1/1p3p2/5qpp/p2P4/P2r4/1PP3Pb/3Q1P2/R5K1 w - -,d2h6
7K/8/4k2P/8/1R6/8/6r1/8 b - -,e6f7
4n3/6kp/p3p1p1/N4pP1/3P3P/4PK2/5P2/8 w - f6,f3f4
2R5/r4k2/p3pn2/2p2pB1/2Pb4/1P4P1/P5BP/5K2 w - -,c8a8
3r2r1/pk3p2/1nppq2p/7P/4Pp2/1PQ5/PBP3P1/1K1R3R w - -,c3f3
r1b1k2r/ppqp1ppp/4n3/1Bb1P3/4Q3/2N5/PP3PPP/R1B2RK1 w kq -,c1e3
7k/7p/1N3p2/8/P7/3b1BP1/2r1PK1P/8 w - -,b6d5
2r3k1/4q1pp/Q3p3/3nNp2/3P1P2/6P1/5P1P/4R1K1 b - -,e7e8
8/3R1pk1/1p2rb1p/p2RP2P/Pp2K3/1P4P1/8/8 b - -,f6e7
r4r2/1pqnppkp/3p2p1/p2R4/2P1P3/4Q3/PP2BPPP/5RK1 w - -,f1d1
r1bq1rk1/1p2bppp/p3pn2/n7/P2P1B2/2N2N2/BP3PPP/R2QR1K1 b - -,e7b4
8/7p/5k2/n4p2/8/B3K2P/8/8 w - -,e3f4
r1b1r1k1/2Bn1pbp/p4np1/1p6/PqpR2P1/1BN2N1P/1PP2P1Q/3R2K1 w - -,c7d6:a4b5
r3r1k1/1p1b1pb1/3p1np1/q1nP3p/p1P1p1P1/P1N1BP1P/1PBNQ3/R4RK1 w - h6,g4g5
1qr2bk1/1brn1ppp/pp1pp3/8/1PPBP3/PN3P2/2RQ2PP/2R2BK1 b - -,b7c6
8/4p2p/p2b2p1/3k1p2/p7/1PPKB1PP/5P2/8 w - -,b3a4
rnbqkb1r/ppp1pppp/5n2/3p4/3P4/2P2N2/PP2PPPP/RNBQKB1R b KQkq -,c8f5:g7g6:e7e6:c7c6:b8c6:c7c5
1r6/1P1R4/3b1kp1/3ppn2/3P4/4P3/5P1P/5BK1 w - -,f1h3
r4rk1/1pq1ppb1/p1np1npp/8/2P1PPP1/1NN1B3/PP2Q2P/3R1RK1 w - -,g4g5
4kr2/pp6/3p3Q/1P1P3P/8/3qB3/PP3P2/1K6 w - -,b1c1
r4rk1/4bppp/1q1p4/p2Pp1P1/1p3n1P/5P2/PPPQ4/1KN1RB1R b - -,a5a4
2r5/pp2kp2/3Rb3/3p2P1/2r3P1/P3P1B1/8/1K5R b - -,c4g4
1r1q1rk1/1p2p1b1/p2pP2p/2p2p2/1n1P4/1P4P1/PB3PBP/R2Q1RK1 b - -,c5d4
r1bqr1k1/pp1n1pbp/2p2np1/4p3/4P3/1P1P1NP1/PB1N1PBP/R2Q1RK1 w - -,d1c2
r1q1r1k1/1pp2p2/1b1p2n1/1p1P1pP1/3N1P2/P2Q2BP/1P4K1/2R2R2 b - -,b6d4
r1b2rk1/ppp2ppp/2q2n2/8/3P4/N1PQN3/P4PPP/R4RK1 b - -,b7b6
r4rk1/1ppb2bp/p2p2p1/3P4/2PBp1P1/PqN2P1P/1P2Q3/2KR1R2 b - -,e4f3
r1b3k1/pp3ppp/2p5/2b1r3/6P1/4N2P/PPPK1PB1/R6R w - -,e3c4
2r2k2/1pq2pp1/3Rpn1p/2P5/3Q4/6P1/2B2P2/6K1 w - -,c2a4
2r3k1/p5pp/1p2p3/1P1p2P1/3PnP2/1Rr1R1N1/7P/6K1 w - -,g3e4
5rk1/1R3p2/p7/6R1/3pP2p/7P/r5P1/6K1 b - -,g8h7
R7/p4kpp/1p6/2p5/2P5/1QP3P1/P5KP/4q3 b - -,e1e2
1r1qrbk1/2pbpp1p/p1n3p1/1pR1P2n/3P2N1/4BP2/PP1QN1PP/4KB1R b K -,e7e6
3q1rk1/3bnpbp/2pp1np1/1r2p3/1PN5/3P1NP1/2QBPPBP/1RR3K1 b - -,d8b8
r2q1rk1/pp4p1/1np1p2p/B2pPp2/3P1PPb/1N1P4/PP5P/2RQ1RK1 w - f6,b3c5
2r1r1k1/pp3n1p/4bb1P/2q1p1p1/2PpP3/6B1/PPQNBPP1/R3K2R b KQ -,e8d8
8/8/8/1kPK4/3P4/p7/2b5/2N5 w - -,c5c6
