8/4r3/5k2/1R2N3/4K3/8/8/8 w - -,e4f4
8/1p1r1pRp/p4R2/3p3k/8/7P/PP3PPK/2r5 b - -,c1c6
6k1/1b3p2/p5pp/1p6/1b1Np1B1/1P1nP1BP/P2q1PP1/1Q4K1 b - -,h6h5
1r1qr1k1/1p1b1pbp/pn1p1np1/2pP4/P7/NQN3P1/1P1BPPBP/R4RK1 b - -,b6c8
r1bqkb1r/1p1n1ppp/p1p1pn2/3p4/2PP4/2N1PN2/PP1B1PPP/R2QKB1R w KQkq -,d1c2:a1c1
3r4/p4rk1/Q1n3pb/1p1qp3/1P4pP/2NPPpP1/5P1K/R1B4R b - -,c6b4
r1bq1rk1/5ppp/p1p2n2/4b3/2p1PP2/2N4P/PPQB2P1/2KR3R w - -,f4e5
r1bqk2r/pp1p1ppp/2N1pn2/8/2P1P3/2P5/P4PPP/R1BQKB1R b KQkq -,d7c6
3r1rk1/pp3pp1/3b3p/8/2p1p1P1/4N1q1/P1P1QR2/4R2K b - -,d6c5
4kr2/1n2pp1p/1pb3p1/p1p5/P1P2PP1/1N2P2P/1B2K3/R7 w - a6,b3d2
2r3r1/4kp1p/p1bppp1b/1p6/1Pq1P3/P1P2B2/4NPPP/R2Q1RK1 w - -,e2d4
7k/1p4p1/7p/pP2R3/1r6/5P2/6PP/6K1 w - a6,b5a6
4rrk1/p4ppp/1qnp4/8/3P1B2/5NnP/PP3RP1/R2Q2K1 b - -,g3f5
r4rk1/2pqn1bp/b1Np1n2/p1PPp1p1/4Pp2/2N2P2/4BBPP/R2Q1RK1 w - -,e2a6
r1b1rbk1/pp1n1p1p/2p3p1/2n1p3/2P1P3/2N1BP2/PP1RB1PP/1KR1N3 b - -,a7a5
r2q1rk1/2p1bp2/p2p2pn/1p1Qp1N1/4PPp1/1P4P1/1PP5/RNB2RK1 w - -,b1c3
3r3r/1kq2p2/1p2p2p/p1nnb1p1/P7/5PPN/1PPBQ1NP/R4RK1 w - -,a1b1
5rk1/1pr1qppp/p2bb3/2np4/3N4/2B1PB2/PP2QPPP/2RR2K1 b - -,c5e4
6k1/p7/8/6p1/3Np1P1/6K1/PP3P2/3b4 w - -,d4e6
2r2rk1/3q1pp1/R3p1p1/1Nbp4/4nB2/8/2P1QPPP/R5K1 w - -,f4e3
rn1qkb1r/pbpppppp/1p3n2/8/3P4/2P1PN2/PP3PPP/RNBQKB1R b KQkq -,e7e6
8/1r5k/Q2p2p1/2pP2PP/8/1r6/6K1/8 b - -,b3b2
8/7p/4Qn1k/5P2/1p4q1/8/2R2K2/8 b - -,g4f4
4qrk1/2pp2pp/2n1p1n1/2P3B1/1p6/5N1P/2Q1NPP1/R5K1 w - -,e2d4
3r2k1/p4pp1/1q2p2p/1p2N2Q/5P1N/P2P2Pb/1Br1nR1P/7K b - -,b6b7
r1b1k1nr/2qnbp1p/p2pp1p1/1p6/2N1P3/1N1B4/PPP1QPPP/R1B2RK1 w kq b6,c4a5
8/pp3k2/3p1qp1/3Pp1p1/1P4P1/5P2/P5K1/2Q5 w - -,c1c8
rqr3k1/1p2ppbp/1N1p1np1/1b6/4P1P1/1B2BQ2/PPP4P/2KR3R b - -,b5c6
r1b1qrk1/1p1nbpp1/p1p1pn1p/3p4/2PP3B/P1N1PN2/1PQ2PPP/3RKB1R w K -,c4d5
8/5p2/1kQ5/1p6/8/P7/KP5P/8 b - -,b6c6
2kr3b/1q6/3p1p2/p2PpP2/P1p5/1pPnQ1N1/1P2KBP1/7R b - -,d3f4
r2r4/5kp1/2p1pp1p/Pp1n4/3P4/P2RN1P1/2P2PKP/3R4 b - -,a8a5
r4k2/1q3p1p/4pp2/2n5/p1B2PQ1/4P2P/1R4P1/R5K1 b - -,b7b2
6k1/3R1pbp/8/p3P3/1pB2P2/1P3K1r/8/8 w - -,f3g4
r2qk2r/pp1nbpp1/2p2np1/4p3/2PPP3/2N1B1P1/PP2B2P/R2Q1RK1 b kq -,e8g8
rn1q1rk1/ppp1bppp/8/8/2BP2b1/2P2N2/P4PPP/R1BQK2R w KQ -,e1g1
6k1/5p2/5Pp1/3p3r/1PqNbQ1P/2P1R1K1/7R/6r1 w - -,g3h3
r1bq1rk1/pp2n1b1/3pn1p1/2p1pPBp/7P/2PP2P1/PP1QNPB1/2RNK2R b K -,e6g5
3q2k1/2p2pp1/4b2p/p7/1p2P3/1Pr4P/P1B2QPK/3R4 b - -,d8g5
r4rk1/pp2ppbp/2np1np1/7q/4P1b1/2N2N2/PPPBBPPP/R2QR1K1 w - -,h2h3
r1q1r1k1/ppn2pb1/2ppbnp1/6Bp/1PPNP3/2N5/P3BPPP/1R1Q1RK1 w - -,b4b5
Q1R5/8/1k5p/8/5q2/1K6/8/8 b - -,f4f7
3r1bk1/8/p6p/1r6/1PRpNpP1/P4P2/5K2/7R b - -,a6a5
r2q1rk1/2n1b1pp/3pbn2/1Pp5/2P2p2/2N1NPP1/6BP/1RBQ1RK1 w - -,g3f4
2r5/p3k1p1/1p2pb1p/3pB3/2bK1P1P/P1P3P1/1PB5/6R1 b - -,c4e2
5rnk/2q3pp/p1rpb3/1p2p1Q1/4P3/1P1R2NP/P1P3P1/2R1N1K1 w - -,c1d1
1q1r2k1/7p/p3Q2p/8/Pn1P4/1P6/5PPP/4b1K1 b - -,g8g7
3q1rk1/pp2bpp1/3ppn1B/8/3Nb3/2r5/PPPQ1PPP/2KRR3 w - -,d2c3
4rbk1/pp1b1ppp/1qpn4/3p4/3P2P1/2PNN2P/PP1Q1PB1/4R1K1 b - -,f7f6
r1bq1rk1/1pp1bppp/p3pn2/3n4/3P4/5NP1/PPQBPPBP/RN3RK1 w - -,f1c1
8/7r/8/3n1pB1/4k3/7P/3R3K/8 w - -,h3h4
r4k2/2pb1r2/3p4/3P1pb1/2PB4/p2P1BPp/PPK4P/4RR2 w - -,b2b3
r2q2k1/1p5p/p2pp1p1/4b3/2P1Nr2/3Q3P/PP3PP1/1R3RK1 w - -,g2g3
8/kp4Q1/p7/P2p4/3P3p/5q2/7K/8 b - -,h4h3
8/6pk/4p2p/4Pp1q/3rrP2/5R2/5QP1/5RK1 b - -,h5e8
r2qk2r/ppp1ppbp/2n3p1/3nP3/3P2b1/2PB1N2/PP4PP/RNBQK2R w KQkq -,e1g1
8/1p6/p2kp1R1/3p4/3P1P2/1PP1K2r/8/8 w - -,e3d2
4r1k1/pb3p1p/1p4p1/2r5/4P3/3BR3/P4PPP/3R2K1 b - -,e8d8
3R4/p2N2k1/2p3pp/4p3/8/5P1P/P2r2P1/6K1 b - -,d2d5
8/4kp2/4b1p1/p2rP2p/P6P/1P1N2P1/1K2R3/8 w - -,b2c3
8/b7/3R4/8/2B5/2nN1b2/5P1P/1k4K1 w - -,d6d7
1b2qk2/p3r3/Qp1rp2p/3p1p2/3N1P2/4R1P1/PPP4P/2KR4 b - -,b6b5
rq3rk1/1b2bppp/p4n2/1p1Np3/4P1P1/P3BP2/1PP2Q1P/3RKB1R b K -,f6d5
r3r1k1/p2q1p2/1pnP1Bpp/2p1Pb2/8/5N2/PP4PP/2RQ1RK1 w - -,d1d2
6k1/1pp1r2p/2b5/p1n1P3/2P2P2/4KB2/PP1N4/7R b - -,c6f3
3rq3/1pbr2k1/p1p1ppp1/7p/2PP3P/1P2B1P1/P2RQPK1/3R4 w - -,g2g1
r4rk1/ppp3pp/2nb1p2/3p2P1/8/2PPBN2/PP2KPP1/R6R w - -,h1h5
r4rk1/1pq1bppp/p4n2/3pN1B1/3P4/1PPQ3P/5PP1/R3R1K1 b - -,a8e8
5k2/p2n1ppB/4p2p/p2pPP1P/1b1P2P1/1P1K4/8/2B5 b - -,d7b6
2r3k1/p4pp1/1pB1p2p/2n1q3/3R3N/P4QP1/5P1P/R5K1 b - -,e5d4
8/1R6/2p4p/P6r/4kp2/8/1PP5/3K4 w - -,a5a6
r4rk1/ppq1bpp1/2p1p2p/2P1Nb2/3P4/4Q1P1/PP3PBP/R4RK1 b - -,e7f6
1r1q1r1k/pb3pp1/4pn1p/n1pp4/2P5/PPBBPN1P/2Q2PP1/1R1R2K1 w - -,b3b4
rnbqkbnr/p4ppp/2p5/1p6/P1pNP3/2N5/1P3PPP/R1BQKB1R b KQkq a3,b5b4
8/4k3/2R5/B4p2/5P2/3K4/5r2/8 b - -,f2f4
1k1r3r/1pp1q2p/1n2pp2/1P6/p1PP4/PnQ2P2/1K2BB1P/3RR3 b - -,h7h5
6Q1/5p1p/P3pqk1/6p1/8/4B1PP/r4P1K/8 b - -,f6g7
3r2k1/3q1pp1/3p3p/1ppQ4/2P2P2/1P2P1P1/6P1/3R2K1 w - -,e3e4
r1bq1rk1/pp2npbp/4p1p1/8/2ppP3/3P2P1/PP2QPBP/R1BN1RK1 w - -,d3c4
4k3/2R1pp2/p2p2p1/1pn4p/1P2P3/4KP2/P3R1PP/7r b - -,c5e6
6k1/4Q3/1q5p/8/P7/5PK1/8/8 w - -,e7e8
