8/8/3r4/5p1p/2k4P/3p4/3Q1PPK/8 b - -,d6d4
r5k1/ppq5/2p3rb/2P1p3/4NpP1/1PR3P1/P4PK1/3Q1R2 b - -,c7g7
3n4/4qpk1/7p/p4QpP/1b1p4/1P1B1RP1/5P2/5K2 b - -,e7e6
1b3rk1/5p1p/1q4p1/3Q4/P1R1pP2/4P1BP/1r3P2/3R1K2 w - -,d5e4
1k1rbb1r/pp2npp1/1q2p3/3pP1N1/2pP2B1/PnP1N1P1/1P2Q2P/1RB2RK1 b - -,b3d4
1R6/8/8/k2N4/2K4r/8/8/8 w - -,c4c5
3q1rk1/pr1pbppp/n3pn2/P7/QP3B2/N5P1/2N1PPKP/R4R2 b - -,a6b4
r3r1k1/pp1q1p1p/3n2p1/PP2R3/3p4/1Q1P2P1/3BPPK1/5R2 w - -,e5d5
1r3rk1/4nppp/pq1pb3/4p3/1pP1P3/3QN1P1/PP3PBP/R4RK1 w - -,a1d1
r1b2rk1/pp2bpp1/1qnpp2p/3nP3/3P4/P2B1N2/1P3PPP/RNBQR1K1 w - -,b1d2
r1bq1rk1/1p2npb1/2np2pp/p1p1p3/2P1P3/P1NP1NP1/1P3PBP/1RBQ1RK1 w - a6,d1d2
1k2r3/pp1q2p1/7p/2rpPp2/3N4/P1P4Q/3n2PP/R3R1K1 w - -,e5e6
8/pp1k1p2/5p2/P4P2/8/4N3/b4K1P/8 b - -,a2b1
r7/1bqkpp1p/p2p1bp1/1p6/5P2/1NP1Q1R1/P1P4P/1K1R4 b - -,a8c8
2k1r3/2P5/KP2p3/3p1p2/3N1P1p/2R1P1pP/P5b1/8 b - -,g2f1
r5k1/3n2bp/2p1p1p1/3bPp2/2BP4/pP2BN2/5PPP/5RK1 w - -,f1a1
2r5/5pk1/4pbp1/pp1r3p/3P4/P6P/1P1RKPP1/3RN3 b - -,c8d8
2r1kb1r/1p1qpppp/p7/n2P1bP1/P1p5/2N1B3/1P3P1P/R2QKB1R w KQk -,d1e2
2r3k1/p1q2ppp/1p1n4/3p4/P2P3N/1RP2PP1/7P/1Q4K1 w - -,h4f5
r2q1r2/1p2n1bk/2n1b1pp/p1pppp2/2P5/P1NP2P1/1PNBPPBP/1R1Q1RK1 w - -,c4d5
2rqk2r/1b2bpp1/p2ppn1p/1p2n3/3NP1PP/P1N1BP2/1PPQB3/1K1R3R w k -,g4g5
8/8/2p3b1/2k4p/5K2/4NP2/8/8 w - -,f4g5
8/8/K7/1p6/k1n5/8/8/4B3 b - -,c4d6
r3r1k1/pp2npp1/2p4p/3p1P2/1b1P2q1/1NN1P1P1/PPQ4P/4RR1K w - -,e3e4
5k2/4r3/3b1p1p/1p6/1Pb1PP1P/3p4/3B4/2R1KB2 w - -,f1g2
r2qk2r/1p3ppp/p1n2n2/2p1b3/3pPB2/3P1QPP/PPP1N1B1/R4RK1 w kq -,f4e5
r1bqk1nr/pp2ppbp/2np2p1/8/2P1P3/1NN5/PP3PPP/R1BQKB1R b KQkq -,c8e6
4r3/3n1n1k/pp1p2pp/2pP1p2/1PP2P2/P2R1BPP/1Q3NK1/4q3 b - -,e8e3
r1b2b1r/1p1knppp/2n5/2Bp4/2pP4/2P3P1/P2N1PBP/R3K1NR b KQ -,d7c7
R7/6p1/4k2p/7P/3b1PK1/1r4P1/8/8 w - -,a8e8
8/8/8/1R6/1PK1pp2/8/8/3k4 w - -,b5e5
6Q1/8/8/1p2q2P/8/k7/4K3/8 w - -,e2d2
r4rk1/p1p1nppp/1p1q4/n2p4/3P1P2/5NP1/PP1Q1PBP/R4RK1 w - -,b2b3
3r1rk1/p1p3pp/bp2p2q/3pPp2/2P1nPn1/1P2P1P1/PBQ3BP/R1R2NK1 w - -,g2e4
r1b2rk1/1pn2nbp/1Qq2pp1/p1PpP3/8/3B1N1P/PP1B1PP1/R3RNK1 b - -,f6e5
8/8/8/2k5/1pr5/3K4/1R6/8 b - -,c4c3
1R6/4kppp/1pr1pn2/p1p5/N1P5/P6P/2K2PP1/8 w - -,a4b6
rq3rk1/5pp1/2pbbn1p/pp2N3/PnpPNP2/8/1P2B1PP/1QBR1RK1 b - -,f6e4
8/8/p5r1/4k3/1KP5/1P6/6p1/6R1 w - -,b4c5
3rr1k1/pp3pp1/1bp1bq2/8/3P4/P2RN1Pp/1P3P1P/2RQ2KB w - -,d4d5
6k1/5pp1/p3p2p/7P/6P1/p3BP2/Pr2K3/7R w - -,e2d3
4n3/6k1/R2pP1p1/4p2p/4PP1P/1r4N1/5K2/8 b - -,b3b2
r1bq1rk1/p3b1pp/1npp4/4pPP1/5P1P/2N1BQ2/PPP5/R3KB1R w KQ -,f5f6
r4rk1/p1p1bnpp/3p2q1/3Ppb1n/1PB1N3/P1N2P2/4Q1PP/R1B2R1K b - -,h5f4
r7/2R5/6Pk/1p1p4/p1P3P1/P7/1P6/6K1 w - -,c4d5
1k2r3/n4N2/1pP3p1/1P1pPn1p/3p1P1P/3R2P1/5P2/1R4K1 w - -,f7d6
r1b1kb1r/ppq2ppp/1n2p3/3pP3/1P1P4/P3BN2/5PPP/R2QKB1R b KQkq -,a7a5
rn2k2r/ppp2ppp/3bpq2/8/3Pb3/3BBN2/PPP3PP/R2Q1K1R b kq -,e4f3
2bq2r1/4kp1p/p1np1p1Q/1p2pP1B/4P3/2P5/P1PN2PP/3R3K w - b6,d2f1
2k5/1R6/4P3/8/8/1p2r1pK/8/8 w - -,b7b4
r3r1k1/pp2qpbp/1np2pp1/8/2PPbB2/1P3N1P/P2QBPP1/2RR2K1 b - -,a8d8
8/3q3p/KR2N3/5R2/4p3/4k3/1P5P/8 b - -,d7c8
2rqr1k1/1b3pb1/p2p1n2/2pPn1pp/Pp2P3/1P2R1PP/1B1N1P2/QN1R1BK1 b - -,g5g4
6k1/1pr3p1/p5r1/P1NQ3p/1P1P1p2/4PPqn/5RP1/R4K2 b - -,c7f7
3r1r2/pbp2pkp/1p3np1/5P2/PP6/2N5/BQ1qR1PP/5R1K b - -,d2b2
r4r2/2q3pk/pb2p2p/1p2N3/2ppPP2/3P2PP/PP6/2RQR1K1 b - -,c4c3
1k5r/pp2q1p1/1b6/3p3p/6nP/1Qpr1NP1/P1R2PB1/1R4K1 w - -,b3b5
8/6p1/3Q1pkp/4p3/7P/6P1/5PK1/1q6 b - -,b1e4
3r1rk1/pp3ppp/2pq1nb1/5B2/2PP1R2/6N1/PP4PP/R4QK1 b - -,f8e8
r1b1k2r/1pq1bpp1/p1nppn2/7p/3NPP2/2NBB3/PPP3PP/R3QR1K b kq -,c8d7
r2r2k1/p3qppn/1n2p2p/1pp1P2P/3pNPN1/P2P2P1/1PPQ4/R3R1K1 b - f3,b6d5
2r5/p4k2/bpP3p1/2R2p1p/P2N4/4PKP1/5P2/1R6 b - -,b6c5
r1bq1rk1/pp2p1bp/n1pp1np1/5p2/2P5/P1NP1NP1/1PQ1PPBP/R1B2RK1 b - -,e7e5
8/3b3p/3Q1k2/3P2p1/4P3/5P1q/4KB2/8 b - -,f6f7
3n1rk1/rppqnpp1/p6p/3pP3/3P1P2/Q5NP/PP1N2P1/R3R1K1 w - -,a3d3
6k1/5p2/3p2p1/2pPq2p/1r2P3/5P1P/R5P1/2Q3K1 b - -,c5c4:e5d4
1r1r2k1/1b2q1bp/p1n1p1p1/P3Pp2/1p1p1P1P/1N1B2Q1/1PPB2P1/R4RK1 w - -,g3g5
r3rbk1/p4p2/3p1np1/1p1Np2p/1Pb1PP2/P3BB2/3R2PP/2R3K1 b - -,f6d5
1r2r1k1/3b1pbp/p5q1/4npP1/pP1N4/P3B1Q1/4B2P/2R2RK1 w - -,c1c5
8/8/1p6/1P2k1p1/3b1p2/R4P2/1r2B3/4K3 b - -,b2b1
8/6pk/8/8/2Qp3P/4pKP1/5q2/8 w - -,f3g4
r1b1kb1r/1pqp1ppp/p1B1p3/2pnP3/2N5/1QP2N2/PP1P1PPP/R1B1K2R b KQkq -,c7c6
2r3k1/r4pp1/pN3n2/np2N2p/2P2P2/6PP/PRR3K1/8 b - -,c8c5
6k1/1p3pp1/3p1n2/PPbP1Q2/7q/2B4P/5PB1/6K1 b - -,h4c4
4r1k1/2q2p2/p1n2RpQ/2Bp4/8/1N6/1PP2KPP/4r3 w - -,c5d6
8/ppn3k1/2p4p/3pr1p1/3P2P1/P1P2NKP/1P6/8 w - -,d4e5
7r/4p1k1/3p1bp1/3Pq3/2R1P3/4Q1RP/5PK1/8 w - -,g3g4
r3kb1r/pp1npp1p/2p2p2/q7/3P2b1/2PBBN2/PP3PPP/R2QK2R b KQkq -,e7e5
1R6/5k2/1P6/6p1/6P1/1r6/5K2/8 b - -,f7g7
rn1q1rk1/pppnppbp/4b1p1/3pN3/3P1BP1/2N1PP2/PPP4P/R2QKB1R w KQ -,e5d7
8/5k2/1R6/4p1B1/2pbK3/8/5r2/8 w - -,b6c6
8/8/P2k2p1/3P3p/3bp2P/3pp1P1/R7/5K2 b - -,e3e2
r2r2k1/1pqn1pp1/p1bppn1p/2b5/2P5/PPN1PNP1/1BQ2PBP/R2R2K1 w - -,a1c1
1r2k3/R3npp1/1r2b3/1p2p2p/2p1P2P/2P2PP1/1PKN2B1/3R4 w - -,d1a1
8/1b1k3p/r2p2p1/2p5/1n2P3/1P2KN1P/3N2P1/2R5 b - -,a6a2
3r1k2/pp5R/2p2p2/2P1b3/1P2B1PP/P6K/8/8 b - -,d8d2
rnbqkbnr/ppp2pp1/7p/3p4/3P4/5N2/PPP2PPP/RNBQKB1R w KQkq -,h2h3
6k1/R7/5Bpp/7P/8/P2r4/4Kn2/8 w - -,e2f2
