8/8/8/7R/4k3/2p3BP/6P1/r6K w - -,h1h2
4k3/7R/1p3p2/pP2qP2/P1p5/3p1Qr1/6K1/8 w - -,f3g3
3r4/5p2/pr1pk1p1/1p1N3p/1P2P3/2PK2b1/1P4P1/R6R b - -,b6c6
r7/4P3/2k3p1/5p2/1BB2P2/2n4P/8/6K1 b - -,c3d5
4Q1k1/7p/2p3p1/2Pn4/P3p1P1/8/3B1q2/1K6 b - -,g8g7
r1bq1rk1/1pp2pbp/3p1np1/p1nPp1B1/2P1P3/2N2N2/PPQ1BPPP/R4RK1 b - -,h7h6
r1q2rk1/p5bp/p4np1/2pP4/5B2/2N5/PP4PP/R2Q1R1K w - -,d5d6
6k1/p4p1p/6p1/3r4/3p4/1P1R3P/P2R1PPK/r7 w - -,h2g3
2Br4/3P4/6R1/6p1/3kp1P1/8/P4K2/8 w - -,f2e2
2rq1rk1/1p2bpp1/p2pp2p/8/3NP3/3Q4/PPP2PPP/3R1RK1 w - -,c2c3
rnbqrbk1/ppp2ppp/3ppn2/7N/2PP4/P1N1P3/1P3PPP/R1BQKB1R b KQ -,b8d7
r4rk1/1q2b1pp/1p2p3/p4n2/3p1P2/PP1P2P1/1Q1B1NKP/1R3R2 w - -,f2e4
3r1rk1/pp1q1pbp/4p1p1/3p1n2/8/1Q1PP1P1/PP1B1PBP/1R3RK1 w - -,f1c1
1r3nk1/p4pp1/3Qp2p/1Pp3q1/P1N1P3/6P1/3R1P2/6K1 b - -,b8c8
1r2r3/ppq3kp/2pnbpp1/8/3Pp3/2PB1PN1/P1Q1R1PP/4R1K1 w - -,f3e4
6k1/1r4p1/p6r/1bR2R2/1P1B4/P3P1K1/6P1/8 b - -,h6e6
8/1pp3pp/3p4/2rP1pPk/R4P2/P2R3P/KPP5/4r3 b - -,c5c2
rnbr2k1/p2qbppp/2p1pn2/P7/1pQPPB2/3N2P1/1P1N1PBP/R1R3K1 w - -,d2b3
1Bb4r/4kppp/p4b2/2Pp4/1P4P1/P4P1P/2K5/5B1R b - -,h7h5
8/7k/3Pb1p1/1p6/1B2pbp1/8/4K3/8 w - -,e2f2
8/2bk1b2/1p2pBp1/1P1p1p1P/3P1P2/4P1K1/4B3/8 b - -,g6h5
5qk1/4bp2/1p4B1/p1n1p3/P1Q5/2B1P3/1P3P1P/6K1 w - -,c3e5
r4rk1/pp4pp/1b2p3/1q2P2P/3p1PP1/P5B1/1P4NR/3Q1K2 w - -,f1g1
2rq1rk1/pp1Nbpp1/4pn1p/2p4P/3P4/6N1/PPPBQPP1/1K1R3R b - -,d8d7
2r1kb1r/1p1q1ppp/pnn1p3/1B6/3P4/2N1B3/PP3PPP/R2Q1RK1 w k -,b5c6
rn1qk2r/pbp1npbp/1p1pp1p1/6B1/2PPP3/2N3P1/PP2NPBP/R2QK2R b KQkq -,b8d7
r2q1rk1/pppnbppp/1n6/3P3b/8/1BN2N1P/PP3PP1/R1BQK2R w KQ -,e1g1
r2r2k1/pbq2ppp/4pb2/2pp4/8/2PnPBPP/PP1N1P2/R1BQR1K1 w - -,e1f1
r5k1/pp6/4p2p/3n1pp1/1P1P3P/P3BP2/5PK1/2R5 b - -,f5f4
4k2r/1p1bB1p1/p3p2p/3pP3/P1r5/5N2/2PK1PPP/RR6 b k -,e8e7
5b1k/5p2/2b3p1/3Np2p/p1P1P2P/Pr1RQ1P1/5PBK/1q6 w - -,d5c3
1qr2rk1/4bp1p/p2p2p1/1p1Q2P1/2P2R1P/5P2/PP6/1K1R1B2 b - h3,c8c5
q2b1rk1/r5p1/n1p1p1pp/p1ppP3/P1P3P1/1PBP3P/4NPK1/R2Q1R2 w - -,d1d2
8/4k3/r1p5/pp2P2n/3r2b1/P1R3N1/1P1N4/4R1K1 w - -,g3h5
2rqr1k1/3nb2p/3p2p1/p2Ppp2/PpN5/1P3BP1/2P1QP1P/R3R1K1 w - f6,f3g2
r1r3k1/1bqnbppp/p3pn2/2pp4/N7/1P2PNP1/PB1PQPBP/2R2RK1 w - -,d2d3
r6k/1bp3p1/np6/p2p2r1/2nP4/P2B2B1/1P1N1P2/R3R1K1 w - -,d2f3
rnb1kb1r/ppq1pp1p/3p1np1/2p5/3PP3/2PB1N2/PP3PPP/RNBQK2R w KQkq -,e1g1
r2q1rk1/pp1bp1b1/2p4p/5pp1/2PP4/1P3BP1/PB2P2P/R2Q1RK1 w - -,e2e3
2r2rk1/1b1nqppp/1p1np3/p2p4/P2P4/3BPN2/NP2QPPP/2RR2K1 b - -,d7b8
1rb3k1/4B2p/2p3pP/3pP3/5KPQ/1pq5/7R/8 b - -,c3d4
2kr4/2p2p2/p1pr4/P1NPp1pp/2P1P3/5K1n/3R1P2/3R4 b - -,c6d5
r5k1/2q2pbp/2p1b1p1/p1B2r2/1P5Q/5B2/P4PPP/1R2R1K1 w - -,f3g4
r3k2r/2p3p1/p4pp1/3p4/R3p3/PP2P2P/3KQPP1/q2R4 b kq -,a1b2
1k1r4/1pb5/5Rp1/1qp1n1P1/3pPR2/PP1P3p/3Q4/3B3K w - -,d1c2
r2qk2r/pp1nnppp/2pb4/P2p4/3P2b1/1QN2NP1/1P2PPBP/R1B2RK1 b kq d3,a8b8
3rr1k1/pp1b1pp1/q4b1p/8/3nn3/PQ2BNPP/1P2PPB1/2R1R1K1 w - -,e3d4
r1b3k1/p3q2p/1pn1p1p1/3pn3/P5P1/2N1BB1P/1P2K3/3RQ2R b - -,e7b4
rn1qk1nr/ppp2p1p/8/5b2/3P1Bpb/6N1/PPP1P1PP/RN1QKB1R b KQkq -,g8f6
r2q4/1p3pkr/p1b1p1p1/3pP2p/1P1Q1P2/P1RB4/6PP/5RK1 b - -,h7h8
r3k2r/2p2pb1/p5p1/3pP2p/R7/2P1B1P1/P1P4P/R3K3 w Qkq -,e1c1
2b2rk1/2R3bn/1BPp1qpp/Q2Pp3/4Pp2/5NNP/5PP1/6K1 w - -,g3f1
r1bqk2r/ppp2p1p/3p1bn1/n5B1/4P3/2P2NQ1/P3BPPP/RN2K2R w KQkq -,h2h4
5n2/4n1k1/R6p/6p1/1p1NP2P/1P3N2/P1K5/7r w - -,h4g5
r1bq1rk1/1p2ppbp/3p1np1/p7/2PBP3/2N5/PP2BPPP/R2Q1RK1 w - a6,f2f3
2bq1r1k/1p2b1pp/1np1pp2/r7/p2PNP2/P3PN2/1P3PBP/2RQ1RK1 b - -,a5b5
rq4k1/2pnr1pp/3p1p2/1bnP3Q/p2BPP2/R5PB/1P3N1P/4R1K1 w - -,h3e6
r3r1k1/p4p1p/2pbn1p1/3p4/N2P2Qq/P3P2P/5PP1/R1B2RK1 b - -,h4e7
6r1/5p1k/4b3/6pp/5Q2/5P1P/6P1/B1R3K1 b - -,g5f4
r1bqk2r/pppn1pbp/3p2p1/5p2/2P5/1PN3P1/P2PPPBP/2RQK1NR b Kkq -,c7c6
r1bq1rk1/5ppp/p1np1b2/3Np3/1pP1P3/8/PPN1BPPP/R2QK2R b KQ -,f6g5:a6a5:a8b8
8/5pk1/4b1p1/pp1p3p/3P3P/PB4P1/1P1R2K1/1r6 b - -,g7f6
3q1bk1/r3nr1p/1p2R3/p1pp1p2/P4P1Q/2PP1B1P/1P1B3K/4R3 w - -,f3h5
r2qk2r/pppbbpp1/3p1nn1/3Pp1B1/2P1PP2/2N3P1/PP1QN3/R3K2B b Qkq -,e5f4
2b1r1k1/6pp/2pp1pq1/4n3/1bPQN3/1P6/1B3PPP/R2B2K1 w - -,e4d6
3q1rk1/2p2ppp/p3p3/2Pn4/1r6/4B1PP/P1pQ1P2/R1R3K1 b - -,d8f6
k1br3r/pp6/3qBp2/3P1P2/7p/4Q1pP/P5P1/4RRK1 b - -,b7b6
8/p3kpb1/1p2p1pp/1Pp1P3/2P1K1P1/1P5P/5P2/4N3 b - -,g7f8
rr3nk1/5pb1/1qpNb1pp/p3p3/PP5B/2Q1P3/4BPPP/1R1R2K1 w - -,b4b5
6k1/1p3pp1/p2p3p/3N2n1/3Pr3/P6P/1P3KP1/3R4 b - -,g5e6
r4r1k/pppqnpb1/2n1p1p1/P3P1Bp/3P3P/1BP2PN1/1P6/R2QK1R1 b Q -,e7f5
8/3k1p2/p3p1p1/1r2P2p/3K1P1P/P1R3P1/8/8 b - -,b5d5
8/8/4pkp1/8/4KP1n/8/5P2/8 b - -,h4f5
r7/P4pkp/8/5p2/8/4P1P1/2p1PK1P/1RR5 b - -,c2b1q
2k2rrb/p4n2/N2Pp3/1p3pp1/8/2B5/PPP2PP1/3RR1K1 b - -,h8c3
3rqrk1/pN3pbp/3n2p1/3Npb2/8/1Q4P1/PP3PBP/2R2RK1 b - -,d6b7
r4rk1/1q1n1ppp/2N1pb2/Bpp5/P2p4/3N1P2/6PP/1R1Q1RK1 w - -,a4b5
8/4k3/5R2/4Pp2/3p1P2/2r3K1/8/8 w - -,g3f2:g3h4
2r4r/1bqn1pk1/pp3b1p/3ppPn1/1PP1P1PN/P2B2K1/3NQ2R/2B4R w - -,c4d5
3r2k1/3P1p1p/pb3Bp1/2n5/2B2P2/7P/p5PK/4R3 b - -,d8f8
rn3k2/p4ppp/4p3/Pppb4/7N/3P2P1/1P3P1P/2R1R1K1 b - -,b8a6
r5k1/2p1R3/p5b1/4P3/2p1P3/2N5/PP3rP1/2K4R w - -,c3d5
3r2k1/7p/5Q2/pp6/7P/3R2P1/q6K/8 w - -,h2h3
3r2k1/p3rpbp/6p1/2RBPb2/3p1P2/1P6/P5PP/B3R1K1 b - -,g7h6
r1b3nk/ppqn3p/3bprp1/3p4/3P1P1Q/2PB3N/PP1N3P/R1B2RK1 w - -,d2f3
