8/1p1R3P/6R1/p3p1p1/1r2k3/K1n5/8/8 b - -,c3b5
7r/5pk1/3p1p1p/2b4R/1p3P2/4PKP1/P1B2P2/8 b - -,h8e8
3rn1k1/2qr2b1/p4pRB/1p1Pp3/1Pp3Q1/2P4P/P4PP1/4R1K1 b - -,g8f8
r1rb1qk1/2n2p1p/2p1b1p1/1p2P3/p2PN3/P2B1N1P/1P3PP1/2QRR1K1 b - -,e6b3
r1bqk2r/pp3ppp/1n1b4/3pN3/8/1QN1B3/PP3PPP/R3K2R w KQkq -,b3b5
rn1q1rk1/pb1pbppp/1p2pn2/2p5/3P1B2/2PBPN1P/PP1N1PP1/R2QK2R b KQ -,c5d4:b8c6:d7d6
r5k1/1p1bppbp/1Q1p2p1/8/r2NP1P1/P3nP2/1PP4P/1K1R3R b - -,e3c4
r5k1/3n1pp1/3Qpn1p/q7/4P3/3BBNPP/5PK1/8 b - -,a8d8
8/pp1nr3/3Rp1kp/P1p2p2/8/4N3/1PPK1PPP/8 w - -,e3d5
6R1/8/1p6/7p/5ppk/3p1P2/3K1P2/8 w - -,f3g4
r5k1/pb2rp1p/3qn1p1/2pp4/1P2B3/PQ2PP2/4N1PP/3R1RK1 b - -,c5b4
1br3k1/5ppp/5P2/p2p4/1p1Pn3/1P1RQK1P/PqrB4/2NR4 w - -,d1g1
r1br2k1/1p3ppp/8/pBBp4/P3q3/2P2N1P/1P1Q1PPK/R7 b - -,d5d4
b7/8/2p1k2b/3p3P/1P1Pp1pN/4P1P1/5K2/4B3 b - -,a8b7
8/5kpp/p7/3n4/1r6/4BP2/P1K1R1PP/8 b - -,b4a4
3q1rk1/3rnpb1/1pn1p1pp/p1p5/P1b1P2P/2PP1NP1/2Q2P2/R1B1RBK1 w - -,d3c4
4rr1k/2pb1qp1/2n1pb1p/pp1p4/3P4/PPP2NP1/N2Q1PBP/3RR1K1 b - -,f7h5
1r1R2k1/p3qpp1/B3p1p1/8/1b6/1P2P2P/2Q2PP1/R5K1 b - -,b8d8
5rk1/PKp2p2/2pb4/2p3p1/2P5/1PB5/7p/4R3 w - -,c3f6
1rr3k1/5p1p/3p1p2/pb1P4/1p2P1N1/5P2/P5PP/R1R3K1 b - -,c8c1
rn2kb1r/pp3ppp/2pqpn2/5b2/3P4/2N2NP1/PPP2PBP/R1BQ1RK1 b kq -,f8e7
1r6/1P2p2p/8/8/2k1p1P1/8/1R3PK1/8 w - -,g2g3
r5k1/2pn1pp1/1pbp1q1p/p1n2B2/P1P5/5N1P/1PQNRPP1/5K2 w - -,b2b3
8/6pp/4kp2/1p5P/1P3B2/2K5/6b1/8 b - -,g2f3
8/p4k2/1p3p2/4rP1p/4K3/1P3P1P/P3R3/8 w - -,e4d3
1r1q1r2/4p1kp/b2p1pp1/p4P2/1p1pP1PQ/1P1P3P/P1P3B1/1R3RK1 w - -,g4g5
r2r2k1/pp3ppp/4p3/1q2P1Q1/8/P6P/1P3PP1/R2R2K1 b - -,f7f6
8/6k1/6b1/p1p1Rn2/6B1/P1nP2P1/Pr3PKP/8 b - -,g7f6
5k2/5p2/1p2p1p1/2p1P2p/p4P2/P1P1K1P1/1P1r4/8 w - -,e3d2
3r4/5pkp/2P1pbp1/8/3PB3/2R2NP1/4bPKP/8 b - -,e2f3
r3qrk1/1p5p/2bpp3/p1n1bpB1/2P5/1PN2P2/P2QB1PP/1RR3K1 w - -,g5f4
2r2rk1/p2q1pbp/1p4p1/3N1p2/3P4/1Q4B1/P4PPP/3R2K1 w - -,g3h4
2r5/5ppk/p2p1b2/3P1P1p/q1P1QB2/8/1P2R1PP/6K1 w - -,g2g3
2r3k1/5p1p/4b3/p4qpP/3R2B1/2P1P1Q1/5PP1/6K1 b - -,f5f6
r2qk2r/1p2bppp/p1n1pn2/3pN2b/3P1B2/2N1P2P/PP2BPP1/R2Q1RK1 b kq -,h5e2
5k2/5p2/3N4/P7/3b4/6P1/6KP/8 b - -,d4c5
1rb2rk1/5ppp/p1q5/3pb3/8/P2N4/1PP2QPP/2KR1B1R b - -,e5f6
8/4r1kp/RP6/3B2p1/2K2p2/7P/5b2/8 b - -,f2b6
7k/p6p/1pP5/1P2r3/P5P1/8/4p1PP/4R2K b - a3,e5d5
5k2/8/4P3/5b2/8/1N5P/p7/6K1 w - -,g1f2
r3k2r/ppp1bppp/1n2b3/8/1n2P3/2Nq1NP1/P2P1PBP/1RBQ1RK1 w kq -,a2a4
8/R4pk1/p5p1/Pb4P1/4K3/8/5P2/8 b - -,b5f1
r1r3k1/1p2bpp1/2n1pn1p/1Bp5/P1Pp4/1N3PBP/1P3PP1/R3R1K1 b - -,g8f8
2r5/1R6/7p/1K3p2/P3k2P/8/1P6/8 b - -,c8f8
rnbq1rk1/pp2ppbp/5np1/3P4/2BP4/2N5/PP3PPP/R1BQK1NR w KQ -,g1f3:g1e2:h2h3
3r2k1/1p1r1pqp/2n1pbp1/8/1Q6/P2R1BP1/1B3PKP/3R4 w - -,d3d7
r2q1rk1/2p2pbp/2npbnp1/p7/1p2P1P1/5P1N/PPPBNQ1P/1K1R1B1R w - -,h3f4
8/2r4p/2Pk2p1/p7/1P2B3/P4P2/1R3KPP/3r4 b - -,a5b4
r3k1r1/5p1Q/p3pp2/1pn3q1/1R1NP3/2P3P1/P4P1P/5RK1 b q -,c5d3
r3k1nr/pp3pp1/1q2p2p/1b2P2P/4BPP1/6Q1/Pn6/R3K1NR w kq -,a1b1
r1b1kr2/ppp1q1b1/2np2pp/4p2P/2P5/P2P2Q1/1P2NPP1/R1B1KB1R b KQq -,g6g5
8/p7/5k2/2p1p2r/4R2P/3P2pK/P7/8 w - -,e4c4
4r1k1/8/p2p2p1/2pn3p/1rN1P3/Np6/6B1/4R1K1 w - -,c4d6
r6r/1pk3p1/2p5/4nbb1/p1P1p2p/3nP2P/PPRNB1P1/3RBNK1 w - -,b2b3
8/8/2P1b3/1pK1N1p1/5kP1/P7/8/8 w - -,c5d6
8/p3R1pk/7P/3r4/r5pK/8/8/4B3 b - -,h7h6
r1b1kb1r/ppqnpp1p/3p1np1/2pP4/2N1PB2/2P2P2/PP4PP/R2QKBNR w KQkq -,a2a4
r1bq1rk1/1ppnbppp/3p1n2/p2Pp3/2P1P3/PP1B1N2/3N1PPP/R1BQ1RK1 b - -,f6h5
r1b3k1/ppp1qp2/2n3p1/8/2BPP3/4QN2/P4PP1/2KR4 w - -,e3h6
8/1p4pk/p1r1p1Pp/2Pp4/PR1P4/4P3/5P2/6K1 b - -,h7g6
r1b2r2/2p4k/3p2pq/p2Pp2n/P3P2p/2P2N2/1R3PP1/3QRBK1 b - -,c8g4
3r1rk1/1p3ppp/pqn2n2/1P6/3p4/P2Q1NP1/4PPBP/1R3RK1 b - -,a6b5
8/2kp3p/p3q3/2p1rp2/1P3R2/P4QP1/2P3KP/8 w - -,g2f2
8/8/p1p1k2p/P4pp1/1P1BpP2/2Pq4/5R1K/8 w - -,h2g2
1r5r/pp6/1np1pkp1/1P2N2p/3P1P2/P1R1PK2/6P1/7R b - -,b8c8
3q4/4rkpp/2Rp1p2/2pP4/8/PQ2P1P1/4bPBP/6K1 w - -,g2h3
8/1p2p3/p1b1Pk1p/2B3p1/2P2p2/1P1r3P/4RKP1/8 w - -,b3b4
r2qbr1k/ppp3pp/3b1p2/2nPp3/4P1B1/2P1BP2/P2NQ1PP/R4RK1 b - -,d8e7
4r1k1/5q1p/1B1NpbpP/5p2/3p4/1B1n1P2/PP3QP1/1K2R3 b - -,d3f2
rnbqk2r/pp2ppbp/5np1/3p4/3P4/2N3P1/PPP2PBP/R1BQK1NR w KQkq -,g1e2
rn1qk2r/p1p1bppp/1p2p3/3b4/3P1B2/5NP1/PPQ1PPBP/R4RK1 b kq -,e7d6
r1bq3r/p3kpp1/2BNp2p/4b3/2P2nP1/8/PP3P1P/R1BQK2R b KQ -,c8a6
5rk1/3p2pp/1p6/2pPb3/1nb5/R1N5/P2B1PPP/3R2K1 w - -,a3a7
8/2r2k2/3r1pN1/pp1npP1p/7P/P1P2KP1/1P1RR3/8 b - -,c7d7
r6k/pp2rp1p/4b3/2R5/8/3P4/PPP2RBP/6K1 w - -,f2e2
4r2k/7p/p7/4qRpP/1pP1P3/3Bn3/P1P3K1/6Q1 w - -,g1e3
4rnk1/4bpp1/p3b2p/4P3/P1p5/2q2N2/R1BrQPPP/4R1K1 w - -,e2d2
2r2rk1/p6p/1pn1p1pq/3pP3/3P2P1/6N1/PP2Q2P/R4RK1 w - -,a1d1
r1r3k1/n2Npp2/2p3p1/1p1PP3/1qn3Q1/6P1/P4PB1/2R2RK1 b - -,g8g7
1rbqk2r/p3bppp/2n1pn2/3p4/8/2NQ1NP1/PP2PPBP/R1B2RK1 w k -,f3d4
r1r5/pb2k1bp/1n1p1pp1/1q1Pp1B1/1P2N3/1B3P2/1PPQ2PP/3RK2R w K -,g5h6
8/r7/4p1k1/4n1pp/3pP3/7P/5PB1/3R2K1 b - -,a7d7
1n2q2r/1r6/1pk1p2p/pR1pPp1P/P1pP1Pp1/2P5/2PKN1P1/R3Q3 w - -,e1h4
1kq4r/1p2bpr1/p1p5/4P1pp/2QP4/7P/PP4PB/1K1R1R2 b - -,c8e6
r2r2k1/pp1q1pbp/2n3p1/2p1p3/P7/2BPN1P1/1P2PP1P/R2Q1RK1 b - a3,d7e6
2rr2k1/pp2ppb1/2n4p/q5p1/3P3P/4PbB1/PR1QBPP1/5RK1 w - -,e2f3
6r1/4k3/2b2p2/P1p1p2P/2P1P3/1P2KB2/R7/8 b - -,f6f5
