8/pK4k1/1p6/6P1/2p1B3/P1P5/4b3/8 b - -,e2d3
6k1/1pR5/p2pN3/P2P3p/bP2P1p1/4b1P1/1r2BBK1/8 w - -,f2e3
1r4k1/1p1nrpbp/p2p2p1/q1p5/2PpPP2/1B1P1QNP/PPR3P1/6RK b - -,b8e8
2r5/p7/1p3kp1/4Np1p/P4P1P/1P1BK1P1/8/8 w - -,d3c4
8/2kp4/6RP/3r1N2/2p3K1/8/8/8 b - -,c4c3
rq4k1/5p2/p3pp1b/1p2n3/3BP2p/P6P/1Pr1QPP1/3R1BK1 w - -,e2c2
r2q1rk1/pbppb1pp/np2p3/3P1p2/2P5/2PQ1NP1/P3PPBP/R1BR2K1 b - -,e7f6
2b1rrk1/4qppp/1p1n4/p2Pp3/1nP1P2N/2R3P1/1P1N1R1P/1Q3BK1 w - -,b1e1
r1bq1rk1/1p2npbp/4p1p1/p7/P3PP1Q/1B1pB3/1PP3PP/R2N1RK1 b - -,d3c2
r4rk1/pp1n2pp/2pppq2/6Nn/4P3/2NP4/PPPQ2PP/2KR3R w - -,g2g4
8/q2r1pkp/1p2bnp1/p1p5/2P5/1PQ2B1P/P3RPP1/4R1K1 w - -,e2e4
2b2r2/4R3/p4rk1/1p6/6p1/1NP2p2/PP3K2/7R b - -,g4g3
1Q3bk1/5p2/4p2p/3pP2P/1p1P4/3q1N2/5PK1/8 w - -,b8d8
1k4r1/ppq5/8/n3p3/2b2P2/2P2QP1/1R3KB1/5N2 w - -,f1e3
6k1/5pp1/2p4p/6n1/1pN1b1P1/1B2r1KP/PP3P2/8 w - -,c4e3
r2qrnk1/1p2b1pp/p3p1p1/3pP3/P2P1B2/3Q1N2/1P3PPP/R1R3K1 b - -,d8d7
r3qbk1/1p1b1ppp/p4n2/3p4/3N4/1NPQ1PBP/PP4P1/R3r1K1 w - -,a1e1
2kr4/pp2n2p/6p1/2ppP3/7q/P6P/1BPR3Q/2K5 w - -,h2g1
r1b1k2r/4bppp/pqPp1n2/1p6/3pP3/3B4/PPP1NPPP/R1BQR1K1 w kq -,a2a4
r4rk1/2qbbpp1/p1pppn1p/8/4P3/1NN1B2P/PPP1QPP1/R2R2K1 b - -,d6d5
r1bqkb1r/pp3p1p/2n2p2/1Bppp3/3P4/2N1P3/PPP1NPPP/R2QK2R b KQkq -,c8e6
r2q1rk1/2nb1pb1/p2p1np1/2pP3p/Pp2PP2/4B1NP/1P1QB1P1/R2N1RK1 w - h6,e2f3
3R4/8/1p6/1q6/4k3/P7/K7/8 b - -,e4e3
6rk/p4Qp1/1p4P1/5p1N/3P3p/P3qP2/6RK/8 w - -,f7f5
r1b1k2r/2qp1ppp/p1p1p3/3NP3/8/6P1/PPPQ1P1P/R3KB1R b KQkq -,c6d5
3r2k1/1pqr1p2/1n2pbp1/p4p2/8/P1PNN1P1/1P2QP1P/3RR1K1 b - -,b6c4
8/8/2k5/p1n5/1PR2P2/P2rK2P/8/8 w - -,e3e2
r3r3/1b2b2p/1p1pk3/2nNpp2/pBP5/5P2/PP4PP/3RRBK1 b - -,b7d5
8/7R/p3p1k1/8/1pq2p2/7P/1Bp3P1/4R2K w - -,h7g7
r1bq1rk1/1pp1n1bp/3p2p1/4npN1/1PP1p3/2NP2P1/4PPBP/1RBQ1RK1 w - -,d3e4
8/8/3b1R2/3k4/5PK1/8/8/r7 b - -,a1f1
8/8/1R1K4/5k2/2r5/5p2/8/8 w - -,b6b2
8/8/6K1/7p/8/8/1pk4P/5R2 b - -,h5h4
3r4/k1qn4/p4p1r/2pR1QpB/3pP1P1/P2P3P/2P3K1/1R6 b - -,d7e5
r1q2k2/p6Q/3r1b2/1p3R2/2p1NP2/2P1P3/1P6/2K5 b - -,c8e8
r5k1/p6p/1p1p2p1/2pPp3/1PP1P3/P1N4Q/7P/1K3Bq1 b - -,a8f8
1r3rk1/pp3b1p/6p1/2P5/3PB3/4R3/P6P/1R5K b - -,f8d8
r1bqr1k1/2p1bpp1/p1np1n1p/1p2p3/3PP3/1BP2N1P/PP1N1PP1/R1BQR1K1 b - -,e7f8
2rq1rk1/4bppp/p3pn2/1pP5/4b3/1NQ2NP1/PP2PPBP/R4RK1 b - -,f6d5
1r1qk2r/1b1nppbp/p2p1np1/1p1P4/3NP3/P1N1BP2/1P1Q2PP/R3KB1R b KQk -,b8c8
3k1b1r/1q3p2/3pnp2/3Np2p/4P3/4B3/Q4PPP/1R4K1 b - -,b7c8
r5k1/2pq1rb1/1p1p3B/2nPpp2/2P4P/2N5/Pp1Q1P2/1K4RR w - -,g1g6
r1b2rk1/pp2qpp1/2p2n1p/8/3RP3/5N2/PPB2PPP/3Q1RK1 b - -,c6c5
r2r2k1/1bq2pp1/3bpn1p/p1p1Nn2/2P5/P1BB1N2/1P2QPPP/3RR1K1 w - -,h2h3
rnbq1rk1/ppp2pbp/3p2p1/3Pp2n/2P1P3/2N1BP2/PP1Q2PP/R3KBNR b KQ -,f7f5:d8h4
2rr2k1/1pq2pbp/p1nppnp1/8/P1P1P3/2N1BP2/1P2N1PP/1R1Q1R1K w - -,e3g5
8/4bk2/8/8/5P1p/2B1K2P/b7/8 w - -,f4f5
r1bq1rk1/4b1p1/p1p1pn1p/1pPpnp2/3P4/P1NBP1B1/1PQ2PPP/3RK2R w K -,g3e5
1r3rk1/p2b1pp1/7p/2bpP3/2pN4/2P5/PqQ2PPP/3RRBK1 w - -,d1b1
r3r1k1/1p1b1ppp/p1nqp3/P4n2/2BpQ1P1/1N3N2/1PP2P1P/3RR1K1 b - g3,f5h6
3R4/pp4bk/2p2rpp/8/1PP5/P2B2Bb/5P2/6K1 w - -,a3a4
N1bk1bnr/pp3ppp/8/8/4p3/6P1/PPn1PP1P/R1BK1BNR b - -,c2a1
8/5kP1/p1p5/1pP2NK1/1P6/P7/8/1n6 b - -,b1a3
2r2q1k/2r4p/p4pp1/1p6/8/P3QB1P/1PbR1PP1/3R2K1 w - -,d1e1
8/6p1/3p4/6RP/4k1rP/8/5K2/8 b - -,e4f4
2r2kr1/1p1q1p2/p2P4/P1P2p2/2PQ3B/8/6PP/R5K1 b - -,c8e8
rn1q1rk1/ppp2ppp/3b4/3p1b2/3P4/2PB1N2/P1P2PPP/R1BQR1K1 b - -,d8d7
8/4b1k1/4p3/2r5/3Q2P1/P1P2K2/b4P2/8 b - -,g7f7
rnbq1rk1/pp3ppp/4pn2/6B1/1bBp4/2N1PN2/PP3PPP/R2Q1RK1 w - -,f3d4
5rk1/pp4b1/3N2n1/P2Pp1q1/4Pr2/5B1b/1P1B1Rp1/2RQ2K1 w - -,d6f5
r3nrk1/1p1bqpp1/3p3p/p7/3QP3/P1N5/1P2BPPP/3R1RK1 w - -,c3d5
8/5R2/4p3/2b4p/1r4k1/2N5/P3K3/8 b - -,h5h4
4r3/6k1/6PR/4p1K1/8/5P2/8/8 b - -,e8f8
3rr1k1/pp2qppp/2n1b3/2bp4/3Nn3/1P2PN1P/PB2BPP1/2RQ1RK1 b - -,h7h6
b3r1k1/q2npp2/pN1p2pp/P1n5/4PPP1/3Q3P/2P1N1BK/1R6 w - -,d3c4
r1b2rk1/pp3pp1/1q2pn1p/6N1/3P4/2NQ4/PP3PPP/2R1R1K1 w - -,g5e4
3r2k1/pp3ppp/1q1P4/8/5Bb1/1P1Q4/P1P2bPP/4NK1R w - -,d3e4
6k1/pb2qp1p/1p1r2p1/1B2p3/3bP3/8/P3QPPP/2R2RK1 w - -,g1h1:b5a6
8/8/3p1kp1/5p2/1pP4r/1P6/2K3RP/8 b - -,g6g5
r1b2rk1/bpqn1ppp/p3pn2/6B1/2B5/1N3N2/PPP1QPPP/3R1RK1 w - -,g5h4
5b1r/p5p1/1p2k2p/2p5/8/P1B3P1/1P3P1P/2KR4 b - -,h8h7
r4rk1/pp1q1ppp/2n5/4Q3/2Pp4/2P5/PP3PPP/R1BR2K1 w - -,e5g3
4rb2/p3rk2/2p1pp1p/BbN4P/1P1P2p1/1P2R3/5PP1/4R1K1 b - -,e6e5
8/2q1p2k/3n2p1/3P2N1/8/7P/5QK1/8 b - -,h7g8
r2r4/1p4pp/1np1bk2/p1n2p2/2P2P2/1PN5/P1N1P1BP/1R1R2K1 w - -,c2d4
r1bq1rk1/1p4b1/2npp2p/1N3pp1/p1PP4/3B2P1/PP1NQPP1/2KR3R b - -,d8f6
2r1rbk1/3n1ppp/3Pp3/qp6/5P2/1PNRBbQ1/2P3PP/3R3K w - -,g3f3
r4r2/2n2pk1/p1pq3p/4p1p1/NP2P1P1/3PP1Q1/R1P3K1/5R2 b - -,a8b8
2r3k1/5p1p/p3q1p1/1p1rn3/1P1P4/P7/5PPP/R2QR1K1 w - -,e1e5
8/3k1p2/1b4p1/4Pr1p/2R4P/6B1/6K1/8 b - -,b6e3
rnb2rk1/ppq2pbp/3p1np1/2p1p3/3PP3/N1PB1N1P/PP3PP1/R1BQR1K1 b - -,b8c6
5r1k/5Bpp/4Q3/pp1R4/8/b3P3/1q3PK1/8 w - -,d5h5
1rb2rk1/4ppbp/pq1p1n2/2pPn1p1/P3P3/2N5/1P1NBPPP/R1BQ1R1K w - -,a1a3
1r2r2k/1p4bp/p1p5/3n1n2/PP3P2/1N4Pq/2R2PNP/1R2BQK1 b - -,e8e6
r3r1k1/pb3ppp/1p2Pn2/2p3N1/3P1B1P/3P2P1/P3nPB1/R2R1K2 b - -,b7g2
