8/4kb2/8/6Rr/5K2/P5P1/8/8 b - -,h5h6
r7/1k1p4/3q4/p4p2/Pp2b3/1Pr3P1/2P1BQ1P/2R2RK1 w - -,c1d1
1r1q1rk1/5pb1/1p1P2p1/p1pBPn1p/5P2/1Q4P1/PP3n1P/3RR1K1 w - -,g1f2
4r1k1/p2q3p/1prnp1p1/3pBp2/P2P4/2P2Q1P/1P2RPP1/R5K1 w - f6,f3f4
2rq2k1/5b2/1b4np/p2p2p1/4R3/B4NPP/P5PK/R2Q4 w - -,e4e2
r2q1rk1/pp2bppp/5n2/3pn3/3N1Pb1/1P2B1P1/P1PQ2BP/RN3RK1 b - f3,a7a6
r4r2/ppq3kp/3pbpp1/1P2p3/P1PpPP2/3P2P1/3Q2BP/R4RK1 b - a3,a7a5
8/7r/8/3kBKRP/6P1/5b2/8/8 w - -,e5f6
6k1/7p/2P1p1p1/p3Bp2/1P3P1P/3KR3/8/5q2 w - -,d3d4
r1q1rbk1/p1n2ppp/5n2/3p4/Q1pP4/P1N1PN2/1R1B1PPP/1R4K1 b - -,a7a6
1k6/pp3p2/3bp3/7p/2PPQPq1/1P5r/3B4/6KR w - -,g1f2
8/7R/1p2pk2/8/3PK3/8/8/1r6 w - -,h7b7
8/p1Q2pk1/1p1P2p1/8/6q1/P7/5K2/8 b - -,g4f4
8/3k3p/3P3P/4P1p1/p1BB1pP1/2b5/6K1/8 b - -,c3d4
2r1k2r/1p2pp2/p2pbn2/q3b3/3BP3/2NQ3P/PPP1B1P1/2KR1R2 w k -,d4e5
1r3rk1/p4p1p/2p1bnp1/4N3/P2PB3/8/1P3PPP/R4RK1 w - -,e4c6
1r3rk1/p4pp1/2p4p/b3pR2/2P1P2P/P1N1q3/1PQ3P1/2K4R w - -,c1b1
2r2r1k/2q1npb1/p3pNp1/7p/2P4Q/8/PB3PPP/R4RK1 w - -,a1c1
r5r1/pbq2p1k/4pQpP/1p2P3/4p3/P1B5/1P3P1P/3RR1K1 w - -,d1d6
6r1/1Pp4k/2Pr3p/3pp3/4n2P/4Pp1n/R4P1P/4BR1K w - -,a2b2
r1bq1rk1/pp3pbp/2np1np1/4p3/3PNP2/2PB1N2/PP4PP/R1BQK2R w KQ e6,e4f6
r3rnk1/p4qpp/1pn1pb2/2p5/2P1NPQ1/3PPN2/PB1R3P/3R2K1 b - -,f6b2
8/8/1B6/1p1kp3/1P4p1/3pP1P1/3Kb3/8 b - -,d5c4
r1bq1r1k/1pp1b1pp/p2p1n2/P2Pn3/2B5/1Q3N2/1P1N1PPP/R1B1R1K1 w - -,c4f1
rnbqk2r/pp2ppbp/3p1np1/8/3NP3/1BN5/PPP2PPP/R1BQK2R b KQkq -,b8c6
r7/pbpk2pp/1p3p2/3P4/4p3/2P3B1/PP3PPP/2KRR3 b - -,a8e8
5k2/1p3b2/5Q2/3P2K1/8/5P2/2q3P1/8 w - -,f6d8:g2g4
r1bq1rk1/5pbp/p1pp2p1/4n3/1PBpPN2/3P3P/P2B1PP1/R2Q1RK1 w - -,a1c1
r2q1r2/2pb1pbk/1p1p1n1p/p1nPp2P/2P1P1p1/PPN3B1/3NBPP1/R2QK2R w KQ -,a1b1
r3r1k1/1b2qpb1/2p1n1pp/p1n1p3/P1B1P3/Q3BNNP/1P3PP1/2RR2K1 b - -,c5a6
6k1/p4p2/2K3p1/4p2p/2P5/PP2r1P1/7P/1R6 b - -,f7f5
r1bqk2r/1pp2pp1/3p1n1p/p1b1n3/P2NP3/2P5/BPQ2PPP/RNB2RK1 b kq -,d8e7
3r1rk1/ppp1q1pp/4p3/3bPp2/5P2/3BP3/PP2Q1PP/R2R2K1 b - -,d8d7
2rr4/5pk1/2b1p1P1/2pBP1Q1/3p3P/1P1P4/1q3P2/R3R1K1 b - -,d8d5
3rr1k1/2b2ppp/p1q5/1p1ppPQn/1P6/2P2P2/1P3BPP/R2R1NK1 b - -,h5f6
r4rk1/p1p2ppp/2p2n2/3pq3/8/1PN1PQ2/P1PP2PP/R4RK1 w - -,f3f4
1b2rrk1/1pp3pp/5q2/Q1Pnpp2/8/1P2P1P1/PB2NP1P/R4RK1 w - -,a1d1
rn1qkb1r/1p3ppp/p2p1n2/4pP2/8/2N2P2/PPP3PP/R1BQKB1R b KQkq -,f8e7:d6d5
8/4p1kp/P1Qp1pp1/7r/1q2P3/5P1P/2R3P1/7K w - -,a6a7
8/1p5r/2p5/8/3P2k1/PR6/7p/6K1 w - -,g1h1
8/3k2p1/p3ppp1/1p1b4/r2P4/P1PKBP2/6PP/R7 w - -,d3c2
r2q1rk1/pp3pp1/n7/3p4/3Q1Bb1/4PN2/PP3PPP/R3K2R b KQ -,a8c8
2rk4/3b3p/1KpB1pp1/P2p4/3P4/2P1R3/1P3PPP/8 b - -,d7f5
1r1q1r2/2n1ppkp/3p2p1/2P5/p7/1b3NP1/1Q2PPBP/R4RK1 b - -,g7g8
4n3/r4p2/3p3R/q3pN1R/1p2P1P1/1br2k2/P3N3/1K6 w - -,h5h3
r1b1qrk1/1p4bp/p2p1np1/2pP4/P3P2R/R1N2P2/1P2BP2/2BQK3 b - -,f6h5
r1bqk2r/pp1ppp1p/2n1n1pQ/4P3/8/N1P2N2/PP3PPP/R3KB1R b KQkq -,d8a5
rnb2rk1/pp2qppp/3p1n2/2pPp3/2P1P3/1PN3P1/P2QNPBP/R4RK1 b - -,f6e8
8/5pk1/8/3R2p1/2r3P1/p4PK1/N7/8 b - -,c4c2
1rb2rk1/1p3pbp/p2p1np1/q1pPn1B1/P3P3/R1N2P2/1P2BNPP/3Q1RK1 b - -,f8e8
3k4/7R/3pK3/3P4/4p3/p3P3/1r3P1P/8 w - -,h7a7
2r1kb1r/1b4pp/p3p3/3p2P1/1p6/3PBNN1/Pn5P/1K1R3R w k -,b1b2
6k1/p3r1q1/1p4R1/7Q/nP3pp1/2P4P/6PN/6K1 b - -,e7e1
8/8/p3p1k1/1p1pB3/3P2K1/1P3P2/P4b2/8 b - -,f2g1
r4rk1/3b1pp1/2p1p2p/pp1nQ3/1q3PP1/1PN2B1P/P1PP4/1K1R2R1 w - -,f3d5
2rr2k1/p2nqpp1/1p1p3p/3Pp3/4P3/P3QNPb/1P3P1P/2R1RBK1 b - -,h3f1
1k1q1r2/p1N4p/1n2p3/8/2p4Q/3nP1P1/PP3PBP/5R1K b - -,d8c7
r3k2r/p1qn1b1p/2p2npb/8/Q1PPp3/2N1P2P/PB2BRP1/R4NK1 b kq -,e8g8
4r3/7k/pp4p1/5p2/P4R1Q/3qn2P/1P4B1/7K b - -,h7g7
r2qr2k/n1p1b2p/p2p2pB/P2Np2n/1p2P1Q1/2P4P/1PB2PP1/R3R1K1 w - -,d5b4
1r6/2p1k1b1/3p2p1/3Pp1Pp/p1p1P3/P1P5/1P2KR1P/2B5 b - -,b8b5
8/1P2RR2/6k1/1r6/r5P1/7P/7K/8 w - -,f7f8
B7/5pkp/4p1p1/4n3/3q4/7P/P1Q3PK/8 b - -,e5c4
8/R1P5/2r5/4p2p/4P1pk/1P2K3/P2N2PP/8 w - -,d2c4
rnbq1rk1/pp2ppbp/2p2np1/3p4/2PP4/5NP1/PP2PPBP/RNBQR1K1 w - -,b2b3
r1br1nk1/1p4pp/p2b1p2/2pNp3/1PP1P3/4BN2/P4PPP/R3R1K1 b - -,f8e6
r4rk1/pp3ppp/2n5/2P5/7q/P3P3/1P2QNPP/R3K2R b KQ -,f8e8
r1bqk2r/pppp1ppp/5n2/4p3/BPPnP3/8/P2P1PPP/RNBQ1RK1 b kq -,e8g8
3b4/r5pp/p4p2/2pk4/R7/2BKP3/1P3PPP/8 w - -,a4h4
r2q1rk1/pb2bppp/4pn2/1N1p4/5B2/3B4/PPP2PPP/R2QR1K1 b - -,f6e4
5k2/5p2/6p1/2R3p1/8/6PP/P4PK1/1r6 b - -,b1a1
r2q2k1/1p1b3p/1np3p1/p1npr3/P2N4/1PP2PN1/4R1PP/1B2Q1K1 w - -,e2e5
r2r2k1/pp1bbppp/1q2pn2/3pn3/2PN4/1P1BP3/PB1N1PPP/2RQ1RK1 w - -,d3b1
8/pp3pk1/4n2p/5Rr1/8/P3NP2/KP5P/8 w - -,h2h4
r1b1r1k1/pp4b1/n3Pnp1/2p4p/2B5/2N2N1P/PP4P1/R1B1R1K1 b - -,a6b4
6k1/3n1p2/1pnpp1pq/p7/P2PP3/1QP1N1N1/5PP1/6K1 b - -,h6g5
8/p1R5/2p3b1/7k/2P5/1Pr1N3/P4K1P/8 b - -,g6e4
3r2k1/5p1p/4pNp1/r4nP1/P3RP2/2R5/7P/6K1 b - -,g8g7
r2k1r2/1p3ppp/p3p1b1/nB2N3/3P2P1/2P4P/P4P2/R3K2R w KQ -,b5e2
rnbq1rk1/ppp2pbp/3p1np1/3Pp3/2P1P3/2N2N2/PP2BPPP/R1BQ1RK1 w - -,b2b4
8/8/1q6/8/1p2k3/1P1Qpn2/2P5/7K b - -,e4f4
