8/6p1/1q1kp3/5pp1/8/3r2PP/R5QK/8 b - -,d6e7
r7/pp3r2/3pNk1p/3Pb1p1/2P4n/3B4/PP3PP1/R3R1K1 w - -,e1e3
8/7k/1b4p1/pp6/1Bb5/4N2P/5KP1/8 w - -,b4d2
1b6/3k4/R7/p1P1p3/4P1P1/4BK2/r7/8 b - -,a2a1
8/1p6/1Pb4R/2P1p3/8/1k4r1/4B3/4K3 b - -,b3b4
4n3/p1k2p2/4p2p/1K6/1P3P2/5BP1/7P/8 b - -,e8d6
rnbqk1nr/ppp2ppp/8/2b1p3/2P1P1P1/3p3P/PP1P1PB1/RNBQK1NR w KQkq -,g1f3
1r1rq3/pp2ppk1/1np2npp/4N3/1P1PP3/PN4Pb/1Q3P1P/2RR2KB b - -,h6h5
5rk1/5ppp/R3p3/8/1P6/Pb4P1/7P/6K1 w - -,a3a4
r7/pr4kp/2p1p3/2Pp1p2/3PnBpP/1P4P1/8/R3R1K1 w - -,a1a6
8/2R3K1/8/8/1p6/3p4/2k5/8 b - -,c2b2
8/np1kb2p/4pp2/B2p4/3P2P1/1P1NPP2/4K3/8 b - -,a7c6
5R2/8/p3k3/1p2P3/6p1/PKP1b3/1PP2pP1/8 b - -,e6e5
2b3k1/1p2Q1Bp/6p1/8/2P1pPP1/P1P4P/4q3/6K1 b - -,e2e1
r4rk1/1p1qppbp/p1p3p1/B1Pn4/2NP4/1Q5P/PP3PP1/3RR1K1 b - -,a8b8
rn1qkb1r/5ppp/p2p4/1p2pP2/3Nb3/1B2B3/PPP3PP/R2QK2R w KQkq -,b3f7
2r1b1k1/4q1pp/2p2p2/4pP1N/2P1B1Q1/1RbP4/r5PP/5R1K b - -,c3d4
2rr1bk1/5p1p/1p4p1/8/RP1Bp3/2P3P1/5P1P/3R2K1 w - -,a4a1
rn1q1rk1/pp3pbp/3p1np1/2pP4/4PP2/2N2b2/PP2B1PP/R1BQ1RK1 w - -,e2f3
r1b2r1k/1p2b1pp/p2q2B1/4np2/5B2/1NP5/P1P1QPPP/R5K1 w - -,f4e5
r1bq1rk1/ppp1npbp/2np2p1/8/4PN2/2N1Q3/PPPB1PPP/2KR1B1R b - -,f8e8
6k1/1Npn1p1p/p3q1p1/1p2P3/1P1r4/P3Q2P/5PP1/4R1K1 b - -,e6d5
3q3k/2p1n1b1/1p1p3p/3Pp1p1/1PP3P1/r2B1rNP/4QP1B/3b1RK1 w - -,f1d1
r2q1rk1/pb1nbppp/1p2pn2/2pp4/2PP4/1P2PNP1/PB2QPBP/RN3RK1 b - -,a8c8
r2qk2r/p3bppp/b3pn2/3p4/1P6/2N2NP1/4PPBP/2BQ1RK1 w kq -,d1a4
r2qkb1r/pp3pp1/2n1bn1p/2p1p3/4P3/2P2NP1/PP1NQPBP/R1B2RK1 b kq -,d8c7
3b2k1/1pp2ppp/p3b3/8/2P1NB2/P4P2/1P3P1P/6K1 w - -,e4c5
1r6/3nkp1p/4p1p1/pp6/2rR1PP1/P1P1R2P/1PB5/1K6 w - -,e3e4
6k1/p4p2/1p2p1pp/4n2q/1PB5/P3PP2/4QP1P/7K w - -,h1g2
4r1k1/1p6/p1pp2p1/P4q1p/1PPb1P1P/3Rr1P1/6BK/2NQ1R2 b - -,c6c5
r1bq1rk1/4bpp1/ppn2n1p/3p4/3P1B2/P1NQ1N2/1P3PPP/1BR2RK1 b - -,c8b7
r2r4/1p2N1P1/p6n/2N1p2k/P3P1p1/3Pp3/1P2K3/2R5 b - -,d8d6
r3qrk1/1p2b1p1/1n2p2p/1N1pPp2/pP1P1P2/P3BR1P/6PN/R2Q2K1 b - -,e8b5
R7/8/4k3/4p3/8/P7/r4P2/6K1 w - -,a3a4
r2qk2r/2p1bppp/p1n1b3/1p1pP3/4n3/1B3N2/PPP1QPPP/RNBR2K1 b kq -,e8g8
8/5pkp/6p1/p3p3/4q3/PPQ4P/5PPK/8 b - -,f7f6
8/4B3/1pk5/p1p4p/5P2/2P1K3/2b5/8 w - -,e7d8
4bbk1/7p/3p4/3P2p1/4PP2/B7/7P/3B2K1 w - -,f4g5
8/8/8/5Kp1/8/6r1/7k/Q7 w - -,a1d1
rn1qkb1r/pp2pppp/5n2/3pNb2/8/1P2P3/PB1P1PPP/RN1QKB1R b KQkq -,e7e6
5b1r/1r2p1kp/R5p1/8/2B5/4P3/1P4PP/5RK1 b - -,b7b2
5r1k/3qbpp1/p3p3/1p1n4/P1nP4/3B2BP/4NPP1/1QR3K1 b - -,f8c8
5r1k/pp5p/8/r2N2p1/5P2/3R2Pb/P2RPK1P/8 w - -,e2e4
r1bq1rk1/4ppbp/p1np1np1/1pp5/2B1P3/2PPBN1P/PP2NPP1/R2QK2R w KQ b6,c4b3
2br2k1/rpb1qpnp/2p3p1/3pP3/P2P1N2/3B1NP1/2Q2PP1/RR4K1 b - -,c8g4
r1b2rk1/pp1qnpbp/2np2pB/2p2p2/2B1P2Q/2NP1N2/PPP3PP/R4RK1 b - -,a7a6
r3rnk1/pp2bppp/2p1bn2/q2p2N1/3P1B2/2NBP2P/PPQ2PP1/2KR3R b - -,c6c5
5k2/3R1p2/3K3p/3B3P/8/8/5r2/8 w - -,d6c7
8/4pp1p/1p1p1k2/2r1nPp1/P1P1P1P1/1B2K2P/8/4R3 w - -,e1c1
8/4K3/8/2kp1B2/2p5/2P1R3/6r1/8 w - -,e7e6
r1bqkbnr/pp2pppp/2np4/8/2B1P3/2N2N2/PP3PPP/R1BQK2R b KQkq -,g8f6:h7h6:c8g4:a7a6:e7e6
r1bqkb1r/1pppnpp1/p1n4p/4p3/3PP3/1B3N2/PPP2PPP/RNBQK2R b KQkq d3,e5d4
r2r2k1/1ppb1pp1/p2bp1qp/n3P3/3P4/2NQ1N2/PP2BPPP/R2R2K1 b - -,g6d3
3k4/7R/8/4K3/4B3/8/7p/6r1 w - -,h7h2
r7/4Rb2/5kpp/1p6/1P1N4/3P1P2/6P1/r3R1K1 b - -,a1e1
r2q1rk1/1bpn1ppp/1p1ppn2/p7/2PP4/2B2NP1/PPQ1PPBP/R3R1K1 b - -,b7e4
r3kb1r/ppq1pp1p/2np1np1/8/4P3/1NN1B3/PPP1QPPP/R3K2R w KQkq -,e1c1
r2r2k1/5pp1/2b1pn1p/pp6/5N2/1B3P2/PPP2RPP/R6K w - a6,a2a3
5k2/8/p1p1pBPn/P3P3/3K4/4P3/8/8 b - -,h6f5
1q2r1k1/1PR1pp1p/3p2p1/3Nr3/P2QP3/6Pb/5P1P/2R3K1 b - e3,h7h6
3b4/p7/5pp1/3p1k1p/P2P3P/5P2/1P1B2K1/8 b - a3,d8b6
rr4k1/pb1n1pbp/1ppNq1p1/8/3P4/BP2P3/P1Q1BPPP/2R2RK1 w - -,d6b7
2r3k1/1bpn1pRp/p1q1p3/7Q/2prPB2/P4BP1/P4P1P/2R3K1 b - -,g8g7
1r2q3/2p3kp/p1pp1pN1/4r1p1/PPPQ2P1/5P1P/1R5K/5R2 b - -,h7g6
1r2r2k/5np1/p2p1pR1/q1pPpP2/2p1BB1P/2P2P2/P2Q3R/7K b - -,e5f4
8/p2b3p/p1Nr1k2/8/1P3P1P/8/5PB1/2R3K1 b - -,d7e6
8/4pPk1/3p4/n1p1bpq1/2P5/3QN1P1/4P1Br/1R3R1K w - -,h1g1
r2r1nk1/N1Q2p1p/1R3q2/3pNb1p/3P4/4P3/P4PPP/2R3K1 b - -,f8e6
r5k1/2Br1p1p/pN1P4/2p2P1p/3bP2R/6P1/4b1KP/8 b - -,a8d8
8/p2rqpbk/R5np/P1pBp1p1/P3P3/1Q4PP/3N1P2/6K1 b - -,e7f8
5rk1/3rbppp/p2p4/7n/2bNP1P1/4R2P/1P3P1B/1B1R2K1 b - g3,h5f6
r1bq1rk1/pppp1pp1/2n2n1p/2b1p3/2B1P3/2PP1N1P/PP1N1PP1/R1BQ1RK1 w - -,b2b4
r3k1r1/pppbq3/4p1p1/3pnp1p/3Pn2P/2PN2P1/PPQ1PPB1/R3K2R w KQq -,d3e5
rn2r1k1/1bq2pbp/p2p2p1/1ppP2Bn/4P3/P1NB1N1P/1P3PP1/2RQR1K1 b - -,b8d7
2r1k2r/2q2p1p/p1Bb2p1/4p3/PpNpP3/1P3P2/2PQ2PP/R3K2R b KQk -,c7c6
2r1rqk1/pp1n1p2/3b1npp/3pp3/2PN1P2/PP1P2PP/1BQ3B1/R3R1K1 w - -,d4b5
6k1/6p1/r3pr2/3p2QP/8/2PK4/6P1/8 w - -,g2g4
8/1p1q2k1/p1p1bpn1/4p2p/2P1P1pP/PP1Q2P1/2B1NPK1/8 b - -,g6f8
r4rk1/3nppbp/1q1p1np1/2pP4/P3P3/2N2NP1/1P3PKP/R1BQ3R w - -,d1e2:d1c2:a1a3
2kr3r/1pp2ppp/p2qbn2/8/N1Pb4/1P3N2/P2PBPPP/2RQ1RK1 b - -,c7c6
rnb1kb1r/p4ppp/2p1pn2/qp6/3P4/1BN2N2/PPPB1PPP/R2QK2R b KQkq -,a5c7
6r1/4kp2/2PP3R/4Bb2/p7/P3K2p/8/8 b - -,e7d8
rr4k1/p4pb1/Bp2p1pp/n4q2/3P3B/2PQ3P/P3RPP1/1R4K1 w - -,d3f5
3k3r/p2pq1bp/bp4p1/3Bnp2/8/P2N4/1P3PPP/R1BQ1RK1 b - -,e5d3
6r1/8/p5P1/P2pN1k1/1P2p3/4K2p/8/5R2 b - -,g8g7
