8/3r2k1/6P1/8/2P5/2KB1R2/2N5/6r1 w - -,c2e3
1rr5/2p1kqp1/2Qp1b1p/4pP2/6P1/P1P1B3/1PP4P/1K1R3R b - -,e7f8
r3k2r/1q4p1/pp2pn2/2b1p1Q1/2P4p/1PN3P1/PB2P2P/3R1RK1 w kq -,e2e3
5Q1k/6p1/2p4p/8/p1q4P/2P3PK/8/8 b - -,c4g8
3N4/R4pk1/7p/p7/5K2/5P1b/6r1/8 w - -,d8f7
3r2k1/5ppp/2n1p3/3nP3/2NP4/6PP/3R1PB1/6K1 b - -,d8b8
2rqrnk1/1b1Nppbp/pp4p1/3p2B1/PPpP4/Q1P1P2P/3NBPP1/R2R2K1 b - -,d8d7
r1b5/pp1k2qQ/4p1P1/1Nbp4/8/8/PPP2PP1/4R1K1 b - -,c5f8
5k2/5p2/3K4/4P1Rp/8/1b6/8/8 w - -,g5h5
2bq4/6k1/3P1pp1/p3p1n1/Pp2P1P1/1P1Q4/4B1K1/5N2 w - -,f1e3
4R3/8/8/2k5/8/2p2K2/8/3r4 b - -,c5c4
rnbqkb1r/ppppp1pp/5n2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR b KQkq -,g7g6:c7c6:e7e6:d7d5:b8c6
R4rk1/2qnppbp/1n1p2p1/2pP2B1/1pP1P2P/6P1/1P2QPB1/1N1R2K1 b - -,f8a8
2n5/8/k2p4/3PpNb1/2p1P2P/3b1BP1/6K1/8 w - -,h4g5
rn2nrk1/2q2ppp/b1P1p3/pB1pP3/Q2P4/B1N5/P5PP/R4RK1 b - -,a6b5
r2q1rk1/pb1n1ppp/4pn2/1pb5/1P6/3Q1NP1/P2BPPBP/RN3RK1 b - b3,b7e4
1k6/p2r1p2/1p2p3/6P1/8/5R1P/4r3/2R4K b - -,d7d2
6B1/pp6/3n4/r2P1k2/8/1P2R3/5K2/8 w - -,e3e6
3r2k1/p4p1p/6p1/1p6/1P6/P7/5PPP/4BK2 w - b6,f1e2
6k1/3b1npp/2n1pr2/rp1p4/5N2/N5P1/PPP3BP/1K1RR3 w - -,c2c3
4rrk1/1b3pb1/p2p1qpp/3B4/Q6P/2N5/PP3PP1/2RR2K1 b - -,b7c8
r2r4/1p2k2p/p2p1n2/4pqp1/2Pn4/2N5/PPNQ1PPP/2R2RK1 b - -,d4c2
2rr2k1/3bppbp/n4qp1/pppP4/4P3/PP1P1NP1/2QN1PBP/1R3RK1 w - -,f1e1
2k5/7R/2r5/1K6/2P5/8/8/8 b - -,c6f6
r2bn1k1/1q1n1pp1/2pBp2p/1pPp4/1P1P4/2N1PN1P/2Q2PP1/2R3K1 w - -,d6g3
3r3k/p1p4p/5p1b/Pp2PP2/3p2QP/1P2qN2/8/6RK w - -,e5e6
1rb2rk1/ppq2p1p/6p1/4P3/6n1/2P5/PP3BBP/R2Q1RK1 w - -,d1d6
r1b1kb1r/ppqn1ppp/2pp1n2/4p1B1/2PP4/2NBPN2/PP3PPP/R2QK2R b KQkq -,g7g6
2b5/p1p2pk1/P5p1/2r5/4P3/3K1N2/5PP1/R7 w - -,f3d4
2r3k1/p4pp1/1p5p/7P/3N1qP1/3p4/5B2/1R1B2K1 b - -,c8c1
2rqr1k1/1p3pbp/p1bnpnp1/3pN3/P2P4/1PNBPQ1P/1B3PP1/R1R3K1 w - -,b2a3
2r3k1/1b1n1p1p/3p2p1/q2P4/2pQ1PP1/4P2P/6B1/2R2RK1 w - -,e3e4
8/3r1pk1/4n1pp/1p2p1b1/qPp1P2P/2P3P1/B3QPK1/R1N5 b - -,g5d2
r5k1/1pr2pp1/1R5p/8/2pP4/4P1P1/P3KP1P/2R5 w - -,c1c2
2b2q2/pr2prkp/3p2p1/2pN4/2P5/1P2R3/P2Q1PPP/4R1K1 b - -,e7e6
r5k1/pp3pp1/7p/5q2/5B2/6P1/Q4P1P/2R3K1 w - -,a2a3
r3rnk1/ppq1b1pp/2p1p3/3nN3/3P4/1BNQ3P/PP1B1PP1/4R1K1 w - -,c3e4
1r2n3/p3r1kp/B2P2p1/2pRp3/4Pp2/5P2/6PP/5K2 w - -,d6e7
r2q2k1/pp1b1pp1/3b3p/2pP4/2n1B3/2B2N1P/P1P2PP1/1R1Q2K1 b - -,b7b5
rnb1kb1r/pp2pppp/1qp2n2/3p4/3P1B2/5N1P/PPP1PPP1/RN1QKB1R w KQkq -,d1c1
4r3/p1q2pkp/4b3/2p2p2/5b1N/1P3Q1P/P4PP1/3RR1K1 b - -,g7f6
4rrk1/Nb1p3p/np1p3n/3P2q1/1PP1Pp2/P1Q4P/6B1/R1B2RK1 w - -,c1b2
8/1R6/4k3/p7/P7/3KP3/r7/8 w - -,b7b6
1r5k/2qn2bp/p2p1n2/p2Pp1p1/2P1Pp2/2N4P/2QBBPP1/5RK1 w - -,f1b1
rq3r1k/pb2b1pp/1pp1p3/4Pp2/3P1P2/2N5/PPQ1P1BP/R2R2K1 w - f6,e2e3
3r1rk1/p2qn2p/4bb2/1Ppn1p2/P2p1P1N/3P4/1P1B1QBP/R3NR1K w - -,f1g1
r1b1r1k1/1p2qpbp/2p2np1/p1n1p3/P1P1P3/BPNN4/2Q1BPPP/R4RK1 b - -,b7b6
3r1b1k/3r1p2/p3p1pp/1p2q3/4NR2/P4Q2/1PP3PP/1K3R2 w - -,e4c3
r2n1rk1/pp1q1bbp/2pp1np1/3Ppp2/1PP5/1QN1P1PP/P3NPBK/R1B2R2 w - -,f1d1
8/B3bk2/1p4p1/1P5p/3p4/P2b4/5K2/6R1 b - -,e7c5
r1b2rk1/p2nq3/3p3p/2pP2p1/1pP1p3/4P1B1/P2N1PPP/2RQ1RK1 w - -,d1a4
8/2p3pk/3p1q2/2p3p1/2P5/1P3QPP/P4K2/8 b - -,f6b2
b3r1k1/4q1p1/3N1n1p/4p3/8/2P1Q3/4B1PP/3R2K1 b - -,f6d5
r1b2rk1/p1p1qp2/2pp3p/2b1p1pn/3PP3/2P2NB1/PP1N1PPP/R2Q1RK1 b - -,h5g3
6n1/p2k4/1pp1p3/3PPp1b/1PP2P2/2N1N1P1/3K4/8 b - -,g8e7
3r3r/1pkb1p2/1n1p2p1/Q1NPp1qn/P1P1P2p/1P3P2/3RB1PP/1NK4R b - -,d8a8
r3r1k1/1q2bp1p/p2p1npB/4p3/1p2P3/1P1R1Q2/1PPN1PPP/2R3K1 b - -,d6d5
3rrqk1/1ppb1pBp/3p2p1/1Pn5/2Q1PP2/2N3PP/2P3B1/3RR1K1 b - -,f8g7
r2r2k1/4n1bp/2n1p1p1/p1ppPp2/Q4P2/2PqBBPP/1P2N3/R4RK1 w - -,e3c5
rnbqk2r/p3ppbp/2pp1np1/1p6/3PP3/2N1B2P/PPPQ1PP1/R3KBNR w KQkq b6,f1d3
3r1r1k/2R3pp/4q3/p7/1pR1p3/1P4P1/1P2PPKP/4Q3 w - -,e1c1
8/r3nkp1/1R3p1p/7r/p2K4/R3N1P1/5P2/8 w - -,e3c4
8/8/5rk1/1p2B2p/7P/2P5/PK6/8 w - -,e5f6
r1bqk2r/pp3ppp/2n2n2/3p4/1b1N4/1P2P3/PB3PPP/RN1QKB1R w KQkq -,b2c3
r7/pp2kppp/3r4/2p5/bnP1P3/2K2N2/5PPP/4RB1R b - -,a8d8
3r2k1/2pr1p2/1p2p1p1/p1b1Pb1p/2N2P2/2PBn1PP/PP1R3K/R1B5 w - -,c4e3
2rr1k2/1p1n2pp/p3bp2/2P5/1P2PP2/3BK3/1B5P/2R3R1 w - -,h2h4
8/5pk1/2R4b/7R/7P/Pr2pK2/8/8 b - -,f7f6
8/3r2k1/5qp1/1P5p/3p1p2/3Q2P1/5P1P/2R3K1 w - -,c1c6
r2q1rk1/1p1n1pbp/p1n1p1p1/3pP3/3P4/3BBN1P/PP1Q1PP1/R4RK1 b - -,d8a5
5r2/pp4r1/4k1pp/3p1p2/3R1PPP/1P2PK2/P1R5/8 w - -,c2d2
Bn1qk2r/p1p2ppp/bp2pn2/4b3/2pP4/1P4P1/PB2PP1P/RN1Q1K1R b k -,c7c6
2q2rk1/3bbppp/1R1p4/p2Qp3/2P1P3/P7/4BPPP/5RK1 w - -,f1d1
r5k1/pp3pp1/7n/1bPp4/3B1n1p/1BP4P/PP3PP1/4RNK1 w - -,f1d2
r1bq1rk1/4bp1p/pp2pnp1/3n2B1/3P4/P1NQ1N2/1P3PPP/1BR2RK1 w - -,f3e5
1r2k2r/Rbq1bpp1/2pp1n2/4P3/2pB1P1p/2N4P/2P2QP1/1R3NK1 b k -,f6d7
8/7k/3Np3/1P1bP1p1/p6r/P1R5/4K3/8 w - -,b5b6
