Event,WhiteElo,BlackElo
27957,2018,2220
27958,2258,2409
27959,1935,2187
27960,1941,2205
27961,2399,2212
27962,2398,2240
27963,2014,1787
27964,2268,2142
27965,2098,2084
27966,2395,2283
27967,1849,2185
27968,2389,2319
27969,2132,2110
27970,2199,2308
27971,2121,2382
27972,2188,2129
27973,2447,2266
27974,2494,2184
27975,2316,2257
27976,2407,2308
27977,2136,2474
27978,2136,2241
27979,2229,2461
27980,2127,2210
27981,2119,2345
27982,2196,2377
27983,2083,2162
27984,2246,2316
27985,1995,2259
27986,2383,2339
27987,2303,2262
27988,2332,2172
27989,2278,2426
27990,2155,2330
27991,1969,2170
27992,2430,2280
27993,2259,2357
27994,2377,2286
27995,2265,2254
27996,2131,2254
27997,2141,2122
27998,2524,2364
27999,2316,2091
28000,2324,2269
28001,2174,2096
28002,2208,2072
28003,2347,2275
28004,1987,2228
28005,2136,2208
28006,2217,2424
28007,2298,2281
28008,2137,2337
28009,2008,2139
28010,2282,2138
28011,2241,2214
28012,2364,2095
28013,2420,2188
28014,2385,2218
28015,2081,2166
28016,2140,1966
28017,2406,2327
28018,2194,2220
28019,1990,2108
28020,2280,2114
28021,2216,2288
28022,2172,2073
28023,2314,2370
28024,2171,2384
28025,2282,2442
28026,2209,2344
28027,2397,2386
28028,2372,2190
28029,1971,2346
28030,2429,2255
28031,2335,2314
28032,2487,2317
28033,2272,2179
28034,1995,1938
28035,2287,2267
28036,2139,2320
28037,2144,2128
28038,2281,2311
28039,2160,2184
28040,2289,2454
28041,2384,2325
28042,2279,2421
28043,2388,2501
28044,2544,2476
28045,2362,2334
28046,2347,2284
28047,2313,2207
28048,2274,2428
28049,2435,2584
28050,2503,2523
28051,2056,2290
28052,2391,2409
28053,2325,2277
28054,2318,2242
28055,2233,2387
28056,1909,2000
28057,2435,2157
28058,2380,2351
28059,2281,2141
28060,2361,2333
28061,2364,2201
28062,2253,2164
28063,2478,2422
28064,2347,2202
28065,2333,2311
28066,2480,2184
28067,2184,2418
28068,2258,2202
28069,2328,2282
28070,2154,2098
28071,2335,2406
28072,2123,1970
28073,2175,2360
28074,2427,2123
28075,2272,2007
28076,2011,2133
28077,2116,2399
28078,2254,2268
28079,2324,2139
28080,2177,2147
28081,2239,2275
28082,2176,2222
28083,2395,2244
28084,2161,2309
28085,2102,2352
28086,2410,2368
28087,2265,2226
28088,2245,2215
28089,2322,2178
28090,2200,2185
28091,2379,2246
28092,2198,2334
28093,2264,2168
28094,2400,2328
28095,2282,2112
28096,2081,2278
28097,2470,2223
28098,2106,2280
28099,2209,2230
28100,1877,2280
28101,2414,2335
28102,2197,1874
28103,2122,2219
28104,2205,2117
28105,2294,2192
28106,2363,2238
28107,2087,2416
28108,2403,2342
28109,2430,2216
28110,2167,2409
28111,2350,2165
28112,1951,2297
28113,2227,2170
28114,2195,2277
28115,2237,2179
28116,2379,2355
28117,2125,2160
28118,2042,2276
28119,2387,2185
28120,2294,2032
28121,2374,2360
28122,2269,2340
28123,2277,2330
28124,2299,2010
28125,2208,2228
28126,2159,1984
28127,2302,2153
28128,2156,2132
28129,2147,2151
28130,1985,1968
28131,2262,2422
28132,2194,2426
28133,2272,2338
28134,2189,2274
28135,2413,2303
28136,1872,2144
28137,2369,2254
28138,2487,2469
28139,2509,2344
28140,2138,2141
28141,2041,1950
28142,2093,2175
28143,2288,2251
28144,2486,2326
28145,2256,2319
28146,2386,2243
28147,2284,2381
28148,2411,2207
28149,2044,2206
28150,2335,2412
28151,2182,2365
28152,2015,2175
28153,2399,2304
28154,2128,2215
28155,2201,2177
28156,2302,2243
28157,2442,2395
28158,2246,2261
28159,2350,2389
28160,2300,2316
28161,2342,2372
28162,2443,2275
28163,2383,2276
28164,2169,2428
28165,2414,2391
28166,2346,2340
28167,1859,2208
28168,2039,2340
28169,2284,2128
28170,2029,2071
28171,2079,2007
28172,2324,2175
28173,2438,2491
28174,2292,2226
28175,2350,2490
28176,2135,2233
28177,2105,2219
28178,2037,2174
28179,2389,2163
28180,2241,2218
28181,1947,2381
28182,2368,2262
28183,2033,1975
28184,2456,2399
28185,2495,2301
28186,2495,2464
28187,2367,2221
28188,2451,2163
28189,2548,2594
28190,2022,2164
28191,2410,2212
28192,2346,2410
28193,2233,1965
28194,2310,2205
28195,2184,1926
28196,2454,2143
28197,2316,2221
28198,2306,2068
28199,2359,2107
28200,2355,2064
28201,2329,2045
28202,1968,2135
28203,2494,2219
28204,2064,2397
28205,2381,2478
28206,2281,2202
28207,2398,2117
28208,2372,2117
28209,2404,1999
28210,2416,2222
28211,2012,2320
28212,2324,2247
28213,2318,2470
28214,2570,2415
28215,2193,2384
28216,2324,2428
28217,2071,2421
28218,2257,2215
28219,2543,2184
28220,2406,2084
28221,2346,2056
28222,2152,2283
28223,2276,2102
28224,2123,2322
28225,2270,2306
28226,2164,2013
28227,2197,2244
28228,2417,2156
28229,2398,2126
28230,2373,2480
28231,2267,2007
28232,2357,2392
28233,2161,2344
28234,2245,2103
28235,2050,2318
28236,2400,2160
28237,1861,2145
28238,2143,2363
28239,2076,2240
28240,2162,2108
28241,2338,2419
28242,2319,2237
28243,2432,2159
28244,2252,2306
28245,2437,2216
28246,2251,1995
28247,2044,2028
28248,2149,2400
28249,2165,1851
28250,2050,2171
28251,2175,2183
28252,2247,2311
28253,2289,2399
28254,2445,2415
28255,2316,1801
28256,2236,2394
28257,2161,2337
28258,2248,2304
28259,1972,1925
28260,2209,2129
28261,2331,2060
28262,2354,2304
28263,2268,2074
28264,1823,1937
28265,2107,2207
28266,2414,2174
28267,2240,2110
28268,1900,2039
28269,2292,2426
28270,2420,2275
28271,1775,2243
28272,2296,2347
28273,2278,2058
28274,1978,2092
28275,2267,2368
28276,2310,2478
28277,2415,2184
28278,2218,2027
28279,2360,2267
28280,2244,2389
28281,2215,2344
28282,2238,2025
28283,2251,2179
28284,2502,2375
28285,2372,2262
28286,2087,2101
28287,2455,2421
28288,2175,1985
28289,1955,2250
28290,2280,2422
28291,2332,2258
28292,2238,2417
28293,2071,2276
28294,2014,2035
28295,2279,2223
28296,2170,2079
28297,2165,2330
28298,2035,2256
28299,2231,2389
28300,2407,2167
28301,2297,2332
28302,2443,2311
28303,2094,2292
28304,2092,1868
28305,2388,2091
28306,2436,2476
28307,2319,2176
28308,2206,2509
28309,2345,2149
28310,2325,2319
28311,2018,2111
28312,2159,2283
28313,2300,2016
28314,2337,2277
28315,2202,2401
28316,2453,2417
28317,2305,2022
28318,2476,2229
28319,2378,2404
28320,1900,2209
28321,2468,2227
28322,2173,2073
28323,2359,2296
28324,2417,2314
28325,2457,2289
28326,2423,2310
28327,2282,2010
28328,2109,2317
28329,2307,2111
28330,2206,2206
28331,2444,2236
28332,2318,2439
28333,1833,2036
28334,2157,2062
28335,2085,2183
28336,2188,2026
28337,2250,2457
28338,1996,2047
28339,2041,2062
28340,2229,2059
28341,2363,2326
28342,2160,2146
28343,2147,2383
28344,2415,2372
28345,2444,2162
28346,2063,2004
28347,2267,2309
28348,1970,2477
28349,1923,1933
28350,2165,2336
28351,2295,2281
28352,2084,2354
28353,2051,2255
28354,1959,2093
28355,2391,2258
28356,2322,2112
28357,2150,2380
28358,2137,2211
28359,2276,2346
28360,2322,2304
28361,2313,2190
28362,2074,2211
28363,2264,2112
28364,2416,2379
28365,2303,2111
28366,2245,1962
28367,2433,2303
28368,2332,2356
28369,2294,2250
28370,2425,2339
28371,2355,2285
28372,2469,2340
28373,2250,2210
28374,2165,2351
28375,2170,2256
28376,2163,2189
28377,1767,2065
28378,2441,2290
28379,2328,2054
28380,2336,2057
28381,2386,2255
28382,2157,2221
28383,2108,1977
28384,2283,2052
28385,2168,2246
28386,2098,2337
28387,2229,2172
28388,2205,2327
28389,2244,2255
28390,2201,2355
28391,2324,2280
28392,1992,1865
28393,2341,2347
28394,2329,2187
28395,2397,2179
28396,2365,2306
28397,2288,2156
28398,2372,2414
28399,2270,2104
28400,2263,2185
28401,2379,2377
28402,2144,2085
28403,2402,2323
28404,2518,2132
28405,2427,2394
28406,1983,2223
28407,2244,2219
28408,2101,2252
28409,2331,2140
28410,2337,2357
28411,2051,2217
28412,2249,2300
28413,2328,2456
28414,2065,2376
28415,2338,2304
28416,2398,2204
28417,2310,2170
28418,2226,2422
28419,2285,2245
28420,2431,2429
28421,2293,2318
28422,1928,2385
28423,2497,2454
28424,2270,2201
28425,1888,2276
28426,1996,1867
28427,2359,2330
28428,2264,2313
28429,2286,2227
28430,2447,2234
28431,2057,2006
28432,2216,2210
28433,2263,2246
28434,2075,2275
28435,2247,2335
28436,2210,2187
28437,1951,2054
28438,2296,2164
28439,2314,2335
28440,2037,2206
28441,2287,1904
28442,2148,2252
28443,2215,2357
28444,2117,2085
28445,2422,2304
28446,2293,2076
28447,2480,2336
28448,2311,2071
28449,2306,2315
28450,1899,2121
28451,1985,2182
28452,1955,2280
28453,2199,1996
28454,1936,1988
28455,2435,2305
28456,2131,2294
28457,2120,2172
28458,2339,2394
28459,2175,2126
28460,2113,2065
28461,2241,2371
28462,2425,2407
28463,2300,2213
28464,2179,2333
28465,2166,2294
28466,2351,2293
28467,2082,2133
28468,1967,2168
28469,2282,2318
28470,2369,2244
28471,2366,2150
28472,2064,2216
28473,2383,2249
28474,2002,2429
28475,1951,2036
28476,2030,2178
28477,2347,2153
28478,2233,2276
28479,1945,2145
28480,2305,2269
28481,2064,2302
28482,2054,2278
28483,2108,2184
28484,2559,2421
28485,2329,2218
28486,2351,2479
28487,2441,2374
28488,2297,2284
28489,2289,2345
28490,2259,2121
28491,2316,2108
28492,2016,2271
28493,2085,2026
28494,2464,2217
28495,2242,1989
28496,2302,2203
28497,1973,2306
28498,2222,2473
28499,2163,2240
28500,2343,2345
28501,2185,2022
28502,2478,2180
28503,2345,2484
28504,2033,2244
28505,2344,2319
28506,2427,1998
28507,2334,2236
28508,1988,2296
28509,2305,2468
28510,2213,2181
28511,2387,2200
28512,2325,2169
28513,2197,2085
28514,2420,2412
28515,2382,2341
28516,2143,2366
28517,2109,2406
28518,2337,2137
28519,2147,2314
28520,2380,2509
28521,2239,2012
28522,2396,2341
28523,2420,2469
28524,2321,1980
28525,2287,2376
28526,2280,2219
28527,2472,2322
28528,2219,2149
28529,2495,2249
28530,2025,2384
28531,2059,1904
28532,2290,2230
28533,2109,2106
28534,2502,2221
28535,2034,2232
28536,2099,2357
28537,2373,2448
28538,2076,2158
28539,2352,2266
28540,2086,2109
28541,2323,2349
28542,1843,1825
28543,1934,2131
28544,2246,2122
28545,1792,1771
28546,2398,2155
28547,2207,2215
28548,2486,2351
28549,2067,1781
28550,2398,2403
28551,2311,2175
28552,2238,2239
28553,2318,2248
28554,2366,2477
28555,2002,2092
28556,2323,2350
28557,2506,2502
28558,2026,2382
28559,1754,2130
28560,2128,2076
28561,2409,2349
28562,2313,2356
28563,2082,2344
28564,2144,2384
28565,2402,2007
28566,2145,2156
28567,1952,2202
28568,2296,2072
28569,2345,2311
28570,2255,2071
28571,2319,2284
28572,2454,2280
28573,2478,2401
28574,2039,2037
28575,2306,2152
28576,2094,2459
28577,2538,2436
28578,2369,2313
28579,2383,2341
28580,2380,2244
28581,2302,2279
28582,2238,2277
28583,2487,2286
28584,2372,2202
28585,2123,2264
28586,2325,2388
28587,2188,2363
28588,1938,2222
28589,2327,2429
28590,2059,2205
28591,2363,2372
28592,2446,2290
28593,2182,2312
28594,2271,2300
28595,2420,2321
28596,2242,2282
28597,2042,2178
28598,2344,2191
28599,2386,2268
28600,2377,2238
28601,2233,2081
28602,2165,2358
28603,2409,2137
28604,2090,2285
28605,2009,2207
28606,2175,2396
28607,2395,2394
28608,2325,2420
28609,2420,2283
28610,2300,2123
28611,2247,1852
28612,2196,2115
28613,2216,2113
28614,2042,2144
28615,2414,2279
28616,2417,2558
28617,2149,2262
28618,2331,2306
28619,2152,2324
28620,2153,2318
28621,2431,2025
28622,2273,2250
28623,2209,2239
28624,2310,2355
28625,2326,2435
28626,2136,2339
28627,2152,1906
28628,2427,2370
28629,2466,2180
28630,2380,2309
28631,2200,1968
28632,2025,2032
28633,2129,2254
28634,1971,2146
28635,1681,1897
28636,2261,2228
28637,2343,2301
28638,2208,2283
28639,2215,2273
28640,2419,2450
28641,2353,2259
28642,2241,2175
28643,1975,2051
28644,2244,2226
28645,2360,2279
28646,2256,2348
28647,2143,1863
28648,2312,2268
28649,2062,2316
28650,2152,2263
28651,2210,2325
28652,2275,2008
28653,2138,2005
28654,2117,2233
28655,2152,2329
28656,2132,2219
28657,2010,2238
28658,2244,2322
28659,2070,2135
28660,2328,2340
28661,2189,2331
28662,2349,2407
28663,2148,2099
28664,2294,2376
28665,2250,2162
28666,2310,2299
28667,2192,2073
28668,2268,2329
28669,1843,2052
28670,2428,2476
28671,2341,2306
28672,2311,1947
28673,2408,2261
28674,2293,2291
28675,2315,2201
28676,2211,2225
28677,2142,2136
28678,2466,2312
28679,2296,2153
28680,2311,2117
28681,2432,2220
28682,2072,2156
28683,2343,2268
28684,2217,2333
28685,2405,2170
28686,2263,2471
28687,2472,2101
28688,2250,2192
28689,2161,2473
28690,2420,2191
28691,2272,2327
28692,2222,2250
28693,2102,2071
28694,2261,2188
28695,1973,2359
28696,2170,1934
28697,2367,2078
28698,2386,2135
28699,2346,2146
28700,2197,2105
28701,2332,2332
28702,2130,2386
28703,2435,2305
28704,2309,2186
28705,2169,2119
28706,2386,2259
28707,2322,2341
28708,2337,2441
28709,2487,2368
28710,1885,2039
28711,2386,2411
28712,1941,2289
28713,2159,2283
28714,2321,2081
28715,2239,2289
28716,2270,2141
28717,2323,2224
28718,2228,2297
28719,2394,2209
28720,2394,2006
28721,1813,2105
28722,2418,2181
28723,2225,2359
28724,2490,2435
28725,2473,2419
28726,2205,2095
28727,2362,2375
28728,2494,2388
28729,2105,2103
28730,2202,2413
28731,2065,2300
28732,2106,2056
28733,2413,2180
28734,2255,2105
28735,2097,2234
28736,1888,2179
28737,2281,2249
28738,2316,2127
28739,2372,2020
28740,2298,2461
28741,2482,2370
28742,2140,2229
28743,2051,2479
28744,2314,2031
28745,2252,2100
28746,2291,2125
28747,2425,2459
28748,2427,2339
28749,2026,2307
28750,2179,2058
28751,2345,2273
28752,2257,2173
28753,2319,2365
28754,2108,2265
28755,2132,2360
28756,2049,2374
28757,2354,2342
28758,1959,2354
28759,1985,2150
28760,1950,2160
28761,2328,2479
28762,2510,2307
28763,2264,2201
28764,2140,2019
28765,2126,2248
28766,2255,2395
28767,2452,2338
28768,2330,2162
28769,2195,2303
28770,2378,2213
28771,2426,2270
28772,2289,2313
28773,2377,2401
28774,2281,2131
28775,2268,2231
28776,2365,2141
28777,2192,2248
28778,1934,2151
28779,2284,2286
28780,2322,2148
28781,2360,2132
28782,2277,2328
28783,2152,2251
28784,2071,2251
28785,2212,2066
28786,2124,2337
28787,2347,2096
28788,2251,2232
28789,2228,2341
28790,2160,2125
28791,2064,1997
28792,2084,1897
28793,2399,2409
28794,2296,2259
28795,2393,2517
28796,2488,2326
28797,2271,1980
28798,2117,2055
28799,2188,2107
28800,2324,2420
28801,2322,1941
28802,2292,2491
28803,2212,2110
28804,2179,2144
28805,2294,2079
28806,2175,1883
28807,2291,2274
28808,2462,2304
28809,2406,2534
28810,2443,2218
28811,2386,2419
28812,2133,2286
28813,2037,2325
28814,2358,2163
28815,2394,2516
28816,2213,2267
28817,2075,2228
28818,1990,2368
28819,2097,1937
28820,2145,2133
28821,2173,2264
28822,2382,2037
28823,2421,2463
28824,2330,2126
28825,2307,2432
28826,2219,2368
28827,2139,2419
28828,1974,2161
28829,2355,2280
28830,2232,2444
28831,2321,1999
28832,1979,2049
28833,2117,2207
28834,1942,2239
28835,2392,2349
28836,2121,2129
28837,2454,2352
28838,2164,2436
28839,2189,2412
28840,2390,2252
28841,2285,2322
28842,2192,2131
28843,2446,2378
28844,1958,2186
28845,2243,2282
28846,2397,2158
28847,2140,2211
28848,2263,2238
28849,2183,2117
28850,2361,2105
28851,2267,2074
28852,2079,2380
28853,2254,2275
28854,2282,2362
28855,2313,2227
28856,2047,2395
28857,1926,2192
28858,2386,2367
28859,2275,2392
28860,2013,2181
28861,2081,2256
28862,2154,2384
28863,2213,2116
28864,2205,2061
28865,2239,2131
28866,2274,2348
28867,2336,2240
28868,2183,2208
28869,2104,2140
28870,2350,2271
28871,2292,2081
28872,2104,2096
28873,2222,2433
28874,2373,2387
28875,2359,2032
28876,2422,2301
28877,2111,2351
28878,2249,2068
28879,2243,2051
28880,2301,2341
28881,2373,2327
28882,2047,2040
28883,2366,1992
28884,2264,2143
28885,2250,2404
28886,2196,2129
28887,2329,2158
28888,2338,2269
28889,2241,2233
28890,2262,2148
28891,2221,2454
28892,2058,2239
28893,2122,2077
28894,2334,2195
28895,2062,2156
28896,1886,2043
28897,2056,2382
28898,2060,2191
28899,2349,2416
28900,2106,2128
28901,2329,2377
28902,2212,2146
28903,1993,2264
28904,2071,2227
28905,2150,2125
28906,2293,2230
28907,2345,2185
28908,2425,2527
28909,2162,2440
28910,2144,2295
28911,2389,2128
28912,2306,2342
28913,2279,2082
28914,2321,2449
28915,2282,2148
28916,2420,2443
28917,2143,2227
28918,2377,2396
28919,2204,2131
28920,1900,1973
28921,2218,2294
28922,2440,2184
28923,2334,2214
28924,2186,2463
28925,2257,2170
28926,2331,2274
28927,2416,2352
28928,1916,2349
28929,2268,2245
28930,2353,2310
28931,2356,2454
28932,2318,2150
28933,2164,2258
28934,2185,2225
28935,2431,2251
28936,2388,2307
28937,2258,2121
28938,2296,2215
28939,2059,2180
28940,2267,2386
28941,2207,2065
28942,2238,2341
28943,2218,2266
28944,2279,2247
28945,2363,2074
28946,2325,2424
28947,2307,2201
28948,2374,2258
28949,2372,2162
28950,2306,2183
28951,2071,2169
28952,2396,2196
28953,2101,2169
28954,2206,2311
28955,2182,2388
28956,2317,2200
28957,2147,2390
28958,2374,2182
28959,2293,2301
28960,2474,2438
28961,2231,2138
28962,2171,2066
28963,2433,2430
28964,2180,2138
28965,2376,2305
28966,2186,2367
28967,2288,2263
28968,2376,2257
28969,2390,2221
28970,2215,2171
28971,2021,2201
28972,2331,2161
28973,2412,2427
28974,2322,2214
28975,2193,2405
28976,2281,2313
28977,2300,2091
28978,2374,2303
28979,2324,2240
28980,2136,2142
28981,1813,2033
28982,2275,2159
28983,2367,2231
28984,1983,2089
28985,2384,2147
28986,2276,2059
28987,2113,2287
28988,2357,2409
28989,2077,2313
28990,2325,2005
28991,2345,2360
28992,2348,2106
28993,2460,2168
28994,1894,2154
28995,2245,2325
28996,2309,2390
28997,2263,2295
28998,2292,2235
28999,2025,2297
29000,2032,2334
29001,2198,2059
29002,2161,2258
29003,2226,2377
29004,2251,2151
29005,2332,2208
29006,1978,2143
29007,2228,2059
29008,2227,2366
29009,2232,2084
29010,2378,2298
29011,2299,2414
29012,2178,2250
29013,2266,2205
29014,2174,2298
29015,2174,2227
29016,2405,2492
29017,2380,2136
29018,2191,2146
29019,2216,2081
29020,2321,2230
29021,2186,2085
29022,2122,1925
29023,2206,2141
29024,2095,2087
29025,2172,2158
29026,2227,2179
29027,2050,2091
29028,2174,2007
29029,2304,2216
29030,1890,2079
29031,1813,1898
29032,2408,2463
29033,2023,1980
29034,1882,2169
29035,2232,2366
29036,2257,2310
29037,2377,2360
29038,2324,2246
29039,2328,2466
29040,2435,2399
29041,2124,1927
29042,2198,2036
29043,2224,1994
29044,2304,2309
29045,2300,2363
29046,2125,2174
29047,2034,2179
29048,2382,2493
29049,2399,2332
29050,2418,2333
29051,2308,2239
29052,2379,2250
29053,2268,2201
29054,2388,2364
29055,2330,2278
29056,2469,2320
29057,2147,1836
29058,2130,1946
29059,1969,2248
29060,2104,2045
29061,2218,2368
29062,1972,2144
29063,2115,2018
29064,2300,2223
29065,2176,2465
29066,2273,2344
29067,2396,2230
29068,2300,2371
29069,2272,2276
29070,2416,2256
29071,2189,2225
29072,2298,2332
29073,2208,2402
29074,2155,2299
29075,2385,2296
29076,2424,2415
29077,2037,2443
29078,2369,2398
29079,2503,2277
29080,2206,2301
29081,2366,2168
29082,2392,2372
29083,2292,2042
29084,2181,2118
29085,2161,2206
29086,2354,2424
29087,2174,2299
29088,2170,2330
29089,2166,2100
29090,2127,2148
29091,2269,2022
29092,2322,2073
29093,2349,2360
29094,2293,2448
29095,2268,2287
29096,2400,2094
29097,2364,2297
29098,2173,2001
29099,2200,2183
29100,2570,2364
29101,2363,2287
29102,2297,2106
29103,2308,2272
29104,2218,2184
29105,1887,1914
29106,2210,2224
29107,2268,2374
29108,2369,2337
29109,2409,2200
29110,2266,2218
29111,2340,2071
29112,2384,2283
29113,2425,2232
29114,2184,2282
29115,2488,2387
29116,2247,2309
29117,2307,2338
29118,2281,2250
29119,2170,2294
29120,1978,2144
29121,2543,2381
29122,2236,2181
29123,2149,2299
29124,2383,2435
29125,2290,2224
29126,2483,2455
29127,1981,2205
29128,2284,2384
29129,2425,2502
29130,2256,2315
29131,2240,2075
29132,2028,2246
29133,2390,2055
29134,2125,2353
29135,2380,2304
29136,2142,2116
29137,2255,2324
29138,2149,2262
29139,2252,2268
29140,2272,2287
29141,2436,2277
29142,2001,2291
29143,2480,2268
29144,2415,2483
29145,2151,2188
29146,2159,1867
29147,2415,2259
29148,2139,2307
29149,2414,2024
29150,2249,2272
29151,2205,2296
29152,2284,2425
29153,2339,2235
29154,2322,2062
29155,2479,2260
29156,2150,2108
29157,2434,2314
29158,2296,2387
29159,2284,2389
29160,2300,2116
29161,2384,2283
29162,1924,1915
29163,2107,2119
29164,2287,2206
29165,2209,2059
29166,2019,2189
29167,2416,2342
29168,2297,2373
29169,2017,2429
29170,2159,2382
29171,2265,2178
29172,2348,2079
29173,2156,2219
29174,2353,2166
29175,2118,2037
29176,2116,2352
29177,2100,2111
29178,2004,2083
29179,2130,2331
29180,2427,2307
29181,2132,2324
29182,2476,2408
29183,2227,2305
29184,2306,2420
29185,2078,2294
29186,2147,2223
29187,1945,1859
29188,2374,2225
29189,2081,2353
29190,2054,2272
29191,2084,2300
29192,2358,2256
29193,2221,2424
29194,2339,2085
29195,2268,1894
29196,2359,2133
29197,2126,2215
29198,2493,2323
29199,2306,2143
29200,2259,2343
29201,2372,2485
29202,2159,1974
29203,2192,2114
29204,2204,2150
29205,2383,2290
29206,2292,2379
29207,2250,2243
29208,2305,2056
29209,2111,2281
29210,2275,2087
29211,2391,2283
29212,2360,2388
29213,2157,2332
29214,2068,2078
29215,2297,2377
29216,2258,2297
29217,2334,2028
29218,2272,2304
29219,1932,2191
29220,2328,2343
29221,2395,2196
29222,2157,1995
29223,2250,1991
29224,2383,2335
29225,2023,2042
29226,2244,2249
29227,2278,1997
29228,2366,2192
29229,2092,2313
29230,2177,2274
29231,2176,2180
29232,2306,1925
29233,2343,2158
29234,1996,2196
29235,2101,2125
29236,2408,2059
29237,2310,2332
29238,2462,2328
29239,2177,2129
29240,2195,2207
29241,2334,2168
29242,1984,2349
29243,2196,2218
29244,2221,2237
29245,2224,2273
29246,2328,2277
29247,2196,2188
29248,2240,2019
29249,2428,2434
29250,2362,2480
29251,2328,2502
29252,2319,2220
29253,2285,2030
29254,2233,2333
29255,2302,2461
29256,2530,2459
29257,2179,2393
29258,2098,2276
29259,2321,2041
29260,2025,2120
29261,1984,2450
29262,2465,2184
29263,2276,2097
29264,2312,2113
29265,2138,2208
29266,2196,2423
29267,2240,2249
29268,1926,2047
29269,2102,2023
29270,2083,2404
29271,2244,2217
29272,2483,2434
29273,2441,2458
29274,2178,2245
29275,2205,2126
29276,2267,2221
29277,2206,2231
29278,2197,2340
29279,2209,2310
29280,2237,2383
29281,2141,2257
29282,2202,2121
29283,2283,2420
29284,2431,2471
29285,2381,2418
29286,2356,2049
29287,2511,2545
29288,2219,2183
29289,2376,2125
29290,2160,2380
29291,2527,2261
29292,2273,2320
29293,2428,2090
29294,2150,2347
29295,2200,2155
29296,2405,2358
29297,2427,2507
29298,2083,2182
29299,2128,2239
29300,2448,2448
29301,2411,2331
29302,2285,2464
29303,2244,2306
29304,2143,2275
29305,2169,2282
29306,2414,2198
29307,2274,2497
29308,2210,2352
29309,2211,2186
29310,2209,2395
29311,2162,2161
29312,2107,2276
29313,2239,2274
29314,2018,2076
29315,2070,2197
29316,2346,2446
29317,2177,2077
29318,2478,2461
29319,2213,2455
29320,2218,2167
29321,2155,2338
29322,2176,1993
29323,2119,1802
29324,2314,2216
29325,2323,2289
29326,2001,2180
29327,2212,2411
29328,2244,2347
29329,2419,2133
29330,2478,2291
29331,2297,2304
29332,2317,2468
29333,2150,2287
29334,2435,2164
29335,2310,2159
29336,2315,1965
29337,2133,2102
29338,2382,2248
29339,2089,2374
29340,2246,2311
29341,2158,2050
29342,2171,2288
29343,1783,1809
29344,2399,2250
29345,1984,2148
29346,2132,2100
29347,2237,2218
29348,2246,2226
29349,2125,2203
29350,2172,2288
29351,2107,2065
29352,2155,2110
29353,2353,2232
29354,2107,2209
29355,2281,2169
29356,2269,2253
29357,2150,2404
29358,2316,2444
29359,2173,2435
29360,2142,2219
29361,2345,2399
29362,2237,2080
29363,2351,1987
29364,2220,2233
29365,2418,2240
29366,2385,2163
29367,2311,2407
29368,2112,2176
29369,2070,2225
29370,2308,2448
29371,2175,2120
29372,2295,2102
29373,2445,2386
29374,2289,2294
29375,2260,2459
29376,2247,2220
29377,2191,2355
29378,2243,2234
29379,2029,2163
29380,2497,2285
29381,2323,2097
29382,2491,2304
29383,2269,2262
29384,2359,2452
29385,2209,2378
29386,2155,2218
29387,2449,2325
29388,2436,2471
29389,2143,2266
29390,2257,2489
29391,2169,2213
29392,2233,1978
29393,2318,2153
29394,2171,2243
29395,1984,2272
29396,2216,2311
29397,2159,2091
29398,2234,2079
29399,2002,2233
29400,2531,2519
29401,2294,2278
29402,2210,1928
29403,2007,2174
29404,2078,2323
29405,2406,2399
29406,2267,2349
29407,2451,2230
29408,2405,2108
29409,2161,1935
29410,2417,2181
29411,2184,2367
29412,2365,2303
29413,2417,2164
29414,2358,2377
29415,2393,2232
29416,2424,2298
29417,2411,2371
29418,2445,2367
29419,2245,2445
29420,2406,2401
29421,2320,2327
29422,2065,2154
29423,2388,2278
29424,2276,1865
29425,2229,2188
29426,2396,2266
29427,2177,2042
29428,2397,2477
29429,2150,2301
29430,2045,2197
29431,2358,2415
29432,2351,2364
29433,2234,2310
29434,2246,2119
29435,2235,2431
29436,2479,2409
29437,2035,2211
29438,2373,2274
29439,2254,2339
29440,2147,2178
29441,2335,2193
29442,2406,2073
29443,2339,2075
29444,2333,2394
29445,2206,2223
29446,2411,2325
29447,2364,2386
29448,2307,2265
29449,2372,2409
29450,2333,2167
29451,2424,2415
29452,1992,2161
29453,2370,2370
29454,2240,2159
29455,2438,2305
29456,2034,2302
29457,2203,2032
29458,2062,2330
29459,2308,2324
29460,2197,2223
29461,2159,2473
29462,2370,2136
29463,2013,2204
29464,2101,1962
29465,1865,2170
29466,2175,2174
29467,2096,2342
29468,2252,2451
29469,2476,2513
29470,2375,2349
29471,2279,2054
29472,2096,2223
29473,2341,2326
29474,2348,2151
29475,2323,2345
29476,2291,2358
29477,2470,2277
29478,2330,2179
29479,2161,1830
29480,2284,2273
29481,2416,2350
29482,2067,2174
29483,2093,2247
29484,2299,2345
29485,2317,2371
29486,2245,2326
29487,2047,2005
29488,2352,2437
29489,2351,2294
29490,2326,2091
29491,2333,2114
29492,2243,2306
29493,2405,2494
29494,2289,2046
29495,1993,2284
29496,1977,2234
29497,2240,2103
29498,2545,2277
29499,2215,2218
29500,2385,2200
29501,2294,2378
29502,2342,2193
29503,2397,2475
29504,2276,2257
29505,2319,2265
29506,2117,2322
29507,2113,2313
29508,2268,2099
29509,2330,2443
